taxa,taxon,C,N
Glossosomatidae,1,-39.47,2.89
Glossosomatidae,1,-39.5,2.13
Baetidae,2,-32.41,5.53
Baetidae,2,-32.3,7.35
Chironomidae,3,-27.26,4.61
Chironomidae,3,-27.24,4.22
N. julio,4,-27.39,3.42
N. julio,4,-27.53,2.93
N. julio,4,-27.52,2.98
N. julio,4,-27.26,2.73
Phylloicus,5,-27.63,2.97
Phylloicus,5,-27.65,3.21
Phylloicus,5,-27.27,2.2
Phylloicus,5,-26.3,2.06
Libellulidae,6,-28.86,4.56
Libellulidae,6,-26.95,4.86
Libellulidae,6,-27.78,4.87
Libellulidae,6,-28.07,4.9
X. elongata,7,-25.62,6.27
X. elongata,7,-25.58,5.97
X. elongata,7,-25.43,5.5
X. elongata,7,-25.56,6.41
A. lanipes,8,-26.98,4.82
A. lanipes,8,-26.92,4.29
A. lanipes,8,-26.94,4.89
A. lanipes,8,-26.79,4.93
Machrobrachium,9,-25.94,4.02
Machrobrachium,9,-26.4,4.87
Machrobrachium,9,-25.04,3.3
Machrobrachium,9,-26.24,4.21
A. evermani,10,-27.49,6.57
A. evermani,10,-27.37,6.82
A. evermani,10,-27.34,5.76
A. evermani,10,-27.39,6.86
