taxa,taxon,C,N
Glossosomatidae,1,-32.8796,0.6304
Glossosomatidae,1,-32.8496,1.0004
Glossosomatidae,1,-32.5096,1.2504
Baetidae,2,-32.5664,0.3438
Baetidae,2,-32.0064,0.4368
Baetidae,2,-32.3264,-0.1852
Baetidae,2,-32.2464,0.3578
Chironomidae,3,-28.5245,0.1
Chironomidae,3,-28.1545,0.779
N. julio,4,-32.3913,0.2588
N. julio,4,-32.2113,0.2828
N. julio,4,-32.4413,0.4038
N. julio,4,-32.4813,0.0918
P. pulchrus,5,-31.0287,-0.0758
P. pulchrus,5,-31.1087,0.1132
P. pulchrus,5,-30.5987,-0.4338
P. pulchrus,5,-30.7487,0.1412
Libellulidae,6,-32.418,0.199
Libellulidae,6,-32.428,0.018
Libellulidae,6,-32.358,0.162
Libellulidae,6,-32.538,0.151
X. elongata,7,-26.2269,2.267
X. elongata,7,-25.4869,2.205
X. elongata,7,-25.9069,1.845
X. elongata,7,-26.6169,2.313
A. lanipes,8,-25.7926,2.394
A. lanipes,8,-25.5826,2.133
A. lanipes,8,-25.5126,1.698
A. lanipes,8,-25.4926,1.951
M. crenulatum,9,-26.48,2.092
M. crenulatum,9,-26.38,1.962
M. crenulatum,9,-26.37,2.02
M. crenulatum,9,-26.33,1.99
A. evermani,10,-25.7848,2.165
A. evermani,10,-25.8848,2.182
A. evermani,10,-25.8448,2.182
A. evermani,10,-25.8048,2.284
A. evermani,10,-26.8548,2.385
A. evermani,10,-26.7048,2.514
A. evermani,10,-26.7848,2.532
A. evermani,10,-26.8248,2.505
L. regnyi,11,-26.4214,2.5466
L. regnyi,11,-26.3414,2.1966
L. regnyi,11,-26.5014,1.8556
