taxa,taxon,C,N
Glossosomatidae,1,-40.758,-0.109285714
Baetidae,2,-33.6286,0.964
Chironomidae,3,-28.9332,0.859842857
Chironomidae,3,-29.6422,0.966485714
N. julio,4,-30.357,0.954428571
N. julio,4,-30.076,0.834214286
N. julio,4,-30.453,0.644
N. julio,4,-29.903,1.165785714
P. pulchrus,5,-29.3224,-0.444328571
P. pulchrus,5,-29.3264,-0.350542857
P. pulchrus,5,-29.5504,-0.042757143
Libellulidae,6,-30.7356,1.037171429
Libellulidae,6,-30.5876,1.514957143
Libellulidae,6,-31.0046,1.638742857
Libellulidae,6,-30.6296,1.507528571
X. elongata,7,-30.832,1.1882
X. elongata,7,-30.606,1.1842
X. elongata,7,-30.656,1.2742
A. lanipes,8,-31.2313,4.2637
A. lanipes,8,-31.2183,4.3157
A. lanipes,8,-31.2063,4.5347
A. lanipes,8,-31.2063,4.5307
M. crenulatum,9,-27.837,1.279
M. crenulatum,9,-26.636,-0.292
M. crenulatum,9,-27.153,0.81
M. crenulatum,9,-27.165,0.025
A. evermani,10,-31.3317,1.2599
A. evermani,10,-31.3007,1.2569
A. evermani,10,-31.3797,1.2999
A. evermani,10,-31.3537,1.1209
