taxa,taxon,C,N
Glossosomatidae,1,-35.4052,2.723
Glossosomatidae,1,-35.8462,2.055
Baetidae,2,-34.3632,5.032
Chironomidae,3,-29.6436,0.1748
Chironomidae,3,-29.2526,0.5258
Chironomidae,3,-29.3556,-0.2082
N. julio,4,-30.6779,-0.022
N. julio,4,-30.0519,-0.185
N. julio,4,-30.4019,-0.196
N. julio,4,-30.6199,0.167
P. pulchrus,5,-28.6734,-0.131
P. pulchrus,5,-28.6784,-0.21
P. pulchrus,5,-27.5944,-0.497
P. pulchrus,5,-28.8664,-0.705
Libellulidae,6,-29.15,-0.492
Libellulidae,6,-29.849,-0.939
Libellulidae,6,-30.626,-0.97
Libellulidae,6,-30.656,-0.22
X. elongata,7,-31.0485,-0.483
X. elongata,7,-31.0045,-0.412
X. elongata,7,-31.0195,-0.358
X. elongata,7,-30.8725,-0.549
A. lanipes,8,-28.4484,4.9643
A. lanipes,8,-28.5334,5.2013
A. lanipes,8,-28.4714,4.9283
A. lanipes,9,-30.7686,-0.1832
M. crenulatum,9,-30.6956,-0.5122
M. crenulatum,9,-30.8796,0.1018
M. crenulatum,9,-30.8556,-0.2622
A. evermani,10,-31.1,0.016
A. evermani,10,-30.976,-0.192
A. evermani,10,-30.934,-0.174
A. evermani,10,-30.954,-0.143
L. regnyi,11,-31.243,-0.386
L. regnyi,11,-31.148,0.308
L. regnyi,11,-31.163,-0.131
L. regnyi,,-31.197,-0.308
