taxa,taxon,C,N
Glossosomatidae,1,-37.9102,-0.256390506
Glossosomatidae,1,-38.8132,0.126634889
Baetidae,2,-33.26,3.412
Baetidae,2,-33.242,3.644
Baetidae,2,-33.901,3.278
Baetidae,2,-33.178,3.52
Chironomidae,3,-27.63,2.432
Chironomidae,3,-27.672,2.664
Chironomidae,3,-27.526,2.464
Chironomidae,3,-27.545,2.497
Neohagenulus_julio (Leptophlebiidae),4,-32.7345,-1.058
Neohagenulus_julio (Leptophlebiidae),4,-32.8625,-1.097
Neohagenulus_julio (Leptophlebiidae),4,-32.6405,-1.01
Neohagenulus_julio (Leptophlebiidae),4,-32.8965,-1.12
Phylloicus_pulchrus (Calamoceratidae),5,-32.6576,-1.2904
Phylloicus_pulchrus (Calamoceratidae),5,-32.8266,-1.2444
Phylloicus_pulchrus (Calamoceratidae),5,-32.2656,-1.1444
Phylloicus_pulchrus (Calamoceratidae),5,-32.5096,-1.3664
Libellulidae,6,-27.656,3.229
Libellulidae,6,-27.963,3.259
Libellulidae,6,-27.936,3.353
Libellulidae,6,-28.087,3.002
Xiphocaris_elongata,7,-27.519,1.369656903
Xiphocaris_elongata,7,-27.77,1.802366857
Xiphocaris_elongata,7,-27.415,2.052591471
Xiphocaris_elongata,7,-27.796,2.344067406
Atya_lanipes,8,-27.5728,2.6154
Atya_lanipes,8,-27.4398,2.3784
Atya_lanipes,8,-27.4198,2.1934
Atya_lanipes,8,-27.6128,2.1374
Macrobrachium_sp,9,-26.976,5.37060984
Macrobrachium_sp,9,-27.179,5.378573974
Macrobrachium_sp,9,-27.104,5.239428969
Macrobrachium_sp,9,-27.24,5.390111543
Macrobrachium_sp,9,-26.018,6.296625337
Macrobrachium_sp,9,-26.336,6.351736271
Macrobrachium_sp,9,-26.172,6.379333896
Macrobrachium_sp,9,-26.109,6.348213711
Anolis_evermanni,10,-27.727,2.20011601
Anolis_evermanni,10,-27.73,2.257671906
Anolis_evermanni,10,-27.489,2.048092421
Anolis_evermanni,10,-27.559,1.837577057
Anolis_evermanni,10,-27.575,2.165647573
Anolis_evermanni,10,-27.895,2.087908189
Leucauge_mariana,11,-26.218,5.004
Leucauge_mariana,11,-26.813,5.536
Leucauge_mariana,11,-26.608,4.827
Leucauge_mariana,11,-26.373,4.73
