source,density
Leaflitter,0.07622788
Leaflitter,0.543518759
Leaflitter,0.453088982
Leaflitter,0.246616408
Leaflitter,0.93532962
Leaflitter,0.242427056
Leaflitter,0.288515177
Leaflitter,0.577171965
Leaflitter,0.308064934
Leaflitter,0.63828081
Leaflitter,0.523212459
Leaflitter,0.633282878
Leaflitter,0.305223489
Leaflitter,0.04680368
Leaflitter,0.909787778
Leaflitter,0.399048675
Leaflitter,0.332010316
Leaflitter,0.128539849
Leaflitter,0.553813714
Leaflitter,0.558843779
Leaflitter,0.556929235
Leaflitter,0.562617373
Leaflitter,0.326174777
Leaflitter,0.77177728
Leaflitter,0.857376045
Leaflitter,0.383337496
Leaflitter,0.520427386
Leaflitter,0.492870934
Leaflitter,0.840293655
Leaflitter,0.602609189
Leaflitter,0.657968283
Leaflitter,0.15977644
Leaflitter,0.865556508
Leaflitter,0.580146549
Leaflitter,0.689329195
Leaflitter,0.342416173
Leaflitter,0.856932857
Leaflitter,0.229705313
Leaflitter,0.52018791
Leaflitter,0.498783477
Leaflitter,0.856617182
Leaflitter,0.839069605
Leaflitter,0.22273591
Leaflitter,0.605716891
Leaflitter,0.20141627
Leaflitter,0.252254646
Leaflitter,0.034497392
Leaflitter,0.189205738
Leaflitter,0.719297833
Leaflitter,0.838791503
Leaflitter,0.186682495
Leaflitter,0.528752182
Leaflitter,0.778754899
Leaflitter,0.439889166
Leaflitter,0.804270597
Leaflitter,0.2310095
Leaflitter,0.740468266
Leaflitter,0.08809084
Leaflitter,0.714547606
Leaflitter,0.304301086
Leaflitter,0.916190698
Leaflitter,0.837985726
Leaflitter,0.935250587
Leaflitter,0.425701474
Leaflitter,0.694071973
Leaflitter,0.898252349
Leaflitter,0.535951356
Leaflitter,0.915772995
Leaflitter,0.623546368
Leaflitter,0.554877433
Leaflitter,0.732318504
Leaflitter,0.478812753
Leaflitter,0.200896263
Leaflitter,0.301667171
Leaflitter,0.087985364
Leaflitter,0.61978057
Leaflitter,0.820610608
Leaflitter,0.312675539
Leaflitter,0.198300442
Leaflitter,0.403586994
Leaflitter,0.851853425
Leaflitter,0.758507011
Leaflitter,0.519754259
Leaflitter,0.525437749
Leaflitter,0.750968534
Leaflitter,0.585439682
Leaflitter,0.669694159
Leaflitter,0.432295061
Leaflitter,0.129768626
Leaflitter,0.587643994
Leaflitter,0.068581545
Leaflitter,0.807521985
Leaflitter,0.674698879
Leaflitter,0.593271138
Leaflitter,0.725340195
Leaflitter,0.394287043
Leaflitter,0.84348138
Leaflitter,0.069858078
Leaflitter,0.143719922
Leaflitter,0.8693815
Leaflitter,0.319905133
Leaflitter,0.269313406
Leaflitter,0.455241826
Leaflitter,0.535488321
Leaflitter,0.611813402
Leaflitter,0.4470217
Leaflitter,0.544518688
Leaflitter,0.195791901
Leaflitter,0.440895688
Leaflitter,0.502038372
Leaflitter,0.64069288
Leaflitter,0.645286212
