source,density
Leaflitter,0.354633425
Leaflitter,0.669113542
Leaflitter,0.234490998
Leaflitter,0.145841448
Leaflitter,0.405967327
Leaflitter,0.171046626
Leaflitter,0.52125315
Leaflitter,0.574520818
Leaflitter,0.145154687
Leaflitter,0.929114298
Leaflitter,0.15720175
Leaflitter,0.314409008
Leaflitter,0.46911086
Leaflitter,0.752857396
Leaflitter,0.373884913
Leaflitter,0.44381249
Leaflitter,0.227259654
Leaflitter,0.80394163
Leaflitter,0.036597158
Leaflitter,0.081797622
Leaflitter,0.229500888
Leaflitter,0.018885428
Leaflitter,0.17309441
Leaflitter,0.266810192
Leaflitter,0.84170544
Leaflitter,0.691599497
Leaflitter,0.141048478
Leaflitter,0.246062123
Leaflitter,0.810330356
Leaflitter,0.773631938
Leaflitter,0.571123111
Leaflitter,0.512958613
Leaflitter,0.278070646
Leaflitter,0.422096232
Leaflitter,0.13034233
Leaflitter,0.390619854
Leaflitter,0.344165467
Leaflitter,0.394254925
Leaflitter,0.384775316
Leaflitter,0.555024269
Leaflitter,0.502649276
Leaflitter,0.557462165
Leaflitter,0.851767999
Leaflitter,0.122153277
Leaflitter,0.400482073
Leaflitter,0.20189331
Leaflitter,0.706162209
Leaflitter,0.041481043
Leaflitter,0.631569525
Leaflitter,0.372390366
Leaflitter,0.424934386
Leaflitter,0.138562286
Leaflitter,0.016162995
Leaflitter,0.141934598
Leaflitter,0.318430076
Leaflitter,0.46365437
Leaflitter,0.497104554
Leaflitter,0.931773075
Leaflitter,0.24281073
Leaflitter,0.534462515
Leaflitter,0.670448379
Leaflitter,0.354089215
Leaflitter,0.53721995
Leaflitter,0.060152987
Leaflitter,0.7037985
Leaflitter,0.17492149
Leaflitter,0.721527417
Leaflitter,0.505019927
Leaflitter,0.168983041
Leaflitter,0.615726197
Leaflitter,0.1761196
Leaflitter,0.744264204
Leaflitter,0.430876004
Leaflitter,0.597983659
Leaflitter,0.516993963
Leaflitter,0.905681364
Leaflitter,0.687655946
Leaflitter,0.148258379
Leaflitter,0.697960043
Leaflitter,0.421759453
Leaflitter,0.483342599
Leaflitter,0.402019955
Leaflitter,0.102498109
Leaflitter,0.260929137
Leaflitter,0.059179525
Leaflitter,0.53303675
Leaflitter,0.818531534
Leaflitter,0.153615543
Leaflitter,0.372439138
Leaflitter,0.188623055
Leaflitter,0.270487353
Leaflitter,0.088200518
Leaflitter,0.640623241
Leaflitter,0.316213542
Leaflitter,0.31465693
Leaflitter,0.071863236
Leaflitter,0.059276718
Leaflitter,0.800668019
Leaflitter,0.89433828
Leaflitter,0.032434624
Leaflitter,0.467318966
Leaflitter,0.045659295
Leaflitter,0.232024828
Leaflitter,0.53992644
Leaflitter,0.555056526
Leaflitter,0.593329782
Leaflitter,0.473202159
Leaflitter,0.339758896
Leaflitter,0.697010832
Leaflitter,0.604590002
Leaflitter,0.676897138
Leaflitter,0.609773876
Leaflitter,0.273014934
Leaflitter,0.236610744
Leaflitter,0.585364062
Leaflitter,0.254176836
Leaflitter,0.599381344
Leaflitter,0.562371533
Leaflitter,0.387752947
Leaflitter,0.703297306
Leaflitter,0.195943865
Leaflitter,0.932630307
Leaflitter,0.838971562
Leaflitter,0.824327299
Leaflitter,0.441582699
Leaflitter,0.303113367
Leaflitter,0.413907949
Leaflitter,0.332379018
Leaflitter,0.156978627
Leaflitter,0.775406418
Leaflitter,0.604470006
Leaflitter,0.19317045
Leaflitter,0.342414082
Leaflitter,0.565377725
Leaflitter,0.605298002
Leaflitter,0.644990072
Leaflitter,0.959785485
Leaflitter,0.431283838
Leaflitter,0.316137975
Leaflitter,0.134616879
Leaflitter,0.830191634
Leaflitter,0.783158365
Leaflitter,0.224956946
Leaflitter,0.273213968
Leaflitter,0.305042329
Leaflitter,0.177485726
Leaflitter,0.940714714
Leaflitter,0.450642231
Leaflitter,0.088224926
Leaflitter,0.85301435
Leaflitter,0.678245472
Leaflitter,0.432646999
Leaflitter,0.156505495
Leaflitter,0.23229204
Leaflitter,0.851986851
Leaflitter,0.303943614
Leaflitter,0.790723771
Leaflitter,0.073334249
Leaflitter,0.380907478
Leaflitter,0.387390106
Leaflitter,0.289461031
Leaflitter,0.736561719
Leaflitter,0.117532623
Leaflitter,0.297356958
Leaflitter,0.009046433
Leaflitter,0.538276377
Leaflitter,0.446876975
Leaflitter,0.825212267
Leaflitter,0.62354622
Leaflitter,0.400028331
Leaflitter,0.461572126
Leaflitter,0.119595428
Leaflitter,0.391524768
Leaflitter,0.615970117
Leaflitter,0.634057686
Leaflitter,0.156347987
Leaflitter,0.411172945
Leaflitter,0.287830434
Leaflitter,0.221601011
Leaflitter,0.212488534
Leaflitter,0.771039037
Leaflitter,0.629062547
Leaflitter,0.892714506
Leaflitter,0.726581109
Leaflitter,0.112480609
Leaflitter,0.895411169
Leaflitter,0.278360706
Leaflitter,0.41240378
Leaflitter,0.02505822
Leaflitter,0.589259823
Leaflitter,0.609653276
Leaflitter,0.207342214
Leaflitter,0.328540827
Leaflitter,0.465559618
Leaflitter,0.41838521
Leaflitter,0.012966049
Leaflitter,0.423544021
Leaflitter,0.065429818
Leaflitter,0.111707694
Leaflitter,0.930223396
Leaflitter,0.554954914
Leaflitter,0.361218431
Leaflitter,0.426807714
Leaflitter,0.336641585
Leaflitter,0.347814157
Leaflitter,0.260455357
Leaflitter,0.709583947
Leaflitter,0.407252734
Leaflitter,0.480740696
Leaflitter,0.763232445
Leaflitter,0.775412346
Leaflitter,0.097953308
Leaflitter,0.759435861
Leaflitter,0.242948652
Leaflitter,0.51493152
Leaflitter,0.336411283
Leaflitter,0.274455852
Leaflitter,0.185536587
Leaflitter,0.458845918
Leaflitter,0.650668883
Leaflitter,0.279489894
Leaflitter,0.022545054
Leaflitter,0.388511139
Leaflitter,0.347073315
