source,density
Leaflitter,0.28899867
Leaflitter,0.031604861
Leaflitter,0.764290841
Leaflitter,0.879008843
Leaflitter,0.179804068
Leaflitter,0.510300769
Leaflitter,0.65744359
Leaflitter,0.047354333
Leaflitter,0.3497981
Leaflitter,0.115474322
Leaflitter,0.653509274
Leaflitter,0.349535152
Leaflitter,0.427732307
Leaflitter,0.545815984
Leaflitter,0.715500513
Leaflitter,0.5052502
Leaflitter,0.253894082
Leaflitter,0.155540671
Leaflitter,0.780904647
Leaflitter,0.721340151
Leaflitter,0.499202611
Leaflitter,0.9474106
Leaflitter,0.15837474
Leaflitter,0.110749466
Leaflitter,0.558891244
Leaflitter,0.323799692
Leaflitter,0.374637996
Leaflitter,0.248276247
Leaflitter,0.484213339
Leaflitter,0.918694493
Leaflitter,0.792365112
Leaflitter,0.336779474
Leaflitter,0.67239033
Leaflitter,0.586719516
Leaflitter,0.570406665
Leaflitter,0.562667914
Leaflitter,0.490188961
Leaflitter,0.57314383
Leaflitter,0.418241031
Leaflitter,0.445881375
Leaflitter,0.358552168
Leaflitter,0.17207395
Leaflitter,0.328011881
Leaflitter,0.485647363
Leaflitter,0.888107589
Leaflitter,0.887950866
Leaflitter,0.801192048
Leaflitter,0.383288295
Leaflitter,0.407294361
Leaflitter,0.278809996
Leaflitter,0.479819067
Leaflitter,0.08751127
Leaflitter,0.59673504
Leaflitter,0.680849242
Leaflitter,0.778337094
Leaflitter,0.933822825
Leaflitter,0.244552181
Leaflitter,0.925894054
Leaflitter,0.893094143
Leaflitter,0.165077365
Leaflitter,0.893780134
Leaflitter,0.622626216
Leaflitter,0.4657127
Leaflitter,0.621433976
Leaflitter,0.267805218
Leaflitter,0.923780995
Leaflitter,0.088145283
Leaflitter,0.326135094
Leaflitter,0.10531876
Leaflitter,0.195548477
Leaflitter,0.462523538
Leaflitter,0.285190368
Leaflitter,0.503202242
Leaflitter,0.449193297
Leaflitter,0.110932213
Leaflitter,0.475688588
Leaflitter,0.247299635
Leaflitter,0.829175158
Leaflitter,0.753408176
Leaflitter,0.544321344
Leaflitter,0.424851259
Leaflitter,0.425848314
Leaflitter,0.837023665
Leaflitter,0.410273072
Leaflitter,0.6410047
Leaflitter,0.356523659
Leaflitter,0.784613886
Leaflitter,0.18297569
Leaflitter,0.455327511
Leaflitter,0.909081555
Leaflitter,0.203633618
Leaflitter,0.239774715
Leaflitter,0.021084664
Leaflitter,0.834627706
Leaflitter,0.482819466
Leaflitter,0.360603523
Leaflitter,0.366173423
Leaflitter,0.403796797
Leaflitter,0.112938279
Leaflitter,0.730344035
Leaflitter,0.008095973
Leaflitter,0.570684802
Leaflitter,0.683535157
Leaflitter,0.659343774
Leaflitter,0.435894166
Leaflitter,0.062163615
Leaflitter,0.676707686
Leaflitter,0.437826148
Leaflitter,0.783469453
Leaflitter,0.338127366
Leaflitter,0.353781545
Leaflitter,0.259476103
Leaflitter,0.469078516
Leaflitter,0.727777137
Leaflitter,0.869083715
Leaflitter,0.370785875
Leaflitter,0.775142438
Leaflitter,0.654113865
Leaflitter,0.656283856
Leaflitter,0.847504781
Leaflitter,0.442597279
Leaflitter,0.617311648
Leaflitter,0.498802552
Leaflitter,0.336779499
Leaflitter,0.644437248
Leaflitter,0.746123393
Leaflitter,0.60279258
Leaflitter,0.003629651
Leaflitter,0.288145237
Leaflitter,0.891474975
Leaflitter,0.567260676
Leaflitter,0.733751343
Leaflitter,0.185332079
Leaflitter,0.804543074
Leaflitter,0.362220285
Leaflitter,0.845348172
Leaflitter,0.819936601
Leaflitter,0.545822772
Leaflitter,0.23816244
Leaflitter,0.872372531
Leaflitter,0.6120442
Leaflitter,0.701553825
Leaflitter,0.852230101
Leaflitter,0.633043873
Leaflitter,0.106515101
Leaflitter,0.741994459
Leaflitter,0.424097516
Leaflitter,0.414318494
Leaflitter,0.706655888
Leaflitter,0.807845757
Leaflitter,0.013697876
Leaflitter,0.309087528
Leaflitter,0.110271702
Leaflitter,0.037186716
Leaflitter,0.84873557
Leaflitter,0.692680452
Leaflitter,0.777140068
Leaflitter,0.613050882
Leaflitter,0.414388863
Leaflitter,0.5470294
Leaflitter,0.530992623
Leaflitter,0.004751978
Leaflitter,0.072052033
Leaflitter,0.38103479
Leaflitter,0.446692903
Leaflitter,0.286790354
Leaflitter,0.498773236
Leaflitter,0.437658879
Leaflitter,0.889255039
Leaflitter,0.326334644
Leaflitter,0.119220878
Leaflitter,0.400063362
Leaflitter,0.487711408
Leaflitter,0.232882543
Leaflitter,0.551866512
Leaflitter,0.762712945
Leaflitter,0.632528242
Leaflitter,0.054412651
Leaflitter,0.722726668
Leaflitter,0.143406112
Leaflitter,0.494243283
Leaflitter,0.901358554
Leaflitter,0.198793608
Leaflitter,0.220935543
Leaflitter,0.937561623
Leaflitter,0.263029269
Leaflitter,0.312900795
Leaflitter,0.823340108
Leaflitter,0.72180007
Leaflitter,0.23455594
Leaflitter,0.120854306
Leaflitter,0.254910671
Leaflitter,0.56365084
Leaflitter,0.773956293
Leaflitter,0.487677747
Leaflitter,0.438570942
Leaflitter,0.661569616
Leaflitter,0.84803524
Leaflitter,0.532636038
Leaflitter,0.319814399
Leaflitter,0.444073144
Leaflitter,0.07466484
Leaflitter,0.17298268
Leaflitter,0.865561348
Leaflitter,0.382893653
Leaflitter,0.577701519
Leaflitter,0.394124669
Leaflitter,0.747324058
Leaflitter,0.136925595
Leaflitter,0.323279061
Leaflitter,0.872314315
Leaflitter,0.152435562
Leaflitter,0.876053416
Leaflitter,0.191699406
Leaflitter,0.935831706
Leaflitter,0.56797392
Leaflitter,0.264350826
Leaflitter,0.679436884
Leaflitter,0.917118581
Leaflitter,0.297259706
Leaflitter,0.639938314
Leaflitter,0.515824059
Leaflitter,0.877065733
Leaflitter,0.755358246
Leaflitter,0.441200744
Leaflitter,0.100670588
Leaflitter,0.424922986
Leaflitter,0.189252311
Leaflitter,0.904842263
Leaflitter,0.668958071
Leaflitter,0.604493472
Leaflitter,0.410355318
Leaflitter,0.438673749
Leaflitter,0.891237537
Leaflitter,0.495499494
