source,density
Leaflitter,0.673361517
Leaflitter,0.621969768
Leaflitter,0.941431619
Leaflitter,0.588776817
Leaflitter,0.934309949
Leaflitter,0.931422038
Leaflitter,0.94266371
Leaflitter,0.806670357
Leaflitter,0.32567176
Leaflitter,0.817414307
Leaflitter,0.6470946
Leaflitter,0.79725646
Leaflitter,0.628892103
Leaflitter,0.624669924
Leaflitter,0.78979854
Leaflitter,0.539039272
Leaflitter,0.941090942
Leaflitter,0.842995604
Leaflitter,0.845203398
Leaflitter,0.936630073
Leaflitter,0.952622931
Leaflitter,0.711406065
Leaflitter,0.347436516
Leaflitter,0.901600977
Leaflitter,0.845938655
Leaflitter,0.695272173
Leaflitter,0.851720599
Leaflitter,0.884196538
Leaflitter,0.936396471
Leaflitter,0.212872254
Leaflitter,0.672611951
Leaflitter,0.559587243
Leaflitter,0.836309295
Leaflitter,0.870572196
Leaflitter,0.888550275
Leaflitter,0.621053311
Leaflitter,0.665747456
Leaflitter,0.446993961
Leaflitter,0.744624267
Leaflitter,0.770967946
Leaflitter,0.890458616
Leaflitter,0.851427735
Leaflitter,0.920779469
Leaflitter,0.846749249
Leaflitter,0.669284242
Leaflitter,0.497833833
Leaflitter,0.871554053
Leaflitter,0.954580942
Leaflitter,0.500977231
Leaflitter,0.817054067
Leaflitter,0.814311828
Leaflitter,0.39330515
Leaflitter,0.872671034
Leaflitter,0.65211213
Leaflitter,0.778259298
Leaflitter,0.936196081
Leaflitter,0.876949723
Leaflitter,0.816508803
Leaflitter,0.847105382
Leaflitter,0.791625032
Leaflitter,0.520556903
Leaflitter,0.873378743
Leaflitter,0.756142664
Leaflitter,0.458053354
Leaflitter,0.838236041
Leaflitter,0.871499659
Leaflitter,0.948997404
Leaflitter,0.675484204
Leaflitter,0.320874787
Leaflitter,0.877159463
Leaflitter,0.738791841
Leaflitter,0.757563693
Leaflitter,0.912805474
Leaflitter,0.908347966
Leaflitter,0.80583605
Leaflitter,0.910539289
Leaflitter,0.190605282
Leaflitter,0.689207482
Leaflitter,0.65118575
Leaflitter,0.889919452
Leaflitter,0.911899147
Leaflitter,0.779917965
Leaflitter,0.867848848
Leaflitter,0.5773508
Leaflitter,0.873731723
Leaflitter,0.910873013
Leaflitter,0.668452015
Leaflitter,0.590163581
Leaflitter,0.520530054
Leaflitter,0.868363233
Leaflitter,0.286247998
Leaflitter,0.815058944
Leaflitter,0.913091011
Leaflitter,0.850252103
Leaflitter,0.877801077
Leaflitter,0.705554296
Leaflitter,0.453076208
Leaflitter,0.798853812
Leaflitter,0.652379673
Leaflitter,0.826622082
Leaflitter,0.789925205
Leaflitter,0.90212
Leaflitter,0.762687774
Leaflitter,0.733958737
Leaflitter,0.753212868
Leaflitter,0.367930841
Leaflitter,0.385883987
Leaflitter,0.636792236
Leaflitter,0.798623811
Leaflitter,0.702647905
Leaflitter,0.453690344
Leaflitter,0.262808393
Leaflitter,0.646544547
Leaflitter,0.842818406
Leaflitter,0.815584954
Leaflitter,0.829029027
Leaflitter,0.6655372
Leaflitter,0.960367962
Leaflitter,0.644792565
Leaflitter,0.911997043
Leaflitter,0.476999937
Leaflitter,0.736383822
Leaflitter,0.937794309
Leaflitter,0.83896706
Leaflitter,0.767179887
Leaflitter,0.846865606
Leaflitter,0.506604512
Leaflitter,0.669077473
Leaflitter,0.819851418
Leaflitter,0.91151886
Leaflitter,0.790268371
Leaflitter,0.958135619
Leaflitter,0.874382187
Leaflitter,0.636935841
Leaflitter,0.585260174
Leaflitter,0.698578707
Leaflitter,0.829563515
Leaflitter,0.682597783
Leaflitter,0.823131046
Leaflitter,0.852671168
Leaflitter,0.583050066
Leaflitter,0.953533178
Leaflitter,0.665352553
Leaflitter,0.985605502
Leaflitter,0.816755284
Leaflitter,0.898677192
Leaflitter,0.685029779
Leaflitter,0.870477791
Leaflitter,0.837806364
Leaflitter,0.637080327
Leaflitter,0.958738392
Leaflitter,0.688462657
Leaflitter,0.715062685
Leaflitter,0.926361976
Leaflitter,0.84065351
Leaflitter,0.979755041
Leaflitter,0.913051148
Leaflitter,0.691107319
Leaflitter,0.921945232
Leaflitter,0.944301716
Leaflitter,0.846707311
Leaflitter,0.914303717
Leaflitter,0.717680237
Leaflitter,0.767416877
Leaflitter,0.908434555
Leaflitter,0.824221625
Leaflitter,0.828107675
Leaflitter,0.861615708
Leaflitter,0.583266408
Leaflitter,0.406562728
Leaflitter,0.777127413
Leaflitter,0.793939428
Leaflitter,0.687633701
Leaflitter,0.952040294
Leaflitter,0.918616684
Leaflitter,0.655914363
Leaflitter,0.78145658
Leaflitter,0.750795899
Leaflitter,0.470973032
Leaflitter,0.805322636
Leaflitter,0.81193951
Leaflitter,0.828998649
Leaflitter,0.827989921
Leaflitter,0.884125512
Leaflitter,0.817708395
Leaflitter,0.731081381
Leaflitter,0.431320377
Leaflitter,0.963137949
Leaflitter,0.806978687
Leaflitter,0.956481139
Leaflitter,0.858985365
Leaflitter,0.757682558
Leaflitter,0.484618682
Leaflitter,0.866399609
Leaflitter,0.951589127
Leaflitter,0.816946713
Leaflitter,0.52319997
Leaflitter,0.539405098
Leaflitter,0.857568475
Leaflitter,0.772867286
Leaflitter,0.871507141
Leaflitter,0.733757359
Leaflitter,0.724903061
Leaflitter,0.887757002
Leaflitter,0.619880177
Leaflitter,0.767288183
Leaflitter,0.762107282
Leaflitter,0.857194074
Leaflitter,0.810023891
Leaflitter,0.821843335
Leaflitter,0.399393367
Leaflitter,0.93692604
Leaflitter,0.944744895
Leaflitter,0.714109658
Leaflitter,0.422303964
Leaflitter,0.738520492
Leaflitter,0.935113897
Leaflitter,0.705813387
Leaflitter,0.341895372
Leaflitter,0.882507309
Leaflitter,0.897301814
Leaflitter,0.793493692
Leaflitter,0.879080567
Leaflitter,0.725575473
Leaflitter,0.659368466
Leaflitter,0.839799498
Leaflitter,0.888881797
Leaflitter,0.783112159
Leaflitter,0.706638154
Leaflitter,0.749963136
Leaflitter,0.539766014
Leaflitter,0.933321394
Leaflitter,0.555017044
Leaflitter,0.988944012
Leaflitter,0.660059474
Leaflitter,0.616270423
Leaflitter,0.160872948
Leaflitter,0.874735981
Leaflitter,0.755355329
Leaflitter,0.7757747
Leaflitter,0.773178843
Leaflitter,0.295030365
Leaflitter,0.929827407
Leaflitter,0.923906754
Leaflitter,0.967570041
Leaflitter,0.637098862
Leaflitter,0.698676676
Leaflitter,0.907878209
Leaflitter,0.805842663
Leaflitter,0.854181366
Leaflitter,0.878666087
Leaflitter,0.879466308
Leaflitter,0.762018385
Leaflitter,0.836345016
Leaflitter,0.803343803
Leaflitter,0.823749586
Leaflitter,0.563458306
Leaflitter,0.965174341
Leaflitter,0.930035611
Leaflitter,0.898799359
Leaflitter,0.868259598
Leaflitter,0.700802038
Leaflitter,0.637508217
Leaflitter,0.154736656
Leaflitter,0.815547275
Leaflitter,0.723623496
Leaflitter,0.85831949
Leaflitter,0.655317151
Leaflitter,0.674775217
Leaflitter,0.746456179
Leaflitter,0.528929687
Leaflitter,0.912346084
Leaflitter,0.766552081
Leaflitter,0.837715468
Leaflitter,0.686274484
Leaflitter,0.905723582
Leaflitter,0.769316513
Leaflitter,0.765183975
Leaflitter,0.456424121
Leaflitter,0.971642443
Leaflitter,0.783493348
Leaflitter,0.778510592
Leaflitter,0.869718257
Leaflitter,0.687752348
Leaflitter,0.261586155
Leaflitter,0.685549636
Leaflitter,0.17149313
Leaflitter,0.824049843
Leaflitter,0.841347323
Leaflitter,0.997739722
Leaflitter,0.772266715
Leaflitter,0.830144715
Leaflitter,0.6778755
Leaflitter,0.732419425
Leaflitter,0.72531073
Leaflitter,0.586548486
Leaflitter,0.821200933
Leaflitter,0.684044751
Leaflitter,0.855211942
Leaflitter,0.731356583
Leaflitter,0.772478831
Leaflitter,0.908161518
Leaflitter,0.933202192
Leaflitter,0.831230068
Leaflitter,0.468560296
Leaflitter,0.72051201
Leaflitter,0.841378279
Leaflitter,0.774746241
Leaflitter,0.56231836
Leaflitter,0.812321521
Leaflitter,0.863362702
Leaflitter,0.73955515
Leaflitter,0.591980353
Leaflitter,0.947789928
Leaflitter,0.682345785
Leaflitter,0.741677728
Leaflitter,0.250190074
Leaflitter,0.720156784
Leaflitter,0.521765064
Leaflitter,0.91102098
Leaflitter,0.891070135
Leaflitter,0.67465217
Leaflitter,0.792069021
Leaflitter,0.691019989
Leaflitter,0.888252738
Leaflitter,0.950392241
Leaflitter,0.542387299
Leaflitter,0.883066879
Leaflitter,0.734923345
Leaflitter,0.556714931
Leaflitter,0.357340698
Leaflitter,0.811516688
Leaflitter,0.309649106
Leaflitter,0.94477323
Leaflitter,0.502134134
Leaflitter,0.969054046
Leaflitter,0.65244493
Leaflitter,0.759823941
Leaflitter,0.885578719
Leaflitter,0.587691816
Leaflitter,0.832401397
Leaflitter,0.850683664
Leaflitter,0.96009982
Leaflitter,0.847550012
Leaflitter,0.512382471
