source,density
Leaflitter,0.666326093
Leaflitter,0.924012966
Leaflitter,0.727622689
Leaflitter,0.566631973
Leaflitter,0.506397816
Leaflitter,0.773365332
Leaflitter,0.810300785
Leaflitter,0.888047421
Leaflitter,0.598136214
Leaflitter,0.777687783
Leaflitter,0.189247776
Leaflitter,0.419319774
Leaflitter,0.937673287
Leaflitter,0.589436535
Leaflitter,0.688286366
Leaflitter,0.968518236
Leaflitter,0.729262662
Leaflitter,0.662554538
Leaflitter,0.465558383
Leaflitter,0.549305758
Leaflitter,0.899653013
Leaflitter,0.866126929
Leaflitter,0.770780608
Leaflitter,0.618459468
Leaflitter,0.901832964
Leaflitter,0.717377576
Leaflitter,0.703791416
Leaflitter,0.927824091
Leaflitter,0.857874297
Leaflitter,0.837700109
Leaflitter,0.747392899
Leaflitter,0.849157554
Leaflitter,0.384829018
Leaflitter,0.744028487
Leaflitter,0.417373545
Leaflitter,0.595174001
Leaflitter,0.900691677
Leaflitter,0.595488374
Leaflitter,0.523565082
Leaflitter,0.860736511
Leaflitter,0.661978954
Leaflitter,0.60767116
Leaflitter,0.200964087
Leaflitter,0.770892621
Leaflitter,0.476905659
Leaflitter,0.731731585
Leaflitter,0.899946001
Leaflitter,0.691802894
Leaflitter,0.808737265
Leaflitter,0.236870445
Leaflitter,0.673918293
Leaflitter,0.80554878
Leaflitter,0.49356118
Leaflitter,0.830885469
Leaflitter,0.436432813
Leaflitter,0.800979865
Leaflitter,0.932925691
Leaflitter,0.597686489
Leaflitter,0.865910838
Leaflitter,0.940186665
Leaflitter,0.694419598
Leaflitter,0.631859227
Leaflitter,0.648696723
Leaflitter,0.710451979
Leaflitter,0.815224543
Leaflitter,0.751822977
Leaflitter,0.614064209
Leaflitter,0.734026514
Leaflitter,0.886394317
Leaflitter,0.637814866
Leaflitter,0.827734938
Leaflitter,0.591980873
Leaflitter,0.575351101
Leaflitter,0.50182919
Leaflitter,0.5959399
Leaflitter,0.46985769
Leaflitter,0.877100329
Leaflitter,0.799058685
Leaflitter,0.846747234
Leaflitter,0.658954082
Leaflitter,0.806506008
Leaflitter,0.586035589
Leaflitter,0.922144745
Leaflitter,0.914547002
Leaflitter,0.340086858
Leaflitter,0.466953788
Leaflitter,0.88989698
Leaflitter,0.974156517
Leaflitter,0.748129216
Leaflitter,0.557821448
Leaflitter,0.801992489
Leaflitter,0.674688034
Leaflitter,0.949130565
Leaflitter,0.995981471
Leaflitter,0.589975833
Leaflitter,0.61901619
Leaflitter,0.379882734
Leaflitter,0.602012512
Leaflitter,0.933562814
Leaflitter,0.371443471
Leaflitter,0.826223244
Leaflitter,0.786124438
Leaflitter,0.857385677
Leaflitter,0.508277844
Leaflitter,0.508049147
Leaflitter,0.607559401
Leaflitter,0.792325563
Leaflitter,0.405191668
Leaflitter,0.643806627
Leaflitter,0.684596533
Leaflitter,0.77851972
Leaflitter,0.883679622
Leaflitter,0.949433686
Leaflitter,0.794188811
Leaflitter,0.903291925
Leaflitter,0.7874694
Leaflitter,0.333530377
Leaflitter,0.128945144
Leaflitter,0.746876923
Leaflitter,0.965415204
Leaflitter,0.752839053
Leaflitter,0.669206997
Leaflitter,0.602169178
Leaflitter,0.849333388
Leaflitter,0.867426502
Leaflitter,0.547814889
Leaflitter,0.316902349
Leaflitter,0.588133229
Leaflitter,0.93160171
Leaflitter,0.859078339
Leaflitter,0.664726455
Leaflitter,0.874805389
Leaflitter,0.447369534
Leaflitter,0.923452781
Leaflitter,0.819604765
Leaflitter,0.748476973
Leaflitter,0.643148746
Leaflitter,0.425376463
Leaflitter,0.655196819
Leaflitter,0.690315548
Leaflitter,0.607438767
Leaflitter,0.190311994
Leaflitter,0.957080528
Leaflitter,0.547721105
Leaflitter,0.642777122
Leaflitter,0.734052407
Leaflitter,0.764835603
Leaflitter,0.762213951
Leaflitter,0.637266781
Leaflitter,0.427119968
Leaflitter,0.929641144
Leaflitter,0.151117743
Leaflitter,0.902046701
Leaflitter,0.881198946
Leaflitter,0.860576079
Leaflitter,0.852470582
Leaflitter,0.89002692
Leaflitter,0.913258943
Leaflitter,0.848454104
Leaflitter,0.955785403
Leaflitter,0.37487562
Leaflitter,0.455965028
Leaflitter,0.573751631
Leaflitter,0.767298117
Leaflitter,0.567480168
Leaflitter,0.860107362
Leaflitter,0.668368611
Leaflitter,0.669340825
Leaflitter,0.633428134
Leaflitter,0.444421767
Leaflitter,0.381696476
Leaflitter,0.369186092
Leaflitter,0.712140591
Leaflitter,0.146657993
Leaflitter,0.305431896
Leaflitter,0.496924511
Leaflitter,0.786168951
Leaflitter,0.421832436
Leaflitter,0.753952813
Leaflitter,0.894054185
Leaflitter,0.772303299
Leaflitter,0.8197992
Leaflitter,0.818709452
Leaflitter,0.766935919
Leaflitter,0.773052147
Leaflitter,0.693930821
Leaflitter,0.610366957
