source,density
Leaflitter,0.221908291
Leaflitter,0.535843092
Leaflitter,0.637510255
Leaflitter,0.599323423
Leaflitter,0.471369592
Leaflitter,0.832423912
Leaflitter,0.903708974
Leaflitter,0.786404582
Leaflitter,0.917607263
Leaflitter,0.850871547
Leaflitter,0.872694502
Leaflitter,0.557151724
Leaflitter,0.714327719
Leaflitter,0.629075017
Leaflitter,0.871913843
Leaflitter,0.753218099
Leaflitter,0.471241206
Leaflitter,0.863569936
Leaflitter,0.944253421
Leaflitter,0.404946599
Leaflitter,0.818476186
Leaflitter,0.936828277
Leaflitter,0.83316414
Leaflitter,0.683111929
Leaflitter,0.514726694
Leaflitter,0.735401098
Leaflitter,0.559098788
Leaflitter,0.652244112
Leaflitter,0.790408007
Leaflitter,0.580103156
Leaflitter,0.953817265
Leaflitter,0.575538291
Leaflitter,0.418911081
Leaflitter,0.428631934
Leaflitter,0.833881455
Leaflitter,0.739811382
Leaflitter,0.454728711
Leaflitter,0.954899049
Leaflitter,0.748672878
Leaflitter,0.740378424
Leaflitter,0.617987636
Leaflitter,0.277498843
Leaflitter,0.710663301
Leaflitter,0.908686589
Leaflitter,0.768525426
Leaflitter,0.92660504
Leaflitter,0.360546263
Leaflitter,0.781200333
Leaflitter,0.677761886
Leaflitter,0.890261582
Leaflitter,0.936990026
Leaflitter,0.577638353
Leaflitter,0.865622851
Leaflitter,0.405919792
Leaflitter,0.475631534
Leaflitter,0.764156828
Leaflitter,0.381542528
Leaflitter,0.591295963
Leaflitter,0.753884189
Leaflitter,0.20341574
Leaflitter,0.818906904
Leaflitter,0.917875654
Leaflitter,0.753684734
Leaflitter,0.827918078
Leaflitter,0.777518449
Leaflitter,0.671994729
Leaflitter,0.557327228
Leaflitter,0.389479637
Leaflitter,0.898091031
Leaflitter,0.921002036
Leaflitter,0.683611164
Leaflitter,0.549169639
Leaflitter,0.727979674
Leaflitter,0.699816215
Leaflitter,0.830810183
Leaflitter,0.677575352
Leaflitter,0.740547844
Leaflitter,0.829758796
Leaflitter,0.774106282
Leaflitter,0.518276561
Leaflitter,0.722307236
Leaflitter,0.862520253
Leaflitter,0.699234647
Leaflitter,0.897004578
Leaflitter,0.784370082
Leaflitter,0.463876257
Leaflitter,0.635391583
Leaflitter,0.584021911
Leaflitter,0.796740138
Leaflitter,0.846688016
Leaflitter,0.752744276
Leaflitter,0.511753795
Leaflitter,0.813318894
Leaflitter,0.538665507
Leaflitter,0.941642542
Leaflitter,0.45562171
Leaflitter,0.603914116
Leaflitter,0.402542015
Leaflitter,0.924825518
Leaflitter,0.686539754
Leaflitter,0.804169126
Leaflitter,0.376016384
Leaflitter,0.897840306
Leaflitter,0.93025878
Leaflitter,0.945718744
Leaflitter,0.567662622
Leaflitter,0.717193282
Leaflitter,0.662827351
Leaflitter,0.785425431
Leaflitter,0.741119561
Leaflitter,0.505915354
Leaflitter,0.481993791
Leaflitter,0.420790615
Leaflitter,0.95602506
Leaflitter,0.423459735
Leaflitter,0.797241887
Leaflitter,0.820597678
Leaflitter,0.77142233
Leaflitter,0.526459665
Leaflitter,0.834359515
Leaflitter,0.794418565
Leaflitter,0.608913783
Leaflitter,0.922816305
Leaflitter,0.850979245
Leaflitter,0.482522054
Leaflitter,0.916792704
Leaflitter,0.385266763
Leaflitter,0.855569186
Leaflitter,0.325579046
Leaflitter,0.915412502
Leaflitter,0.936067714
Leaflitter,0.828526577
Leaflitter,0.520486576
Leaflitter,0.866162007
Leaflitter,0.638413003
Leaflitter,0.804172073
Leaflitter,0.637219761
Leaflitter,0.958067386
Leaflitter,0.641194829
Leaflitter,0.614663412
Leaflitter,0.804982347
Leaflitter,0.76717501
Leaflitter,0.662152753
Leaflitter,0.830910864
Leaflitter,0.940275335
Leaflitter,0.668792011
Leaflitter,0.713512567
Leaflitter,0.797222216
Leaflitter,0.616220717
Leaflitter,0.418578932
Leaflitter,0.919797664
Leaflitter,0.564983689
Leaflitter,0.775701736
Leaflitter,0.717784633
Leaflitter,0.816781299
Leaflitter,0.917993572
Leaflitter,0.927758029
Leaflitter,0.805227133
Leaflitter,0.841470159
Leaflitter,0.80342759
Leaflitter,0.700302425
Leaflitter,0.43632737
Leaflitter,0.636422134
Leaflitter,0.725010328
Leaflitter,0.899680747
Leaflitter,0.770540132
Leaflitter,0.641562488
Leaflitter,0.927799732
Leaflitter,0.896768617
Leaflitter,0.892491168
Leaflitter,0.702369959
Leaflitter,0.781350084
Leaflitter,0.90093029
Leaflitter,0.725374714
Leaflitter,0.957702868
Leaflitter,0.839926105
Leaflitter,0.531686484
Leaflitter,0.377080032
Leaflitter,0.78163357
Leaflitter,0.69569723
Leaflitter,0.740641619
Leaflitter,0.333853401
Leaflitter,0.567020056
Leaflitter,0.666072134
Leaflitter,0.808171883
Leaflitter,0.918009169
Leaflitter,0.84992386
Leaflitter,0.467199013
Leaflitter,0.544716738
Leaflitter,0.352458297
Leaflitter,0.724384139
Leaflitter,0.826921519
Leaflitter,0.984803563
Leaflitter,0.9531463
Leaflitter,0.639915227
Leaflitter,0.756558323
Leaflitter,0.746288962
Leaflitter,0.82586791
Leaflitter,0.290311716
Leaflitter,0.866573138
Leaflitter,0.574524456
Leaflitter,0.656375178
Leaflitter,0.662183352
Leaflitter,0.835296776
Leaflitter,0.87558303
Leaflitter,0.434476411
Leaflitter,0.56658539
Leaflitter,0.559562796
Leaflitter,0.575109041
Leaflitter,0.620625518
Leaflitter,0.849683027
Leaflitter,0.806169496
Leaflitter,0.848145361
Leaflitter,0.699408311
Leaflitter,0.742721381
Leaflitter,0.611221731
Leaflitter,0.472199954
Leaflitter,0.600332556
Leaflitter,0.747318637
Leaflitter,0.788403238
Leaflitter,0.706785747
Leaflitter,0.863580886
