source,density
Leaflitter,0.787043851
Leaflitter,0.513663494
Leaflitter,0.919207958
Leaflitter,0.899394134
Leaflitter,0.986579409
Leaflitter,0.917243713
Leaflitter,0.893933685
Leaflitter,0.814657081
Leaflitter,0.999221248
Leaflitter,0.798897279
Leaflitter,0.846601882
Leaflitter,0.928234378
Leaflitter,0.761528996
Leaflitter,0.932424278
Leaflitter,0.903143656
Leaflitter,0.217796835
Leaflitter,0.777433127
Leaflitter,0.930215489
Leaflitter,0.690527677
Leaflitter,0.68345033
Leaflitter,0.87547678
Leaflitter,0.79618225
Leaflitter,0.665021226
Leaflitter,0.836975424
Leaflitter,0.711149221
Leaflitter,0.809892097
Leaflitter,0.693138308
Leaflitter,0.826182834
Leaflitter,0.778555475
Leaflitter,0.740888377
Leaflitter,0.819379965
Leaflitter,0.772931364
Leaflitter,0.286330953
Leaflitter,0.452386882
Leaflitter,0.912992943
Leaflitter,0.627976947
Leaflitter,0.925770219
Leaflitter,0.786809835
Leaflitter,0.780804505
Leaflitter,0.805501662
Leaflitter,0.749059028
Leaflitter,0.579112236
Leaflitter,0.614903428
Leaflitter,0.65113932
Leaflitter,0.799781777
Leaflitter,0.69001036
Leaflitter,0.701836094
Leaflitter,0.915895962
Leaflitter,0.863431285
Leaflitter,0.787353464
Leaflitter,0.890468884
Leaflitter,0.866419683
Leaflitter,0.655748893
Leaflitter,0.849756833
Leaflitter,0.830748267
Leaflitter,0.921953877
Leaflitter,0.720437314
Leaflitter,0.800432887
Leaflitter,0.881515691
Leaflitter,0.664087151
Leaflitter,0.741350489
Leaflitter,0.761522227
Leaflitter,0.906470475
Leaflitter,0.883181948
Leaflitter,0.242991048
Leaflitter,0.765766425
Leaflitter,0.648622415
Leaflitter,0.796133601
Leaflitter,0.886909682
Leaflitter,0.810969379
Leaflitter,0.932390983
Leaflitter,0.779024394
Leaflitter,0.616131493
Leaflitter,0.867817606
Leaflitter,0.780403492
Leaflitter,0.487051741
Leaflitter,0.891297557
Leaflitter,0.690333153
Leaflitter,0.397889993
Leaflitter,0.739024662
Leaflitter,0.748968193
Leaflitter,0.846658063
Leaflitter,0.89770204
Leaflitter,0.77627264
Leaflitter,0.732090061
Leaflitter,0.892343953
Leaflitter,0.955609447
Leaflitter,0.938675931
Leaflitter,0.769833823
Leaflitter,0.801679267
Leaflitter,0.912494732
Leaflitter,0.841330858
Leaflitter,0.541414191
Leaflitter,0.71650655
Leaflitter,0.870647027
Leaflitter,0.672477981
Leaflitter,0.566916573
Leaflitter,0.977973421
Leaflitter,0.899933412
Leaflitter,0.910822293
Leaflitter,0.862286497
Leaflitter,0.808132601
Leaflitter,0.824671001
Leaflitter,0.878514429
Leaflitter,0.847307611
Leaflitter,0.89514629
Leaflitter,0.951543603
Leaflitter,0.858054254
Leaflitter,0.852523958
Leaflitter,0.507871915
Leaflitter,0.972274569
Leaflitter,0.59629122
Leaflitter,0.653102345
Leaflitter,0.594005682
Leaflitter,0.745052103
Leaflitter,0.642244264
Leaflitter,0.569302724
Leaflitter,0.699987719
Leaflitter,0.800339711
Leaflitter,0.900261848
Leaflitter,0.953063576
Leaflitter,0.861756893
Leaflitter,0.929117905
Leaflitter,0.867749792
Leaflitter,0.788735933
Leaflitter,0.756205838
Leaflitter,0.970082978
Leaflitter,0.703955465
Leaflitter,0.765079662
Leaflitter,0.85947288
Leaflitter,0.757452945
Leaflitter,0.796126976
Leaflitter,0.954569516
Leaflitter,0.675284542
Leaflitter,0.270719266
Leaflitter,0.564434558
Leaflitter,0.803477272
Leaflitter,0.814514089
Leaflitter,0.952532628
Leaflitter,0.759208305
Leaflitter,0.585769455
Leaflitter,0.696616524
Leaflitter,0.754900058
Leaflitter,0.899363217
Leaflitter,0.765308124
Leaflitter,0.984117663
Leaflitter,0.839752734
Leaflitter,0.687491417
Leaflitter,0.471938195
Leaflitter,0.752170233
Leaflitter,0.752505063
Leaflitter,0.924785736
Leaflitter,0.883214129
Leaflitter,0.697472898
Leaflitter,0.782928986
Leaflitter,0.905169475
Leaflitter,0.906785377
Leaflitter,0.621438006
Leaflitter,0.643463155
Leaflitter,0.884816685
Leaflitter,0.470375604
Leaflitter,0.959932332
Leaflitter,0.889514964
Leaflitter,0.783229429
Leaflitter,0.913041401
Leaflitter,0.911841605
Leaflitter,0.875725438
Leaflitter,0.958568552
Leaflitter,0.809356676
Leaflitter,0.835208844
Leaflitter,0.606564986
Leaflitter,0.592433749
Leaflitter,0.679037947
Leaflitter,0.091584171
Leaflitter,0.730052626
Leaflitter,0.598413339
Leaflitter,0.810784862
Leaflitter,0.928388124
Leaflitter,0.898247336
Leaflitter,0.935946128
Leaflitter,0.395239053
Leaflitter,0.680484759
Leaflitter,0.886658945
Leaflitter,0.717506663
Leaflitter,0.907521207
Leaflitter,0.780810171
Leaflitter,0.783995231
