source,density
Leaflitter,0.887073537
Leaflitter,0.615794272
Leaflitter,0.810349334
Leaflitter,0.848045642
Leaflitter,0.944284149
Leaflitter,0.842665193
Leaflitter,0.78341428
Leaflitter,0.930086482
Leaflitter,0.930948153
Leaflitter,0.539538685
Leaflitter,0.811598755
Leaflitter,0.770044605
Leaflitter,0.335680397
Leaflitter,0.456150137
Leaflitter,0.40585559
Leaflitter,0.813659351
Leaflitter,0.808351576
Leaflitter,0.816579923
Leaflitter,0.778155176
Leaflitter,0.215199249
Leaflitter,0.663034918
Leaflitter,0.646375975
Leaflitter,0.645085201
Leaflitter,0.744249128
Leaflitter,0.651038765
Leaflitter,0.742609563
Leaflitter,0.824823117
Leaflitter,0.789882594
Leaflitter,0.558720685
Leaflitter,0.762602103
Leaflitter,0.810001905
Leaflitter,0.51131865
Leaflitter,0.813945478
Leaflitter,0.775754251
Leaflitter,0.974980913
Leaflitter,0.818763116
Leaflitter,0.525059327
Leaflitter,0.86731036
Leaflitter,0.861088109
Leaflitter,0.765233404
Leaflitter,0.742183594
Leaflitter,0.66637044
Leaflitter,0.774250295
Leaflitter,0.930081252
Leaflitter,0.965420312
Leaflitter,0.439226205
Leaflitter,0.624495821
Leaflitter,0.820952553
Leaflitter,0.799595518
Leaflitter,0.898203345
Leaflitter,0.752334652
Leaflitter,0.721986451
Leaflitter,0.816323734
Leaflitter,0.890604657
Leaflitter,0.90159867
Leaflitter,0.562791055
Leaflitter,0.434272553
Leaflitter,0.8901025
Leaflitter,0.692699917
Leaflitter,0.647733447
Leaflitter,0.888257708
Leaflitter,0.89322446
Leaflitter,0.840679903
Leaflitter,0.666470926
Leaflitter,0.969160291
Leaflitter,0.710764739
Leaflitter,0.732905045
Leaflitter,0.959622005
Leaflitter,0.819383734
Leaflitter,0.783881375
Leaflitter,0.328668746
Leaflitter,0.552422561
Leaflitter,0.770799999
Leaflitter,0.782968212
Leaflitter,0.76988647
Leaflitter,0.664241976
Leaflitter,0.317000706
Leaflitter,0.908416233
Leaflitter,0.786432487
Leaflitter,0.94483897
Leaflitter,0.824500168
Leaflitter,0.597430545
Leaflitter,0.858478143
Leaflitter,0.966218896
Leaflitter,0.876266758
Leaflitter,0.808787871
Leaflitter,0.922446652
Leaflitter,0.669588861
Leaflitter,0.96490812
Leaflitter,0.742099415
Leaflitter,0.840419668
Leaflitter,0.749698635
Leaflitter,0.569753213
Leaflitter,0.830887423
Leaflitter,0.726005061
Leaflitter,0.901326525
Leaflitter,0.940200005
Leaflitter,0.890723527
Leaflitter,0.978119849
Leaflitter,0.88380499
Leaflitter,0.817477646
Leaflitter,0.741560665
Leaflitter,0.961177778
Leaflitter,0.738356869
Leaflitter,0.622133778
Leaflitter,0.744716801
Leaflitter,0.813943282
Leaflitter,0.547699709
Leaflitter,0.713789299
Leaflitter,0.715801698
Leaflitter,0.849565377
Leaflitter,0.825384621
Leaflitter,0.797469768
Leaflitter,0.747449057
Leaflitter,0.902426805
Leaflitter,0.66930996
Leaflitter,0.753347768
Leaflitter,0.866251397
Leaflitter,0.603331755
Leaflitter,0.831339234
Leaflitter,0.937163118
Leaflitter,0.833344498
Leaflitter,0.746100856
Leaflitter,0.2624182
Leaflitter,0.578610545
Leaflitter,0.881373214
Leaflitter,0.597858002
Leaflitter,0.685444767
Leaflitter,0.712340595
Leaflitter,0.741902198
Leaflitter,0.83772192
Leaflitter,0.717669612
Leaflitter,0.957268277
Leaflitter,0.793881108
Leaflitter,0.930263131
Leaflitter,0.868587749
Leaflitter,0.738599458
Leaflitter,0.73333683
Leaflitter,0.770057739
Leaflitter,0.879098222
Leaflitter,0.550351502
Leaflitter,0.826526823
Leaflitter,0.97076814
Leaflitter,0.643124193
Leaflitter,0.759521172
Leaflitter,0.813398507
Leaflitter,0.865085749
Leaflitter,0.495238725
Leaflitter,0.8396207
Leaflitter,0.807292711
Leaflitter,0.905830481
Leaflitter,0.855730027
Leaflitter,0.858841027
Leaflitter,0.617160639
Leaflitter,0.81970214
Leaflitter,0.759114104
Leaflitter,0.852034178
Leaflitter,0.914322062
Leaflitter,0.901248409
Leaflitter,0.754151734
Leaflitter,0.452333631
Leaflitter,0.872596485
Leaflitter,0.943776127
Leaflitter,0.722328169
Leaflitter,0.857815421
Leaflitter,0.847981026
Leaflitter,0.859989653
Leaflitter,0.952755814
Leaflitter,0.463997717
Leaflitter,0.244757303
Leaflitter,0.587722479
Leaflitter,0.596881677
Leaflitter,0.957250965
Leaflitter,0.946919934
Leaflitter,0.520898049
Leaflitter,0.790339163
Leaflitter,0.880075063
Leaflitter,0.73604956
Leaflitter,0.868593375
Leaflitter,0.831914358
Leaflitter,0.796094591
Leaflitter,0.670947653
Leaflitter,0.985124416
Leaflitter,0.645907374
Leaflitter,0.491155902
Leaflitter,0.804881612
Leaflitter,0.869794192
Leaflitter,0.83101375
Leaflitter,0.959761963
Leaflitter,0.497157789
Leaflitter,0.649519773
Leaflitter,0.863064126
Leaflitter,0.238374051
Leaflitter,0.474428202
Leaflitter,0.906863648
Leaflitter,0.896730859
Leaflitter,0.706378593
Leaflitter,0.902832503
Leaflitter,0.832033353
Leaflitter,0.896177892
Leaflitter,0.772761683
Leaflitter,0.598003678
Leaflitter,0.39758599
Leaflitter,0.805642412
Leaflitter,0.746483864
Leaflitter,0.75469497
Leaflitter,0.935841614
Leaflitter,0.594494228
Leaflitter,0.906492435
Leaflitter,0.837604303
Leaflitter,0.766634843
Leaflitter,0.956087812
Leaflitter,0.723600297
Leaflitter,0.935414038
Leaflitter,0.868131741
Leaflitter,0.493930266
Leaflitter,0.688412603
Leaflitter,0.344120336
Leaflitter,0.346266394
Leaflitter,0.755025994
Leaflitter,0.826280687
Leaflitter,0.912275388
Leaflitter,0.525373649
Leaflitter,0.819517111
Leaflitter,0.676464091
Leaflitter,0.536043108
Leaflitter,0.953641579
Leaflitter,0.919153073
Leaflitter,0.447312274
Leaflitter,0.730552114
Leaflitter,0.420682977
Leaflitter,0.910466951
Leaflitter,0.96134974
Leaflitter,0.747423612
Leaflitter,0.46309179
Leaflitter,0.934786997
Leaflitter,0.735001335
Leaflitter,0.701056469
Leaflitter,0.898589289
Leaflitter,0.656957848
Leaflitter,0.671315769
Leaflitter,0.827271876
Leaflitter,0.560045239
Leaflitter,0.770608819
Leaflitter,0.884200539
Leaflitter,0.902249023
Leaflitter,0.553978361
Leaflitter,0.889419884
Leaflitter,0.884532029
Leaflitter,0.887069567
Leaflitter,0.768748876
Leaflitter,0.748424677
Leaflitter,0.903540846
Leaflitter,0.751487837
Leaflitter,0.93524788
Leaflitter,0.766008944
Leaflitter,0.90837064
Leaflitter,0.604511727
Leaflitter,0.293290591
Leaflitter,0.340872179
Leaflitter,0.612356108
Leaflitter,0.518442518
Leaflitter,0.832420768
Leaflitter,0.814671848
Leaflitter,0.724659076
Leaflitter,0.819326504
