source,density
Leaflitter,0.630769126
Leaflitter,0.411963365
Leaflitter,0.769759432
Leaflitter,0.848769261
Leaflitter,0.558860787
Leaflitter,0.550283325
Leaflitter,0.831136898
Leaflitter,0.826696361
Leaflitter,0.856461137
Leaflitter,0.545704613
Leaflitter,0.882393524
Leaflitter,0.772116351
Leaflitter,0.766076438
Leaflitter,0.881264102
Leaflitter,0.843829064
Leaflitter,0.703981934
Leaflitter,0.488328949
Leaflitter,0.427669986
Leaflitter,0.839067268
Leaflitter,0.12016698
Leaflitter,0.746852712
Leaflitter,0.760251419
Leaflitter,0.899825385
Leaflitter,0.601084941
Leaflitter,0.781105264
Leaflitter,0.649707218
Leaflitter,0.865555454
Leaflitter,0.735774037
Leaflitter,0.631372244
Leaflitter,0.672369793
Leaflitter,0.825279725
Leaflitter,0.543276241
Leaflitter,0.824517926
Leaflitter,0.584696541
Leaflitter,0.54241047
Leaflitter,0.792630138
Leaflitter,0.747895617
Leaflitter,0.679363312
Leaflitter,0.863771004
Leaflitter,0.367491155
Leaflitter,0.749319803
Leaflitter,0.578669808
Leaflitter,0.894703818
Leaflitter,0.568684564
Leaflitter,0.773740899
Leaflitter,0.589506947
Leaflitter,0.191760447
Leaflitter,0.7177639
Leaflitter,0.81836969
Leaflitter,0.583203174
Leaflitter,0.931552247
Leaflitter,0.706160334
Leaflitter,0.652765283
Leaflitter,0.726930704
Leaflitter,0.864475969
Leaflitter,0.765712188
Leaflitter,0.820355543
Leaflitter,0.68418887
Leaflitter,0.674389035
Leaflitter,0.656966947
Leaflitter,0.560150474
Leaflitter,0.876671593
Leaflitter,0.487086623
Leaflitter,0.603735612
Leaflitter,0.840696286
Leaflitter,0.234114047
Leaflitter,0.586527421
Leaflitter,0.417902233
Leaflitter,0.679921841
Leaflitter,0.445544626
Leaflitter,0.980896086
Leaflitter,0.696959589
Leaflitter,0.638361996
Leaflitter,0.827912907
Leaflitter,0.220196784
Leaflitter,0.729967576
Leaflitter,0.566017664
Leaflitter,0.890679785
Leaflitter,0.773978047
Leaflitter,0.75737752
Leaflitter,0.533232332
Leaflitter,0.646918763
Leaflitter,0.922647582
Leaflitter,0.633573864
Leaflitter,0.742572648
Leaflitter,0.74891429
Leaflitter,0.319160963
Leaflitter,0.905917616
Leaflitter,0.420926845
Leaflitter,0.487152695
Leaflitter,0.630218439
Leaflitter,0.669106343
Leaflitter,0.858472391
Leaflitter,0.743385861
Leaflitter,0.579801674
Leaflitter,0.668657266
Leaflitter,0.494541742
Leaflitter,0.325304271
Leaflitter,0.180395037
Leaflitter,0.82343212
Leaflitter,0.700720914
Leaflitter,0.620935681
Leaflitter,0.88762676
Leaflitter,0.297172601
Leaflitter,0.941104272
Leaflitter,0.782311132
Leaflitter,0.560116869
Leaflitter,0.895371108
Leaflitter,0.728211019
Leaflitter,0.616881757
Leaflitter,0.821271505
Leaflitter,0.913683543
Leaflitter,0.975606284
Leaflitter,0.860761366
Leaflitter,0.72170393
Leaflitter,0.786586809
