source,density
Leaflitter,0.309511221
Leaflitter,0.414782017
Leaflitter,0.732026435
Leaflitter,0.02120266
Leaflitter,0.624379547
Leaflitter,0.590647125
Leaflitter,0.080321304
Leaflitter,0.369341791
Leaflitter,0.864632808
Leaflitter,0.481795893
Leaflitter,0.311347806
Leaflitter,0.395046718
Leaflitter,0.107931599
Leaflitter,0.057729278
Leaflitter,0.013584858
Leaflitter,0.85470254
Leaflitter,0.018761809
Leaflitter,0.30380866
Leaflitter,0.803789275
Leaflitter,0.6090743
Leaflitter,0.01710264
Leaflitter,0.928654606
Leaflitter,0.571936741
Leaflitter,0.061803395
Leaflitter,0.515552606
Leaflitter,0.836698379
Leaflitter,0.648305875
Leaflitter,0.076869848
Leaflitter,0.709258164
Leaflitter,0.497876824
Leaflitter,0.003536207
Leaflitter,0.853832689
Leaflitter,0.91924643
Leaflitter,0.42354698
Leaflitter,0.025985656
Leaflitter,0.090190186
Leaflitter,0.097278809
Leaflitter,0.043785906
Leaflitter,0.886823549
Leaflitter,0.359837091
Leaflitter,0.524244542
Leaflitter,0.499129048
Leaflitter,0.283519987
Leaflitter,0.049074046
Leaflitter,0.209258511
Leaflitter,0.173037776
Leaflitter,0.325041131
Leaflitter,0.277089205
Leaflitter,0.085000663
Leaflitter,0.618580365
Leaflitter,0.522043017
Leaflitter,0.255100401
Leaflitter,0.292078095
Leaflitter,0.608729821
Leaflitter,0.534190914
Leaflitter,0.862655553
Leaflitter,0.34482798
Leaflitter,0.262502389
Leaflitter,0.314285999
Leaflitter,0.303388207
Leaflitter,0.088509081
Leaflitter,0.520494341
Leaflitter,0.621853315
Leaflitter,0.654211216
Leaflitter,0.380826248
Leaflitter,0.537353243
Leaflitter,0.509535335
Leaflitter,0.631292823
Leaflitter,0.549894786
Leaflitter,0.143056776
Leaflitter,0.628394978
Leaflitter,0.681326849
Leaflitter,0.085557827
Leaflitter,0.667870261
Leaflitter,0.24320418
Leaflitter,0.305970835
Leaflitter,0.217985547
Leaflitter,0.960531035
Leaflitter,0.598853917
Leaflitter,0.528783494
Leaflitter,0.503293226
Leaflitter,0.080811403
Leaflitter,0.189699693
Leaflitter,0.586893501
Leaflitter,0.538910228
Leaflitter,0.105464827
Leaflitter,0.47208154
Leaflitter,0.028298589
Leaflitter,0.231548995
Leaflitter,0.506684326
Leaflitter,0.110943129
Leaflitter,0.317959377
Leaflitter,0.643650674
Leaflitter,0.2949874
Leaflitter,0.509987275
Leaflitter,0.122153919
Leaflitter,0.045830623
Leaflitter,0.80229413
Leaflitter,0.314530261
Leaflitter,0.483539046
Leaflitter,0.071689618
Leaflitter,0.528772826
Leaflitter,0.733221076
Leaflitter,0.342044462
Leaflitter,0.316425554
Leaflitter,0.526784959
Leaflitter,0.029058127
Leaflitter,0.079201125
Leaflitter,0.027951114
Leaflitter,0.860829676
Leaflitter,0.663134862
Leaflitter,0.482599749
Leaflitter,0.655054229
Leaflitter,0.309789371
Leaflitter,0.662487221
Leaflitter,0.321104272
Leaflitter,0.873182048
Leaflitter,0.37492477
Leaflitter,0.10739845
Leaflitter,0.559298356
Leaflitter,0.185954955
Leaflitter,0.562534957
Leaflitter,0.079944341
Leaflitter,0.535186491
Leaflitter,0.818012271
Leaflitter,0.798466082
Leaflitter,0.733292187
Leaflitter,0.480813125
Leaflitter,0.527815488
Leaflitter,0.286649424
Leaflitter,0.250004674
Leaflitter,0.169083549
Leaflitter,0.18500596
Leaflitter,0.253920226
Leaflitter,0.494550385
Leaflitter,0.666147706
Leaflitter,0.61993793
Leaflitter,0.370590418
Leaflitter,0.279685603
Leaflitter,0.599176276
Leaflitter,0.239201758
Leaflitter,0.549772463
Leaflitter,0.288044845
Leaflitter,0.062652071
Leaflitter,0.760774897
Leaflitter,0.459218844
Leaflitter,0.180690544
Leaflitter,0.267385234
Leaflitter,0.565411035
Leaflitter,0.842617612
Leaflitter,0.415956661
Leaflitter,0.553215441
Leaflitter,0.294514536
Leaflitter,0.400658938
Leaflitter,0.360411649
Leaflitter,0.23818576
Leaflitter,0.103009649
Leaflitter,0.01034546
Leaflitter,0.381249174
Leaflitter,0.522238718
Leaflitter,0.80619199
Leaflitter,0.099743669
Leaflitter,0.391454452
Leaflitter,0.004505217
Leaflitter,0.589712629
Leaflitter,0.226064885
Leaflitter,0.884518474
Leaflitter,0.953698727
Leaflitter,0.185631615
Leaflitter,0.488495302
Leaflitter,0.216401095
Leaflitter,0.295813428
Leaflitter,0.302510218
Leaflitter,0.222499169
Leaflitter,0.920708998
Leaflitter,0.110702982
Leaflitter,0.315432076
Leaflitter,0.741505676
Leaflitter,0.276810517
Leaflitter,0.453700311
Leaflitter,0.827227038
Leaflitter,0.692271812
Leaflitter,0.011780298
Leaflitter,0.537056448
Leaflitter,0.006195901
Leaflitter,0.655001084
Leaflitter,0.586753677
Leaflitter,0.722400478
Leaflitter,0.595930965
Leaflitter,0.552421051
Leaflitter,0.678526569
Leaflitter,0.610970312
Leaflitter,0.69961107
Leaflitter,0.000898088
Leaflitter,0.649186732
Leaflitter,0.825368842
Leaflitter,0.688075687
Leaflitter,0.595189055
Leaflitter,0.500297338
Leaflitter,0.408703583
Leaflitter,0.00458514
Leaflitter,0.705047626
Leaflitter,0.141749823
Leaflitter,0.408457608
Leaflitter,0.43062925
Leaflitter,0.32064556
Leaflitter,0.549538484
Leaflitter,0.727176694
Leaflitter,0.571585263
Leaflitter,0.60126285
Leaflitter,0.096142943
Leaflitter,0.637320797
Leaflitter,0.458758998
Leaflitter,0.993441945
Leaflitter,0.320298223
Leaflitter,0.153656038
Leaflitter,0.188636147
Leaflitter,0.151565694
Leaflitter,0.023033725
Leaflitter,0.093555393
Leaflitter,0.653931059
Leaflitter,0.003423574
Leaflitter,0.150335606
Leaflitter,0.064986959
Leaflitter,0.543428249
Leaflitter,0.902459102
Leaflitter,0.268220995
Leaflitter,0.105095105
Leaflitter,0.181323568
Leaflitter,0.173717028
Leaflitter,0.100638121
Leaflitter,0.571227303
Leaflitter,0.601572473
Leaflitter,0.807678385
Leaflitter,0.034880671
Leaflitter,0.586987739
Leaflitter,0.705616973
Leaflitter,0.67930807
Leaflitter,0.67546719
Leaflitter,0.594769222
Leaflitter,0.439013496
Leaflitter,0.285038227
Leaflitter,0.713486922
Leaflitter,0.311973436
Leaflitter,0.218946059
Leaflitter,0.649147036
Leaflitter,0.099867158
Leaflitter,0.016593698
Leaflitter,0.594829929
Leaflitter,0.637382638
Leaflitter,0.314248778
Leaflitter,0.005705294
Leaflitter,0.550528854
Leaflitter,0.623711462
Leaflitter,0.416177874
Leaflitter,0.104940668
Leaflitter,0.808763598
Leaflitter,0.424319898
Leaflitter,0.490336423
Leaflitter,0.291535123
Leaflitter,0.781075035
Leaflitter,0.47558092
Leaflitter,0.67094119
Leaflitter,0.351417503
Leaflitter,0.198559136
Leaflitter,0.672517885
Leaflitter,0.59263775
Leaflitter,0.532262452
Leaflitter,0.448340652
Leaflitter,0.323163191
Leaflitter,0.031605306
Leaflitter,0.215060251
Leaflitter,0.62357114
Leaflitter,0.489557529
Leaflitter,0.420849304
Leaflitter,0.401547525
Leaflitter,0.568366326
Leaflitter,0.940895815
Leaflitter,0.033041894
Leaflitter,0.480079837
Leaflitter,0.103263331
Leaflitter,0.646434119
Leaflitter,0.604048678
Leaflitter,0.099216899
Leaflitter,0.006821279
Leaflitter,0.711146052
Leaflitter,0.421059956
Leaflitter,0.657351048
Leaflitter,0.25197099
Leaflitter,0.344562336
Leaflitter,0.441773443
Leaflitter,0.593921897
Leaflitter,0.756339846
Leaflitter,0.090649218
Leaflitter,0.68972867
Leaflitter,0.702064104
Leaflitter,0.539567954
Leaflitter,0.214189163
Leaflitter,0.267759776
Leaflitter,0.350769789
Leaflitter,0.87680619
Leaflitter,0.737793881
Leaflitter,0.446603897
Leaflitter,0.711215348
Leaflitter,0.082372715
Leaflitter,0.127765175
Leaflitter,0.011348193
Leaflitter,0.792616054
Leaflitter,0.005935992
Leaflitter,0.425048414
Leaflitter,0.699301306
Leaflitter,0.801947671
Leaflitter,0.245527865
Leaflitter,0.527818204
Leaflitter,0.632632301
Leaflitter,0.091587267
Leaflitter,0.125507018
Leaflitter,0.253757378
Leaflitter,0.700959752
Leaflitter,0.517455704
Leaflitter,0.729638133
Leaflitter,0.945538161
Leaflitter,0.091209687
Leaflitter,0.099952906
Leaflitter,0.729060647
Leaflitter,0.504493804
Leaflitter,0.566487769
Leaflitter,0.5386754
Leaflitter,0.563473128
Leaflitter,0.684045087
Leaflitter,0.124864347
Leaflitter,0.142661034
Leaflitter,0.080678889
Leaflitter,0.899908634
Leaflitter,0.5502666
Leaflitter,0.031632486
Leaflitter,0.331082807
Leaflitter,0.010357281
Leaflitter,0.823980218
Leaflitter,0.119326852
Leaflitter,0.368012014
Leaflitter,0.337831638
Leaflitter,0.593954092
Leaflitter,0.079126873
Leaflitter,0.552242629
Leaflitter,0.169876915
Leaflitter,0.725409754
Leaflitter,0.515815959
Leaflitter,0.571396234
Leaflitter,0.486738157
Leaflitter,0.822481059
Leaflitter,0.202268211
Leaflitter,0.774985808
Leaflitter,0.321099694
Leaflitter,0.696165134
Leaflitter,0.675320518
Leaflitter,0.409921163
Leaflitter,0.926643477
Leaflitter,0.645287737
Leaflitter,0.098491539
Leaflitter,0.598524024
Leaflitter,0.728173427
Leaflitter,0.285557975
Leaflitter,0.125320932
Leaflitter,0.629598867
Leaflitter,0.462949467
Leaflitter,0.823164691
Leaflitter,0.177542469
Leaflitter,0.745034719
Leaflitter,0.358262493
Leaflitter,0.02872277
Leaflitter,0.925604261
Leaflitter,0.694425558
Leaflitter,0.50139883
Leaflitter,0.24602895
Leaflitter,0.183750324
Leaflitter,0.482707293
Leaflitter,0.363448482
Leaflitter,0.614398706
Leaflitter,0.747288436
Leaflitter,0.853960392
Leaflitter,0.431505841
Leaflitter,0.788298121
Leaflitter,0.825803485
Leaflitter,0.901144003
Leaflitter,0.158946867
Leaflitter,0.668577086
Leaflitter,0.334474038
Leaflitter,0.01997882
Leaflitter,0.328878922
Leaflitter,0.067596523
Leaflitter,0.099931708
Leaflitter,0.168151027
Leaflitter,0.60915307
Leaflitter,0.231936036
Leaflitter,0.034974773
Leaflitter,0.379203262
Leaflitter,0.120559478
Leaflitter,0.505842606
Leaflitter,0.421719076
Leaflitter,0.447555543
Leaflitter,0.483465234
Leaflitter,0.11071866
Leaflitter,0.208544531
Leaflitter,0.623762384
Leaflitter,0.261911803
Leaflitter,0.876875129
Leaflitter,0.150608175
Leaflitter,0.235831536
Leaflitter,0.59213409
Leaflitter,0.955731693
Leaflitter,0.946507104
Leaflitter,0.849811315
Leaflitter,0.564078881
Leaflitter,0.375744068
Leaflitter,0.226933314
Leaflitter,0.406561329
Leaflitter,0.320108763
Leaflitter,0.888897448
Leaflitter,0.159730231
Leaflitter,0.591516025
Leaflitter,0.612350734
Leaflitter,0.099673347
Leaflitter,0.549286025
Leaflitter,0.13049713
Leaflitter,0.213708411
Leaflitter,0.027600938
Leaflitter,0.246099547
Leaflitter,0.139310815
Leaflitter,0.513494796
Leaflitter,0.386677503
Leaflitter,0.072422097
Leaflitter,0.727376427
Leaflitter,0.692548241
Leaflitter,0.73394957
Leaflitter,0.036853003
Leaflitter,0.089089532
Leaflitter,0.11339997
Leaflitter,0.473471373
Leaflitter,0.383571067
Leaflitter,0.362793199
Leaflitter,0.842296382
Leaflitter,0.519150404
Leaflitter,0.023641377
Leaflitter,0.262070471
Leaflitter,0.049479997
Leaflitter,0.677981547
Leaflitter,0.159569751
Leaflitter,0.668061505
Leaflitter,0.706429972
Leaflitter,0.729506438
Leaflitter,0.543952852
Leaflitter,0.032814887
Leaflitter,0.463670705
Leaflitter,0.425127734
Leaflitter,0.041822168
Leaflitter,0.52865437
Leaflitter,0.517662326
Leaflitter,0.079154446
Leaflitter,0.040998103
Leaflitter,0.748196319
Leaflitter,0.602515474
Leaflitter,0.223510864
Leaflitter,0.174992545
Leaflitter,0.186476589
Leaflitter,0.239439688
Leaflitter,0.808376429
Leaflitter,0.576651916
Leaflitter,0.126478244
Leaflitter,0.337371069
Leaflitter,0.358322755
Leaflitter,0.205860173
Leaflitter,0.914622409
Leaflitter,0.705613683
Leaflitter,0.380615625
Leaflitter,0.324506067
Leaflitter,0.344539803
Leaflitter,0.549429622
Leaflitter,0.376774205
Leaflitter,0.004001892
Leaflitter,0.306990245
Leaflitter,0.169465615
Leaflitter,0.937389726
Leaflitter,0.53760522
Leaflitter,0.703703699
Leaflitter,0.881280484
Leaflitter,0.714784164
Leaflitter,0.083329863
Leaflitter,0.428433114
Leaflitter,0.249497318
Leaflitter,0.05610048
Leaflitter,0.805701443
Leaflitter,0.254358359
Leaflitter,0.304461595
Leaflitter,0.02296191
Leaflitter,0.15745185
Leaflitter,0.045451996
Leaflitter,0.481384529
Leaflitter,0.012073992
Leaflitter,0.699700499
Leaflitter,0.464507318
Leaflitter,0.308647464
Leaflitter,0.634412408
Leaflitter,0.773334607
Leaflitter,0.016020419
Leaflitter,0.273714638
Leaflitter,0.381361556
Leaflitter,0.105689956
Leaflitter,0.461734798
Leaflitter,0.165682892
Leaflitter,0.910814798
Leaflitter,0.366282727
Leaflitter,0.614982142
Leaflitter,0.461216004
Leaflitter,0.376658607
Leaflitter,0.477062847
Leaflitter,0.088914678
Leaflitter,0.919228575
Leaflitter,0.098560935
Leaflitter,0.117488817
Leaflitter,0.096421513
Leaflitter,0.535685664
Leaflitter,0.166164234
Leaflitter,0.603091341
Leaflitter,0.563546998
Leaflitter,0.070367345
Leaflitter,0.135066848
Leaflitter,0.17651014
Leaflitter,0.53124474
Leaflitter,0.47764478
Leaflitter,0.927731164
Leaflitter,0.394134782
Leaflitter,0.587177407
Leaflitter,0.475350535
Leaflitter,0.340093906
Leaflitter,0.529262095
Leaflitter,0.012090575
Leaflitter,0.551089367
Leaflitter,0.275328477
Leaflitter,0.271756716
Leaflitter,0.561308817
Leaflitter,0.648998762
Leaflitter,0.52418938
Leaflitter,0.200719159
Leaflitter,0.053366194
Leaflitter,0.568360689
Leaflitter,0.571931871
Leaflitter,0.237377418
Leaflitter,0.769026455
Leaflitter,0.877170794
Leaflitter,0.10679826
Leaflitter,0.0391393
Leaflitter,0.815893838
Leaflitter,0.366658075
Leaflitter,0.553329766
Leaflitter,0.343586242
Leaflitter,0.716876788
Leaflitter,0.503605445
Leaflitter,0.48256783
Leaflitter,0.551604775
Leaflitter,0.709581097
Leaflitter,0.197573898
Leaflitter,0.220920761
Leaflitter,0.83404031
Leaflitter,0.483247572
Leaflitter,0.453325217
Leaflitter,0.190874817
Leaflitter,0.150946395
Leaflitter,0.112254026
Leaflitter,0.500776055
Leaflitter,0.888304347
Leaflitter,0.013798219
Leaflitter,0.202244917
Leaflitter,0.23549889
Leaflitter,0.233263249
Leaflitter,0.339087168
Leaflitter,0.541969232
Leaflitter,0.593113818
Leaflitter,0.21593926
Leaflitter,0.616441912
Leaflitter,0.538917586
Leaflitter,0.070503416
Leaflitter,0.281475101
Leaflitter,0.279086268
Leaflitter,0.818779207
Leaflitter,0.026837973
Leaflitter,0.158641464
Leaflitter,0.169121044
Leaflitter,0.255080724
Leaflitter,0.155309166
Leaflitter,0.006986444
Leaflitter,0.927466286
