source,density
Leaflitter,0.684315689
Leaflitter,0.388977218
Leaflitter,0.113219464
Leaflitter,0.023620347
Leaflitter,0.630645694
Leaflitter,0.580484412
Leaflitter,0.53625922
Leaflitter,0.495117788
Leaflitter,0.835503468
Leaflitter,0.709001669
Leaflitter,0.496982106
Leaflitter,0.011793844
Leaflitter,0.019468996
Leaflitter,0.503264769
Leaflitter,0.095948713
Leaflitter,0.79231271
Leaflitter,0.282857908
Leaflitter,0.553358449
Leaflitter,0.04711782
Leaflitter,0.282649495
Leaflitter,0.483687686
Leaflitter,0.344845293
Leaflitter,0.632717672
Leaflitter,0.371073953
Leaflitter,0.222179251
Leaflitter,0.491471108
Leaflitter,0.485357232
Leaflitter,0.445751357
Leaflitter,0.369133391
Leaflitter,0.122474573
Leaflitter,0.054389159
Leaflitter,0.31967757
Leaflitter,0.031132014
Leaflitter,0.317427326
Leaflitter,0.045914321
Leaflitter,0.031339722
Leaflitter,0.289605247
Leaflitter,0.871822291
Leaflitter,0.273681924
Leaflitter,0.051117178
Leaflitter,0.039628434
Leaflitter,0.302656506
Leaflitter,0.42068414
Leaflitter,0.044429451
Leaflitter,0.772925836
Leaflitter,0.265577192
Leaflitter,0.719636821
Leaflitter,0.427674578
Leaflitter,0.634121087
Leaflitter,0.096933992
Leaflitter,0.254467233
Leaflitter,0.285449785
Leaflitter,0.252766748
Leaflitter,0.31445838
Leaflitter,0.02408325
Leaflitter,0.679535263
Leaflitter,0.363062512
Leaflitter,0.04982517
Leaflitter,0.124335804
Leaflitter,0.463570832
Leaflitter,0.409223881
Leaflitter,0.402509398
Leaflitter,0.627225587
Leaflitter,0.091219461
Leaflitter,0.776918535
Leaflitter,0.64640184
Leaflitter,0.624177287
Leaflitter,0.782105352
Leaflitter,0.384709378
Leaflitter,0.569039619
Leaflitter,0.15955583
Leaflitter,0.264248009
Leaflitter,0.733697262
Leaflitter,0.333657311
Leaflitter,0.695484397
Leaflitter,0.381352386
Leaflitter,0.641950469
Leaflitter,0.793235885
Leaflitter,0.340837637
Leaflitter,0.597643006
Leaflitter,0.025466615
Leaflitter,0.10254107
Leaflitter,0.318090544
Leaflitter,0.100969367
Leaflitter,0.267966566
Leaflitter,0.087964466
Leaflitter,0.031452942
Leaflitter,0.314682844
Leaflitter,0.124242314
Leaflitter,0.847181552
Leaflitter,0.772546058
Leaflitter,0.144740104
Leaflitter,0.101082976
Leaflitter,0.235005714
Leaflitter,0.607395868
Leaflitter,0.540484575
Leaflitter,0.72332969
Leaflitter,0.806839529
Leaflitter,0.268271792
Leaflitter,0.461364749
Leaflitter,0.158632408
Leaflitter,0.231194867
Leaflitter,0.251861858
Leaflitter,0.698805134
Leaflitter,0.918961471
Leaflitter,0.196183385
Leaflitter,0.060530832
Leaflitter,0.098268484
Leaflitter,0.266101397
Leaflitter,0.712217704
Leaflitter,0.141984327
Leaflitter,0.011637346
Leaflitter,0.595654065
Leaflitter,0.738712353
Leaflitter,0.626932999
Leaflitter,0.327414917
Leaflitter,0.694026223
Leaflitter,0.245583027
Leaflitter,0.243365775
Leaflitter,0.146848195
Leaflitter,0.486706794
Leaflitter,0.314820229
Leaflitter,0.075024133
Leaflitter,0.271673693
