source,density
Leaflitter,0.750529192
Leaflitter,0.845027413
Leaflitter,0.442215883
Leaflitter,0.413918832
Leaflitter,0.783261233
Leaflitter,0.040890476
Leaflitter,0.493744736
Leaflitter,0.764105438
Leaflitter,0.844321308
Leaflitter,0.571475558
Leaflitter,0.811078188
Leaflitter,0.933317873
Leaflitter,0.834504972
Leaflitter,0.754773651
Leaflitter,0.660791
Leaflitter,0.861244052
Leaflitter,0.358425892
Leaflitter,0.660389673
Leaflitter,0.798813961
Leaflitter,0.558692673
Leaflitter,0.49207095
Leaflitter,0.91468801
Leaflitter,0.751540933
Leaflitter,0.729337335
Leaflitter,0.922615321
Leaflitter,0.903151485
Leaflitter,0.670698929
Leaflitter,0.567642374
Leaflitter,0.86875351
Leaflitter,0.943739744
Leaflitter,0.6190082
Leaflitter,0.584420996
Leaflitter,0.183977525
Leaflitter,0.791835171
Leaflitter,0.864865793
Leaflitter,0.863108612
Leaflitter,0.687978074
Leaflitter,0.862357232
Leaflitter,0.742928279
Leaflitter,0.759980391
Leaflitter,0.843113894
Leaflitter,0.738281405
Leaflitter,0.773518856
Leaflitter,0.914565072
Leaflitter,0.848824166
Leaflitter,0.742828284
Leaflitter,0.745463064
Leaflitter,0.828413129
Leaflitter,0.940919228
Leaflitter,0.796546392
Leaflitter,0.531970874
Leaflitter,0.732533896
Leaflitter,0.947080583
Leaflitter,0.792331629
Leaflitter,0.617554554
Leaflitter,0.839321869
Leaflitter,0.928093309
Leaflitter,0.635166555
Leaflitter,0.711603374
Leaflitter,0.701619598
Leaflitter,0.530012101
Leaflitter,0.889321953
Leaflitter,0.889703374
Leaflitter,0.895066343
Leaflitter,0.261549533
Leaflitter,0.852557879
Leaflitter,0.592944125
Leaflitter,0.496974799
Leaflitter,0.466156974
Leaflitter,0.788223277
Leaflitter,0.64065592
Leaflitter,0.833576762
Leaflitter,0.926878792
Leaflitter,0.932813356
Leaflitter,0.781121375
Leaflitter,0.864555592
Leaflitter,0.269911485
Leaflitter,0.130707733
Leaflitter,0.803167084
Leaflitter,0.826312116
Leaflitter,0.898198029
Leaflitter,0.902513205
Leaflitter,0.430737072
Leaflitter,0.740197817
Leaflitter,0.971052239
Leaflitter,0.896470937
Leaflitter,0.259828352
Leaflitter,0.723704385
Leaflitter,0.786084901
Leaflitter,0.048806898
Leaflitter,0.91404503
Leaflitter,0.520826172
Leaflitter,0.628044822
Leaflitter,0.742569153
Leaflitter,0.837421868
Leaflitter,0.935314768
Leaflitter,0.883088978
Leaflitter,0.783627316
Leaflitter,0.327164598
Leaflitter,0.553152456
Leaflitter,0.32697534
Leaflitter,0.627259595
Leaflitter,0.122613866
Leaflitter,0.815744238
Leaflitter,0.777579385
Leaflitter,0.658359768
Leaflitter,0.904362514
Leaflitter,0.686780649
Leaflitter,0.854215174
Leaflitter,0.869462737
Leaflitter,0.841816511
Leaflitter,0.831949066
Leaflitter,0.77798986
Leaflitter,0.69794515
Leaflitter,0.718122385
Leaflitter,0.904096471
Leaflitter,0.951847699
Leaflitter,0.813285765
Leaflitter,0.718519743
Leaflitter,0.47864243
Leaflitter,0.622231362
Leaflitter,0.864953455
Leaflitter,0.788036713
Leaflitter,0.664099476
Leaflitter,0.889752443
Leaflitter,0.638682153
Leaflitter,0.07853143
Leaflitter,0.62103842
Leaflitter,0.122849306
Leaflitter,0.918188903
Leaflitter,0.6748586
Leaflitter,0.205177221
Leaflitter,0.93931283
Leaflitter,0.758611444
Leaflitter,0.819119786
Leaflitter,0.003129455
Leaflitter,0.825130701
Leaflitter,0.887234915
Leaflitter,0.693815088
Leaflitter,0.808838527
Leaflitter,0.882053908
Leaflitter,0.859787463
Leaflitter,0.943712462
Leaflitter,0.777548427
Leaflitter,0.950628391
Leaflitter,0.353606486
Leaflitter,0.897431566
Leaflitter,0.68520789
Leaflitter,0.738375322
Leaflitter,0.754347645
Leaflitter,0.735543758
Leaflitter,0.866049984
Leaflitter,0.791724784
Leaflitter,0.549566512
Leaflitter,0.719735554
Leaflitter,0.941948955
Leaflitter,0.75719878
Leaflitter,0.825978481
Leaflitter,0.758873462
Leaflitter,0.159805788
Leaflitter,0.639835663
Leaflitter,0.86440185
Leaflitter,0.854209067
Leaflitter,0.413460968
Leaflitter,0.978402565
Leaflitter,0.971864753
Leaflitter,0.252042624
Leaflitter,0.946880611
Leaflitter,0.769451717
Leaflitter,0.756401837
Leaflitter,0.3853921
Leaflitter,0.817319504
Leaflitter,0.349218093
Leaflitter,0.817835066
Leaflitter,0.860350085
Leaflitter,0.906588964
