source,density
Leaflitter,0.299142344
Leaflitter,0.472211819
Leaflitter,0.381693537
Leaflitter,0.020570243
Leaflitter,0.184505288
Leaflitter,0.839915905
Leaflitter,0.872700552
Leaflitter,0.824637366
Leaflitter,0.628215687
Leaflitter,0.438656251
Leaflitter,0.054469334
Leaflitter,0.176029506
Leaflitter,0.232681271
Leaflitter,0.120645337
Leaflitter,0.778867756
Leaflitter,0.033266977
Leaflitter,0.034758666
Leaflitter,0.480119087
Leaflitter,0.311447847
Leaflitter,0.833474501
Leaflitter,0.33168596
Leaflitter,0.075305268
Leaflitter,0.014891222
Leaflitter,0.031373157
Leaflitter,0.359417196
Leaflitter,0.622531371
Leaflitter,0.492301504
Leaflitter,0.465247381
Leaflitter,0.403181307
Leaflitter,0.577067555
Leaflitter,0.043234224
Leaflitter,0.516985083
Leaflitter,0.692478246
Leaflitter,0.575349349
Leaflitter,0.44779652
Leaflitter,0.384303646
Leaflitter,0.407634676
Leaflitter,0.25063176
Leaflitter,0.376096213
Leaflitter,0.212699896
Leaflitter,0.496167227
Leaflitter,0.211931258
Leaflitter,0.514087503
Leaflitter,0.13275507
Leaflitter,0.553311033
Leaflitter,0.003200027
Leaflitter,0.873094176
Leaflitter,0.68306386
Leaflitter,0.001106147
Leaflitter,0.144340648
Leaflitter,0.019899989
Leaflitter,0.045936357
Leaflitter,0.114186197
Leaflitter,0.170027354
Leaflitter,0.22188888
Leaflitter,0.218829344
Leaflitter,0.296893074
Leaflitter,0.72996343
Leaflitter,0.363282653
Leaflitter,0.544033557
Leaflitter,0.014584564
Leaflitter,0.55970416
Leaflitter,0.780166067
Leaflitter,0.742465204
Leaflitter,0.528416312
Leaflitter,0.657207075
Leaflitter,0.066047498
Leaflitter,0.830037314
Leaflitter,0.104776829
Leaflitter,0.392144363
Leaflitter,0.29364732
Leaflitter,0.056819666
Leaflitter,0.851742013
Leaflitter,0.632755741
Leaflitter,0.304297455
Leaflitter,0.440971279
Leaflitter,0.7036207
Leaflitter,0.064148503
Leaflitter,0.181520788
Leaflitter,0.266966846
Leaflitter,0.669976347
Leaflitter,0.096812839
Leaflitter,0.030214461
Leaflitter,0.924895314
Leaflitter,0.268628817
Leaflitter,0.726914917
Leaflitter,0.037100238
Leaflitter,0.595836963
Leaflitter,0.338329289
Leaflitter,0.453638144
Leaflitter,0.153879204
Leaflitter,0.139839674
Leaflitter,0.269232939
Leaflitter,0.518493861
Leaflitter,0.173065199
Leaflitter,0.517796317
Leaflitter,0.185160162
