source,density
Leaflitter,0.468261141
Leaflitter,0.584215811
Leaflitter,0.538194505
Leaflitter,0.303557253
Leaflitter,0.148508931
Leaflitter,0.222372123
Leaflitter,0.10347734
Leaflitter,0.537325231
Leaflitter,0.607891641
Leaflitter,0.365907061
Leaflitter,0.617792233
Leaflitter,0.421799406
Leaflitter,0.632623004
Leaflitter,0.178523013
Leaflitter,0.253276184
Leaflitter,0.047963791
Leaflitter,0.00904958
Leaflitter,0.012812407
Leaflitter,0.63941922
Leaflitter,0.591986365
Leaflitter,0.829509527
Leaflitter,0.262712381
Leaflitter,0.138549198
Leaflitter,0.023510866
Leaflitter,0.237951999
Leaflitter,0.137455725
Leaflitter,0.292750748
Leaflitter,0.415815951
Leaflitter,0.515619996
Leaflitter,0.614302658
Leaflitter,0.724253878
Leaflitter,0.502546982
Leaflitter,0.379405258
Leaflitter,0.283228812
Leaflitter,1.08E-05
Leaflitter,0.884948892
Leaflitter,0.735208578
Leaflitter,0.271613485
Leaflitter,0.033883497
Leaflitter,0.083760908
Leaflitter,0.316452102
Leaflitter,0.154686181
Leaflitter,0.209573986
Leaflitter,0.626966253
Leaflitter,0.659627748
Leaflitter,0.064668052
Leaflitter,0.432260094
Leaflitter,0.631471881
Leaflitter,0.559376099
Leaflitter,0.188076932
Leaflitter,0.784211476
Leaflitter,0.465229466
Leaflitter,0.552619186
Leaflitter,0.132202947
Leaflitter,0.240665555
Leaflitter,0.406934824
Leaflitter,0.459686404
Leaflitter,0.094427602
Leaflitter,0.026887848
Leaflitter,0.138433896
Leaflitter,0.421927179
Leaflitter,0.366621134
Leaflitter,0.327687368
Leaflitter,0.215979432
Leaflitter,0.062518316
Leaflitter,0.164197613
Leaflitter,0.413072872
Leaflitter,0.101033921
Leaflitter,0.49254409
Leaflitter,0.058739034
Leaflitter,0.301285631
Leaflitter,0.252971436
Leaflitter,0.207616092
Leaflitter,0.312798141
Leaflitter,0.079135946
Leaflitter,0.321452774
Leaflitter,0.264941449
Leaflitter,0.530525348
Leaflitter,0.133689236
Leaflitter,0.100988971
Leaflitter,0.082137653
Leaflitter,0.134606813
Leaflitter,0.134189817
Leaflitter,0.201376821
Leaflitter,0.247357113
Leaflitter,0.036965922
Leaflitter,0.499648727
Leaflitter,0.38595339
Leaflitter,0.507770654
Leaflitter,0.427544346
Leaflitter,0.202297606
Leaflitter,0.724817287
Leaflitter,0.449820466
Leaflitter,0.141257092
Leaflitter,0.450492992
Leaflitter,0.111086829
Leaflitter,0.545712042
Leaflitter,0.085133963
Leaflitter,0.181464198
Leaflitter,0.3486973
Leaflitter,0.634219894
Leaflitter,0.510307521
Leaflitter,0.405147647
Leaflitter,0.524084619
Leaflitter,0.540352392
Leaflitter,0.489626115
Leaflitter,0.305971137
Leaflitter,0.425017685
Leaflitter,0.256353065
Leaflitter,0.580142688
Leaflitter,0.50319164
Leaflitter,0.582108559
Leaflitter,0.30424016
Leaflitter,0.729668581
Leaflitter,0.086804372
Leaflitter,0.483602445
Leaflitter,0.069760966
Leaflitter,0.105912718
Leaflitter,0.30224169
Leaflitter,0.666890062
Leaflitter,0.844556519
Leaflitter,0.009609718
Leaflitter,0.130257597
Leaflitter,0.183677677
Leaflitter,0.207242287
Leaflitter,0.494327838
Leaflitter,0.565854187
Leaflitter,0.070683782
Leaflitter,0.475277033
Leaflitter,0.356205936
Leaflitter,0.02711025
Leaflitter,0.068229678
Leaflitter,0.088900089
Leaflitter,0.360077326
Leaflitter,0.129293208
Leaflitter,0.209086368
Leaflitter,0.066082104
Leaflitter,0.550217254
Leaflitter,0.752516997
Leaflitter,0.250700075
Leaflitter,0.555832377
Leaflitter,0.48916988
Leaflitter,0.160893056
Leaflitter,0.172847646
Leaflitter,0.110873607
Leaflitter,0.297005702
Leaflitter,0.052839083
Leaflitter,0.444897904
Leaflitter,0.701189581
Leaflitter,0.050314473
Leaflitter,0.613663459
Leaflitter,0.592102562
Leaflitter,0.160352746
Leaflitter,0.560808853
Leaflitter,0.279361375
Leaflitter,0.061607557
Leaflitter,0.276787661
Leaflitter,0.145876346
Leaflitter,0.649208328
Leaflitter,0.775316935
Leaflitter,0.751139752
Leaflitter,0.025540465
Leaflitter,0.200226942
Leaflitter,0.037336424
Leaflitter,0.003185444
Leaflitter,0.077707704
Leaflitter,0.286835755
Leaflitter,0.7856925
Leaflitter,0.150276119
Leaflitter,0.035326346
Leaflitter,0.694443058
Leaflitter,0.402457697
Leaflitter,0.55935924
Leaflitter,0.149911468
Leaflitter,0.469390268
Leaflitter,0.477875238
Leaflitter,0.179324853
Leaflitter,0.428559351
Leaflitter,0.133682368
Leaflitter,0.453596625
Leaflitter,0.1616877
Leaflitter,0.874136426
Leaflitter,0.064814598
Leaflitter,0.322961976
Leaflitter,0.137078424
Leaflitter,0.348410816
Leaflitter,0.657372242
Leaflitter,0.689865863
Leaflitter,0.72016302
Leaflitter,0.033429134
Leaflitter,0.328770182
Leaflitter,0.500245255
Leaflitter,0.4228946
Leaflitter,0.279693933
Leaflitter,0.506541625
Leaflitter,0.853384381
Leaflitter,0.643520267
Leaflitter,0.355536481
Leaflitter,0.004854354
Leaflitter,0.899195703
Leaflitter,0.293424116
Leaflitter,0.032280626
Leaflitter,0.103993599
Leaflitter,0.446650581
Leaflitter,0.355460566
Leaflitter,0.335229396
Leaflitter,0.399934535
Leaflitter,0.540770642
Leaflitter,0.508355573
Leaflitter,0.04061569
Leaflitter,0.660944201
Leaflitter,0.028964359
Leaflitter,0.220975365
Leaflitter,0.472059288
Leaflitter,0.042403165
Leaflitter,0.165947814
Leaflitter,0.129911441
Leaflitter,0.710764713
Leaflitter,0.685721513
Leaflitter,0.928218871
Leaflitter,0.489330114
Leaflitter,0.343014526
Leaflitter,0.514293481
Leaflitter,0.004963292
Leaflitter,0.558283074
Leaflitter,0.071182765
Leaflitter,0.143012223
Leaflitter,0.007015289
Leaflitter,0.143110047
Leaflitter,0.211722782
Leaflitter,0.35095544
Leaflitter,0.475114354
Leaflitter,0.294807839
Leaflitter,0.478008479
Leaflitter,0.078822519
Leaflitter,0.713072788
Leaflitter,0.270388104
Leaflitter,0.549418377
Leaflitter,0.034886249
Leaflitter,0.490217373
Leaflitter,0.175620913
Leaflitter,0.201284012
Leaflitter,0.194917158
Leaflitter,0.509336154
Leaflitter,0.200784023
Leaflitter,0.439196346
Leaflitter,0.35008637
Leaflitter,0.849435753
Leaflitter,0.591396293
Leaflitter,0.430346415
Leaflitter,0.152280321
Leaflitter,0.082493397
Leaflitter,0.009479215
Leaflitter,0.147798352
Leaflitter,0.48661606
Leaflitter,0.015314661
Leaflitter,0.334200037
Leaflitter,0.337209279
Leaflitter,0.291047284
Leaflitter,0.480751026
Leaflitter,0.445433306
Leaflitter,0.664291412
Leaflitter,0.834559309
Leaflitter,0.58840876
Leaflitter,0.002297409
Leaflitter,0.472455012
Leaflitter,0.359853982
Leaflitter,0.220553926
Leaflitter,0.96966632
Leaflitter,0.148278067
Leaflitter,0.235062305
Leaflitter,0.056957005
Leaflitter,0.005131263
Leaflitter,0.323287271
Leaflitter,0.007069907
Leaflitter,0.58218037
Leaflitter,0.48337743
Leaflitter,0.179196262
Leaflitter,0.075503435
Leaflitter,0.14025915
Leaflitter,0.738899108
Leaflitter,0.164989778
Leaflitter,0.569075876
Leaflitter,0.227092281
Leaflitter,0.061364352
Leaflitter,0.271189793
Leaflitter,0.400444689
Leaflitter,0.763117875
Leaflitter,0.491860173
Leaflitter,0.74006758
Leaflitter,0.25097004
Leaflitter,0.659589967
Leaflitter,0.694142636
Leaflitter,0.368846317
Leaflitter,0.543398208
Leaflitter,0.196971652
Leaflitter,0.11787177
