source,density
Leaflitter,0.695350783
Leaflitter,0.344661726
Leaflitter,0.19859648
Leaflitter,0.138566024
Leaflitter,0.706350891
Leaflitter,0.078536756
Leaflitter,0.071665667
Leaflitter,0.332285829
Leaflitter,0.656107097
Leaflitter,0.061183796
Leaflitter,0.012688742
Leaflitter,0.592761852
Leaflitter,0.214029415
Leaflitter,0.694917921
Leaflitter,0.233635173
Leaflitter,0.05986232
Leaflitter,0.455186966
Leaflitter,0.326135799
Leaflitter,0.325532965
Leaflitter,0.49195138
Leaflitter,0.088705572
Leaflitter,0.413858126
Leaflitter,0.252603596
Leaflitter,0.518499793
Leaflitter,0.442650114
Leaflitter,0.625504876
Leaflitter,0.000870982
Leaflitter,0.587415608
Leaflitter,0.282937918
Leaflitter,0.172927384
Leaflitter,0.667906478
Leaflitter,0.116481905
Leaflitter,0.549224799
Leaflitter,0.808095788
Leaflitter,0.096567115
Leaflitter,0.798312597
Leaflitter,0.148224494
Leaflitter,0.607840635
Leaflitter,0.116445823
Leaflitter,0.321134792
Leaflitter,0.276399286
Leaflitter,0.588980037
Leaflitter,0.325672352
Leaflitter,0.281227534
Leaflitter,0.405156624
Leaflitter,0.873464285
Leaflitter,0.306923715
Leaflitter,0.84557495
Leaflitter,0.855103649
Leaflitter,0.189700864
Leaflitter,0.834986735
Leaflitter,0.063554279
Leaflitter,0.450789108
Leaflitter,0.619095022
Leaflitter,0.779494849
Leaflitter,0.150979353
Leaflitter,0.672723099
Leaflitter,0.717763807
Leaflitter,0.378275311
Leaflitter,0.432620181
Leaflitter,0.048580708
Leaflitter,0.142502897
Leaflitter,0.016841152
Leaflitter,0.59479629
Leaflitter,0.561333843
Leaflitter,0.685559934
Leaflitter,0.698925488
Leaflitter,0.503410506
Leaflitter,0.598496687
Leaflitter,0.023262001
Leaflitter,0.530972251
Leaflitter,0.883311473
Leaflitter,0.156236766
Leaflitter,0.388918653
Leaflitter,0.0046911
Leaflitter,0.032777159
Leaflitter,0.408284413
Leaflitter,0.269701513
Leaflitter,0.664080545
Leaflitter,0.53038827
Leaflitter,0.567417323
Leaflitter,0.861656052
Leaflitter,0.126562494
Leaflitter,0.008049763
Leaflitter,0.839960263
Leaflitter,0.797130197
Leaflitter,0.097211615
Leaflitter,0.131242894
Leaflitter,0.496666237
Leaflitter,0.656748934
Leaflitter,0.714450857
Leaflitter,0.710736671
Leaflitter,0.041042526
Leaflitter,0.379531233
Leaflitter,0.610655919
Leaflitter,0.440484521
Leaflitter,0.218594031
Leaflitter,0.069313753
Leaflitter,0.171739325
Leaflitter,0.185144173
Leaflitter,0.393028587
Leaflitter,0.006469408
Leaflitter,0.770853526
Leaflitter,0.908053346
Leaflitter,0.45409306
Leaflitter,0.721637554
Leaflitter,0.580751164
Leaflitter,0.173857789
Leaflitter,0.607068974
Leaflitter,0.465871418
Leaflitter,0.638813645
Leaflitter,0.270342267
Leaflitter,0.703273974
Leaflitter,0.84061586
Leaflitter,0.296426942
Leaflitter,0.079782589
Leaflitter,0.905950235
Leaflitter,0.162198465
Leaflitter,0.795258458
Leaflitter,0.675978513
Leaflitter,0.258372681
Leaflitter,0.939602773
Leaflitter,0.097735299
Leaflitter,0.42266651
Leaflitter,0.133854265
Leaflitter,0.280936507
Leaflitter,0.549816367
Leaflitter,0.799663004
Leaflitter,0.552066896
Leaflitter,0.02899099
Leaflitter,0.568739838
Leaflitter,0.106861957
Leaflitter,0.276151096
Leaflitter,0.065228412
Leaflitter,0.50124157
Leaflitter,0.93022636
Leaflitter,0.025248413
Leaflitter,0.561118643
Leaflitter,0.900568916
Leaflitter,0.146643629
Leaflitter,0.437378422
Leaflitter,0.305171078
Leaflitter,0.455588239
Leaflitter,0.684437344
Leaflitter,0.387958175
Leaflitter,0.410739301
Leaflitter,0.323095186
Leaflitter,0.227649552
Leaflitter,0.129382404
Leaflitter,0.384114956
Leaflitter,0.015947901
Leaflitter,0.679355306
Leaflitter,0.181558652
Leaflitter,0.556577847
Leaflitter,0.739571359
Leaflitter,0.402310027
Leaflitter,0.164768879
Leaflitter,0.177217047
Leaflitter,0.005041825
Leaflitter,0.125591167
Leaflitter,0.501113211
Leaflitter,0.130741306
Leaflitter,0.351763614
Leaflitter,0.294426188
Leaflitter,0.030893816
Leaflitter,0.177520588
Leaflitter,0.125285914
Leaflitter,0.027830824
Leaflitter,0.450786766
Leaflitter,0.604501761
Leaflitter,0.684591122
Leaflitter,0.06233658
Leaflitter,0.116513966
Leaflitter,0.135122073
Leaflitter,0.787508041
Leaflitter,0.018103516
Leaflitter,0.005253194
Leaflitter,0.295272265
Leaflitter,0.68843493
Leaflitter,0.858406438
Leaflitter,0.763370963
Leaflitter,0.02969756
Leaflitter,0.02736195
Leaflitter,0.557260822
Leaflitter,0.155114197
Leaflitter,0.166781456
Leaflitter,0.321537859
Leaflitter,0.466481241
Leaflitter,0.02760702
Leaflitter,0.536410544
Leaflitter,0.038408588
Leaflitter,0.827466105
Leaflitter,0.571115955
Leaflitter,0.286939468
Leaflitter,0.581104187
Leaflitter,0.685054056
Leaflitter,0.113804906
Leaflitter,0.606909064
Leaflitter,0.237743088
Leaflitter,0.646966762
Leaflitter,0.36364724
Leaflitter,0.132346257
Leaflitter,0.113863469
Leaflitter,0.974148667
Leaflitter,0.203798493
Leaflitter,0.803366507
Leaflitter,0.049336251
Leaflitter,0.077983226
Leaflitter,0.577652865
Leaflitter,0.381349897
Leaflitter,0.544700072
Leaflitter,0.154731059
Leaflitter,0.644930224
Leaflitter,0.573513393
Leaflitter,0.012195054
Leaflitter,0.394866019
Leaflitter,0.046997306
Leaflitter,0.647817785
Leaflitter,0.834132049
Leaflitter,0.314888929
Leaflitter,0.572215575
Leaflitter,0.634454785
Leaflitter,0.82713921
Leaflitter,0.030410116
Leaflitter,0.807877284
Leaflitter,0.021869793
Leaflitter,0.392186147
Leaflitter,0.759338746
Leaflitter,0.186730714
Leaflitter,0.56249546
Leaflitter,0.347976788
Leaflitter,0.071466591
Leaflitter,0.008872241
Leaflitter,0.380899114
Leaflitter,0.455408049
Leaflitter,0.101549641
Leaflitter,0.121387616
Leaflitter,0.815545511
Leaflitter,0.620078056
Leaflitter,0.004783038
Leaflitter,0.266388357
Leaflitter,0.473114576
Leaflitter,0.032069207
Leaflitter,0.150382945
Leaflitter,0.100909716
Leaflitter,0.390344172
Leaflitter,0.01396867
Leaflitter,0.09958664
Leaflitter,0.045285401
Leaflitter,0.11260816
Leaflitter,0.079647261
Leaflitter,0.050155858
Leaflitter,0.761514084
Leaflitter,0.948529335
Leaflitter,0.566297545
Leaflitter,0.114355665
Leaflitter,0.370900764
Leaflitter,0.438975697
Leaflitter,0.075360743
Leaflitter,0.423093167
Leaflitter,0.332981473
Leaflitter,0.262681971
Leaflitter,0.38236586
Leaflitter,0.64630556
Leaflitter,0.439011165
Leaflitter,0.125106144
Leaflitter,0.917139913
Leaflitter,0.319980299
Leaflitter,0.897700824
Leaflitter,0.95160779
Leaflitter,0.652142572
Leaflitter,0.893401474
Leaflitter,0.053919861
Leaflitter,0.501280591
Leaflitter,0.05696095
Leaflitter,0.615384096
Leaflitter,0.420909695
Leaflitter,0.326229973
Leaflitter,0.736341485
Leaflitter,0.041475719
Leaflitter,0.792173189
Leaflitter,0.617982034
Leaflitter,0.517179093
Leaflitter,0.558624264
Leaflitter,0.507351647
Leaflitter,0.878553937
Leaflitter,0.204730709
Leaflitter,0.24029575
Leaflitter,0.048911619
Leaflitter,0.097402161
Leaflitter,0.549247901
Leaflitter,0.727467064
Leaflitter,0.74142488
Leaflitter,0.298233344
Leaflitter,0.948175872
Leaflitter,0.330721938
Leaflitter,0.103690046
Leaflitter,0.37222392
Leaflitter,0.891154333
Leaflitter,0.366144558
Leaflitter,0.619562263
Leaflitter,0.214592275
Leaflitter,0.503430798
Leaflitter,0.623574888
Leaflitter,0.153946248
Leaflitter,0.131052999
Leaflitter,0.114531221
Leaflitter,0.566962067
Leaflitter,0.849717032
Leaflitter,0.158251776
Leaflitter,0.044832516
Leaflitter,0.860570471
Leaflitter,0.309817703
Leaflitter,0.165490734
Leaflitter,0.196212663
