source,density
Leaflitter,0.160857238
Leaflitter,0.244545794
Leaflitter,0.316433703
Leaflitter,0.225661869
Leaflitter,0.33870665
Leaflitter,0.810098518
Leaflitter,0.513907444
Leaflitter,0.897638786
Leaflitter,0.602368683
Leaflitter,0.463921764
Leaflitter,0.443770393
Leaflitter,0.205110032
Leaflitter,0.055739087
Leaflitter,0.660799135
Leaflitter,0.097466086
Leaflitter,0.219894963
Leaflitter,0.352194374
Leaflitter,0.518118244
Leaflitter,0.147406004
Leaflitter,0.349763442
Leaflitter,0.137479861
Leaflitter,0.128379037
Leaflitter,0.011109686
Leaflitter,0.161833861
Leaflitter,0.075848389
Leaflitter,0.02428049
Leaflitter,0.064979727
Leaflitter,0.183907086
Leaflitter,0.328490011
Leaflitter,0.103606972
Leaflitter,0.22179408
Leaflitter,0.239686106
Leaflitter,0.443217771
Leaflitter,0.096849409
Leaflitter,0.078302783
Leaflitter,0.123316444
Leaflitter,0.374406955
Leaflitter,0.090751881
Leaflitter,0.474280304
Leaflitter,0.119626879
Leaflitter,0.171479347
Leaflitter,0.030044428
Leaflitter,0.339786971
Leaflitter,0.249321786
Leaflitter,0.831271717
Leaflitter,0.230384164
Leaflitter,0.167053715
Leaflitter,0.235542724
Leaflitter,0.013997212
Leaflitter,0.514810171
Leaflitter,0.313563326
Leaflitter,0.126516494
Leaflitter,0.436996541
Leaflitter,0.371224586
Leaflitter,0.370152529
Leaflitter,0.237061968
Leaflitter,0.28462524
Leaflitter,0.116577947
Leaflitter,0.226054214
Leaflitter,0.008731161
Leaflitter,0.066496517
Leaflitter,0.329314865
Leaflitter,0.326508446
Leaflitter,0.175151332
Leaflitter,0.35424186
Leaflitter,0.025657762
Leaflitter,0.666044538
Leaflitter,0.306982573
Leaflitter,0.377689385
Leaflitter,0.213765886
Leaflitter,0.472774817
Leaflitter,0.155392686
Leaflitter,0.102528856
Leaflitter,0.195747926
Leaflitter,0.676354723
Leaflitter,0.097977493
Leaflitter,0.782445848
Leaflitter,0.231438849
Leaflitter,0.032357796
Leaflitter,0.579034039
Leaflitter,0.390678809
Leaflitter,0.171033136
Leaflitter,0.408942561
Leaflitter,0.264267744
Leaflitter,0.01362519
Leaflitter,0.356032638
Leaflitter,0.693459751
Leaflitter,0.852919854
Leaflitter,0.110934282
Leaflitter,0.154746494
Leaflitter,0.308980955
Leaflitter,0.290407091
Leaflitter,0.682728633
Leaflitter,0.384518685
Leaflitter,0.649732708
Leaflitter,0.048729024
Leaflitter,0.525997635
