source,density
Leaflitter,0.664793675
Leaflitter,0.290568836
Leaflitter,0.697141099
Leaflitter,0.215674772
Leaflitter,0.976192853
Leaflitter,0.301672124
Leaflitter,0.453323622
Leaflitter,0.706991929
Leaflitter,0.135416373
Leaflitter,0.454214134
Leaflitter,0.913597669
Leaflitter,0.02128397
Leaflitter,0.090996749
Leaflitter,0.148502257
Leaflitter,0.163661218
Leaflitter,0.722080187
Leaflitter,0.369585648
Leaflitter,0.873907739
Leaflitter,0.235115278
Leaflitter,0.856229315
Leaflitter,0.619731117
Leaflitter,0.59529748
Leaflitter,0.785157878
Leaflitter,0.60475773
Leaflitter,0.632518898
Leaflitter,0.519308094
Leaflitter,0.070020577
Leaflitter,0.609391265
Leaflitter,0.7175472
Leaflitter,0.388946564
Leaflitter,0.031666499
Leaflitter,0.78128955
Leaflitter,0.225673148
Leaflitter,0.926138422
Leaflitter,0.043814313
Leaflitter,0.092683
Leaflitter,0.842040894
Leaflitter,0.359795284
Leaflitter,0.630100036
Leaflitter,0.636429883
Leaflitter,0.683430409
Leaflitter,0.214732602
Leaflitter,0.781480237
Leaflitter,0.114699812
Leaflitter,0.4752049
Leaflitter,0.695527372
Leaflitter,0.633518238
Leaflitter,0.403691275
Leaflitter,0.738403985
Leaflitter,0.011090814
Leaflitter,0.746608798
Leaflitter,0.554318247
Leaflitter,0.100898508
Leaflitter,0.221284385
Leaflitter,0.731731419
Leaflitter,0.016628784
Leaflitter,0.350159519
Leaflitter,0.969749637
Leaflitter,0.083215667
Leaflitter,0.81613633
Leaflitter,0.768722227
Leaflitter,0.451362199
Leaflitter,0.586053022
Leaflitter,0.774631436
Leaflitter,0.561721556
Leaflitter,0.819928614
Leaflitter,0.137902536
Leaflitter,0.460562817
Leaflitter,0.256869391
Leaflitter,0.085754078
Leaflitter,0.276891482
Leaflitter,0.749219392
Leaflitter,0.90636711
Leaflitter,0.368297715
Leaflitter,0.413308822
Leaflitter,0.409993777
Leaflitter,0.917839501
Leaflitter,0.004953328
Leaflitter,0.687925569
Leaflitter,0.592004792
Leaflitter,0.679855329
Leaflitter,0.744742682
Leaflitter,0.497499205
Leaflitter,0.741175901
Leaflitter,0.774246604
Leaflitter,0.035197833
Leaflitter,0.033612995
Leaflitter,0.391212263
Leaflitter,0.982962216
Leaflitter,0.005237563
Leaflitter,0.485690591
Leaflitter,0.020514423
Leaflitter,0.11940897
Leaflitter,0.094150474
Leaflitter,0.147577804
Leaflitter,0.527606722
Leaflitter,0.737416559
Leaflitter,0.355061502
Leaflitter,0.138616051
Leaflitter,0.751647177
Leaflitter,0.103414394
Leaflitter,0.548672922
Leaflitter,0.317841938
Leaflitter,0.765213681
Leaflitter,0.066701053
Leaflitter,0.664121384
Leaflitter,0.373851077
Leaflitter,0.86186845
Leaflitter,0.435860905
Leaflitter,0.214174757
Leaflitter,0.579664593
Leaflitter,0.937838933
Leaflitter,0.63754979
Leaflitter,0.497287859
Leaflitter,0.916211363
Leaflitter,0.196046598
Leaflitter,0.995299438
Leaflitter,0.552859007
Leaflitter,0.223745156
Leaflitter,0.977350254
Leaflitter,0.546206561
Leaflitter,0.132961419
Leaflitter,0.037269037
Leaflitter,0.292556216
Leaflitter,0.507957746
Leaflitter,0.291376689
Leaflitter,0.319269343
Leaflitter,0.262313113
Leaflitter,0.251554409
Leaflitter,0.1125261
Leaflitter,0.157327792
Leaflitter,0.129417394
Leaflitter,0.332136651
Leaflitter,0.264564363
Leaflitter,0.136981401
Leaflitter,0.096646229
Leaflitter,0.418017357
Leaflitter,0.031831004
Leaflitter,0.182228469
Leaflitter,0.067462662
Leaflitter,0.110316853
