source,density
Leaflitter,0.63209586
Leaflitter,0.316733428
Leaflitter,0.663518548
Leaflitter,0.684250011
Leaflitter,0.456093259
Leaflitter,0.84791843
Leaflitter,0.95448267
Leaflitter,0.56366021
Leaflitter,0.772329253
Leaflitter,0.75822178
Leaflitter,0.865125463
Leaflitter,0.890135405
Leaflitter,0.953758083
Leaflitter,0.620000356
Leaflitter,0.638580167
Leaflitter,0.991661682
Leaflitter,0.591806797
Leaflitter,0.666704874
Leaflitter,0.86132912
Leaflitter,0.683723431
Leaflitter,0.731639291
Leaflitter,0.767404168
Leaflitter,0.943659283
Leaflitter,0.763493237
Leaflitter,0.836610447
Leaflitter,0.847389059
Leaflitter,0.814106164
Leaflitter,0.795192596
Leaflitter,0.580807867
Leaflitter,0.849275393
Leaflitter,0.903678607
Leaflitter,0.802470651
Leaflitter,0.554254968
Leaflitter,0.434224944
Leaflitter,0.260520574
Leaflitter,0.957719474
Leaflitter,0.877149283
Leaflitter,0.751145665
Leaflitter,0.823598166
Leaflitter,0.961278209
Leaflitter,0.678104272
Leaflitter,0.805222929
Leaflitter,0.333523874
Leaflitter,0.664252965
Leaflitter,0.760256414
Leaflitter,0.830583076
Leaflitter,0.677473904
Leaflitter,0.867814147
Leaflitter,0.652358886
Leaflitter,0.662276991
Leaflitter,0.810618221
Leaflitter,0.719125955
Leaflitter,0.798397893
Leaflitter,0.857020834
Leaflitter,0.561538832
Leaflitter,0.768474927
Leaflitter,0.929203953
Leaflitter,0.466302358
Leaflitter,0.869693798
Leaflitter,0.959444353
Leaflitter,0.810603495
Leaflitter,0.544068735
Leaflitter,0.823421152
Leaflitter,0.525692984
Leaflitter,0.797781076
Leaflitter,0.653246337
Leaflitter,0.582609805
Leaflitter,0.645857948
Leaflitter,0.572957527
Leaflitter,0.560850682
Leaflitter,0.749574057
Leaflitter,0.532624373
Leaflitter,0.703315904
Leaflitter,0.922226519
Leaflitter,0.437050489
Leaflitter,0.638215238
Leaflitter,0.817290401
Leaflitter,0.937306601
Leaflitter,0.92199103
Leaflitter,0.55436333
Leaflitter,0.33892222
Leaflitter,0.868332582
Leaflitter,0.752351539
Leaflitter,0.707802385
Leaflitter,0.934583958
Leaflitter,0.913089544
Leaflitter,0.642317979
Leaflitter,0.944195204
Leaflitter,0.868872862
Leaflitter,0.590199364
Leaflitter,0.813121934
Leaflitter,0.901593213
Leaflitter,0.877211797
Leaflitter,0.875037802
Leaflitter,0.944195552
Leaflitter,0.936901289
Leaflitter,0.61002482
Leaflitter,0.9471318
Leaflitter,0.991628394
Leaflitter,0.927604448
Leaflitter,0.60150693
Leaflitter,0.684133008
Leaflitter,0.869145208
Leaflitter,0.689902954
Leaflitter,0.592785865
Leaflitter,0.804116986
Leaflitter,0.516794182
Leaflitter,0.523156325
Leaflitter,0.808007235
Leaflitter,0.837097553
Leaflitter,0.719443925
Leaflitter,0.933512531
Leaflitter,0.767542142
Leaflitter,0.871046532
Leaflitter,0.390098568
Leaflitter,0.987503755
Leaflitter,0.891840331
Leaflitter,0.779697424
Leaflitter,0.228331933
Leaflitter,0.882106371
Leaflitter,0.586091905
Leaflitter,0.496373352
Leaflitter,0.861579618
Leaflitter,0.358236594
Leaflitter,0.912411871
Leaflitter,0.781434468
Leaflitter,0.723643907
Leaflitter,0.547937706
Leaflitter,0.766257481
Leaflitter,0.687472609
Leaflitter,0.841628839
Leaflitter,0.574859912
Leaflitter,0.915072919
Leaflitter,0.897020194
Leaflitter,0.888340657
Leaflitter,0.849760508
Leaflitter,0.698276945
Leaflitter,0.950642024
Leaflitter,0.688862443
Leaflitter,0.511609535
Leaflitter,0.372302886
Leaflitter,0.661588935
Leaflitter,0.680892708
Leaflitter,0.912406027
Leaflitter,0.40775795
Leaflitter,0.284141285
Leaflitter,0.482276529
Leaflitter,0.49806423
