source,density
Leaflitter,0.108144021
Leaflitter,0.851595097
Leaflitter,0.944665077
Leaflitter,0.356215074
Leaflitter,0.899971878
Leaflitter,0.447471979
Leaflitter,0.760073269
Leaflitter,0.611957907
Leaflitter,0.772516916
Leaflitter,0.034870679
Leaflitter,0.899521828
Leaflitter,0.711401616
Leaflitter,0.083954366
Leaflitter,0.716498986
Leaflitter,0.787203212
Leaflitter,0.248400858
Leaflitter,0.358113418
Leaflitter,0.743181122
Leaflitter,0.909156212
Leaflitter,0.304492159
Leaflitter,0.17066047
Leaflitter,0.581857606
Leaflitter,0.637449696
Leaflitter,0.306547901
Leaflitter,0.284729381
Leaflitter,0.327456631
Leaflitter,0.497905234
Leaflitter,0.441466836
Leaflitter,0.01039775
Leaflitter,0.749099881
Leaflitter,0.910791813
Leaflitter,0.304395131
Leaflitter,0.648772333
Leaflitter,0.089585628
Leaflitter,0.644695948
Leaflitter,0.718009444
Leaflitter,0.839170917
Leaflitter,0.884056368
Leaflitter,0.449992513
Leaflitter,0.081172799
Leaflitter,0.284532675
Leaflitter,0.856710745
Leaflitter,0.583005533
Leaflitter,0.935775611
Leaflitter,0.447690392
Leaflitter,0.668012613
Leaflitter,0.741583038
Leaflitter,0.526535166
Leaflitter,0.260447425
Leaflitter,0.252264368
Leaflitter,0.261360147
Leaflitter,0.126606673
Leaflitter,0.238442051
Leaflitter,0.040018474
Leaflitter,0.788346861
Leaflitter,0.088098246
Leaflitter,0.975597914
Leaflitter,0.861255684
Leaflitter,0.661755991
Leaflitter,0.781239899
Leaflitter,0.369853838
Leaflitter,0.15080212
Leaflitter,0.890598501
Leaflitter,0.375646013
Leaflitter,0.866191804
Leaflitter,0.81380114
Leaflitter,0.927661505
Leaflitter,0.508803268
Leaflitter,0.633423145
Leaflitter,0.435967446
Leaflitter,0.707514007
Leaflitter,0.419073527
Leaflitter,0.020395715
Leaflitter,0.364305687
Leaflitter,0.058644367
Leaflitter,0.283815431
Leaflitter,0.276187661
Leaflitter,0.012169448
Leaflitter,0.767593897
Leaflitter,0.834924222
Leaflitter,0.019487028
Leaflitter,0.948794214
Leaflitter,0.507692194
Leaflitter,0.711571445
Leaflitter,0.080531218
Leaflitter,0.677643346
Leaflitter,0.519733053
Leaflitter,0.426671389
Leaflitter,0.039172028
Leaflitter,0.51545928
Leaflitter,0.525335192
Leaflitter,0.754399031
Leaflitter,0.351100247
Leaflitter,0.692925871
Leaflitter,0.016880705
Leaflitter,0.639542713
Leaflitter,0.600811937
Leaflitter,0.759502386
Leaflitter,0.696571116
Leaflitter,0.773404783
Leaflitter,0.61659258
Leaflitter,0.248396569
Leaflitter,0.574732481
Leaflitter,0.574432219
Leaflitter,0.51246787
Leaflitter,0.663861442
Leaflitter,0.241491128
Leaflitter,0.928584465
Leaflitter,0.955414019
Leaflitter,0.627700192
Leaflitter,0.880050932
Leaflitter,0.79852725
Leaflitter,0.214874197
Leaflitter,0.918686089
Leaflitter,0.463598078
Leaflitter,0.225531612
Leaflitter,0.466789501
Leaflitter,0.73352253
Leaflitter,0.488791683
Leaflitter,0.936811823
Leaflitter,0.883347588
Leaflitter,0.932626171
Leaflitter,0.178267111
Leaflitter,0.916132093
Leaflitter,0.002720731
Leaflitter,0.069453558
Leaflitter,0.455859339
Leaflitter,0.546468477
Leaflitter,0.643385261
Leaflitter,0.559490108
Leaflitter,0.387465342
Leaflitter,0.163139589
Leaflitter,0.14178638
Leaflitter,0.079336549
Leaflitter,0.721654432
Leaflitter,0.788440536
Leaflitter,0.543744636
Leaflitter,0.615314457
Leaflitter,0.013414147
Leaflitter,0.013696593
Leaflitter,0.878307044
Leaflitter,0.458891201
Leaflitter,0.162493316
Leaflitter,0.529841288
Leaflitter,0.815542167
Leaflitter,0.738435281
Leaflitter,0.934202155
Leaflitter,0.907781949
Leaflitter,0.358282854
Leaflitter,0.387058325
Leaflitter,0.186411816
Leaflitter,0.180592724
Leaflitter,0.838825328
Leaflitter,0.655320813
Leaflitter,0.876996156
Leaflitter,0.624611206
Leaflitter,0.660026233
Leaflitter,0.896094549
Leaflitter,0.453740316
Leaflitter,0.155867023
Leaflitter,0.705292284
Leaflitter,0.476650684
Leaflitter,0.98440049
Leaflitter,0.384734849
Leaflitter,0.658639129
Leaflitter,0.697831115
Leaflitter,0.696455361
Leaflitter,0.88063061
Leaflitter,0.467266441
Leaflitter,0.701616358
Leaflitter,0.181936816
Leaflitter,0.326712282
Leaflitter,0.518172725
Leaflitter,0.742298791
Leaflitter,0.79822782
Leaflitter,0.095211712
Leaflitter,0.942441007
Leaflitter,0.501784643
Leaflitter,0.000894653
Leaflitter,0.108436484
Leaflitter,0.465721353
Leaflitter,0.455617896
Leaflitter,0.748453872
Leaflitter,0.522435245
Leaflitter,0.647852439
Leaflitter,0.50471303
Leaflitter,0.097932446
Leaflitter,0.465623819
Leaflitter,0.521231619
Leaflitter,0.109490988
Leaflitter,0.786739766
Leaflitter,0.926025275
Leaflitter,0.642866008
Leaflitter,0.520465091
Leaflitter,0.567001701
Leaflitter,0.672558526
Leaflitter,0.579455097
Leaflitter,0.544300443
Leaflitter,0.527289234
Leaflitter,0.787573805
Leaflitter,0.388205865
Leaflitter,0.498668216
Leaflitter,0.568877937
Leaflitter,0.7890062
Leaflitter,0.765559244
Leaflitter,0.011431346
Leaflitter,0.403592445
Leaflitter,0.724116475
Leaflitter,0.84924341
Leaflitter,0.503365015
Leaflitter,0.863027575
Leaflitter,0.446491783
Leaflitter,0.802887933
Leaflitter,0.64959942
Leaflitter,0.858354125
Leaflitter,0.599621118
Leaflitter,0.111664552
