source,density
Leaflitter,0.21286623
Leaflitter,0.838873684
Leaflitter,0.551163091
Leaflitter,0.033226021
Leaflitter,0.727993611
Leaflitter,0.211692487
Leaflitter,0.318762656
Leaflitter,0.486641725
Leaflitter,0.016745978
Leaflitter,0.206603667
Leaflitter,0.709699167
Leaflitter,0.509450157
Leaflitter,0.654127626
Leaflitter,0.089327501
Leaflitter,0.783315977
Leaflitter,0.429887418
Leaflitter,0.697475504
Leaflitter,0.932118407
Leaflitter,0.41820064
Leaflitter,0.010799646
Leaflitter,0.097166171
Leaflitter,0.030442161
Leaflitter,0.564842235
Leaflitter,0.504976505
Leaflitter,0.750613417
Leaflitter,0.87803012
Leaflitter,0.009517272
Leaflitter,0.446087171
Leaflitter,0.897715879
Leaflitter,0.673735345
Leaflitter,0.692144986
Leaflitter,0.270785176
Leaflitter,0.59346758
Leaflitter,0.821249829
Leaflitter,0.647219702
Leaflitter,0.002084082
Leaflitter,0.249721798
Leaflitter,0.438868735
Leaflitter,0.638818238
Leaflitter,0.482391661
Leaflitter,0.77144573
Leaflitter,0.371113339
Leaflitter,0.613200707
Leaflitter,0.054538947
Leaflitter,0.431623798
Leaflitter,0.705148543
Leaflitter,0.541735728
Leaflitter,0.935137541
Leaflitter,0.126642791
Leaflitter,0.64796154
Leaflitter,0.62636675
Leaflitter,0.161891218
Leaflitter,0.083432762
Leaflitter,0.063451415
Leaflitter,0.693259136
Leaflitter,0.003228935
Leaflitter,0.09689233
Leaflitter,0.528429944
Leaflitter,0.705226904
Leaflitter,0.71702039
Leaflitter,0.643369168
Leaflitter,0.024114509
Leaflitter,0.377398383
Leaflitter,0.021470787
Leaflitter,0.760588656
Leaflitter,0.462258416
Leaflitter,0.528327331
Leaflitter,0.922218551
Leaflitter,0.185689554
Leaflitter,0.817370035
Leaflitter,0.493147437
Leaflitter,0.360655668
Leaflitter,0.215175004
Leaflitter,0.041292495
Leaflitter,0.618338727
Leaflitter,0.091799588
Leaflitter,0.674466324
Leaflitter,0.920827239
Leaflitter,0.854593938
Leaflitter,0.845306351
Leaflitter,0.00142792
Leaflitter,0.102456419
Leaflitter,0.812698106
Leaflitter,0.188931757
Leaflitter,0.913048645
Leaflitter,0.944423616
Leaflitter,0.177079352
Leaflitter,0.016442779
Leaflitter,0.19646566
Leaflitter,0.139183366
Leaflitter,0.789415658
Leaflitter,0.730161449
Leaflitter,0.658007593
Leaflitter,0.670373549
Leaflitter,0.539320353
Leaflitter,0.504729803
Leaflitter,0.893796285
Leaflitter,0.835646989
Leaflitter,0.635032221
Leaflitter,0.459608487
Leaflitter,0.129417113
Leaflitter,0.047701799
Leaflitter,0.547543174
Leaflitter,0.027278773
Leaflitter,0.353008855
Leaflitter,0.077140466
Leaflitter,0.144604155
Leaflitter,0.661084118
Leaflitter,0.0224097
Leaflitter,0.330599555
Leaflitter,0.492604301
Leaflitter,0.140800319
Leaflitter,0.088321843
Leaflitter,0.699091812
Leaflitter,0.109162396
Leaflitter,0.396682653
Leaflitter,0.630098647
Leaflitter,0.16864243
Leaflitter,0.147422634
Leaflitter,0.721943334
Leaflitter,0.45283622
Leaflitter,0.000947677
Leaflitter,0.275922844
Leaflitter,0.751527112
Leaflitter,0.763281888
Leaflitter,0.826791212
Leaflitter,0.401097364
Leaflitter,0.336807142
Leaflitter,0.857911203
Leaflitter,0.060530139
Leaflitter,0.271029406
Leaflitter,0.21342639
Leaflitter,0.800809499
Leaflitter,0.542332026
Leaflitter,0.135111198
Leaflitter,0.096199649
Leaflitter,0.690078079
Leaflitter,0.061646366
Leaflitter,0.622593175
Leaflitter,0.002644965
Leaflitter,0.722728595
Leaflitter,0.518951258
Leaflitter,0.339062482
Leaflitter,0.195373694
Leaflitter,0.164420327
Leaflitter,0.716383827
Leaflitter,0.097813886
Leaflitter,0.570489062
Leaflitter,0.757638882
Leaflitter,0.719631
Leaflitter,0.858721575
Leaflitter,0.723194869
Leaflitter,0.629310439
Leaflitter,0.913701241
Leaflitter,0.463089369
Leaflitter,0.001754721
Leaflitter,0.239688774
Leaflitter,0.644957842
Leaflitter,0.224289877
Leaflitter,0.854749864
Leaflitter,0.912640872
Leaflitter,0.77566631
Leaflitter,0.127156193
Leaflitter,0.809664066
Leaflitter,0.885961142
Leaflitter,0.408622543
Leaflitter,0.927270048
Leaflitter,0.257000583
Leaflitter,0.355388963
Leaflitter,0.604494235
Leaflitter,0.631917005
Leaflitter,0.684384772
Leaflitter,0.238463218
Leaflitter,0.223378023
Leaflitter,0.628344534
Leaflitter,0.862789029
Leaflitter,0.439444274
Leaflitter,0.004838693
Leaflitter,0.029237086
Leaflitter,0.223626632
Leaflitter,0.249991238
Leaflitter,0.175460499
Leaflitter,0.722717788
Leaflitter,0.575007814
Leaflitter,0.882736367
Leaflitter,0.203007837
Leaflitter,0.024390968
Leaflitter,0.296679556
Leaflitter,0.518181171
Leaflitter,0.238069848
Leaflitter,0.538722831
Leaflitter,0.978633649
Leaflitter,0.596370927
Leaflitter,0.236328077
Leaflitter,0.076420625
Leaflitter,0.405002801
Leaflitter,0.549293762
Leaflitter,0.06117368
Leaflitter,0.917120303
Leaflitter,0.058411747
Leaflitter,0.405094924
Leaflitter,0.130601785
Leaflitter,0.886648215
Leaflitter,0.897927594
Leaflitter,0.599166461
Leaflitter,0.600066069
Leaflitter,0.721265438
Leaflitter,0.068996494
Leaflitter,0.084674937
Leaflitter,0.485686822
Leaflitter,0.672177964
Leaflitter,0.002516488
Leaflitter,0.236792798
Leaflitter,0.059584127
Leaflitter,0.508258041
Leaflitter,0.188597203
Leaflitter,0.463008057
Leaflitter,0.233489871
Leaflitter,0.908138236
Leaflitter,0.026769548
Leaflitter,0.180218255
Leaflitter,0.539741192
Leaflitter,0.752193967
Leaflitter,0.346723791
Leaflitter,0.036582984
Leaflitter,0.689290494
Leaflitter,0.512275854
Leaflitter,0.801679502
Leaflitter,0.528756784
Leaflitter,0.526510679
Leaflitter,0.375499101
Leaflitter,0.377290281
Leaflitter,0.766266971
Leaflitter,0.924949318
Leaflitter,0.363194716
Leaflitter,0.106753713
Leaflitter,0.065073927
Leaflitter,0.314103133
Leaflitter,0.677570467
Leaflitter,0.505629708
Leaflitter,0.819256982
Leaflitter,0.858916
Leaflitter,0.789948722
Leaflitter,0.105030497
Leaflitter,0.524711182
Leaflitter,0.373133057
Leaflitter,0.457013761
Leaflitter,0.001124992
Leaflitter,0.66141633
Leaflitter,0.955790847
Leaflitter,0.205180182
Leaflitter,0.235568777
Leaflitter,0.779909982
Leaflitter,0.487366989
Leaflitter,0.979927308
Leaflitter,0.995313939
Leaflitter,0.747525632
Leaflitter,0.62024452
Leaflitter,0.689395568
Leaflitter,0.066726844
Leaflitter,0.345369208
Leaflitter,0.85658038
Leaflitter,0.362785057
Leaflitter,0.011894537
Leaflitter,0.051390888
Leaflitter,0.00611874
Leaflitter,0.341020497
Leaflitter,0.741862398
Leaflitter,0.090030748
Leaflitter,0.52172493
Leaflitter,0.040367936
Leaflitter,0.008238816
Leaflitter,0.751224347
Leaflitter,0.589484722
Leaflitter,0.122944793
Leaflitter,0.781220923
Leaflitter,0.561657719
Leaflitter,0.051933994
Leaflitter,0.260741636
Leaflitter,0.038881578
Leaflitter,0.965949387
Leaflitter,0.023535097
Leaflitter,0.934579979
Leaflitter,0.702558509
Leaflitter,0.968853775
Leaflitter,0.226184525
Leaflitter,0.594275081
Leaflitter,0.058595912
Leaflitter,0.792610647
Leaflitter,0.736895842
Leaflitter,0.221923187
Leaflitter,0.923569533
Leaflitter,0.771074526
Leaflitter,0.386914152
Leaflitter,0.196982701
Leaflitter,0.143135511
Leaflitter,0.536657668
Leaflitter,0.033347042
Leaflitter,0.495791117
Leaflitter,0.268127758
Leaflitter,0.07938495
Leaflitter,0.934030671
Leaflitter,0.402850696
Leaflitter,0.14717463
Leaflitter,0.147733168
Leaflitter,0.070326295
Leaflitter,0.037036286
Leaflitter,0.732301626
Leaflitter,0.830715063
Leaflitter,0.780469753
Leaflitter,0.213441535
Leaflitter,0.010686486
Leaflitter,0.242982718
Leaflitter,0.20928247
Leaflitter,0.400708777
Leaflitter,0.763069705
Leaflitter,0.112121626
Leaflitter,0.055639229
Leaflitter,0.067870819
Leaflitter,0.889628195
Leaflitter,0.253696237
Leaflitter,0.041789009
Leaflitter,0.526606789
Leaflitter,0.56882214
Leaflitter,0.66684534
Leaflitter,0.790554203
Leaflitter,0.356089344
Leaflitter,0.929149675
Leaflitter,0.097163019
Leaflitter,0.628454801
Leaflitter,0.734969025
Leaflitter,0.322309192
Leaflitter,0.273952502
Leaflitter,0.939813891
Leaflitter,0.136372925
Leaflitter,0.761200685
Leaflitter,0.731629495
Leaflitter,0.808731332
Leaflitter,0.5834335
Leaflitter,0.148142815
Leaflitter,0.027008958
Leaflitter,0.074293578
Leaflitter,0.318506178
Leaflitter,0.854416736
Leaflitter,0.020892254
Leaflitter,0.540707807
Leaflitter,0.534911572
Leaflitter,0.447407489
Leaflitter,0.852836655
Leaflitter,0.509302116
Leaflitter,0.914596845
Leaflitter,0.111414759
Leaflitter,0.014036998
Leaflitter,0.099956151
Leaflitter,0.722462482
Leaflitter,0.121912071
Leaflitter,0.279974123
Leaflitter,0.025255916
Leaflitter,0.239889456
Leaflitter,0.232092464
Leaflitter,0.44435915
Leaflitter,0.849908371
Leaflitter,0.574216913
Leaflitter,0.692542979
Leaflitter,0.728258607
Leaflitter,0.636941278
Leaflitter,0.822344601
Leaflitter,0.914055415
Leaflitter,0.66993513
Leaflitter,0.46410377
Leaflitter,0.041370276
Leaflitter,0.904657106
Leaflitter,0.171199579
Leaflitter,0.261174716
Leaflitter,0.276643444
Leaflitter,0.454425447
Leaflitter,0.043539303
Leaflitter,0.126116605
Leaflitter,0.649329323
Leaflitter,0.605965586
Leaflitter,0.286264743
Leaflitter,0.109286711
Leaflitter,0.223023136
Leaflitter,0.11497809
