source,density
Leaflitter,0.608889955
Leaflitter,0.689110562
Leaflitter,0.932356106
Leaflitter,0.789057146
Leaflitter,0.249222971
Leaflitter,0.151831124
Leaflitter,0.238616514
Leaflitter,0.77386127
Leaflitter,0.132161074
Leaflitter,0.730878792
Leaflitter,0.055602665
Leaflitter,0.830080195
Leaflitter,0.118432846
Leaflitter,0.807005047
Leaflitter,0.100415799
Leaflitter,0.246441041
Leaflitter,0.26150512
Leaflitter,0.617167647
Leaflitter,0.259202642
Leaflitter,0.521597211
Leaflitter,0.642150307
Leaflitter,0.8450253
Leaflitter,0.500370601
Leaflitter,0.078175233
Leaflitter,0.456954952
Leaflitter,0.512432272
Leaflitter,0.749205795
Leaflitter,0.325703786
Leaflitter,0.547167094
Leaflitter,0.651927023
Leaflitter,0.968441012
Leaflitter,0.880557868
Leaflitter,0.44388057
Leaflitter,0.443483501
Leaflitter,0.189715476
Leaflitter,0.911044983
Leaflitter,0.920195194
Leaflitter,0.724719492
Leaflitter,0.067202445
Leaflitter,0.69513772
Leaflitter,0.044708035
Leaflitter,0.639265384
Leaflitter,0.91522476
Leaflitter,0.457649112
Leaflitter,0.888363424
Leaflitter,0.842500343
Leaflitter,0.266474917
Leaflitter,0.251760777
Leaflitter,0.318373195
Leaflitter,0.41388648
Leaflitter,0.704718686
Leaflitter,0.811423831
Leaflitter,0.722462949
Leaflitter,0.836132731
Leaflitter,0.171731195
Leaflitter,0.843399878
Leaflitter,0.614752231
Leaflitter,0.855406025
Leaflitter,0.321978435
Leaflitter,0.782967331
Leaflitter,0.226375786
Leaflitter,0.560257316
Leaflitter,0.085945869
Leaflitter,0.191148818
Leaflitter,0.151463748
Leaflitter,0.645182581
Leaflitter,0.959663266
Leaflitter,0.391448051
Leaflitter,0.226691018
Leaflitter,0.356085686
Leaflitter,0.736995394
Leaflitter,0.811455599
Leaflitter,0.099653661
Leaflitter,0.880859615
Leaflitter,0.980792256
Leaflitter,0.833845248
Leaflitter,0.506199345
Leaflitter,0.127267957
Leaflitter,0.123199645
Leaflitter,0.454132074
Leaflitter,0.932057759
Leaflitter,0.306963638
Leaflitter,0.874128841
Leaflitter,0.609181537
Leaflitter,0.894132468
Leaflitter,0.391659481
Leaflitter,0.588468738
Leaflitter,0.603770491
Leaflitter,0.254607913
Leaflitter,0.666656753
Leaflitter,0.342562031
Leaflitter,0.680708125
Leaflitter,0.233622827
Leaflitter,0.837165648
Leaflitter,0.592969311
Leaflitter,0.943422007
Leaflitter,0.918343773
Leaflitter,0.675583393
Leaflitter,0.766426107
Leaflitter,0.215969705
Leaflitter,0.789234543
Leaflitter,0.636025772
Leaflitter,0.312321068
Leaflitter,0.715262631
Leaflitter,0.810073405
Leaflitter,0.35366027
Leaflitter,0.197468829
Leaflitter,0.457010191
Leaflitter,0.900630606
Leaflitter,0.244926125
Leaflitter,0.890917854
Leaflitter,0.108146148
Leaflitter,0.400635764
Leaflitter,0.233471764
Leaflitter,0.196966882
Leaflitter,0.860879079
Leaflitter,0.641972776
Leaflitter,0.571533972
Leaflitter,0.190429218
Leaflitter,0.626097082
Leaflitter,0.725247736
Leaflitter,0.767087283
Leaflitter,0.376384188
Leaflitter,0.498269378
Leaflitter,0.97004502
Leaflitter,0.633723238
Leaflitter,0.832662522
Leaflitter,0.548434597
Leaflitter,0.739301429
Leaflitter,0.338608712
Leaflitter,0.304406682
Leaflitter,0.940120932
Leaflitter,0.511629719
Leaflitter,0.853138893
Leaflitter,0.255759437
Leaflitter,0.665998199
Leaflitter,0.377849927
Leaflitter,0.098413132
Leaflitter,0.016175928
Leaflitter,0.49568342
Leaflitter,0.914373658
Leaflitter,0.558027735
Leaflitter,0.377461828
Leaflitter,0.604979193
Leaflitter,0.448783566
Leaflitter,0.978504688
Leaflitter,0.869020376
Leaflitter,0.299496303
Leaflitter,0.038963303
Leaflitter,0.66327188
Leaflitter,0.825447352
Leaflitter,0.55245065
Leaflitter,0.019799949
Leaflitter,0.509455969
Leaflitter,0.871873515
Leaflitter,0.914548269
Leaflitter,0.532481252
Leaflitter,0.537914466
Leaflitter,0.953499768
Leaflitter,0.127379942
Leaflitter,0.38165056
Leaflitter,0.757640995
Leaflitter,0.778467742
Leaflitter,0.649167231
Leaflitter,0.170786829
Leaflitter,0.964011777
Leaflitter,0.043537959
Leaflitter,0.145343752
Leaflitter,0.80079056
Leaflitter,0.919880155
Leaflitter,0.686253975
Leaflitter,0.009121144
Leaflitter,0.927291495
Leaflitter,0.392887802
Leaflitter,0.957171517
Leaflitter,0.707066729
Leaflitter,0.759510508
Leaflitter,0.617520828
Leaflitter,0.899014632
Leaflitter,0.490151062
Leaflitter,0.654116048
Leaflitter,0.960431028
Leaflitter,0.800843906
Leaflitter,0.526245246
Leaflitter,0.538937165
Leaflitter,0.803021401
Leaflitter,0.941553609
Leaflitter,0.934171678
Leaflitter,0.739522452
Leaflitter,0.714455718
Leaflitter,0.205695634
Leaflitter,0.82737204
Leaflitter,0.463632792
Leaflitter,0.610556961
Leaflitter,0.211526368
Leaflitter,0.831772712
Leaflitter,0.215652943
Leaflitter,0.91578289
Leaflitter,0.712238973
Leaflitter,0.025998515
Leaflitter,0.529739831
Leaflitter,0.889212676
Leaflitter,0.671615336
Leaflitter,0.126813226
Leaflitter,0.975243249
Leaflitter,0.493064922
Leaflitter,0.425645908
Leaflitter,0.539482877
Leaflitter,0.453345867
Leaflitter,0.724432085
Leaflitter,0.069388728
Leaflitter,0.870751551
Leaflitter,0.376580908
Leaflitter,0.236677484
Leaflitter,0.66755799
Leaflitter,0.27459949
Leaflitter,0.76970598
Leaflitter,0.304042201
Leaflitter,0.258748032
Leaflitter,0.111528591
Leaflitter,0.459468368
Leaflitter,0.758417075
Leaflitter,0.744474061
Leaflitter,0.343787147
Leaflitter,0.324634443
Leaflitter,0.8672793
Leaflitter,0.784171738
Leaflitter,0.653387456
Leaflitter,0.68964996
Leaflitter,0.234376605
Leaflitter,0.648235203
Leaflitter,0.712242731
Leaflitter,0.141840529
Leaflitter,0.748372484
Leaflitter,0.08730616
Leaflitter,0.406327393
Leaflitter,0.843850889
Leaflitter,0.172496173
Leaflitter,0.12427242
Leaflitter,0.92123021
Leaflitter,0.594812188
Leaflitter,0.2666903
Leaflitter,0.737896684
Leaflitter,0.078006262
Leaflitter,0.873506542
Leaflitter,0.1074155
Leaflitter,0.2120845
Leaflitter,0.074564784
Leaflitter,0.235984571
Leaflitter,0.854412963
Leaflitter,0.868016007
Leaflitter,0.520687631
Leaflitter,0.947413635
Leaflitter,0.643233588
Leaflitter,0.690496176
Leaflitter,0.442406235
Leaflitter,0.829748193
Leaflitter,0.809187414
Leaflitter,0.519814438
Leaflitter,0.068795986
Leaflitter,0.110547624
Leaflitter,0.948140766
Leaflitter,0.51094548
Leaflitter,0.420856823
Leaflitter,0.034319696
Leaflitter,0.826861845
Leaflitter,0.92947374
Leaflitter,0.78275106
Leaflitter,0.717907855
Leaflitter,0.961887748
Leaflitter,0.069064073
Leaflitter,0.80527494
Leaflitter,0.388400245
Leaflitter,0.301142352
Leaflitter,0.001720917
Leaflitter,0.804549156
Leaflitter,0.617153097
Leaflitter,0.195944525
Leaflitter,0.329593609
Leaflitter,0.701021915
Leaflitter,0.370712033
Leaflitter,0.763143332
Leaflitter,0.716965717
Leaflitter,0.911337889
Leaflitter,0.46911043
Leaflitter,0.605088397
Leaflitter,0.628175179
Leaflitter,0.763532017
Leaflitter,0.306678608
Leaflitter,0.861111778
Leaflitter,0.022065716
Leaflitter,0.947267779
Leaflitter,0.363182634
Leaflitter,0.122219872
Leaflitter,0.051879652
Leaflitter,0.78515874
Leaflitter,0.589222754
Leaflitter,0.563172924
Leaflitter,0.938405036
Leaflitter,0.944550526
Leaflitter,0.249702823
Leaflitter,0.922665914
Leaflitter,0.761949493
Leaflitter,0.431618223
Leaflitter,0.0100138
Leaflitter,0.185434423
Leaflitter,0.567491149
Leaflitter,0.64764132
Leaflitter,0.599098861
Leaflitter,0.170962265
Leaflitter,0.018872674
Leaflitter,0.412176
Leaflitter,0.819069437
Leaflitter,0.053565178
Leaflitter,0.789478981
Leaflitter,0.069703115
Leaflitter,0.703790138
Leaflitter,0.794741265
Leaflitter,0.629045132
Leaflitter,0.650069591
Leaflitter,0.440248437
Leaflitter,0.894228613
Leaflitter,0.662577882
Leaflitter,0.275004561
Leaflitter,0.42706346
Leaflitter,0.034023696
Leaflitter,0.725526814
Leaflitter,0.29769905
Leaflitter,0.75052007
Leaflitter,0.291363247
Leaflitter,0.708729699
Leaflitter,0.786009183
Leaflitter,0.07973423
Leaflitter,0.406988249
Leaflitter,0.360590483
Leaflitter,0.910612769
Leaflitter,0.478739481
Leaflitter,0.561387861
Leaflitter,0.330540218
Leaflitter,0.319642261
Leaflitter,0.587459023
Leaflitter,0.870208733
Leaflitter,0.954785753
Leaflitter,0.877876722
Leaflitter,0.333315923
Leaflitter,0.509082142
Leaflitter,0.178385903
Leaflitter,0.72546783
Leaflitter,0.767582319
Leaflitter,0.428312705
Leaflitter,0.530366585
Leaflitter,0.376682344
Leaflitter,0.719311146
Leaflitter,0.756655938
Leaflitter,0.764905608
Leaflitter,0.824247959
Leaflitter,0.83479662
Leaflitter,0.645071636
Leaflitter,0.564939543
Leaflitter,0.957080886
Leaflitter,0.838366214
Leaflitter,0.727449405
Leaflitter,0.723464412
Leaflitter,0.019441289
Leaflitter,0.5020682
Leaflitter,0.74873059
Leaflitter,0.533524257
Leaflitter,0.706199549
Leaflitter,0.607104104
Leaflitter,0.814588481
Leaflitter,0.725114095
Leaflitter,0.737834261
Leaflitter,0.501152252
Leaflitter,0.934805826
Leaflitter,0.094975052
Leaflitter,0.73646893
Leaflitter,0.793174844
Leaflitter,0.692367127
Leaflitter,0.987761358
Leaflitter,0.645912901
Leaflitter,0.922558681
Leaflitter,0.648295138
Leaflitter,0.896480031
Leaflitter,0.849522534
Leaflitter,0.685064305
Leaflitter,0.842448996
Leaflitter,0.048206643
Leaflitter,0.749888866
Leaflitter,0.557103203
Leaflitter,0.701499938
Leaflitter,0.02606969
Leaflitter,0.067326686
Leaflitter,0.868790893
Leaflitter,0.912822815
Leaflitter,0.211334556
Leaflitter,0.843192378
Leaflitter,0.985829367
Leaflitter,0.015319271
Leaflitter,0.897957625
Leaflitter,0.139473221
Leaflitter,0.674411345
Leaflitter,0.833987492
Leaflitter,0.79764869
Leaflitter,0.743713892
Leaflitter,0.783587842
Leaflitter,0.457809105
Leaflitter,0.258759551
Leaflitter,0.661240582
Leaflitter,0.492833143
Leaflitter,0.341653152
Leaflitter,0.862795968
Leaflitter,0.881975183
Leaflitter,0.820835249
Leaflitter,0.813088553
Leaflitter,0.629073826
Leaflitter,0.72443226
Leaflitter,0.50710395
Leaflitter,0.724130546
Leaflitter,0.907131518
Leaflitter,0.018698994
Leaflitter,0.670599446
Leaflitter,0.805451529
Leaflitter,0.040214496
Leaflitter,0.282330772
Leaflitter,0.746336274
Leaflitter,0.890894662
Leaflitter,0.723573822
Leaflitter,0.182757747
Leaflitter,0.491625725
Leaflitter,0.17928034
Leaflitter,0.559879708
Leaflitter,0.732544574
Leaflitter,0.285072828
Leaflitter,0.186231631
Leaflitter,0.544982491
Leaflitter,0.902616308
Leaflitter,0.862599423
Leaflitter,0.030868195
Leaflitter,0.163859458
Leaflitter,0.955848903
Leaflitter,0.729182052
Leaflitter,0.581470563
Leaflitter,0.852951497
Leaflitter,0.400225048
Leaflitter,0.829659062
Leaflitter,0.106701697
Leaflitter,0.919472465
Leaflitter,0.167281264
Leaflitter,0.391710294
Leaflitter,0.142282861
Leaflitter,0.963168663
Leaflitter,0.343903327
Leaflitter,0.265450135
Leaflitter,0.032915113
Leaflitter,0.864408455
Leaflitter,0.602251632
Leaflitter,0.765523268
Leaflitter,0.371081951
Leaflitter,0.080902702
Leaflitter,0.932163163
Leaflitter,0.525042162
Leaflitter,0.812248441
Leaflitter,0.528916189
Leaflitter,0.82341443
Leaflitter,0.508039822
Leaflitter,0.882006028
Leaflitter,0.53085945
Leaflitter,0.912162715
Leaflitter,0.97852677
Leaflitter,0.077376488
Leaflitter,0.29427617
Leaflitter,0.003015166
Leaflitter,0.804516403
Leaflitter,0.538141757
Leaflitter,0.528682028
Leaflitter,0.904271834
Leaflitter,0.594752949
Leaflitter,0.191929507
Leaflitter,0.944862831
Leaflitter,0.482269999
Leaflitter,0.401761616
Leaflitter,0.114172724
Leaflitter,0.297419606
Leaflitter,0.743506102
Leaflitter,0.161323404
Leaflitter,0.750500482
Leaflitter,0.629520438
Leaflitter,0.031751528
Leaflitter,0.454954205
Leaflitter,0.826598887
Leaflitter,0.799052449
Leaflitter,0.59180237
Leaflitter,0.49497525
Leaflitter,0.77760981
Leaflitter,0.677192309
Leaflitter,0.288628482
Leaflitter,0.560932204
Leaflitter,0.356786794
Leaflitter,0.155139189
Leaflitter,0.215994409
Leaflitter,0.128204427
Leaflitter,0.403379251
Leaflitter,0.79103768
Leaflitter,0.548313664
Leaflitter,0.534020277
Leaflitter,0.10791675
Leaflitter,0.939645342
Leaflitter,0.766338461
Leaflitter,0.294317056
Leaflitter,0.754104186
Leaflitter,0.069077455
Leaflitter,0.050923602
Leaflitter,0.845316652
Leaflitter,0.018595791
Leaflitter,0.319108254
Leaflitter,0.95864854
Leaflitter,0.451808664
Leaflitter,0.085972352
Leaflitter,0.885819605
Leaflitter,0.36642421
Leaflitter,0.79952013
Leaflitter,0.787329069
Leaflitter,0.328614719
Leaflitter,0.392406666
Leaflitter,0.674628705
Leaflitter,0.726397154
Leaflitter,0.335144757
Leaflitter,0.834332385
Leaflitter,0.821991847
Leaflitter,0.755029096
Leaflitter,0.307836784
Leaflitter,0.743288125
Leaflitter,0.685027628
Leaflitter,0.581493653
Leaflitter,0.160650324
Leaflitter,0.714772647
Leaflitter,0.689277261
Leaflitter,0.879621935
Leaflitter,0.852940812
Leaflitter,0.56300029
Leaflitter,0.656648657
Leaflitter,0.613731511
Leaflitter,0.676103319
Leaflitter,0.016380281
Leaflitter,0.482326047
Leaflitter,0.559475137
Leaflitter,0.379061014
Leaflitter,0.62926187
Leaflitter,0.873665844
Leaflitter,0.007579477
Leaflitter,0.864968157
Leaflitter,0.591329363
Leaflitter,0.487523963
Leaflitter,0.017921582
Leaflitter,0.223278571
Leaflitter,0.776125302
Leaflitter,0.754865122
Leaflitter,0.897526025
Leaflitter,0.474388087
Leaflitter,0.377795571
Leaflitter,0.472777238
Leaflitter,0.160094916
Leaflitter,0.100360653
Leaflitter,0.921301808
Leaflitter,0.50856401
Leaflitter,0.760195532
Leaflitter,0.225578068
Leaflitter,0.5697709
Leaflitter,0.699741623
Leaflitter,0.392630533
Leaflitter,0.064830565
Leaflitter,0.893098337
Leaflitter,0.464345756
Leaflitter,0.89243392
Leaflitter,0.885535611
Leaflitter,0.924351192
Leaflitter,0.849436566
Leaflitter,0.671229745
Leaflitter,0.219954269
Leaflitter,0.579467009
Leaflitter,0.788305994
Leaflitter,0.60354317
Leaflitter,0.889943537
Leaflitter,0.902239268
Leaflitter,0.634219516
Leaflitter,0.950651669
Leaflitter,0.6253933
Leaflitter,0.783055652
Leaflitter,0.688688846
Leaflitter,0.70209191
Leaflitter,0.535205836
Leaflitter,0.578616525
Leaflitter,0.637725967
Leaflitter,0.837303488
Leaflitter,0.747426842
Leaflitter,0.149306175
Leaflitter,0.600347299
Leaflitter,0.048123819
Leaflitter,0.404486674
Leaflitter,0.327801735
Leaflitter,0.796905937
