source,density
Leaflitter,0.845965987
Leaflitter,0.73580497
Leaflitter,0.687157869
Leaflitter,0.936546516
Leaflitter,0.872655725
Leaflitter,0.768553454
Leaflitter,0.890228026
Leaflitter,0.852869017
Leaflitter,0.71475095
Leaflitter,0.75545802
Leaflitter,0.63176504
Leaflitter,0.900817779
Leaflitter,0.755006572
Leaflitter,0.823385951
Leaflitter,0.597606728
Leaflitter,0.841316827
Leaflitter,0.885594072
Leaflitter,0.931098393
Leaflitter,0.790839541
Leaflitter,0.668484456
Leaflitter,0.681991395
Leaflitter,0.752914627
Leaflitter,0.759584183
Leaflitter,0.376555895
Leaflitter,0.910768403
Leaflitter,0.740703724
Leaflitter,0.857456661
Leaflitter,0.767253215
Leaflitter,0.544260429
Leaflitter,0.615030514
Leaflitter,0.87052058
Leaflitter,0.727480047
Leaflitter,0.813703847
Leaflitter,0.891283537
Leaflitter,0.7939799
Leaflitter,0.749279603
Leaflitter,0.769418297
Leaflitter,0.851815329
Leaflitter,0.875682394
Leaflitter,0.961891646
Leaflitter,0.958679266
Leaflitter,0.767010202
Leaflitter,0.790649441
Leaflitter,0.901583951
Leaflitter,0.748164923
Leaflitter,0.81419218
Leaflitter,0.916578075
Leaflitter,0.824718264
Leaflitter,0.884938185
Leaflitter,0.715803125
Leaflitter,0.979205843
Leaflitter,0.883738026
Leaflitter,0.853992633
Leaflitter,0.942601155
Leaflitter,0.649896357
Leaflitter,0.884912809
Leaflitter,0.952017489
Leaflitter,0.80787095
Leaflitter,0.820782281
Leaflitter,0.839660126
Leaflitter,0.922595367
Leaflitter,0.972865024
Leaflitter,0.832279026
Leaflitter,0.702443299
Leaflitter,0.499605132
Leaflitter,0.895675432
Leaflitter,0.74015841
Leaflitter,0.899676732
Leaflitter,0.95081644
Leaflitter,0.798938785
Leaflitter,0.640331171
Leaflitter,0.901326517
Leaflitter,0.728066631
Leaflitter,0.807890973
Leaflitter,0.971436516
Leaflitter,0.819580129
Leaflitter,0.900255722
Leaflitter,0.944853393
Leaflitter,0.539058928
Leaflitter,0.699117389
Leaflitter,0.773463485
Leaflitter,0.944914385
Leaflitter,0.769455678
Leaflitter,0.913338269
Leaflitter,0.799841737
Leaflitter,0.849404577
Leaflitter,0.950336567
Leaflitter,0.723128735
Leaflitter,0.454041942
Leaflitter,0.744630556
Leaflitter,0.729610076
Leaflitter,0.720630963
Leaflitter,0.962695899
Leaflitter,0.977677107
Leaflitter,0.769018652
Leaflitter,0.942462392
Leaflitter,0.882598057
Leaflitter,0.728432416
Leaflitter,0.749299687
Leaflitter,0.969405343
Leaflitter,0.80009853
Leaflitter,0.707660502
Leaflitter,0.861655874
Leaflitter,0.847956949
Leaflitter,0.909884844
Leaflitter,0.895074258
Leaflitter,0.814185306
Leaflitter,0.960203677
Leaflitter,0.500041421
Leaflitter,0.608636955
Leaflitter,0.59799554
Leaflitter,0.798975061
Leaflitter,0.707463453
Leaflitter,0.933492136
