source,density
Leaflitter,0.752112628
Leaflitter,0.398872244
Leaflitter,0.58075811
Leaflitter,0.895072127
Leaflitter,0.025059205
Leaflitter,0.658978097
Leaflitter,0.657682001
Leaflitter,0.026432602
Leaflitter,0.354473783
Leaflitter,0.737726851
Leaflitter,0.028568302
Leaflitter,0.254095951
Leaflitter,0.198578202
Leaflitter,0.341103038
Leaflitter,0.818983156
Leaflitter,0.814992517
Leaflitter,0.431160718
Leaflitter,0.815490087
Leaflitter,0.138091653
Leaflitter,0.81840706
Leaflitter,0.279034516
Leaflitter,0.044118678
Leaflitter,0.743173453
Leaflitter,0.150005148
Leaflitter,0.467027641
Leaflitter,0.699250037
Leaflitter,0.839841106
Leaflitter,0.641347829
Leaflitter,0.432339899
Leaflitter,0.039092718
Leaflitter,0.955423942
Leaflitter,0.713818468
Leaflitter,0.150248705
Leaflitter,0.391830716
Leaflitter,0.861825941
Leaflitter,0.006405865
Leaflitter,0.66997684
Leaflitter,0.693208091
Leaflitter,0.738961765
Leaflitter,0.054613857
Leaflitter,0.737334019
Leaflitter,0.413035319
Leaflitter,0.027741744
Leaflitter,0.50692067
Leaflitter,0.043979167
Leaflitter,0.805962092
Leaflitter,0.590093768
Leaflitter,0.706930077
Leaflitter,0.829936524
Leaflitter,0.300508075
Leaflitter,0.478675283
Leaflitter,0.81665559
Leaflitter,0.125586461
Leaflitter,0.241397501
Leaflitter,0.740540459
Leaflitter,0.956180193
Leaflitter,0.272028721
Leaflitter,0.853856513
Leaflitter,0.637554734
Leaflitter,0.690018706
Leaflitter,0.851326403
Leaflitter,0.916385453
Leaflitter,0.843183521
Leaflitter,0.039328858
Leaflitter,0.029158641
Leaflitter,0.899770226
Leaflitter,0.248111137
Leaflitter,0.010990182
Leaflitter,0.640504213
Leaflitter,0.087835488
Leaflitter,0.172568888
Leaflitter,0.226538607
Leaflitter,0.78296448
Leaflitter,0.163768563
Leaflitter,0.658147459
Leaflitter,0.664522132
Leaflitter,0.049457282
Leaflitter,0.097364015
Leaflitter,0.778291696
Leaflitter,0.622257963
Leaflitter,0.287844035
Leaflitter,0.703323872
Leaflitter,0.050027117
Leaflitter,0.804900543
Leaflitter,0.017749559
Leaflitter,0.854027142
Leaflitter,0.688639632
Leaflitter,0.650508185
Leaflitter,0.975784413
Leaflitter,0.188687879
Leaflitter,0.69530059
Leaflitter,0.336337668
Leaflitter,0.301091563
Leaflitter,0.454306825
Leaflitter,0.786240479
Leaflitter,0.291191479
Leaflitter,0.653186685
Leaflitter,0.033417434
Leaflitter,0.307613952
Leaflitter,0.891034901
Leaflitter,0.758328889
Leaflitter,0.869198809
Leaflitter,0.033325594
Leaflitter,0.647173633
Leaflitter,0.23361067
Leaflitter,0.873247662
Leaflitter,0.700614252
Leaflitter,0.352731774
Leaflitter,0.350872619
Leaflitter,0.119650037
Leaflitter,0.43851233
Leaflitter,0.264374528
Leaflitter,0.886758869
Leaflitter,0.592745202
Leaflitter,0.010524472
Leaflitter,0.444653605
Leaflitter,0.381444921
Leaflitter,0.902228589
Leaflitter,0.722245601
Leaflitter,0.869926942
Leaflitter,0.798898591
Leaflitter,0.761478847
Leaflitter,0.549434563
Leaflitter,0.885203094
Leaflitter,0.079145244
Leaflitter,0.85699144
Leaflitter,0.626595204
Leaflitter,0.850696487
Leaflitter,0.46664558
Leaflitter,0.955841063
Leaflitter,0.912496064
Leaflitter,0.507768023
Leaflitter,0.828176747
Leaflitter,0.614444175
Leaflitter,0.565640755
Leaflitter,0.252608293
Leaflitter,0.822679864
Leaflitter,0.036140019
Leaflitter,0.765450806
Leaflitter,0.796202668
Leaflitter,0.003873817
Leaflitter,0.625911916
Leaflitter,0.184040159
Leaflitter,0.609212994
Leaflitter,0.81486847
Leaflitter,0.565549062
Leaflitter,0.091499826
Leaflitter,0.287978672
Leaflitter,0.439735189
Leaflitter,0.716833502
Leaflitter,0.460398364
Leaflitter,0.615743665
Leaflitter,0.062122357
Leaflitter,0.727657534
Leaflitter,0.022283152
Leaflitter,0.843397929
Leaflitter,0.085953442
Leaflitter,0.933339243
Leaflitter,0.764779362
Leaflitter,0.251714269
Leaflitter,0.2136403
Leaflitter,0.083271797
Leaflitter,0.9060108
Leaflitter,0.193801614
Leaflitter,0.305879775
Leaflitter,0.105945467
Leaflitter,0.027573539
Leaflitter,0.669801903
Leaflitter,0.722480347
Leaflitter,0.794417489
Leaflitter,0.523519207
Leaflitter,0.222059242
Leaflitter,0.020821502
Leaflitter,0.591310316
Leaflitter,0.15296208
Leaflitter,0.483206039
Leaflitter,0.218333505
Leaflitter,0.045496365
Leaflitter,0.619804203
Leaflitter,0.283018442
Leaflitter,0.859240435
Leaflitter,0.540107498
Leaflitter,0.255623396
Leaflitter,0.015781927
Leaflitter,0.901809542
Leaflitter,0.720885142
Leaflitter,0.2297075
Leaflitter,0.063405359
Leaflitter,0.954175129
Leaflitter,0.840638669
Leaflitter,0.3922383
Leaflitter,0.718993343
Leaflitter,0.085103905
Leaflitter,0.896463463
Leaflitter,0.792663976
Leaflitter,0.805399724
Leaflitter,0.035555137
Leaflitter,0.744796442
Leaflitter,0.803203742
Leaflitter,0.27397059
Leaflitter,0.799879318
Leaflitter,0.814693981
Leaflitter,0.76733668
Leaflitter,0.486438845
Leaflitter,0.901581029
Leaflitter,0.106914537
Leaflitter,0.211210532
Leaflitter,0.565591755
Leaflitter,0.790423913
Leaflitter,0.000788519
Leaflitter,0.097706116
Leaflitter,0.442978943
Leaflitter,0.849407536
Leaflitter,0.839529875
Leaflitter,0.76545366
Leaflitter,0.223911205
Leaflitter,0.962294368
Leaflitter,0.91314426
Leaflitter,0.013122506
Leaflitter,0.259674322
Leaflitter,0.681740369
Leaflitter,0.227995126
Leaflitter,0.65403377
Leaflitter,0.689103642
Leaflitter,0.820329704
Leaflitter,0.203538267
Leaflitter,0.502689185
Leaflitter,0.180629621
Leaflitter,0.819267897
Leaflitter,0.167432638
Leaflitter,0.003942405
Leaflitter,0.812983931
Leaflitter,0.540237036
Leaflitter,0.881033043
Leaflitter,0.10194318
Leaflitter,0.728018743
Leaflitter,0.110059854
Leaflitter,0.007285931
Leaflitter,0.806379819
