source,density
Leaflitter,0.856581293
Leaflitter,0.918531232
Leaflitter,0.830241259
Leaflitter,0.89320017
Leaflitter,0.920598781
Leaflitter,0.933633442
Leaflitter,0.886605576
Leaflitter,0.674479182
Leaflitter,0.863028536
Leaflitter,0.886948819
Leaflitter,0.873882502
Leaflitter,0.905379879
Leaflitter,0.924336196
Leaflitter,0.964120377
Leaflitter,0.954028469
Leaflitter,0.736414295
Leaflitter,0.66267496
Leaflitter,0.722653839
Leaflitter,0.715558378
Leaflitter,0.672034782
Leaflitter,0.768461947
Leaflitter,0.6651821
Leaflitter,0.608509992
Leaflitter,0.833986699
Leaflitter,0.490216609
Leaflitter,0.91231715
Leaflitter,0.777211193
Leaflitter,0.939868279
Leaflitter,0.862995357
Leaflitter,0.850551657
Leaflitter,0.828956403
Leaflitter,0.710908573
Leaflitter,0.880945775
Leaflitter,0.62835454
Leaflitter,0.820050623
Leaflitter,0.608014966
Leaflitter,0.719265207
Leaflitter,0.787125409
Leaflitter,0.845671558
Leaflitter,0.83808191
Leaflitter,0.748610218
Leaflitter,0.912793218
Leaflitter,0.749158161
Leaflitter,0.778579748
Leaflitter,0.921978277
Leaflitter,0.788075519
Leaflitter,0.666346593
Leaflitter,0.772035882
Leaflitter,0.840353343
Leaflitter,0.9124372
Leaflitter,0.892842389
Leaflitter,0.892831703
Leaflitter,0.726342887
Leaflitter,0.694343345
Leaflitter,0.86387872
Leaflitter,0.981514285
Leaflitter,0.840769993
Leaflitter,0.808017565
Leaflitter,0.873838843
Leaflitter,0.899909476
Leaflitter,0.831457602
Leaflitter,0.791755799
Leaflitter,0.757794777
Leaflitter,0.730892163
Leaflitter,0.939747988
Leaflitter,0.623821566
Leaflitter,0.70324974
Leaflitter,0.928608402
Leaflitter,0.927694793
Leaflitter,0.846278333
Leaflitter,0.698686851
Leaflitter,0.928361504
Leaflitter,0.916290131
Leaflitter,0.932431401
Leaflitter,0.739798895
Leaflitter,0.972580762
Leaflitter,0.838335864
Leaflitter,0.698848253
Leaflitter,0.856553568
Leaflitter,0.779658298
Leaflitter,0.957674453
Leaflitter,0.7283696
Leaflitter,0.859605917
Leaflitter,0.874067424
Leaflitter,0.849254854
Leaflitter,0.903944495
Leaflitter,0.806814728
Leaflitter,0.786443509
Leaflitter,0.943509985
Leaflitter,0.758829745
Leaflitter,0.981292241
Leaflitter,0.723277535
Leaflitter,0.881324245
Leaflitter,0.789044921
Leaflitter,0.717441313
Leaflitter,0.860454858
Leaflitter,0.906720312
Leaflitter,0.878097165
Leaflitter,0.799763349
Leaflitter,0.860335068
Leaflitter,0.690867621
Leaflitter,0.892558379
Leaflitter,0.649593491
Leaflitter,0.768426661
Leaflitter,0.835462822
Leaflitter,0.699909388
Leaflitter,0.792830619
Leaflitter,0.661555358
Leaflitter,0.655749792
Leaflitter,0.960186999
Leaflitter,0.960498427
Leaflitter,0.920450645
Leaflitter,0.671072951
Leaflitter,0.894203812
Leaflitter,0.815791317
Leaflitter,0.741863482
Leaflitter,0.942070003
Leaflitter,0.92963932
Leaflitter,0.981869456
Leaflitter,0.626861951
Leaflitter,0.831199009
Leaflitter,0.916965618
Leaflitter,0.886667985
Leaflitter,0.829079248
Leaflitter,0.827344981
Leaflitter,0.88373476
Leaflitter,0.837457579
Leaflitter,0.59401706
Leaflitter,0.960100772
Leaflitter,0.79240975
Leaflitter,0.653530836
Leaflitter,0.859563049
Leaflitter,0.851146107
Leaflitter,0.872887205
Leaflitter,0.747003105
Leaflitter,0.859103315
Leaflitter,0.907284096
Leaflitter,0.689206904
Leaflitter,0.842984411
Leaflitter,0.853139503
Leaflitter,0.655617184
Leaflitter,0.932759668
Leaflitter,0.781228163
Leaflitter,0.959392375
Leaflitter,0.940487532
Leaflitter,0.793783674
Leaflitter,0.799146208
Leaflitter,0.961417589
Leaflitter,0.762580969
Leaflitter,0.84173273
Leaflitter,0.896444429
Leaflitter,0.981296212
Leaflitter,0.700545924
Leaflitter,0.921578274
Leaflitter,0.621459048
Leaflitter,0.786487303
Leaflitter,0.929376925
Leaflitter,0.838979189
Leaflitter,0.789881712
Leaflitter,0.836589962
Leaflitter,0.813173826
Leaflitter,0.86684161
Leaflitter,0.79848106
Leaflitter,0.898911316
Leaflitter,0.925208636
Leaflitter,0.676508548
Leaflitter,0.627342774
Leaflitter,0.633367577
Leaflitter,0.842310565
Leaflitter,0.706623336
Leaflitter,0.915722432
Leaflitter,0.82028927
Leaflitter,0.624811963
Leaflitter,0.921281524
Leaflitter,0.736174175
Leaflitter,0.910556813
Leaflitter,0.886608041
Leaflitter,0.93852073
Leaflitter,0.735118957
Leaflitter,0.790516559
Leaflitter,0.455257013
Leaflitter,0.869667967
Leaflitter,0.620368595
Leaflitter,0.710089096
Leaflitter,0.5890523
Leaflitter,0.672618302
Leaflitter,0.799475779
Leaflitter,0.832183501
Leaflitter,0.704526361
Leaflitter,0.843920677
Leaflitter,0.879822418
Leaflitter,0.648155235
Leaflitter,0.963714553
Leaflitter,0.959016964
Leaflitter,0.761822424
Leaflitter,0.942817757
Leaflitter,0.773786408
Leaflitter,0.74514213
Leaflitter,0.759016299
Leaflitter,0.814080773
Leaflitter,0.870496239
Leaflitter,0.909848529
Leaflitter,0.671623141
Leaflitter,0.826549375
Leaflitter,0.70576289
Leaflitter,0.779956746
Leaflitter,0.803291735
Leaflitter,0.70989098
Leaflitter,0.9415079
Leaflitter,0.761386389
Leaflitter,0.958820752
Leaflitter,0.955586902
Leaflitter,0.904808893
Leaflitter,0.742931468
Leaflitter,0.912304236
Leaflitter,0.768481311
Leaflitter,0.954816673
Leaflitter,0.850074268
Leaflitter,0.872166399
Leaflitter,0.980926246
Leaflitter,0.769878492
Leaflitter,0.746718242
Leaflitter,0.841618601
Leaflitter,0.796468535
Leaflitter,0.895398782
Leaflitter,0.870834484
Leaflitter,0.859699452
Leaflitter,0.721799455
Leaflitter,0.817165567
Leaflitter,0.828329581
Leaflitter,0.868690128
Leaflitter,0.632775772
Leaflitter,0.96495808
Leaflitter,0.738966976
Leaflitter,0.950727898
Leaflitter,0.87269312
Leaflitter,0.707867011
Leaflitter,0.719740828
Leaflitter,0.741275657
Leaflitter,0.8740923
Leaflitter,0.78146279
Leaflitter,0.854694245
Leaflitter,0.962582443
Leaflitter,0.934813792
Leaflitter,0.57905215
Leaflitter,0.527003275
Leaflitter,0.900310389
Leaflitter,0.908822518
Leaflitter,0.558789159
Leaflitter,0.964217156
Leaflitter,0.864802763
Leaflitter,0.790638599
Leaflitter,0.872668597
Leaflitter,0.91289619
Leaflitter,0.803740096
Leaflitter,0.906082289
Leaflitter,0.5447135
Leaflitter,0.780390877
Leaflitter,0.684359468
Leaflitter,0.70647984
Leaflitter,0.745614998
Leaflitter,0.885156909
Leaflitter,0.526560111
Leaflitter,0.703104839
Leaflitter,0.885088131
Leaflitter,0.72297089
Leaflitter,0.921343544
Leaflitter,0.904152363
Leaflitter,0.785978402
Leaflitter,0.833072001
Leaflitter,0.8336108
Leaflitter,0.922152765
Leaflitter,0.831940167
Leaflitter,0.895666104
Leaflitter,0.713096292
Leaflitter,0.693997825
Leaflitter,0.850086029
Leaflitter,0.781064125
Leaflitter,0.875053568
Leaflitter,0.78938207
Leaflitter,0.927399061
Leaflitter,0.969562684
Leaflitter,0.843763097
Leaflitter,0.787694711
Leaflitter,0.975681876
Leaflitter,0.854217183
Leaflitter,0.751101342
Leaflitter,0.656237101
Leaflitter,0.739671511
Leaflitter,0.878301745
Leaflitter,0.931401512
Leaflitter,0.841851916
Leaflitter,0.653453989
Leaflitter,0.469693541
Leaflitter,0.865701839
Leaflitter,0.651483837
Leaflitter,0.930229644
Leaflitter,0.745575766
Leaflitter,0.792059762
Leaflitter,0.637827929
Leaflitter,0.814557055
Leaflitter,0.590461909
Leaflitter,0.97550445
Leaflitter,0.903033937
Leaflitter,0.866786503
Leaflitter,0.858224453
Leaflitter,0.766156224
Leaflitter,0.694500204
Leaflitter,0.916956496
Leaflitter,0.907580833
Leaflitter,0.862505534
Leaflitter,0.715581222
Leaflitter,0.757926747
Leaflitter,0.722602621
Leaflitter,0.634518109
Leaflitter,0.766338242
Leaflitter,0.954341816
Leaflitter,0.789051401
Leaflitter,0.833305806
Leaflitter,0.838265043
Leaflitter,0.904936278
Leaflitter,0.834929413
Leaflitter,0.843624423
Leaflitter,0.868460879
Leaflitter,0.90588362
Leaflitter,0.680164214
Leaflitter,0.686225642
Leaflitter,0.67792843
Leaflitter,0.61565254
Leaflitter,0.656519768
Leaflitter,0.89014562
Leaflitter,0.879801949
Leaflitter,0.685274923
Leaflitter,0.727583749
Leaflitter,0.818753387
Leaflitter,0.694553311
Leaflitter,0.85496997
Leaflitter,0.77499113
Leaflitter,0.686409065
Leaflitter,0.853900356
Leaflitter,0.703965397
Leaflitter,0.911306227
Leaflitter,0.731339788
Leaflitter,0.712222882
Leaflitter,0.75210365
Leaflitter,0.930762453
Leaflitter,0.945398427
Leaflitter,0.916965629
Leaflitter,0.61509721
Leaflitter,0.801778663
Leaflitter,0.846927749
Leaflitter,0.877441594
Leaflitter,0.881282888
Leaflitter,0.779013385
Leaflitter,0.715455149
Leaflitter,0.74523953
Leaflitter,0.649622513
Leaflitter,0.896513313
Leaflitter,0.731122292
Leaflitter,0.728759607
Leaflitter,0.952216731
Leaflitter,0.916916479
Leaflitter,0.644498734
Leaflitter,0.61131596
Leaflitter,0.742605647
Leaflitter,0.691175082
Leaflitter,0.868477787
Leaflitter,0.835950938
Leaflitter,0.885777393
Leaflitter,0.746331418
Leaflitter,0.630693679
Leaflitter,0.971868144
Leaflitter,0.753651914
Leaflitter,0.797407252
Leaflitter,0.927951439
Leaflitter,0.635738011
Leaflitter,0.813240341
Leaflitter,0.906963711
Leaflitter,0.812239029
Leaflitter,0.855733311
Leaflitter,0.843072785
Leaflitter,0.628683617
Leaflitter,0.96603052
Leaflitter,0.753470591
Leaflitter,0.931236971
Leaflitter,0.866798429
Leaflitter,0.854619909
Leaflitter,0.626218654
Leaflitter,0.856626349
Leaflitter,0.599778831
Leaflitter,0.623933002
Leaflitter,0.662270905
Leaflitter,0.715363815
Leaflitter,0.777174586
Leaflitter,0.912648527
Leaflitter,0.651286148
Leaflitter,0.911777583
Leaflitter,0.978940974
Leaflitter,0.754876819
Leaflitter,0.893983408
Leaflitter,0.813078075
Leaflitter,0.716828405
Leaflitter,0.773695575
Leaflitter,0.969688392
Leaflitter,0.85187202
Leaflitter,0.747607041
Leaflitter,0.892241378
Leaflitter,0.593438096
Leaflitter,0.642127238
Leaflitter,0.854541853
Leaflitter,0.736030181
Leaflitter,0.736821787
Leaflitter,0.759221987
Leaflitter,0.910403057
Leaflitter,0.920337452
Leaflitter,0.520587693
Leaflitter,0.981726264
Leaflitter,0.753021432
Leaflitter,0.83640774
Leaflitter,0.892553044
Leaflitter,0.461273269
Leaflitter,0.926155371
Leaflitter,0.911653308
Leaflitter,0.761525788
Leaflitter,0.941631629
Leaflitter,0.967658464
Leaflitter,0.649947471
Leaflitter,0.704174884
Leaflitter,0.886101316
Leaflitter,0.590853036
Leaflitter,0.629462175
Leaflitter,0.877271294
Leaflitter,0.793873205
Leaflitter,0.836238908
Leaflitter,0.819989209
Leaflitter,0.758867521
Leaflitter,0.625074053
Leaflitter,0.90737036
Leaflitter,0.937095378
Leaflitter,0.921370002
Leaflitter,0.864990679
Leaflitter,0.936080061
Leaflitter,0.646022017
Leaflitter,0.908903937
Leaflitter,0.721046923
Leaflitter,0.780480799
Leaflitter,0.745132891
Leaflitter,0.771453388
Leaflitter,0.87908991
Leaflitter,0.824130659
Leaflitter,0.806737963
Leaflitter,0.79777928
Leaflitter,0.93601884
Leaflitter,0.9106551
Leaflitter,0.856148885
Leaflitter,0.883815594
Leaflitter,0.908072639
Leaflitter,0.568438419
Leaflitter,0.852338565
Leaflitter,0.866840319
Leaflitter,0.645988249
Leaflitter,0.866274599
Leaflitter,0.781392948
Leaflitter,0.871893696
Leaflitter,0.912403629
Leaflitter,0.859224142
Leaflitter,0.857206999
Leaflitter,0.634676236
