source,density
Leaflitter,0.865103206
Leaflitter,0.659968965
Leaflitter,0.115944438
Leaflitter,0.080771092
Leaflitter,0.75472621
Leaflitter,0.108074304
Leaflitter,0.435159759
Leaflitter,0.019501972
Leaflitter,0.172296859
Leaflitter,0.642655266
Leaflitter,0.078982904
Leaflitter,0.200671939
Leaflitter,0.140812698
Leaflitter,0.051418956
Leaflitter,0.980845934
Leaflitter,0.188708373
Leaflitter,0.89843886
Leaflitter,0.072491948
Leaflitter,0.897511193
Leaflitter,0.019167901
Leaflitter,0.311574575
Leaflitter,0.754310248
Leaflitter,0.051873719
Leaflitter,0.798824764
Leaflitter,0.098153024
Leaflitter,0.407671911
Leaflitter,0.216135817
Leaflitter,0.699007512
Leaflitter,0.154298638
Leaflitter,0.534424802
Leaflitter,0.010922617
Leaflitter,0.286393555
Leaflitter,0.027058365
Leaflitter,0.346151071
Leaflitter,0.042475068
Leaflitter,0.280943192
Leaflitter,0.090328101
Leaflitter,0.160238246
Leaflitter,0.634980405
Leaflitter,0.105383854
Leaflitter,0.677951829
Leaflitter,0.47978541
Leaflitter,0.08803409
Leaflitter,0.605470939
Leaflitter,0.009705448
Leaflitter,0.012348992
Leaflitter,0.220275825
Leaflitter,0.603617799
Leaflitter,0.004067296
Leaflitter,0.024216997
Leaflitter,0.368073113
Leaflitter,0.001785586
Leaflitter,0.208447392
Leaflitter,0.048579656
Leaflitter,0.065600743
Leaflitter,0.591528718
Leaflitter,0.165053683
Leaflitter,0.238537025
Leaflitter,0.05097398
Leaflitter,0.630736019
Leaflitter,0.043055661
Leaflitter,0.732824917
Leaflitter,0.140596004
Leaflitter,0.02435003
Leaflitter,0.03019986
Leaflitter,0.239472068
Leaflitter,0.587225507
Leaflitter,0.404901104
Leaflitter,0.089583621
Leaflitter,0.048329349
Leaflitter,0.166384781
Leaflitter,0.138911251
Leaflitter,0.917467416
Leaflitter,0.094754214
Leaflitter,0.244616343
Leaflitter,0.17471044
Leaflitter,0.488118029
Leaflitter,0.606727541
Leaflitter,0.019102701
Leaflitter,0.066655891
Leaflitter,0.15106058
Leaflitter,0.101736771
Leaflitter,0.07777431
Leaflitter,0.875716177
Leaflitter,0.421530924
