source,density
Leaflitter,0.891853012
Leaflitter,0.696992257
Leaflitter,0.78079709
Leaflitter,0.869686774
Leaflitter,0.846635576
Leaflitter,0.83222261
Leaflitter,0.879344703
Leaflitter,0.880981822
Leaflitter,0.728911471
Leaflitter,0.95262313
Leaflitter,0.831532088
Leaflitter,0.869833297
Leaflitter,0.717252776
Leaflitter,0.524402758
Leaflitter,0.766127925
Leaflitter,0.874161437
Leaflitter,0.777803284
Leaflitter,0.815431375
Leaflitter,0.772044881
Leaflitter,0.887919005
Leaflitter,0.87678743
Leaflitter,0.931072225
Leaflitter,0.765721578
Leaflitter,0.847837181
Leaflitter,0.888443679
Leaflitter,0.901092767
Leaflitter,0.633199781
Leaflitter,0.961684108
Leaflitter,0.750397168
Leaflitter,0.978200397
Leaflitter,0.838401399
Leaflitter,0.754073212
Leaflitter,0.84340669
Leaflitter,0.867254803
Leaflitter,0.911681448
Leaflitter,0.601813779
Leaflitter,0.849634791
Leaflitter,0.859290025
Leaflitter,0.64398359
Leaflitter,0.648982245
Leaflitter,0.950202061
Leaflitter,0.714513177
Leaflitter,0.948125594
Leaflitter,0.695175318
Leaflitter,0.792071912
Leaflitter,0.527177181
Leaflitter,0.901330169
Leaflitter,0.935191207
Leaflitter,0.841162169
Leaflitter,0.296173779
Leaflitter,0.920616837
Leaflitter,0.670138015
Leaflitter,0.925121155
Leaflitter,0.779309887
Leaflitter,0.938599131
Leaflitter,0.849383205
Leaflitter,0.980129175
Leaflitter,0.804204591
Leaflitter,0.797572274
Leaflitter,0.805117637
Leaflitter,0.620659511
Leaflitter,0.892327289
Leaflitter,0.818274915
Leaflitter,0.851649928
Leaflitter,0.756813568
Leaflitter,0.900709053
Leaflitter,0.829433612
Leaflitter,0.86667782
Leaflitter,0.961835929
Leaflitter,0.636478657
Leaflitter,0.891627654
Leaflitter,0.815052766
Leaflitter,0.918843118
Leaflitter,0.835405048
Leaflitter,0.551088378
Leaflitter,0.598960498
Leaflitter,0.717018908
Leaflitter,0.839302115
Leaflitter,0.55229468
Leaflitter,0.563811507
Leaflitter,0.935069429
Leaflitter,0.886261452
Leaflitter,0.949635337
Leaflitter,0.717364552
Leaflitter,0.925236169
Leaflitter,0.757199005
Leaflitter,0.770097416
Leaflitter,0.95600406
Leaflitter,0.56397093
Leaflitter,0.707972896
Leaflitter,0.679010124
Leaflitter,0.858219987
Leaflitter,0.96910744
Leaflitter,0.555915813
Leaflitter,0.672188189
Leaflitter,0.921857773
Leaflitter,0.938486431
Leaflitter,0.582341619
Leaflitter,0.772056932
Leaflitter,0.764587061
Leaflitter,0.640705061
Leaflitter,0.807910075
Leaflitter,0.722833791
Leaflitter,0.686128453
Leaflitter,0.816688524
Leaflitter,0.913003443
Leaflitter,0.381760965
Leaflitter,0.875574627
Leaflitter,0.731158108
Leaflitter,0.416991455
Leaflitter,0.878831316
Leaflitter,0.785094336
Leaflitter,0.802761499
Leaflitter,0.682315863
Leaflitter,0.765245669
Leaflitter,0.78016215
Leaflitter,0.847264202
Leaflitter,0.685912248
Leaflitter,0.776512103
Leaflitter,0.72221325
Leaflitter,0.976525849
Leaflitter,0.94101134
Leaflitter,0.492752576
Leaflitter,0.49079958
Leaflitter,0.311537235
Leaflitter,0.858128264
Leaflitter,0.882182917
Leaflitter,0.793440549
Leaflitter,0.571611832
Leaflitter,0.744591536
Leaflitter,0.172930517
Leaflitter,0.694130867
Leaflitter,0.943119844
Leaflitter,0.900952052
Leaflitter,0.866534904
Leaflitter,0.693324772
Leaflitter,0.97778967
Leaflitter,0.454701185
Leaflitter,0.835769842
Leaflitter,0.855085065
Leaflitter,0.790376452
Leaflitter,0.901486625
Leaflitter,0.541868125
Leaflitter,0.910698208
Leaflitter,0.703412405
Leaflitter,0.852334406
Leaflitter,0.729021843
Leaflitter,0.900976615
Leaflitter,0.606898359
Leaflitter,0.817802785
Leaflitter,0.828457734
Leaflitter,0.765239754
Leaflitter,0.786754274
Leaflitter,0.778950923
Leaflitter,0.83936602
Leaflitter,0.901261204
Leaflitter,0.763209401
Leaflitter,0.776638123
Leaflitter,0.561701634
Leaflitter,0.717167083
Leaflitter,0.794616475
Leaflitter,0.855948185
Leaflitter,0.861577437
Leaflitter,0.879553565
Leaflitter,0.982626157
Leaflitter,0.850517212
Leaflitter,0.719725717
Leaflitter,0.866285741
Leaflitter,0.946215693
Leaflitter,0.905591811
Leaflitter,0.910765245
Leaflitter,0.724655038
Leaflitter,0.837402237
Leaflitter,0.53054338
Leaflitter,0.963246989
Leaflitter,0.925638773
Leaflitter,0.397251056
Leaflitter,0.4177063
Leaflitter,0.720551192
Leaflitter,0.535437964
Leaflitter,0.505417048
Leaflitter,0.62798852
Leaflitter,0.904935454
Leaflitter,0.805800636
Leaflitter,0.581300806
Leaflitter,0.814130575
Leaflitter,0.879450131
Leaflitter,0.878741789
Leaflitter,0.425292956
Leaflitter,0.810938541
Leaflitter,0.733477487
Leaflitter,0.921100923
Leaflitter,0.779130964
Leaflitter,0.929369697
Leaflitter,0.890002292
Leaflitter,0.63582329
Leaflitter,0.784908773
Leaflitter,0.679859794
Leaflitter,0.956054828
Leaflitter,0.69384831
Leaflitter,0.925345707
Leaflitter,0.886238882
Leaflitter,0.383604482
Leaflitter,0.792505659
Leaflitter,0.763095723
Leaflitter,0.663667743
Leaflitter,0.801934509
Leaflitter,0.7803116
Leaflitter,0.828451034
Leaflitter,0.812008458
Leaflitter,0.96740918
Leaflitter,0.916102589
Leaflitter,0.878406302
Leaflitter,0.963339112
Leaflitter,0.839813606
Leaflitter,0.47796268
Leaflitter,0.618686966
Leaflitter,0.699525096
Leaflitter,0.76844741
Leaflitter,0.917783516
Leaflitter,0.753017036
Leaflitter,0.902564096
Leaflitter,0.855715396
Leaflitter,0.677149347
Leaflitter,0.974369938
Leaflitter,0.748024227
Leaflitter,0.633607231
Leaflitter,0.87201853
Leaflitter,0.811121627
Leaflitter,0.564194317
Leaflitter,0.841175045
Leaflitter,0.954820871
Leaflitter,0.934220023
Leaflitter,0.903955535
Leaflitter,0.765215168
Leaflitter,0.506032162
Leaflitter,0.616320818
Leaflitter,0.656132536
Leaflitter,0.911481796
Leaflitter,0.604342541
Leaflitter,0.822830178
Leaflitter,0.844427436
Leaflitter,0.921350152
Leaflitter,0.443823621
Leaflitter,0.883297397
Leaflitter,0.862215761
Leaflitter,0.498578048
Leaflitter,0.945632721
Leaflitter,0.61246019
Leaflitter,0.711787263
Leaflitter,0.723547084
Leaflitter,0.852416322
Leaflitter,0.726670697
Leaflitter,0.941558044
Leaflitter,0.923667195
Leaflitter,0.720518475
Leaflitter,0.875768514
Leaflitter,0.315137289
Leaflitter,0.949396347
Leaflitter,0.926804803
Leaflitter,0.715799533
Leaflitter,0.929027161
Leaflitter,0.605005841
Leaflitter,0.862526711
Leaflitter,0.925214023
Leaflitter,0.92020701
Leaflitter,0.742524028
Leaflitter,0.855633918
Leaflitter,0.900483692
Leaflitter,0.887447427
Leaflitter,0.931886252
Leaflitter,0.442978397
Leaflitter,0.676696488
Leaflitter,0.658485865
Leaflitter,0.931691066
Leaflitter,0.558564706
Leaflitter,0.878862105
Leaflitter,0.892042412
Leaflitter,0.856941491
Leaflitter,0.813907879
Leaflitter,0.547003877
Leaflitter,0.741790466
Leaflitter,0.906101722
Leaflitter,0.548609059
Leaflitter,0.819015759
Leaflitter,0.404194027
Leaflitter,0.725470281
Leaflitter,0.93362997
Leaflitter,0.784579683
Leaflitter,0.94409135
Leaflitter,0.834193284
Leaflitter,0.519837558
Leaflitter,0.91283153
Leaflitter,0.636923422
Leaflitter,0.922978202
Leaflitter,0.90880116
Leaflitter,0.737966597
Leaflitter,0.847066987
Leaflitter,0.796087621
Leaflitter,0.853423759
Leaflitter,0.639014382
Leaflitter,0.861490078
Leaflitter,0.334832518
Leaflitter,0.908019754
Leaflitter,0.900606335
Leaflitter,0.978844421
Leaflitter,0.876026661
Leaflitter,0.873425713
Leaflitter,0.912924454
Leaflitter,0.65340326
Leaflitter,0.811866799
Leaflitter,0.566256273
Leaflitter,0.732998607
Leaflitter,0.739396789
Leaflitter,0.548011951
Leaflitter,0.709444838
Leaflitter,0.974679611
Leaflitter,0.495104344
Leaflitter,0.611311863
Leaflitter,0.897201007
Leaflitter,0.81615434
Leaflitter,0.433891082
Leaflitter,0.747431287
Leaflitter,0.889656216
Leaflitter,0.372813891
Leaflitter,0.591722644
Leaflitter,0.701539065
Leaflitter,0.933572573
Leaflitter,0.899988237
Leaflitter,0.822863226
Leaflitter,0.777658951
Leaflitter,0.932955575
Leaflitter,0.936240635
Leaflitter,0.939685854
Leaflitter,0.771485348
Leaflitter,0.876219648
Leaflitter,0.639643118
Leaflitter,0.931535031
Leaflitter,0.950552447
Leaflitter,0.753229211
Leaflitter,0.719568245
Leaflitter,0.757211331
Leaflitter,0.655244258
Leaflitter,0.769263631
Leaflitter,0.856647864
Leaflitter,0.874965251
Leaflitter,0.930865175
Leaflitter,0.951149474
Leaflitter,0.756018668
Leaflitter,0.646695094
Leaflitter,0.938103513
Leaflitter,0.98293092
Leaflitter,0.750685655
Leaflitter,0.839094419
Leaflitter,0.93738253
Leaflitter,0.894915958
Leaflitter,0.827544601
Leaflitter,0.914657713
Leaflitter,0.886286043
Leaflitter,0.906030903
Leaflitter,0.736262504
Leaflitter,0.901492457
Leaflitter,0.834098336
Leaflitter,0.960390311
Leaflitter,0.870792437
Leaflitter,0.760064307
Leaflitter,0.936826239
Leaflitter,0.949193297
Leaflitter,0.979790844
Leaflitter,0.987872413
Leaflitter,0.801746124
Leaflitter,0.932910789
Leaflitter,0.441014553
Leaflitter,0.739850772
