source,density
Leaflitter,0.877153674
Leaflitter,0.820538043
Leaflitter,0.670512184
Leaflitter,0.880921505
Leaflitter,0.950985962
Leaflitter,0.896468748
Leaflitter,0.826134493
Leaflitter,0.968084028
Leaflitter,0.887749795
Leaflitter,0.911130894
Leaflitter,0.916519795
Leaflitter,0.807914221
Leaflitter,0.825009063
Leaflitter,0.811044169
Leaflitter,0.766626563
Leaflitter,0.94691875
Leaflitter,0.951602629
Leaflitter,0.783369763
Leaflitter,0.845400584
Leaflitter,0.930971427
Leaflitter,0.867738136
Leaflitter,0.957776703
Leaflitter,0.836192714
Leaflitter,0.963583357
Leaflitter,0.913678806
Leaflitter,0.950033648
Leaflitter,0.791573496
Leaflitter,0.941901806
Leaflitter,0.953333402
Leaflitter,0.890126947
Leaflitter,0.719954131
Leaflitter,0.964422232
Leaflitter,0.910396602
Leaflitter,0.930153602
Leaflitter,0.950933111
Leaflitter,0.956710303
Leaflitter,0.743628738
Leaflitter,0.797795758
Leaflitter,0.934388772
Leaflitter,0.932511633
Leaflitter,0.850588494
Leaflitter,0.890775853
Leaflitter,0.97637552
Leaflitter,0.906923373
Leaflitter,0.839633868
Leaflitter,0.961055617
Leaflitter,0.901451613
Leaflitter,0.739903204
Leaflitter,0.949220556
Leaflitter,0.96414296
Leaflitter,0.59836224
Leaflitter,0.88047063
Leaflitter,0.855655943
Leaflitter,0.885829421
Leaflitter,0.922893629
Leaflitter,0.818616568
Leaflitter,0.931822463
Leaflitter,0.973673819
Leaflitter,0.915724349
Leaflitter,0.938563697
Leaflitter,0.901368216
Leaflitter,0.775693298
Leaflitter,0.95555554
Leaflitter,0.849528474
Leaflitter,0.962032156
Leaflitter,0.910974014
Leaflitter,0.856895927
Leaflitter,0.992164269
Leaflitter,0.842682155
Leaflitter,0.909942236
Leaflitter,0.926978589
Leaflitter,0.857802074
Leaflitter,0.366320252
Leaflitter,0.977094252
Leaflitter,0.794037381
Leaflitter,0.920234732
Leaflitter,0.863712435
Leaflitter,0.907215164
Leaflitter,0.927037985
Leaflitter,0.87285131
Leaflitter,0.913504369
Leaflitter,0.898734514
Leaflitter,0.946813216
Leaflitter,0.691890349
Leaflitter,0.860579784
Leaflitter,0.806412674
Leaflitter,0.92263047
Leaflitter,0.766554723
Leaflitter,0.803794225
Leaflitter,0.724960938
Leaflitter,0.955327522
Leaflitter,0.905031177
Leaflitter,0.916782575
Leaflitter,0.855365662
Leaflitter,0.734505956
Leaflitter,0.957726092
Leaflitter,0.979613076
Leaflitter,0.945323863
Leaflitter,0.934470504
Leaflitter,0.822893486
Leaflitter,0.824564612
Leaflitter,0.96929948
Leaflitter,0.816538312
Leaflitter,0.870882726
Leaflitter,0.874865624
Leaflitter,0.617680572
Leaflitter,0.974648062
Leaflitter,0.795996356
Leaflitter,0.864162066
Leaflitter,0.858086539
Leaflitter,0.963661471
Leaflitter,0.983217487
Leaflitter,0.892546582
Leaflitter,0.831508663
Leaflitter,0.836717561
Leaflitter,0.970647549
Leaflitter,0.856318473
