source,density
Leaflitter,0.042265024
Leaflitter,0.243033677
Leaflitter,0.122767104
Leaflitter,0.375680729
Leaflitter,0.637815615
Leaflitter,0.852055221
Leaflitter,0.080205684
Leaflitter,0.356753439
Leaflitter,0.788091047
Leaflitter,0.22971002
Leaflitter,0.030552355
Leaflitter,0.333350321
Leaflitter,0.110774637
Leaflitter,0.173509987
Leaflitter,0.50369075
Leaflitter,0.565153683
Leaflitter,0.850486744
Leaflitter,0.757005736
Leaflitter,0.494861379
Leaflitter,0.685216443
Leaflitter,0.87370726
Leaflitter,0.798319588
Leaflitter,0.699281224
Leaflitter,0.017041434
Leaflitter,0.747708385
Leaflitter,0.544256629
Leaflitter,0.710528595
Leaflitter,0.886217691
Leaflitter,0.70274198
Leaflitter,0.818801784
Leaflitter,0.280970966
Leaflitter,0.662794106
Leaflitter,0.804741608
Leaflitter,0.553030154
Leaflitter,0.878177659
Leaflitter,0.858665235
Leaflitter,0.728291333
Leaflitter,0.388409036
Leaflitter,0.413250994
Leaflitter,0.772124714
Leaflitter,0.733423667
Leaflitter,0.931816115
Leaflitter,0.0744269
Leaflitter,0.286946503
Leaflitter,0.297056834
Leaflitter,0.627567123
Leaflitter,0.817599117
Leaflitter,0.086344978
Leaflitter,0.197155573
Leaflitter,0.591621659
Leaflitter,0.711070743
Leaflitter,0.004047102
Leaflitter,0.164961718
Leaflitter,0.226914954
Leaflitter,0.597895291
Leaflitter,0.31916604
Leaflitter,0.978573767
Leaflitter,0.771461325
Leaflitter,0.186372569
Leaflitter,0.160074438
Leaflitter,0.244255581
Leaflitter,0.73317138
Leaflitter,0.796615564
Leaflitter,0.760024429
Leaflitter,0.843551755
Leaflitter,0.8360376
Leaflitter,0.773033424
Leaflitter,0.846099272
Leaflitter,0.843966716
Leaflitter,0.61683825
Leaflitter,0.701286384
Leaflitter,0.545548934
Leaflitter,0.011519649
Leaflitter,0.067049556
Leaflitter,0.148394034
Leaflitter,0.739942543
Leaflitter,0.893525951
