source,density
Leaflitter,0.859439154
Leaflitter,0.126862648
Leaflitter,0.498188636
Leaflitter,0.885407718
Leaflitter,0.559993244
Leaflitter,0.797527698
Leaflitter,0.572028346
Leaflitter,0.045390037
Leaflitter,0.728657692
Leaflitter,0.573247893
Leaflitter,0.944530831
Leaflitter,0.906104166
Leaflitter,0.213141836
Leaflitter,0.44870676
Leaflitter,0.783906171
Leaflitter,0.8393771
Leaflitter,0.696750059
Leaflitter,0.44001199
Leaflitter,0.67368224
Leaflitter,0.002839469
Leaflitter,0.403896643
Leaflitter,0.513577265
Leaflitter,0.52239024
Leaflitter,0.611362891
Leaflitter,0.690325576
Leaflitter,0.2134542
Leaflitter,0.652239617
Leaflitter,0.785972607
Leaflitter,0.091559602
Leaflitter,0.286462915
Leaflitter,0.188340768
Leaflitter,0.681349944
Leaflitter,0.914075198
Leaflitter,0.72983746
Leaflitter,0.180104522
Leaflitter,0.294317132
Leaflitter,0.370181705
Leaflitter,0.210797902
Leaflitter,0.799663648
Leaflitter,0.380823285
Leaflitter,0.388021106
Leaflitter,0.329166907
Leaflitter,0.41507782
Leaflitter,0.396868447
Leaflitter,0.919961845
Leaflitter,0.130420109
Leaflitter,0.890562341
Leaflitter,0.6494781
Leaflitter,0.087159932
Leaflitter,0.438705271
Leaflitter,0.938237271
Leaflitter,0.306646812
Leaflitter,0.963966007
Leaflitter,0.905877288
Leaflitter,0.462369744
Leaflitter,0.843740411
Leaflitter,0.687374429
Leaflitter,0.871478921
Leaflitter,0.788979364
Leaflitter,0.849107749
Leaflitter,0.73666143
Leaflitter,0.932318307
Leaflitter,0.88551441
Leaflitter,0.621937764
Leaflitter,0.922244042
Leaflitter,0.673084391
Leaflitter,0.38786827
Leaflitter,0.518353337
Leaflitter,0.221081764
Leaflitter,0.863954104
Leaflitter,0.409342119
Leaflitter,0.865155658
Leaflitter,0.470273619
Leaflitter,0.601932275
Leaflitter,0.39567715
Leaflitter,0.383154485
Leaflitter,0.162203389
Leaflitter,0.876819936
Leaflitter,0.931430569
Leaflitter,0.503926582
Leaflitter,0.399915243
Leaflitter,0.544778375
Leaflitter,0.661990441
Leaflitter,0.431553733
Leaflitter,0.368071873
Leaflitter,0.75466612
Leaflitter,0.495071872
Leaflitter,0.903639478
Leaflitter,0.692095544
Leaflitter,0.815372514
Leaflitter,0.554926626
Leaflitter,0.521669661
Leaflitter,0.334446514
Leaflitter,0.79673969
Leaflitter,0.205599484
Leaflitter,0.899907784
Leaflitter,0.927565686
Leaflitter,0.351646597
Leaflitter,0.778122035
Leaflitter,0.915267912
