source,density
Leaflitter,0.752595824
Leaflitter,0.761657233
Leaflitter,0.83585065
Leaflitter,0.736485199
Leaflitter,0.845100726
Leaflitter,0.728535472
Leaflitter,0.834094048
Leaflitter,0.95068309
Leaflitter,0.647499162
Leaflitter,0.650738376
Leaflitter,0.841475834
Leaflitter,0.919824412
Leaflitter,0.929761439
Leaflitter,0.783841143
Leaflitter,0.729895377
Leaflitter,0.717878478
Leaflitter,0.803981164
Leaflitter,0.165474414
Leaflitter,0.778095935
Leaflitter,0.698458866
Leaflitter,0.457299602
Leaflitter,0.367408721
Leaflitter,0.789646049
Leaflitter,0.806009252
Leaflitter,0.796213862
Leaflitter,0.195086592
Leaflitter,0.770109235
Leaflitter,0.50424759
Leaflitter,0.353152601
Leaflitter,0.703687127
Leaflitter,0.816230108
Leaflitter,0.748823443
Leaflitter,0.39022508
Leaflitter,0.807284672
Leaflitter,0.495949892
Leaflitter,0.680670972
Leaflitter,0.765538509
Leaflitter,0.809643607
Leaflitter,0.37902007
Leaflitter,0.557356556
Leaflitter,0.61943997
Leaflitter,0.793885997
Leaflitter,0.519789549
Leaflitter,0.745016054
Leaflitter,0.659910559
Leaflitter,0.815632038
Leaflitter,0.886604898
Leaflitter,0.546849698
Leaflitter,0.785691486
Leaflitter,0.665003456
Leaflitter,0.699657194
Leaflitter,0.787469611
Leaflitter,0.912217513
Leaflitter,0.644147977
Leaflitter,0.114504962
Leaflitter,0.577544244
Leaflitter,0.607645216
Leaflitter,0.897973116
Leaflitter,0.935712582
Leaflitter,0.947909935
Leaflitter,0.57752698
Leaflitter,0.789131832
Leaflitter,0.935187519
Leaflitter,0.809514137
Leaflitter,0.968902381
Leaflitter,0.320966279
Leaflitter,0.450915346
Leaflitter,0.806371262
Leaflitter,0.766128432
Leaflitter,0.60990323
Leaflitter,0.912934924
Leaflitter,0.405190236
Leaflitter,0.697276807
Leaflitter,0.868674016
Leaflitter,0.813828079
Leaflitter,0.964655326
Leaflitter,0.948464968
Leaflitter,0.395276766
Leaflitter,0.877526676
Leaflitter,0.777877368
Leaflitter,0.801397541
Leaflitter,0.779884934
Leaflitter,0.884533895
Leaflitter,0.672177794
Leaflitter,0.635180313
Leaflitter,0.825414133
Leaflitter,0.854864445
Leaflitter,0.726818759
Leaflitter,0.492833334
Leaflitter,0.532393395
Leaflitter,0.915141693
Leaflitter,0.82638179
Leaflitter,0.262412279
Leaflitter,0.845227737
Leaflitter,0.986655873
Leaflitter,0.840827718
Leaflitter,0.957426482
Leaflitter,0.497226727
Leaflitter,0.826065596
Leaflitter,0.267840005
Leaflitter,0.741693456
Leaflitter,0.682356601
Leaflitter,0.785242221
Leaflitter,0.877219105
Leaflitter,0.363805829
Leaflitter,0.908095396
Leaflitter,0.290088318
Leaflitter,0.674243692
Leaflitter,0.211532268
Leaflitter,0.29107894
Leaflitter,0.884501995
Leaflitter,0.331596756
Leaflitter,0.79504104
Leaflitter,0.518129792
Leaflitter,0.29672774
Leaflitter,0.481163126
Leaflitter,0.591763078
Leaflitter,0.530796073
Leaflitter,0.548709121
Leaflitter,0.85980834
Leaflitter,0.788153091
Leaflitter,0.449702597
Leaflitter,0.220068829
Leaflitter,0.542038949
Leaflitter,0.061514211
Leaflitter,0.607900355
Leaflitter,0.834618519
Leaflitter,0.743119725
Leaflitter,0.77677213
Leaflitter,0.747829886
Leaflitter,0.697789348
Leaflitter,0.708232664
Leaflitter,0.461099977
Leaflitter,0.715412483
Leaflitter,0.673001754
Leaflitter,0.549128518
Leaflitter,0.543729341
Leaflitter,0.886304976
Leaflitter,0.455707991
Leaflitter,0.955148865
Leaflitter,0.653738506
Leaflitter,0.848250322
Leaflitter,0.775294539
Leaflitter,0.721904898
Leaflitter,0.59580347
Leaflitter,0.612407968
Leaflitter,0.839454579
Leaflitter,0.839065833
Leaflitter,0.924627278
Leaflitter,0.215560453
Leaflitter,0.568886787
Leaflitter,0.921906823
Leaflitter,0.913059498
Leaflitter,0.518351113
Leaflitter,0.623355402
Leaflitter,0.910968116
Leaflitter,0.432455306
Leaflitter,0.949559956
Leaflitter,0.67724401
Leaflitter,0.962563124
Leaflitter,0.4637799
Leaflitter,0.002054398
Leaflitter,0.781139467
Leaflitter,0.779037829
Leaflitter,0.762444551
Leaflitter,0.846737495
Leaflitter,0.787612886
Leaflitter,0.456561359
Leaflitter,0.549541006
Leaflitter,0.700759356
Leaflitter,0.644597823
Leaflitter,0.830114151
Leaflitter,0.670404546
Leaflitter,0.732814371
Leaflitter,0.687491869
Leaflitter,0.666801917
Leaflitter,0.891572378
Leaflitter,0.725721105
Leaflitter,0.489171786
Leaflitter,0.730447825
Leaflitter,0.785995223
Leaflitter,0.683116099
Leaflitter,0.942019045
Leaflitter,0.199877288
Leaflitter,0.382615237
Leaflitter,0.929381678
Leaflitter,0.901999055
Leaflitter,0.605955688
Leaflitter,0.708573884
Leaflitter,0.828661045
Leaflitter,0.874610437
Leaflitter,0.770134906
Leaflitter,0.770202267
Leaflitter,0.688874007
Leaflitter,0.451911531
Leaflitter,0.761014658
Leaflitter,0.93183982
Leaflitter,0.263859216
Leaflitter,0.785268317
Leaflitter,0.780717921
Leaflitter,0.716024326
Leaflitter,0.294022979
Leaflitter,0.434405115
Leaflitter,0.805141639
Leaflitter,0.823196557
Leaflitter,0.409959129
Leaflitter,0.784036274
Leaflitter,0.520369035
Leaflitter,0.925130618
Leaflitter,0.803289884
Leaflitter,0.821888255
Leaflitter,0.278788798
Leaflitter,0.678710366
Leaflitter,0.710853941
Leaflitter,0.827323322
Leaflitter,0.957100827
Leaflitter,0.68254485
Leaflitter,0.676537243
Leaflitter,0.811360462
Leaflitter,0.709167274
Leaflitter,0.819292511
Leaflitter,0.666736788
Leaflitter,0.013465146
Leaflitter,0.852481905
Leaflitter,0.284742162
Leaflitter,0.698664818
Leaflitter,0.647600815
Leaflitter,0.624196879
Leaflitter,0.765493806
Leaflitter,0.85787006
Leaflitter,0.652190812
Leaflitter,0.554901497
Leaflitter,0.916072623
Leaflitter,0.608388828
Leaflitter,0.376477254
Leaflitter,0.880009894
Leaflitter,0.952821133
Leaflitter,0.707941728
Leaflitter,0.126130666
Leaflitter,0.914047459
Leaflitter,0.953228214
Leaflitter,0.561725349
Leaflitter,0.793200974
Leaflitter,0.764316515
Leaflitter,0.559589139
Leaflitter,0.672394319
Leaflitter,0.873982072
Leaflitter,0.835965343
Leaflitter,0.839410661
Leaflitter,0.767504352
Leaflitter,0.575613095
Leaflitter,0.94473573
Leaflitter,0.543180867
Leaflitter,0.683733989
Leaflitter,0.24610665
Leaflitter,0.790012404
Leaflitter,0.575417143
Leaflitter,0.815170422
Leaflitter,0.745901014
Leaflitter,0.917702777
Leaflitter,0.747638884
Leaflitter,0.859925406
Leaflitter,0.851437885
Leaflitter,0.873106781
Leaflitter,0.726521104
Leaflitter,0.722976901
Leaflitter,0.621726974
Leaflitter,0.69752482
Leaflitter,0.70926819
Leaflitter,0.645621589
Leaflitter,0.178735172
Leaflitter,0.702508198
Leaflitter,0.647250558
Leaflitter,0.837273365
Leaflitter,0.910304465
Leaflitter,0.576753967
Leaflitter,0.001823059
Leaflitter,0.840397462
Leaflitter,0.803499138
Leaflitter,0.748946244
Leaflitter,0.846074048
Leaflitter,0.875883921
Leaflitter,0.468577423
Leaflitter,0.667732404
Leaflitter,0.872020975
Leaflitter,0.355217162
Leaflitter,0.525467168
Leaflitter,0.831565584
Leaflitter,0.880165748
Leaflitter,0.790473179
Leaflitter,0.508247829
Leaflitter,0.795892778
Leaflitter,0.622334863
Leaflitter,0.60018537
Leaflitter,0.867178626
Leaflitter,0.902286445
Leaflitter,0.40216471
Leaflitter,0.885506973
Leaflitter,0.63673115
Leaflitter,0.573628861
Leaflitter,0.385799926
Leaflitter,0.658890388
Leaflitter,0.805382151
Leaflitter,0.931347288
Leaflitter,0.709094196
Leaflitter,0.579856239
Leaflitter,0.824960013
Leaflitter,0.86162352
Leaflitter,0.69597622
Leaflitter,0.695633654
Leaflitter,0.795621011
Leaflitter,0.96399251
Leaflitter,0.708308654
Leaflitter,0.757178046
Leaflitter,0.670332258
Leaflitter,0.86008542
Leaflitter,0.733547748
Leaflitter,0.79607817
Leaflitter,0.479157254
Leaflitter,0.651047966
Leaflitter,0.605364408
Leaflitter,0.49009618
Leaflitter,0.865658181
Leaflitter,0.467055862
Leaflitter,0.711025996
Leaflitter,0.840356482
Leaflitter,0.406493254
Leaflitter,0.710547556
Leaflitter,0.512705816
Leaflitter,0.732473424
Leaflitter,0.914176524
Leaflitter,0.734034044
Leaflitter,0.738032411
Leaflitter,0.439357216
Leaflitter,0.7216203
Leaflitter,0.629526812
Leaflitter,0.717360398
Leaflitter,0.849055436
Leaflitter,0.493150951
Leaflitter,0.849081036
Leaflitter,0.522707233
Leaflitter,0.897981769
Leaflitter,0.87299143
Leaflitter,0.737064076
Leaflitter,0.904294886
Leaflitter,0.808920468
Leaflitter,0.81464676
Leaflitter,0.147781837
Leaflitter,0.582559468
Leaflitter,0.868443909
Leaflitter,0.602878967
Leaflitter,0.658347856
Leaflitter,0.716717123
Leaflitter,0.623688268
Leaflitter,0.649497552
Leaflitter,0.860470467
Leaflitter,0.527569836
Leaflitter,0.947368823
Leaflitter,0.864158819
Leaflitter,0.699899399
Leaflitter,0.978660742
Leaflitter,0.903657274
Leaflitter,0.631956467
Leaflitter,0.796381549
Leaflitter,0.846460776
Leaflitter,0.619504682
Leaflitter,0.462799783
Leaflitter,0.935916001
Leaflitter,0.807572656
Leaflitter,0.785712776
Leaflitter,0.49436372
Leaflitter,0.736608616
Leaflitter,0.280075206
Leaflitter,0.619933837
Leaflitter,0.414844657
Leaflitter,0.47609758
Leaflitter,0.786940198
Leaflitter,0.933940046
Leaflitter,0.76377653
Leaflitter,0.34875624
Leaflitter,0.678054352
Leaflitter,0.907563596
Leaflitter,0.895137405
Leaflitter,0.332696151
Leaflitter,0.758640238
Leaflitter,0.687568202
Leaflitter,0.104955886
Leaflitter,0.349297992
Leaflitter,0.782518912
Leaflitter,0.884309655
Leaflitter,0.909867755
Leaflitter,0.683136726
Leaflitter,0.828519073
Leaflitter,0.711339875
Leaflitter,0.692878044
Leaflitter,0.631110803
Leaflitter,0.86279376
Leaflitter,0.622769825
Leaflitter,0.726319719
Leaflitter,0.710541618
Leaflitter,0.896882017
Leaflitter,0.748890446
Leaflitter,0.847286603
Leaflitter,0.446612915
Leaflitter,0.600841232
Leaflitter,0.403538472
Leaflitter,0.759480119
Leaflitter,0.921216435
Leaflitter,0.70479612
Leaflitter,0.898575243
Leaflitter,0.630907654
Leaflitter,0.845934598
Leaflitter,0.827603552
Leaflitter,0.797517654
Leaflitter,0.718839708
Leaflitter,0.828170083
Leaflitter,0.959375208
Leaflitter,0.90426706
Leaflitter,0.815018403
Leaflitter,0.92762424
Leaflitter,0.824587483
Leaflitter,0.820417872
Leaflitter,0.11589742
Leaflitter,0.757444836
Leaflitter,0.407260214
Leaflitter,0.234280265
Leaflitter,0.755872045
Leaflitter,0.778725638
Leaflitter,0.617701218
Leaflitter,0.721707099
Leaflitter,0.503524117
Leaflitter,0.501812728
Leaflitter,0.733791515
Leaflitter,0.827822964
Leaflitter,0.932758197
Leaflitter,0.364909617
Leaflitter,0.357081031
Leaflitter,0.719654735
Leaflitter,0.828231498
Leaflitter,0.557455292
Leaflitter,0.949937906
Leaflitter,0.733054867
Leaflitter,0.309151172
Leaflitter,0.705948096
Leaflitter,0.560855137
Leaflitter,0.390517876
Leaflitter,0.808398614
Leaflitter,0.484278902
Leaflitter,0.616980672
Leaflitter,0.349427907
Leaflitter,0.85608724
Leaflitter,0.927074774
Leaflitter,0.601405673
Leaflitter,0.821060305
Leaflitter,0.570096936
Leaflitter,0.662797887
Leaflitter,0.956502702
Leaflitter,0.845798277
Leaflitter,0.568418583
Leaflitter,0.900481822
Leaflitter,0.941883082
Leaflitter,0.794966178
Leaflitter,0.812754882
Leaflitter,0.694906379
Leaflitter,0.830305585
Leaflitter,0.630543304
Leaflitter,0.777103328
Leaflitter,0.634373639
Leaflitter,0.684828282
Leaflitter,0.842433297
Leaflitter,0.511287277
Leaflitter,0.727979545
Leaflitter,0.430326118
Leaflitter,0.68744318
Leaflitter,0.357306534
Leaflitter,0.803607604
Leaflitter,0.928806323
Leaflitter,0.496206694
Leaflitter,0.923535002
Leaflitter,0.974563428
Leaflitter,0.969299837
Leaflitter,0.556580386
Leaflitter,0.898588545
Leaflitter,0.271189291
Leaflitter,0.796519447
Leaflitter,0.847717652
Leaflitter,0.35423431
Leaflitter,0.860197689
Leaflitter,0.936051699
Leaflitter,0.904461844
Leaflitter,0.791396562
Leaflitter,0.760945624
Leaflitter,0.428898216
Leaflitter,0.843800995
Leaflitter,0.751293287
Leaflitter,0.689283023
Leaflitter,0.798235661
Leaflitter,0.984337861
Leaflitter,0.724595132
Leaflitter,0.535003447
Leaflitter,0.782216796
Leaflitter,0.772780613
Leaflitter,0.775727675
Leaflitter,0.909730529
Leaflitter,0.736939777
Leaflitter,0.436902852
Leaflitter,0.758441673
Leaflitter,0.68030373
Leaflitter,0.771870224
Leaflitter,0.496928788
Leaflitter,0.936175745
Leaflitter,0.689673041
Leaflitter,0.857976677
Leaflitter,0.451137043
Leaflitter,0.553664934
Leaflitter,0.417026374
Leaflitter,0.828135815
Leaflitter,0.558456048
Leaflitter,0.565656882
Leaflitter,0.79924144
Leaflitter,0.640120563
Leaflitter,0.707190285
Leaflitter,0.872906075
Leaflitter,0.912941705
Leaflitter,0.965642129
Leaflitter,0.573237294
Leaflitter,0.605980512
Leaflitter,0.732758931
Leaflitter,0.628781974
Leaflitter,0.672957009
Leaflitter,0.737879015
Leaflitter,0.369154073
Leaflitter,0.621955654
Leaflitter,0.711387361
Leaflitter,0.525244233
Leaflitter,0.872007429
Leaflitter,0.837885407
Leaflitter,0.771671507
Leaflitter,0.669981017
Leaflitter,0.750766368
Leaflitter,0.837626413
Leaflitter,0.660744677
Leaflitter,0.844151579
Leaflitter,0.985536747
Leaflitter,0.985723236
Leaflitter,0.29045856
Leaflitter,0.83566949
Leaflitter,0.814674397
Leaflitter,0.911852737
Leaflitter,0.504871091
Leaflitter,0.75216212
Leaflitter,0.662508778
Leaflitter,0.761757977
Leaflitter,0.050418889
Leaflitter,0.439985884
Leaflitter,0.854421353
Leaflitter,0.922333217
Leaflitter,0.297651572
Leaflitter,0.873712522
Leaflitter,0.532939584
Leaflitter,0.787092691
Leaflitter,0.713380415
Leaflitter,0.7797513
Leaflitter,0.991569524
Leaflitter,0.168036937
Leaflitter,0.302873517
Leaflitter,0.859701105
Leaflitter,0.690070973
Leaflitter,0.566135548
Leaflitter,0.76021906
Leaflitter,0.933074675
Leaflitter,0.951004679
Leaflitter,0.880164181
Leaflitter,0.832814865
Leaflitter,0.922385133
Leaflitter,0.592774426
Leaflitter,0.392258772
Leaflitter,0.794567133
Leaflitter,0.743403391
Leaflitter,0.638081157
