source,density
Leaflitter,0.775491262
Leaflitter,0.909087378
Leaflitter,0.646405739
Leaflitter,0.880804069
Leaflitter,0.901700389
Leaflitter,0.801701223
Leaflitter,0.832589594
Leaflitter,0.895664335
Leaflitter,0.893444176
Leaflitter,0.893289577
Leaflitter,0.926252411
Leaflitter,0.422890099
Leaflitter,0.745184474
Leaflitter,0.881073915
Leaflitter,0.880816599
Leaflitter,0.855158251
Leaflitter,0.795325809
Leaflitter,0.767924614
Leaflitter,0.907024194
Leaflitter,0.964599103
Leaflitter,0.838048617
Leaflitter,0.644818406
Leaflitter,0.957462475
Leaflitter,0.890361859
Leaflitter,0.779571371
Leaflitter,0.972145965
Leaflitter,0.57305017
Leaflitter,0.63492477
Leaflitter,0.810755827
Leaflitter,0.875698988
Leaflitter,0.491314442
Leaflitter,0.933378156
Leaflitter,0.922980998
Leaflitter,0.864931607
Leaflitter,0.904777524
Leaflitter,0.979822376
Leaflitter,0.860535327
Leaflitter,0.988564851
Leaflitter,0.844290931
Leaflitter,0.910476288
Leaflitter,0.877252845
Leaflitter,0.840837546
Leaflitter,0.778863253
Leaflitter,0.557017117
Leaflitter,0.920540338
Leaflitter,0.911194502
Leaflitter,0.888027423
Leaflitter,0.889223246
Leaflitter,0.896350736
Leaflitter,0.808804942
Leaflitter,0.829531198
Leaflitter,0.700747936
Leaflitter,0.723220549
Leaflitter,0.936935099
Leaflitter,0.927259083
Leaflitter,0.774228956
Leaflitter,0.743689009
Leaflitter,0.668782728
Leaflitter,0.518594994
Leaflitter,0.906741803
Leaflitter,0.918539694
Leaflitter,0.802023899
Leaflitter,0.960376645
Leaflitter,0.781647211
Leaflitter,0.546824093
Leaflitter,0.804703769
Leaflitter,0.951217507
Leaflitter,0.829546528
Leaflitter,0.910120216
Leaflitter,0.59445994
Leaflitter,0.945705965
Leaflitter,0.919986778
Leaflitter,0.753293194
Leaflitter,0.637977991
Leaflitter,0.802468331
Leaflitter,0.664285561
Leaflitter,0.728132093
Leaflitter,0.764533947
Leaflitter,0.875227468
Leaflitter,0.813638888
Leaflitter,0.73348666
Leaflitter,0.524055238
Leaflitter,0.700395652
Leaflitter,0.795175342
Leaflitter,0.689433713
Leaflitter,0.796662106
Leaflitter,0.626072675
Leaflitter,0.731060836
Leaflitter,0.89759105
Leaflitter,0.808181627
Leaflitter,0.690594025
Leaflitter,0.905853342
Leaflitter,0.922502169
Leaflitter,0.585351736
Leaflitter,0.604074438
Leaflitter,0.769120027
Leaflitter,0.928575066
Leaflitter,0.859549016
Leaflitter,0.717649581
Leaflitter,0.868732485
Leaflitter,0.807588692
Leaflitter,0.806214943
Leaflitter,0.906127412
Leaflitter,0.760130578
Leaflitter,0.810211228
Leaflitter,0.815417592
Leaflitter,0.609751046
Leaflitter,0.850597914
Leaflitter,0.920983589
Leaflitter,0.678501113
Leaflitter,0.472368379
Leaflitter,0.836367254
Leaflitter,0.855751153
Leaflitter,0.772484657
Leaflitter,0.905067294
Leaflitter,0.853652475
Leaflitter,0.661987885
Leaflitter,0.711165434
Leaflitter,0.615085137
Leaflitter,0.838039783
Leaflitter,0.741554295
Leaflitter,0.83580732
Leaflitter,0.818258734
Leaflitter,0.892575031
Leaflitter,0.672836198
Leaflitter,0.876347117
Leaflitter,0.896688268
Leaflitter,0.895544842
Leaflitter,0.913607484
Leaflitter,0.478295124
Leaflitter,0.345208106
Leaflitter,0.622141572
Leaflitter,0.913447253
Leaflitter,0.846571084
Leaflitter,0.849300297
Leaflitter,0.857315801
Leaflitter,0.80549424
Leaflitter,0.925151399
Leaflitter,0.733325518
Leaflitter,0.806653185
Leaflitter,0.810286633
Leaflitter,0.741824704
Leaflitter,0.794639261
Leaflitter,0.824396794
Leaflitter,0.71629509
Leaflitter,0.755555361
Leaflitter,0.728837465
Leaflitter,0.775620995
Leaflitter,0.910073497
Leaflitter,0.911207259
Leaflitter,0.883878935
Leaflitter,0.871402528
Leaflitter,0.881313576
Leaflitter,0.911602565
Leaflitter,0.926978794
Leaflitter,0.942767544
Leaflitter,0.768993095
Leaflitter,0.776334319
Leaflitter,0.690196813
Leaflitter,0.919336719
Leaflitter,0.791491567
Leaflitter,0.772277932
Leaflitter,0.814124531
Leaflitter,0.244202024
Leaflitter,0.811635637
Leaflitter,0.802166864
Leaflitter,0.896279845
Leaflitter,0.854076143
Leaflitter,0.840459442
Leaflitter,0.722662426
Leaflitter,0.928816686
Leaflitter,0.661211278
Leaflitter,0.792689578
Leaflitter,0.859523842
Leaflitter,0.510083768
Leaflitter,0.823975687
Leaflitter,0.879693578
