source,density
Leaflitter,0.267797201
Leaflitter,0.056522456
Leaflitter,0.0121165
Leaflitter,0.248939089
Leaflitter,0.034239689
Leaflitter,0.147814535
Leaflitter,0.075672835
Leaflitter,0.556388262
Leaflitter,0.066466776
Leaflitter,0.106103247
Leaflitter,0.171799021
Leaflitter,0.131527629
Leaflitter,0.498016574
Leaflitter,0.792147265
Leaflitter,0.168840821
Leaflitter,0.103447508
Leaflitter,0.495738603
Leaflitter,0.521172393
Leaflitter,0.848673981
Leaflitter,0.038069517
Leaflitter,0.053193195
Leaflitter,0.563421287
Leaflitter,0.631073591
Leaflitter,0.642415216
Leaflitter,0.546386491
Leaflitter,0.179515296
Leaflitter,0.087954894
Leaflitter,0.391842321
Leaflitter,0.299327784
Leaflitter,0.66630131
Leaflitter,0.637826844
Leaflitter,0.862799303
Leaflitter,0.038898322
Leaflitter,0.542266724
Leaflitter,0.020083931
Leaflitter,0.087389347
Leaflitter,0.12590158
Leaflitter,0.117600494
Leaflitter,0.451217328
Leaflitter,0.135447783
Leaflitter,0.018437906
Leaflitter,0.056263851
Leaflitter,0.087720165
Leaflitter,0.734471859
Leaflitter,0.386226557
Leaflitter,0.56540416
Leaflitter,0.48592159
Leaflitter,0.207712144
Leaflitter,0.403075519
Leaflitter,0.128035815
Leaflitter,0.09789242
Leaflitter,0.239546834
Leaflitter,0.017730476
Leaflitter,0.333372916
Leaflitter,0.060229167
Leaflitter,0.354686339
Leaflitter,0.099012967
Leaflitter,0.023831483
Leaflitter,0.310758094
Leaflitter,0.093488952
Leaflitter,0.127677092
Leaflitter,0.63349196
Leaflitter,0.464068812
Leaflitter,0.379137442
Leaflitter,0.713387974
Leaflitter,0.245462295
Leaflitter,0.430040031
Leaflitter,0.599342893
Leaflitter,0.300278656
Leaflitter,0.736539705
Leaflitter,0.408562418
Leaflitter,0.018701206
Leaflitter,0.894511795
Leaflitter,0.040393927
Leaflitter,0.797356962
Leaflitter,0.078954809
Leaflitter,0.770668497
Leaflitter,0.196058309
Leaflitter,0.095923464
Leaflitter,0.26638458
Leaflitter,0.456493332
Leaflitter,0.770441436
Leaflitter,0.13292508
Leaflitter,0.223574432
Leaflitter,0.273848659
Leaflitter,0.104745075
Leaflitter,0.107182576
Leaflitter,0.740191707
Leaflitter,0.203516944
Leaflitter,0.041884239
Leaflitter,0.326348534
Leaflitter,0.106458033
Leaflitter,0.229203566
Leaflitter,0.398714278
Leaflitter,0.249207797
Leaflitter,0.897259404
Leaflitter,0.035304562
Leaflitter,0.026542203
Leaflitter,0.02110131
Leaflitter,0.641306449
Leaflitter,0.876484956
Leaflitter,0.277354266
Leaflitter,0.194437
Leaflitter,0.726911792
Leaflitter,0.231679225
Leaflitter,0.401500561
Leaflitter,0.541162493
Leaflitter,0.685687195
Leaflitter,0.461592853
Leaflitter,0.756387128
Leaflitter,0.056790503
Leaflitter,0.207665278
Leaflitter,0.012851435
Leaflitter,0.656204893
Leaflitter,0.190819816
Leaflitter,0.112111878
Leaflitter,0.059152591
Leaflitter,0.595524202
Leaflitter,0.048834134
Leaflitter,0.385853413
Leaflitter,0.034881947
Leaflitter,0.457187894
Leaflitter,0.504239934
Leaflitter,0.050010974
Leaflitter,0.219975208
Leaflitter,0.240645159
Leaflitter,0.737290526
Leaflitter,0.462266947
Leaflitter,0.131390337
Leaflitter,0.254413739
Leaflitter,0.609024881
Leaflitter,0.423690831
Leaflitter,0.187405977
Leaflitter,0.453518023
Leaflitter,0.411120938
Leaflitter,0.732220628
Leaflitter,0.731301886
Leaflitter,0.554685728
Leaflitter,0.028323445
Leaflitter,0.426953718
Leaflitter,0.289263916
Leaflitter,0.03299886
Leaflitter,0.795230027
Leaflitter,0.032363352
Leaflitter,0.00106366
Leaflitter,0.133068686
