source,density
Leaflitter,0.805656903
Leaflitter,0.885473581
Leaflitter,0.610750521
Leaflitter,0.695689252
Leaflitter,0.749436695
Leaflitter,0.950375247
Leaflitter,0.85496028
Leaflitter,0.960901745
Leaflitter,0.976929002
Leaflitter,0.945943482
Leaflitter,0.930267441
Leaflitter,0.68014936
Leaflitter,0.800618749
Leaflitter,0.742766179
Leaflitter,0.935620244
Leaflitter,0.85419389
Leaflitter,0.81098699
Leaflitter,0.830773366
Leaflitter,0.802006853
Leaflitter,0.952849756
Leaflitter,0.778916179
Leaflitter,0.752044944
Leaflitter,0.752668577
Leaflitter,0.933702677
Leaflitter,0.872978666
Leaflitter,0.752740738
Leaflitter,0.795651119
Leaflitter,0.822956444
Leaflitter,0.924232167
Leaflitter,0.782805947
Leaflitter,0.661876072
Leaflitter,0.732446731
Leaflitter,0.737108356
Leaflitter,0.861934291
Leaflitter,0.771769768
Leaflitter,0.843849315
Leaflitter,0.894250147
Leaflitter,0.629046153
Leaflitter,0.876750529
Leaflitter,0.692272895
Leaflitter,0.934725489
Leaflitter,0.882052373
Leaflitter,0.91952602
Leaflitter,0.863771769
Leaflitter,0.814566765
Leaflitter,0.826488214
Leaflitter,0.795744664
Leaflitter,0.90521826
Leaflitter,0.78684234
Leaflitter,0.947484738
Leaflitter,0.826176798
Leaflitter,0.925440173
Leaflitter,0.695004889
Leaflitter,0.891091088
Leaflitter,0.852510387
Leaflitter,0.832765549
Leaflitter,0.947398135
Leaflitter,0.888159055
Leaflitter,0.634462286
Leaflitter,0.516871357
Leaflitter,0.998427653
Leaflitter,0.798329303
Leaflitter,0.954971002
Leaflitter,0.764861418
Leaflitter,0.625086845
Leaflitter,0.621323651
Leaflitter,0.732367405
Leaflitter,0.813259712
Leaflitter,0.920478736
Leaflitter,0.836006246
Leaflitter,0.826210487
Leaflitter,0.774659968
Leaflitter,0.910764134
Leaflitter,0.773075961
Leaflitter,0.986115411
Leaflitter,0.829295365
Leaflitter,0.445053797
Leaflitter,0.785558138
Leaflitter,0.934549926
Leaflitter,0.87466724
Leaflitter,0.883064243
Leaflitter,0.867538573
Leaflitter,0.976335323
Leaflitter,0.841697808
Leaflitter,0.889088686
Leaflitter,0.672901761
Leaflitter,0.893574962
Leaflitter,0.590465437
Leaflitter,0.656376781
Leaflitter,0.685989053
Leaflitter,0.816514263
Leaflitter,0.843882507
Leaflitter,0.774961159
Leaflitter,0.901743329
Leaflitter,0.869877073
Leaflitter,0.797728093
Leaflitter,0.905628169
Leaflitter,0.827918581
Leaflitter,0.900156519
Leaflitter,0.974965954
Leaflitter,0.825314793
Leaflitter,0.832486234
Leaflitter,0.528988367
Leaflitter,0.796027997
Leaflitter,0.725181686
Leaflitter,0.986314165
Leaflitter,0.977131149
Leaflitter,0.822285185
Leaflitter,0.949790571
Leaflitter,0.774110534
Leaflitter,0.90680381
Leaflitter,0.629626414
Leaflitter,0.839651815
Leaflitter,0.908146533
Leaflitter,0.737619607
Leaflitter,0.815632479
Leaflitter,0.64527435
Leaflitter,0.895282896
Leaflitter,0.389273433
Leaflitter,0.570156504
Leaflitter,0.88912569
Leaflitter,0.48520511
Leaflitter,0.713304411
Leaflitter,0.581144746
Leaflitter,0.651738406
Leaflitter,0.865296962
Leaflitter,0.765276678
Leaflitter,0.732129579
Leaflitter,0.845039543
Leaflitter,0.940187271
Leaflitter,0.707368553
Leaflitter,0.800610782
Leaflitter,0.913983761
Leaflitter,0.800939801
Leaflitter,0.936519562
Leaflitter,0.890892834
Leaflitter,0.697427316
Leaflitter,0.712382644
Leaflitter,0.858496515
Leaflitter,0.85807204
Leaflitter,0.964459708
Leaflitter,0.877704816
Leaflitter,0.906251384
Leaflitter,0.581390239
Leaflitter,0.625127149
Leaflitter,0.921026875
Leaflitter,0.962319647
Leaflitter,0.831481976
Leaflitter,0.898991828
Leaflitter,0.858066845
Leaflitter,0.747839541
Leaflitter,0.914410101
Leaflitter,0.773081304
Leaflitter,0.848518806
Leaflitter,0.963203678
Leaflitter,0.730349532
Leaflitter,0.691599044
Leaflitter,0.52501654
Leaflitter,0.950883291
Leaflitter,0.89898555
Leaflitter,0.981947672
Leaflitter,0.904881295
Leaflitter,0.848122613
Leaflitter,0.914723477
Leaflitter,0.867076279
Leaflitter,0.79987449
Leaflitter,0.908981452
Leaflitter,0.577565746
Leaflitter,0.582217079
Leaflitter,0.737421534
Leaflitter,0.800189765
Leaflitter,0.850101483
Leaflitter,0.946477019
Leaflitter,0.676838298
Leaflitter,0.834225624
Leaflitter,0.786653665
Leaflitter,0.858982291
Leaflitter,0.800660841
Leaflitter,0.693305636
Leaflitter,0.81746167
Leaflitter,0.864215247
Leaflitter,0.90888
Leaflitter,0.740336574
Leaflitter,0.848688736
Leaflitter,0.941211755
Leaflitter,0.498881298
Leaflitter,0.922831901
Leaflitter,0.856483127
Leaflitter,0.938443065
Leaflitter,0.752269617
Leaflitter,0.802377379
Leaflitter,0.806351417
Leaflitter,0.612878937
Leaflitter,0.822222035
Leaflitter,0.892982289
Leaflitter,0.956568138
Leaflitter,0.861344365
Leaflitter,0.831211357
Leaflitter,0.968138715
Leaflitter,0.678928162
Leaflitter,0.842987631
Leaflitter,0.627083428
Leaflitter,0.917273299
Leaflitter,0.650344873
Leaflitter,0.800226666
Leaflitter,0.789693262
Leaflitter,0.880193123
Leaflitter,0.638367531
Leaflitter,0.938920756
Leaflitter,0.826992253
Leaflitter,0.945553338
Leaflitter,0.841280618
Leaflitter,0.953440478
Leaflitter,0.915261889
Leaflitter,0.798527789
Leaflitter,0.661891386
Leaflitter,0.741466583
Leaflitter,0.932141861
Leaflitter,0.913908594
Leaflitter,0.82023811
Leaflitter,0.88924245
Leaflitter,0.991756042
Leaflitter,0.823797175
Leaflitter,0.945294469
Leaflitter,0.869751078
Leaflitter,0.71476463
Leaflitter,0.809924757
Leaflitter,0.946785714
Leaflitter,0.819898158
Leaflitter,0.894502852
Leaflitter,0.779024265
Leaflitter,0.814823659
Leaflitter,0.919456678
Leaflitter,0.696149478
Leaflitter,0.720616711
Leaflitter,0.963677177
Leaflitter,0.989786843
Leaflitter,0.549630698
Leaflitter,0.815342209
Leaflitter,0.892409779
Leaflitter,0.827723394
Leaflitter,0.915817091
Leaflitter,0.876674792
Leaflitter,0.884064122
Leaflitter,0.747222452
Leaflitter,0.845545712
Leaflitter,0.676635375
Leaflitter,0.967800133
Leaflitter,0.822074024
Leaflitter,0.933410779
Leaflitter,0.83329603
Leaflitter,0.928950067
Leaflitter,0.869765771
Leaflitter,0.662833912
Leaflitter,0.945118745
Leaflitter,0.964671521
Leaflitter,0.872579493
Leaflitter,0.636227227
Leaflitter,0.526155782
Leaflitter,0.920294341
Leaflitter,0.909459493
Leaflitter,0.710283938
Leaflitter,0.71149175
Leaflitter,0.959972795
Leaflitter,0.830783285
Leaflitter,0.846340157
Leaflitter,0.859775607
Leaflitter,0.943038574
Leaflitter,0.830526683
Leaflitter,0.86356205
Leaflitter,0.859199061
Leaflitter,0.813201093
Leaflitter,0.909281227
Leaflitter,0.770366233
Leaflitter,0.879852846
Leaflitter,0.949796377
Leaflitter,0.930711494
Leaflitter,0.839687161
Leaflitter,0.948682137
Leaflitter,0.726299661
Leaflitter,0.792182774
Leaflitter,0.674215776
Leaflitter,0.798320835
Leaflitter,0.926184061
Leaflitter,0.784857718
Leaflitter,0.845233277
Leaflitter,0.844163518
Leaflitter,0.748741724
Leaflitter,0.886362684
Leaflitter,0.819460557
Leaflitter,0.743473795
Leaflitter,0.938501536
Leaflitter,0.659401132
Leaflitter,0.533095865
Leaflitter,0.749570827
Leaflitter,0.8871198
Leaflitter,0.846952274
Leaflitter,0.85269652
Leaflitter,0.803421533
Leaflitter,0.67840067
Leaflitter,0.720221167
Leaflitter,0.566003405
Leaflitter,0.967606956
Leaflitter,0.95015571
Leaflitter,0.710791859
Leaflitter,0.71475932
Leaflitter,0.830174756
Leaflitter,0.721753942
Leaflitter,0.868992069
Leaflitter,0.772338596
Leaflitter,0.557358281
Leaflitter,0.947611647
Leaflitter,0.96646846
Leaflitter,0.801723211
Leaflitter,0.682532796
Leaflitter,0.867291135
Leaflitter,0.893446709
Leaflitter,0.898327555
Leaflitter,0.897180899
Leaflitter,0.85748551
Leaflitter,0.988832723
Leaflitter,0.726067299
Leaflitter,0.911870652
Leaflitter,0.815917243
Leaflitter,0.891627266
Leaflitter,0.744237483
Leaflitter,0.877835963
Leaflitter,0.704898759
Leaflitter,0.690523725
Leaflitter,0.808028428
Leaflitter,0.907866122
Leaflitter,0.721664952
Leaflitter,0.970032429
Leaflitter,0.807043002
Leaflitter,0.745595528
Leaflitter,0.943486956
Leaflitter,0.708836798
Leaflitter,0.939603682
Leaflitter,0.788687602
Leaflitter,0.933095516
Leaflitter,0.767934732
Leaflitter,0.95027581
Leaflitter,0.97307142
Leaflitter,0.733060321
Leaflitter,0.98115361
Leaflitter,0.909099763
Leaflitter,0.916217592
Leaflitter,0.672144318
Leaflitter,0.853920529
Leaflitter,0.825857844
Leaflitter,0.823438384
Leaflitter,0.644401401
Leaflitter,0.8972353
Leaflitter,0.820024249
Leaflitter,0.978546511
Leaflitter,0.812209066
Leaflitter,0.674449693
Leaflitter,0.708206803
Leaflitter,0.882958751
Leaflitter,0.771020533
Leaflitter,0.779309659
Leaflitter,0.371878512
Leaflitter,0.798424055
Leaflitter,0.795957057
Leaflitter,0.732012226
Leaflitter,0.842496317
Leaflitter,0.853503484
Leaflitter,0.848017203
Leaflitter,0.943961133
Leaflitter,0.848191721
Leaflitter,0.812728188
Leaflitter,0.7432872
Leaflitter,0.808564668
Leaflitter,0.906285517
Leaflitter,0.793489901
Leaflitter,0.90179591
Leaflitter,0.839382121
Leaflitter,0.8522159
Leaflitter,0.811447976
Leaflitter,0.890326164
Leaflitter,0.835149116
Leaflitter,0.833866402
Leaflitter,0.88633961
Leaflitter,0.720494375
Leaflitter,0.764930793
Leaflitter,0.794917562
Leaflitter,0.934623449
Leaflitter,0.726880899
Leaflitter,0.659496172
Leaflitter,0.792147094
Leaflitter,0.839022205
Leaflitter,0.852308811
Leaflitter,0.841380044
Leaflitter,0.623345866
Leaflitter,0.888758341
Leaflitter,0.862030237
Leaflitter,0.993876836
Leaflitter,0.780581104
Leaflitter,0.874208423
Leaflitter,0.908683912
Leaflitter,0.868733234
Leaflitter,0.577214451
Leaflitter,0.549520284
Leaflitter,0.66445555
Leaflitter,0.77950233
Leaflitter,0.946959363
Leaflitter,0.867100398
Leaflitter,0.875017428
Leaflitter,0.59586801
Leaflitter,0.685568998
Leaflitter,0.860409685
Leaflitter,0.740155295
Leaflitter,0.614773164
Leaflitter,0.828243613
Leaflitter,0.892854198
Leaflitter,0.829349472
Leaflitter,0.818352758
Leaflitter,0.966148689
Leaflitter,0.922344156
Leaflitter,0.718743218
Leaflitter,0.946741603
Leaflitter,0.806164811
Leaflitter,0.487902899
Leaflitter,0.693140054
Leaflitter,0.98239896
Leaflitter,0.633666452
Leaflitter,0.801336965
Leaflitter,0.784565894
Leaflitter,0.831411683
Leaflitter,0.857776591
Leaflitter,0.721840233
Leaflitter,0.872660325
Leaflitter,0.922201031
Leaflitter,0.744373385
Leaflitter,0.681382917
Leaflitter,0.853247869
Leaflitter,0.761835079
Leaflitter,0.52567965
Leaflitter,0.741161945
Leaflitter,0.786650717
Leaflitter,0.555050656
Leaflitter,0.886585278
Leaflitter,0.80443615
Leaflitter,0.885375299
Leaflitter,0.82424407
Leaflitter,0.71258927
Leaflitter,0.825499667
Leaflitter,0.967948818
Leaflitter,0.38687353
Leaflitter,0.881354806
Leaflitter,0.670962949
Leaflitter,0.768541279
Leaflitter,0.928203102
Leaflitter,0.703372349
Leaflitter,0.901024879
Leaflitter,0.863889597
Leaflitter,0.91594545
Leaflitter,0.786588144
Leaflitter,0.916778843
Leaflitter,0.988110203
Leaflitter,0.820053045
Leaflitter,0.851455424
Leaflitter,0.541001399
Leaflitter,0.807843384
Leaflitter,0.699814918
Leaflitter,0.850062883
Leaflitter,0.802683982
Leaflitter,0.815527955
Leaflitter,0.938367871
Leaflitter,0.658438642
Leaflitter,0.651486393
Leaflitter,0.734926279
Leaflitter,0.61651116
Leaflitter,0.894319142
Leaflitter,0.829880741
Leaflitter,0.921900072
Leaflitter,0.959609892
Leaflitter,0.727073207
Leaflitter,0.780316483
Leaflitter,0.913269173
Leaflitter,0.915140692
Leaflitter,0.91793237
Leaflitter,0.598837814
Leaflitter,0.567734815
Leaflitter,0.815663039
Leaflitter,0.5643552
Leaflitter,0.713921974
Leaflitter,0.696423941
Leaflitter,0.890515289
Leaflitter,0.91428987
Leaflitter,0.777491233
Leaflitter,0.761166025
Leaflitter,0.869683848
Leaflitter,0.738155241
Leaflitter,0.864082995
Leaflitter,0.930360961
Leaflitter,0.612903925
Leaflitter,0.65295232
Leaflitter,0.695171253
Leaflitter,0.894422837
Leaflitter,0.823825447
Leaflitter,0.629474352
Leaflitter,0.794827544
Leaflitter,0.740914761
Leaflitter,0.742394701
Leaflitter,0.830925293
Leaflitter,0.765159361
Leaflitter,0.796668385
Leaflitter,0.983076412
Leaflitter,0.775101386
Leaflitter,0.94282084
Leaflitter,0.638829868
Leaflitter,0.872611918
Leaflitter,0.877143975
Leaflitter,0.889229547
Leaflitter,0.943810856
Leaflitter,0.802840398
Leaflitter,0.666306942
Leaflitter,0.900610211
Leaflitter,0.867737841
Leaflitter,0.684408159
Leaflitter,0.641887554
Leaflitter,0.710351087
Leaflitter,0.823887725
Leaflitter,0.542109516
Leaflitter,0.790022204
Leaflitter,0.674689878
Leaflitter,0.937813537
Leaflitter,0.733583342
Leaflitter,0.628563453
Leaflitter,0.726165316
Leaflitter,0.864993893
Leaflitter,0.689325147
Leaflitter,0.902548919
Leaflitter,0.808789123
Leaflitter,0.741753875
Leaflitter,0.748568892
Leaflitter,0.853317543
Leaflitter,0.888908588
Leaflitter,0.937786513
Leaflitter,0.868193858
Leaflitter,0.734439006
Leaflitter,0.68795925
Leaflitter,0.91737279
Leaflitter,0.892382343
Leaflitter,0.757514548
Leaflitter,0.709462989
Leaflitter,0.909996421
Leaflitter,0.513334393
Leaflitter,0.945092722
Leaflitter,0.749992901
Leaflitter,0.683671294
Leaflitter,0.894249001
Leaflitter,0.75476238
Leaflitter,0.832673515
Leaflitter,0.851433227
Leaflitter,0.897439819
Leaflitter,0.925273625
Leaflitter,0.872420652
Leaflitter,0.68639519
Leaflitter,0.875939625
