source,density
Leaflitter,0.612004605
Leaflitter,0.43464109
Leaflitter,0.820068347
Leaflitter,0.737509429
Leaflitter,0.695265071
Leaflitter,0.675394423
Leaflitter,0.81354049
Leaflitter,0.158593482
Leaflitter,0.75208196
Leaflitter,0.846016214
Leaflitter,0.862873563
Leaflitter,0.97138714
Leaflitter,0.900145431
Leaflitter,0.007060566
Leaflitter,0.149998921
Leaflitter,0.66888568
Leaflitter,0.852971114
Leaflitter,0.514959614
Leaflitter,0.973409013
Leaflitter,0.875131791
Leaflitter,0.647061675
Leaflitter,0.885312907
Leaflitter,0.507465983
Leaflitter,0.560577504
Leaflitter,0.905172105
Leaflitter,0.849115483
Leaflitter,0.903632962
Leaflitter,0.619927098
Leaflitter,0.018886389
Leaflitter,0.872395032
Leaflitter,0.548199753
Leaflitter,0.70415575
Leaflitter,0.747667432
Leaflitter,0.730448741
Leaflitter,0.827338122
Leaflitter,0.073829708
Leaflitter,0.715836046
Leaflitter,0.648644287
Leaflitter,0.849041727
Leaflitter,0.761363286
Leaflitter,0.132092031
Leaflitter,0.764823081
Leaflitter,0.889985822
Leaflitter,0.088991309
Leaflitter,0.926878522
Leaflitter,0.225684704
Leaflitter,0.155892662
Leaflitter,0.30967241
Leaflitter,0.656333063
Leaflitter,0.018061288
Leaflitter,0.797047562
Leaflitter,0.847804645
Leaflitter,0.829453577
Leaflitter,0.918346856
Leaflitter,0.931180255
Leaflitter,0.783613947
Leaflitter,0.556341702
Leaflitter,0.05654177
Leaflitter,0.887890089
Leaflitter,0.94341968
Leaflitter,0.345003914
Leaflitter,0.905566606
Leaflitter,0.898367929
Leaflitter,0.857294678
Leaflitter,0.342265376
Leaflitter,0.017036084
Leaflitter,0.726349784
Leaflitter,0.607262285
Leaflitter,0.697357974
Leaflitter,0.244481023
Leaflitter,0.903817223
Leaflitter,0.804534542
Leaflitter,0.791209137
Leaflitter,0.836078429
Leaflitter,0.906132607
Leaflitter,0.895887762
Leaflitter,0.046111035
Leaflitter,0.87004492
Leaflitter,0.726739838
Leaflitter,0.353666135
Leaflitter,0.902216238
Leaflitter,0.005219314
Leaflitter,0.874599853
Leaflitter,0.816232926
Leaflitter,0.115701985
Leaflitter,0.410566928
Leaflitter,0.675898971
Leaflitter,0.01014781
Leaflitter,0.628213661
Leaflitter,0.100093896
Leaflitter,0.936654728
Leaflitter,0.65873549
Leaflitter,0.84968373
Leaflitter,0.866798522
Leaflitter,0.487860713
Leaflitter,0.792616204
Leaflitter,0.877388737
Leaflitter,0.070589955
Leaflitter,0.924297206
Leaflitter,0.00056033
Leaflitter,0.920918453
Leaflitter,0.121709049
Leaflitter,0.755839079
Leaflitter,0.101667558
Leaflitter,0.778663562
Leaflitter,0.711740519
Leaflitter,0.736030111
Leaflitter,0.870143291
Leaflitter,0.911418149
Leaflitter,0.91695892
Leaflitter,0.598322605
Leaflitter,0.583389829
Leaflitter,0.851201294
Leaflitter,0.07487374
Leaflitter,0.604800937
Leaflitter,0.298538159
Leaflitter,0.87407749
Leaflitter,0.068701308
Leaflitter,0.819800118
Leaflitter,0.88262626
Leaflitter,0.686739134
Leaflitter,0.824208082
Leaflitter,0.908532343
Leaflitter,0.079038796
Leaflitter,0.005639838
Leaflitter,0.829864475
Leaflitter,0.115090967
Leaflitter,0.967453225
Leaflitter,0.945572366
Leaflitter,0.443634079
Leaflitter,0.947293633
Leaflitter,0.700613854
Leaflitter,0.587894845
Leaflitter,0.772667311
Leaflitter,0.946000653
Leaflitter,0.781646276
Leaflitter,0.012788992
Leaflitter,0.849980705
Leaflitter,0.856820119
Leaflitter,0.969477626
Leaflitter,0.771540784
Leaflitter,0.089497592
Leaflitter,0.505074588
Leaflitter,0.19267838
Leaflitter,0.943307288
Leaflitter,0.813533619
Leaflitter,0.90369832
Leaflitter,0.890441123
Leaflitter,0.841735754
Leaflitter,0.462898359
Leaflitter,0.232217689
Leaflitter,0.684838121
Leaflitter,0.414257116
Leaflitter,0.772687609
Leaflitter,0.519770407
Leaflitter,0.928916707
Leaflitter,0.8454888
Leaflitter,0.871761659
Leaflitter,0.771847737
Leaflitter,0.967130962
Leaflitter,0.82392118
Leaflitter,0.037582099
Leaflitter,0.921756774
Leaflitter,0.915665505
Leaflitter,0.917538381
Leaflitter,0.745404411
Leaflitter,0.429713018
Leaflitter,0.72080564
Leaflitter,0.776874726
Leaflitter,0.348186183
Leaflitter,0.870567634
Leaflitter,0.598115863
Leaflitter,0.677560457
Leaflitter,0.094065891
Leaflitter,0.850729163
Leaflitter,0.009322694
Leaflitter,0.897779168
Leaflitter,0.847838949
Leaflitter,0.671919056
Leaflitter,0.933511036
Leaflitter,0.886088874
Leaflitter,0.890258912
Leaflitter,0.013518097
Leaflitter,0.86125332
Leaflitter,0.87657514
Leaflitter,0.927962966
Leaflitter,0.808823093
Leaflitter,0.317158036
Leaflitter,0.102294548
Leaflitter,0.162527429
Leaflitter,0.049015869
Leaflitter,0.835949067
Leaflitter,0.707392516
Leaflitter,0.924413009
Leaflitter,0.843505764
Leaflitter,0.735055584
Leaflitter,0.044858752
Leaflitter,0.92571004
Leaflitter,0.87047915
Leaflitter,0.959682621
Leaflitter,0.211146997
Leaflitter,0.572935235
Leaflitter,0.808617209
Leaflitter,0.156785666
Leaflitter,0.051817591
Leaflitter,0.823596169
Leaflitter,0.97220334
Leaflitter,0.118343401
Leaflitter,0.735345544
Leaflitter,0.89535797
Leaflitter,0.858850469
Leaflitter,0.078627249
Leaflitter,0.785404173
Leaflitter,0.036251509
Leaflitter,0.771178951
Leaflitter,0.848977896
Leaflitter,0.776464841
Leaflitter,0.922468275
Leaflitter,0.793701543
Leaflitter,0.707005959
Leaflitter,0.805921016
Leaflitter,0.912354146
Leaflitter,0.346391356
Leaflitter,0.801194607
Leaflitter,0.87103952
Leaflitter,0.976127242
Leaflitter,0.952490124
Leaflitter,0.043629929
Leaflitter,0.624708293
Leaflitter,0.829997508
Leaflitter,0.855874289
Leaflitter,0.722583712
Leaflitter,0.423580783
Leaflitter,0.802735832
Leaflitter,0.896578963
Leaflitter,0.059954474
Leaflitter,0.026447744
Leaflitter,0.125930446
Leaflitter,0.345014306
Leaflitter,0.759455702
Leaflitter,0.68505595
Leaflitter,0.775618268
Leaflitter,0.723791371
Leaflitter,0.496677837
Leaflitter,0.694736337
Leaflitter,0.739225904
Leaflitter,0.920528028
Leaflitter,0.531591977
Leaflitter,0.802880296
Leaflitter,0.833744896
Leaflitter,0.072337581
Leaflitter,0.725142986
Leaflitter,0.866136654
Leaflitter,0.00167372
Leaflitter,0.576009253
Leaflitter,0.734587851
Leaflitter,0.911518063
Leaflitter,0.911959451
Leaflitter,0.747225108
Leaflitter,0.756431168
Leaflitter,0.026596631
Leaflitter,0.47734378
Leaflitter,0.791967279
Leaflitter,0.854006396
Leaflitter,0.724548462
Leaflitter,0.823290774
Leaflitter,0.656838748
Leaflitter,0.740003821
Leaflitter,0.564738174
Leaflitter,0.686117021
Leaflitter,0.988898492
Leaflitter,0.009625119
Leaflitter,0.759831244
Leaflitter,0.682101139
Leaflitter,0.745851149
Leaflitter,0.38522744
Leaflitter,0.850537289
Leaflitter,0.911949174
Leaflitter,0.622460958
Leaflitter,0.344999386
Leaflitter,0.875110718
Leaflitter,0.000534353
Leaflitter,0.927727038
Leaflitter,0.128867477
Leaflitter,0.936371297
Leaflitter,0.487540143
Leaflitter,0.802849393
Leaflitter,0.925160865
Leaflitter,0.929096838
Leaflitter,0.675294385
Leaflitter,0.87463756
Leaflitter,0.873068227
Leaflitter,0.709575335
Leaflitter,0.662946622
Leaflitter,0.626367505
Leaflitter,0.087393416
Leaflitter,0.728941551
Leaflitter,0.667043331
Leaflitter,0.911429765
Leaflitter,0.448229481
Leaflitter,0.656109189
Leaflitter,0.684609105
Leaflitter,0.942104654
Leaflitter,0.154569159
Leaflitter,0.893555504
Leaflitter,0.082516675
Leaflitter,0.77441567
Leaflitter,0.570930065
Leaflitter,0.87355869
Leaflitter,0.46148258
Leaflitter,0.80445136
Leaflitter,0.797645475
Leaflitter,0.710659505
Leaflitter,0.630040754
Leaflitter,0.708526838
Leaflitter,0.658199407
Leaflitter,0.63823733
Leaflitter,0.746683644
Leaflitter,0.80512687
Leaflitter,0.214444624
Leaflitter,0.056498962
Leaflitter,0.42288946
Leaflitter,0.509288023
Leaflitter,0.880900129
Leaflitter,0.965200472
Leaflitter,0.879363331
Leaflitter,0.239758544
Leaflitter,0.919115872
Leaflitter,0.957529097
Leaflitter,0.937714141
Leaflitter,0.003309544
Leaflitter,0.138244355
Leaflitter,0.527082572
Leaflitter,0.775152038
Leaflitter,0.744154426
Leaflitter,0.718119644
Leaflitter,0.604349047
Leaflitter,0.830392646
Leaflitter,0.608980526
Leaflitter,0.967271215
Leaflitter,0.802801661
Leaflitter,0.881329485
Leaflitter,0.819833237
Leaflitter,0.640628714
Leaflitter,0.122580963
Leaflitter,0.277453144
Leaflitter,0.923482403
Leaflitter,0.926821025
Leaflitter,0.920336713
Leaflitter,0.590993536
Leaflitter,0.114148315
Leaflitter,0.85622654
Leaflitter,0.465257071
Leaflitter,0.738017431
Leaflitter,0.955462743
Leaflitter,0.596282974
Leaflitter,0.80182117
Leaflitter,0.892016763
Leaflitter,0.754807073
Leaflitter,0.117861859
Leaflitter,0.824878364
Leaflitter,0.869244985
Leaflitter,0.831379929
Leaflitter,0.932128971
Leaflitter,0.66164512
Leaflitter,0.65413736
Leaflitter,0.890754865
Leaflitter,0.889241837
Leaflitter,0.903028504
Leaflitter,0.699952059
Leaflitter,0.788324148
Leaflitter,0.771282158
Leaflitter,0.77502955
Leaflitter,0.023741663
Leaflitter,0.544559344
Leaflitter,0.60398979
Leaflitter,0.677246704
Leaflitter,0.895963306
Leaflitter,0.827725953
Leaflitter,0.191037108
Leaflitter,0.911923339
Leaflitter,0.744953899
Leaflitter,0.941221109
Leaflitter,0.165364637
Leaflitter,0.944458782
Leaflitter,0.845388233
Leaflitter,0.448031237
Leaflitter,0.829361496
Leaflitter,0.882771189
Leaflitter,0.728740418
Leaflitter,0.828345194
Leaflitter,0.743580053
Leaflitter,0.041485138
Leaflitter,0.67391641
Leaflitter,0.07674353
Leaflitter,0.732941048
Leaflitter,0.309265825
Leaflitter,0.736241422
Leaflitter,0.585621146
Leaflitter,0.199658944
Leaflitter,0.877412242
Leaflitter,0.686214445
Leaflitter,0.986005828
Leaflitter,0.709029419
Leaflitter,0.018349183
Leaflitter,0.554680201
Leaflitter,0.295426407
Leaflitter,0.741894719
Leaflitter,0.653188597
Leaflitter,0.959498921
Leaflitter,0.023964544
Leaflitter,0.802281043
Leaflitter,0.619684895
Leaflitter,0.923205527
Leaflitter,0.597728535
Leaflitter,0.956500108
Leaflitter,0.177682835
Leaflitter,0.633830794
Leaflitter,0.707284533
Leaflitter,0.752006965
Leaflitter,0.835679245
Leaflitter,0.853602021
Leaflitter,0.848274984
Leaflitter,0.914241839
Leaflitter,0.695240501
Leaflitter,0.918417068
Leaflitter,0.735769426
Leaflitter,0.535156832
Leaflitter,0.047779165
Leaflitter,0.056563777
Leaflitter,0.960360972
Leaflitter,0.351643299
Leaflitter,0.950170937
Leaflitter,0.535302402
Leaflitter,0.906917131
Leaflitter,0.876157099
Leaflitter,0.228044625
Leaflitter,0.793184565
Leaflitter,0.822169068
Leaflitter,0.171269355
Leaflitter,0.785433894
Leaflitter,0.611574427
Leaflitter,0.630974404
Leaflitter,0.672889468
Leaflitter,0.44330324
Leaflitter,0.019231596
Leaflitter,0.406109991
Leaflitter,0.894830915
Leaflitter,0.954906968
Leaflitter,0.162406461
Leaflitter,0.439110328
Leaflitter,0.821659485
Leaflitter,0.601915879
Leaflitter,0.691633749
Leaflitter,0.873772419
Leaflitter,0.882127465
Leaflitter,0.354949823
Leaflitter,0.897853557
Leaflitter,0.909781488
Leaflitter,0.54042736
Leaflitter,0.720555095
Leaflitter,0.970133978
Leaflitter,0.1144703
Leaflitter,0.964695814
Leaflitter,0.360323986
Leaflitter,0.040119765
Leaflitter,0.774845649
Leaflitter,0.923166558
Leaflitter,0.024831181
Leaflitter,0.944656172
Leaflitter,0.78261467
Leaflitter,0.079096153
Leaflitter,0.598542581
Leaflitter,0.889822133
Leaflitter,0.924764495
Leaflitter,0.607717375
Leaflitter,0.396374546
Leaflitter,0.81278342
Leaflitter,0.501791769
Leaflitter,0.728520534
Leaflitter,0.634964136
Leaflitter,0.228521374
Leaflitter,0.727663518
Leaflitter,0.919240877
Leaflitter,0.929230858
Leaflitter,0.992412627
Leaflitter,0.866510331
Leaflitter,0.498958085
Leaflitter,0.651037516
Leaflitter,0.928116774
Leaflitter,0.760555629
Leaflitter,0.169299839
Leaflitter,0.855268736
Leaflitter,0.745577528
Leaflitter,0.856959356
Leaflitter,0.039913884
Leaflitter,0.707981452
Leaflitter,0.952585289
Leaflitter,0.827420759
Leaflitter,0.39704819
Leaflitter,0.836386727
Leaflitter,0.745140023
Leaflitter,0.911032551
Leaflitter,0.707969373
Leaflitter,0.898813421
Leaflitter,0.810635607
Leaflitter,0.749139122
Leaflitter,0.096964439
Leaflitter,0.626062466
Leaflitter,0.826890629
Leaflitter,0.883157467
Leaflitter,0.62816505
Leaflitter,0.792883029
Leaflitter,0.773833658
Leaflitter,0.285368314
Leaflitter,0.819807445
Leaflitter,0.150476977
Leaflitter,0.495623156
Leaflitter,0.898018591
Leaflitter,0.028790718
Leaflitter,0.039615161
Leaflitter,0.791939149
Leaflitter,0.043762837
Leaflitter,0.783354997
Leaflitter,0.243450597
Leaflitter,0.148495302
Leaflitter,0.800523737
Leaflitter,0.86762892
Leaflitter,0.683249306
Leaflitter,0.871675383
Leaflitter,0.851096026
Leaflitter,0.50592557
Leaflitter,0.911933671
Leaflitter,0.848756672
Leaflitter,0.758291857
Leaflitter,0.82913604
Leaflitter,0.522350305
Leaflitter,0.916424122
Leaflitter,0.284969907
Leaflitter,0.786842654
Leaflitter,0.862176118
Leaflitter,0.389843837
Leaflitter,0.734190586
Leaflitter,0.002048681
Leaflitter,0.623483801
Leaflitter,0.913432216
Leaflitter,0.837327506
Leaflitter,0.85710435
Leaflitter,0.165503784
Leaflitter,0.764057783
Leaflitter,0.805027705
Leaflitter,0.651407487
Leaflitter,0.671517441
Leaflitter,0.676584453
Leaflitter,0.391078454
Leaflitter,0.015069195
Leaflitter,0.17930655
Leaflitter,0.897627177
Leaflitter,0.768818045
Leaflitter,0.904409708
Leaflitter,0.568886855
Leaflitter,0.863054348
Leaflitter,0.678125294
Leaflitter,0.871654882
Leaflitter,0.745866685
Leaflitter,0.657801977
Leaflitter,0.782259604
Leaflitter,0.89263393
Leaflitter,0.866095661
Leaflitter,0.64182076
Leaflitter,0.220197026
Leaflitter,0.752666215
Leaflitter,0.837438311
Leaflitter,0.802599322
Leaflitter,0.775879919
Leaflitter,0.188079391
Leaflitter,0.898193734
Leaflitter,0.437466203
Leaflitter,0.857178964
Leaflitter,0.386402731
Leaflitter,0.067374828
Leaflitter,0.901455366
Leaflitter,0.750636057
Leaflitter,0.66715189
Leaflitter,0.793485841
Leaflitter,0.299402865
Leaflitter,0.671452718
Leaflitter,0.78130242
Leaflitter,0.878942091
Leaflitter,0.96979287
Leaflitter,0.871188692
Leaflitter,0.886288354
Leaflitter,0.925879955
Leaflitter,0.725170997
Leaflitter,0.867784106
Leaflitter,0.768494089
Leaflitter,0.838416194
Leaflitter,0.887577342
Leaflitter,0.796468583
Leaflitter,0.952503754
Leaflitter,0.638574648
Leaflitter,0.349017026
Leaflitter,0.676721758
Leaflitter,0.626609014
Leaflitter,0.740684086
Leaflitter,0.652167337
Leaflitter,0.905652913
Leaflitter,0.485636008
Leaflitter,0.846513666
