source,density
Leaflitter,0.675216335
Leaflitter,0.974543317
Leaflitter,0.828334552
Leaflitter,0.916865091
Leaflitter,0.927032033
Leaflitter,0.948494386
Leaflitter,0.931202611
Leaflitter,0.910275357
Leaflitter,0.982677846
Leaflitter,0.58885209
Leaflitter,0.847987985
Leaflitter,0.552063525
Leaflitter,0.911788886
Leaflitter,0.967950774
Leaflitter,0.817981408
Leaflitter,0.796733318
Leaflitter,0.687171381
Leaflitter,0.725065744
Leaflitter,0.870094983
Leaflitter,0.974466854
Leaflitter,0.795985687
Leaflitter,0.853801329
Leaflitter,0.902845979
Leaflitter,0.843442914
Leaflitter,0.933888225
Leaflitter,0.923985523
Leaflitter,0.971895455
Leaflitter,0.824418991
Leaflitter,0.683157589
Leaflitter,0.867438362
Leaflitter,0.929701542
Leaflitter,0.904635532
Leaflitter,0.865269811
Leaflitter,0.873211888
Leaflitter,0.760656676
Leaflitter,0.862461127
Leaflitter,0.875579377
Leaflitter,0.894143652
Leaflitter,0.93668497
Leaflitter,0.665074251
Leaflitter,0.822303986
Leaflitter,0.777734608
Leaflitter,0.964148265
Leaflitter,0.829854805
Leaflitter,0.841097048
Leaflitter,0.931861296
Leaflitter,0.588202678
Leaflitter,0.931965359
Leaflitter,0.896396196
Leaflitter,0.904049515
Leaflitter,0.865343752
Leaflitter,0.612548659
Leaflitter,0.955457723
Leaflitter,0.880489617
Leaflitter,0.982778711
Leaflitter,0.74975374
Leaflitter,0.85077879
Leaflitter,0.877633129
Leaflitter,0.928837008
Leaflitter,0.648500077
Leaflitter,0.938591018
Leaflitter,0.628930469
Leaflitter,0.727002622
Leaflitter,0.866142175
Leaflitter,0.688575043
Leaflitter,0.940344437
Leaflitter,0.844437887
Leaflitter,0.686596584
Leaflitter,0.879094226
Leaflitter,0.785988902
Leaflitter,0.925557675
Leaflitter,0.845470451
Leaflitter,0.630756562
Leaflitter,0.861759988
Leaflitter,0.657653896
Leaflitter,0.782293734
Leaflitter,0.550715595
Leaflitter,0.765683206
Leaflitter,0.960184978
Leaflitter,0.68844571
Leaflitter,0.601401976
Leaflitter,0.981608166
Leaflitter,0.883647221
Leaflitter,0.925565269
Leaflitter,0.735771276
Leaflitter,0.726712166
