source,density
Leaflitter,0.226315393
Leaflitter,0.007270537
Leaflitter,0.121129844
Leaflitter,0.063622028
Leaflitter,0.170312937
Leaflitter,0.027249786
Leaflitter,0.058110083
Leaflitter,0.0110567
Leaflitter,0.001038397
Leaflitter,0.00218585
Leaflitter,0.05291443
Leaflitter,0.309112452
Leaflitter,0.159646333
Leaflitter,0.068834122
Leaflitter,0.670066113
Leaflitter,0.102549902
Leaflitter,0.18891548
Leaflitter,0.288904148
Leaflitter,0.022558906
Leaflitter,0.32690201
Leaflitter,0.119655756
Leaflitter,0.051177827
Leaflitter,0.171774882
Leaflitter,0.057371748
Leaflitter,0.021659715
Leaflitter,0.037954477
Leaflitter,0.077184641
Leaflitter,0.104649001
Leaflitter,0.101039236
Leaflitter,0.092269983
Leaflitter,0.388907212
Leaflitter,0.21410254
Leaflitter,0.070597262
Leaflitter,0.147853287
Leaflitter,0.037001043
Leaflitter,0.101718222
Leaflitter,0.02040551
Leaflitter,0.168960443
Leaflitter,0.012335085
Leaflitter,0.028364101
Leaflitter,0.16378271
Leaflitter,0.006518637
Leaflitter,0.006933479
Leaflitter,0.029017116
Leaflitter,0.073086491
Leaflitter,0.163753909
Leaflitter,0.009829125
Leaflitter,0.328976283
Leaflitter,0.063626123
Leaflitter,0.006101905
Leaflitter,0.197012482
Leaflitter,0.314046069
Leaflitter,0.044346642
Leaflitter,0.143349707
Leaflitter,0.238315446
Leaflitter,0.075732452
Leaflitter,0.207668622
Leaflitter,0.03056261
Leaflitter,0.163065803
Leaflitter,0.197918463
Leaflitter,0.289970187
Leaflitter,0.041068822
Leaflitter,0.106603019
Leaflitter,0.13513808
Leaflitter,0.068652102
Leaflitter,0.198044012
Leaflitter,0.299670338
Leaflitter,0.035396986
Leaflitter,0.136899157
Leaflitter,0.172207446
Leaflitter,0.020052432
Leaflitter,0.086813118
Leaflitter,0.271051747
Leaflitter,0.144724438
Leaflitter,0.011585344
Leaflitter,0.178115118
Leaflitter,0.069725889
Leaflitter,0.075792198
Leaflitter,0.047599671
Leaflitter,0.047509302
Leaflitter,0.100047496
Leaflitter,0.459893267
Leaflitter,0.077231939
Leaflitter,0.00134724
Leaflitter,0.071306302
Leaflitter,0.019241847
Leaflitter,0.030281193
Leaflitter,0.22791075
Leaflitter,0.158684264
Leaflitter,0.06243145
Leaflitter,0.117459728
Leaflitter,0.018687838
Leaflitter,0.051875916
Leaflitter,0.267106747
Leaflitter,0.411929693
Leaflitter,0.003356791
Leaflitter,0.020283672
Leaflitter,0.175598231
Leaflitter,0.04283141
Leaflitter,0.28956855
Leaflitter,0.086798943
Leaflitter,0.051129088
Leaflitter,0.283226165
Leaflitter,0.106252827
Leaflitter,0.187393079
Leaflitter,0.124494989
Leaflitter,0.061414034
Leaflitter,0.184895793
Leaflitter,0.088423865
Leaflitter,0.274724118
Leaflitter,0.055213396
Leaflitter,0.002537018
Leaflitter,0.042393734
Leaflitter,0.141509533
Leaflitter,0.097223546
Leaflitter,0.08882303
Leaflitter,0.035855061
Leaflitter,0.266461912
Leaflitter,0.076763201
Leaflitter,0.144195492
Leaflitter,0.064819052
Leaflitter,0.087906626
Leaflitter,0.367928544
Leaflitter,0.098757131
Leaflitter,0.1951101
Leaflitter,0.054299374
Leaflitter,0.024698086
Leaflitter,0.023282448
Leaflitter,0.124951311
Leaflitter,0.067648958
Leaflitter,0.247573194
Leaflitter,0.185719943
Leaflitter,0.00811704
Leaflitter,0.050433524
Leaflitter,0.06303201
Leaflitter,0.212878101
Leaflitter,0.216904133
Leaflitter,0.091810338
Leaflitter,0.061692356
Leaflitter,0.034888449
Leaflitter,0.077262266
Leaflitter,0.145685911
Leaflitter,0.107460614
Leaflitter,0.024489637
Leaflitter,0.020023663
Leaflitter,0.005792441
Leaflitter,0.016414748
Leaflitter,0.044298906
Leaflitter,0.01017595
Leaflitter,0.021756224
Leaflitter,0.022418282
Leaflitter,0.019156183
Leaflitter,0.177775726
Leaflitter,0.045219844
Leaflitter,0.32241869
Leaflitter,0.058018058
Leaflitter,0.256335014
Leaflitter,0.258550526
Leaflitter,0.173285335
Leaflitter,0.00686617
Leaflitter,0.206924157
Leaflitter,0.178893019
Leaflitter,0.05842154
Leaflitter,0.224572671
Leaflitter,0.00517216
Leaflitter,0.068851323
Leaflitter,0.099360879
Leaflitter,0.027240602
Leaflitter,0.141489824
Leaflitter,0.020879105
Leaflitter,0.133050177
Leaflitter,0.137630306
Leaflitter,0.00751461
Leaflitter,0.088486106
Leaflitter,0.21737956
Leaflitter,0.173807981
Leaflitter,0.038586055
Leaflitter,0.151226858
Leaflitter,0.16999312
Leaflitter,0.297484026
Leaflitter,0.242259084
Leaflitter,0.24616945
Leaflitter,0.180000175
Leaflitter,0.19845686
Leaflitter,0.075115657
Leaflitter,0.098494912
Leaflitter,0.010646881
Leaflitter,0.119165135
Leaflitter,0.414496666
Leaflitter,0.025336312
Leaflitter,0.152930741
Leaflitter,0.038078377
Leaflitter,0.029969237
Leaflitter,0.031120044
Leaflitter,0.004666838
Leaflitter,0.028605331
Leaflitter,0.088383698
Leaflitter,0.109511974
Leaflitter,0.327316209
Leaflitter,0.085604421
Leaflitter,0.125950955
