source,density
Leaflitter,0.312178021
Leaflitter,0.165299243
Leaflitter,0.010733849
Leaflitter,0.253733988
Leaflitter,0.178027999
Leaflitter,0.65954309
Leaflitter,0.109789454
Leaflitter,0.116678344
Leaflitter,0.019449267
Leaflitter,0.365856732
Leaflitter,0.026044851
Leaflitter,0.317817655
Leaflitter,0.054016381
Leaflitter,0.225688983
Leaflitter,0.04441809
Leaflitter,0.002207171
Leaflitter,0.078000688
Leaflitter,0.626165344
Leaflitter,0.208072445
Leaflitter,0.229225052
Leaflitter,0.059317677
Leaflitter,0.62454864
Leaflitter,0.157701244
Leaflitter,0.227555878
Leaflitter,0.143225138
Leaflitter,0.017248654
Leaflitter,0.04646782
Leaflitter,0.03606128
Leaflitter,0.002150286
Leaflitter,0.143018765
Leaflitter,0.011371733
Leaflitter,0.058996663
Leaflitter,0.167087115
Leaflitter,0.062445747
Leaflitter,0.115891887
Leaflitter,0.047600419
Leaflitter,0.057390093
Leaflitter,0.21235039
Leaflitter,0.028787588
Leaflitter,0.03682756
Leaflitter,0.047363147
Leaflitter,0.078977578
Leaflitter,0.382964221
Leaflitter,0.161581182
Leaflitter,0.050298789
Leaflitter,0.128840644
Leaflitter,0.12014738
Leaflitter,0.033783556
Leaflitter,0.028088372
Leaflitter,0.292915771
Leaflitter,0.130205564
Leaflitter,0.216880262
Leaflitter,0.137327396
Leaflitter,0.151447378
Leaflitter,0.412793726
Leaflitter,0.045721347
Leaflitter,0.180974422
Leaflitter,0.106130249
Leaflitter,0.011073103
Leaflitter,0.151125452
Leaflitter,0.062615417
Leaflitter,0.554128483
Leaflitter,0.135237739
Leaflitter,0.106665178
Leaflitter,0.25182558
Leaflitter,0.043059055
Leaflitter,0.031547613
Leaflitter,0.134941913
Leaflitter,0.190970896
Leaflitter,0.200546469
Leaflitter,0.109622987
Leaflitter,0.167198498
Leaflitter,0.187739193
Leaflitter,0.119832971
Leaflitter,0.062026674
Leaflitter,0.002769274
Leaflitter,0.200340296
Leaflitter,0.205304028
Leaflitter,0.17560994
Leaflitter,0.542203033
Leaflitter,0.254353994
Leaflitter,0.060673668
Leaflitter,0.109508733
Leaflitter,0.211252486
Leaflitter,0.085553953
Leaflitter,0.205565829
Leaflitter,0.140069256
Leaflitter,0.184442051
Leaflitter,0.083600254
Leaflitter,0.079816742
Leaflitter,0.410242091
Leaflitter,0.190382662
Leaflitter,0.212938622
Leaflitter,0.085438089
Leaflitter,0.548602453
Leaflitter,0.106109082
Leaflitter,0.195508628
Leaflitter,0.043605952
Leaflitter,0.052805461
Leaflitter,0.129264936
Leaflitter,0.035183657
Leaflitter,0.017483146
Leaflitter,0.100977625
Leaflitter,0.156104015
Leaflitter,0.233566597
Leaflitter,0.214105755
Leaflitter,0.123438484
Leaflitter,0.070551398
Leaflitter,0.012445972
Leaflitter,0.075059121
Leaflitter,0.101692933
Leaflitter,0.224053521
Leaflitter,0.136189725
Leaflitter,0.062245441
Leaflitter,0.015953659
Leaflitter,0.074029532
Leaflitter,0.249077857
Leaflitter,0.056631115
Leaflitter,0.171305677
Leaflitter,0.008658589
Leaflitter,0.007825836
Leaflitter,0.005377538
Leaflitter,0.342527462
Leaflitter,0.049904793
Leaflitter,0.094286278
Leaflitter,0.155259514
Leaflitter,0.110326976
Leaflitter,0.011136145
Leaflitter,0.202507844
Leaflitter,0.02061582
Leaflitter,0.111212176
Leaflitter,0.031324705
Leaflitter,0.113207929
Leaflitter,0.025632214
Leaflitter,0.022472719
Leaflitter,0.001095278
Leaflitter,0.266097937
Leaflitter,0.030427493
Leaflitter,0.24055641
Leaflitter,0.053584539
Leaflitter,0.219928959
Leaflitter,0.050737354
Leaflitter,0.055209953
Leaflitter,0.070827922
Leaflitter,0.373542491
Leaflitter,0.176984518
Leaflitter,0.156488888
Leaflitter,0.021105668
Leaflitter,0.059857843
Leaflitter,0.530529084
Leaflitter,0.082517117
Leaflitter,0.177890649
Leaflitter,0.011446618
Leaflitter,0.152611626
Leaflitter,0.190936096
Leaflitter,0.090488102
Leaflitter,0.167732403
Leaflitter,0.026340077
Leaflitter,0.120961945
Leaflitter,0.006005567
Leaflitter,0.069720376
Leaflitter,0.008426323
Leaflitter,0.027198538
Leaflitter,0.304979019
Leaflitter,0.261361834
Leaflitter,0.010613971
Leaflitter,0.286920618
Leaflitter,0.022254616
Leaflitter,0.095037258
Leaflitter,0.021347611
Leaflitter,0.228458793
Leaflitter,0.184742522
Leaflitter,0.344666564
Leaflitter,0.012669613
Leaflitter,0.249479358
Leaflitter,0.118295761
Leaflitter,0.28734636
Leaflitter,0.086154344
Leaflitter,0.011657253
Leaflitter,0.150679971
Leaflitter,0.236179751
Leaflitter,0.05714764
Leaflitter,0.064636269
Leaflitter,0.126113513
Leaflitter,0.080627205
Leaflitter,0.00668855
Leaflitter,0.028708828
Leaflitter,0.319060182
Leaflitter,0.096649112
Leaflitter,0.025745926
Leaflitter,0.316794619
Leaflitter,0.032583952
Leaflitter,0.002146933
Leaflitter,0.055725645
Leaflitter,0.068692542
Leaflitter,0.048257055
Leaflitter,0.11760698
Leaflitter,0.412286473
Leaflitter,0.008314382
Leaflitter,0.173606485
Leaflitter,0.311988189
Leaflitter,0.075062926
Leaflitter,0.180992218
Leaflitter,0.106282687
Leaflitter,0.014503163
Leaflitter,0.437794506
Leaflitter,0.132759593
Leaflitter,0.133173632
Leaflitter,0.030473193
Leaflitter,0.10616522
Leaflitter,0.182954748
Leaflitter,0.321361587
Leaflitter,0.097456865
Leaflitter,0.062037486
Leaflitter,0.116877547
Leaflitter,0.001154864
Leaflitter,0.006569989
Leaflitter,0.047874989
Leaflitter,0.336646657
Leaflitter,0.085712323
Leaflitter,0.043158737
Leaflitter,0.427333232
Leaflitter,0.151808898
Leaflitter,0.482610437
Leaflitter,0.028265774
Leaflitter,0.074765155
Leaflitter,0.005030301
Leaflitter,0.111001693
Leaflitter,0.104280728
Leaflitter,0.063198187
Leaflitter,0.089036635
Leaflitter,0.116226466
Leaflitter,0.053995063
Leaflitter,0.015948341
Leaflitter,0.080532462
Leaflitter,0.00037841
Leaflitter,0.532951356
Leaflitter,0.003399919
Leaflitter,0.043564193
Leaflitter,0.129030379
Leaflitter,0.143136876
Leaflitter,0.199039524
Leaflitter,0.016758635
Leaflitter,0.023804472
Leaflitter,0.091291743
Leaflitter,0.059307414
Leaflitter,0.013051436
Leaflitter,0.064987694
Leaflitter,0.057947516
Leaflitter,0.030487024
Leaflitter,0.200065756
Leaflitter,0.071722969
Leaflitter,0.072171325
Leaflitter,0.22613896
Leaflitter,0.097745713
Leaflitter,0.116121049
Leaflitter,0.031015662
Leaflitter,0.43814127
Leaflitter,0.108597363
Leaflitter,0.06226606
Leaflitter,0.021512638
Leaflitter,0.043400577
Leaflitter,0.185256839
Leaflitter,0.271988002
Leaflitter,0.159564894
Leaflitter,0.068589875
Leaflitter,0.346797036
Leaflitter,0.247601193
Leaflitter,0.216918932
Leaflitter,0.178945302
Leaflitter,0.138975549
Leaflitter,0.019137654
Leaflitter,0.046161275
Leaflitter,0.154786933
Leaflitter,0.057801088
Leaflitter,0.10004608
Leaflitter,0.0741361
Leaflitter,0.31654787
Leaflitter,0.052453014
Leaflitter,0.01579201
Leaflitter,0.080000655
Leaflitter,0.065830701
Leaflitter,0.099732069
Leaflitter,0.040199399
Leaflitter,0.140405746
Leaflitter,0.003851641
Leaflitter,0.19064616
Leaflitter,0.175008987
Leaflitter,0.038261091
Leaflitter,0.214363219
Leaflitter,0.0197877
Leaflitter,0.043285722
Leaflitter,0.218534247
Leaflitter,0.089622018
Leaflitter,0.03458386
Leaflitter,0.118873264
Leaflitter,0.330369659
Leaflitter,0.012366127
Leaflitter,0.068925445
