source,density
Leaflitter,0.011784027
Leaflitter,0.052748766
Leaflitter,0.031645448
Leaflitter,0.161468725
Leaflitter,0.01975302
Leaflitter,0.011766959
Leaflitter,0.0139127
Leaflitter,0.223043292
Leaflitter,0.066265925
Leaflitter,0.080156156
Leaflitter,0.192350793
Leaflitter,0.008868741
Leaflitter,0.123357995
Leaflitter,0.03420682
Leaflitter,0.252104161
Leaflitter,0.00608331
Leaflitter,0.076822742
Leaflitter,0.002289265
Leaflitter,0.096132628
Leaflitter,0.195799196
Leaflitter,0.01873817
Leaflitter,0.023353466
Leaflitter,0.050292499
Leaflitter,0.052795855
Leaflitter,0.012884826
Leaflitter,0.263226171
Leaflitter,0.073828978
Leaflitter,0.000400059
Leaflitter,0.191693986
Leaflitter,0.065758847
Leaflitter,0.06895435
Leaflitter,0.127076612
Leaflitter,0.037278536
Leaflitter,0.081545791
Leaflitter,0.202957894
Leaflitter,0.085972089
Leaflitter,0.107226928
Leaflitter,0.027722311
Leaflitter,0.115144341
Leaflitter,0.100021657
Leaflitter,0.043220817
Leaflitter,0.195283594
Leaflitter,0.046419728
Leaflitter,0.135823041
Leaflitter,0.100614296
Leaflitter,0.016261246
Leaflitter,0.042643515
Leaflitter,0.107562319
Leaflitter,0.114738696
Leaflitter,0.002591081
Leaflitter,0.005556925
Leaflitter,0.054589733
Leaflitter,0.076261862
Leaflitter,0.082636222
Leaflitter,0.080639443
Leaflitter,0.116562933
Leaflitter,0.035426803
Leaflitter,0.025893728
Leaflitter,0.057418167
Leaflitter,0.034856375
Leaflitter,0.055177783
Leaflitter,0.025502787
Leaflitter,0.345112317
Leaflitter,0.195339094
Leaflitter,0.064244545
Leaflitter,0.018421423
Leaflitter,0.030870415
Leaflitter,0.008127776
Leaflitter,0.117017562
Leaflitter,0.186867862
Leaflitter,0.017810567
Leaflitter,0.241586689
Leaflitter,0.089044653
Leaflitter,0.021701189
Leaflitter,0.04926166
Leaflitter,0.219267745
Leaflitter,0.023396195
Leaflitter,0.005262353
Leaflitter,0.145498726
Leaflitter,0.025609533
Leaflitter,0.178983735
Leaflitter,0.283054054
Leaflitter,0.333702347
Leaflitter,0.207174074
Leaflitter,0.069191458
Leaflitter,0.002367124
Leaflitter,0.101715909
Leaflitter,0.208173041
Leaflitter,0.077423956
Leaflitter,0.080374783
Leaflitter,0.086102247
Leaflitter,0.053102052
Leaflitter,0.052332507
Leaflitter,0.240213371
Leaflitter,0.108197177
Leaflitter,0.275497004
Leaflitter,0.021854937
Leaflitter,0.061095933
Leaflitter,0.006479892
Leaflitter,0.191700556
Leaflitter,0.078959743
Leaflitter,0.032903606
Leaflitter,0.026964473
Leaflitter,0.022060679
Leaflitter,0.102254743
Leaflitter,0.082880161
Leaflitter,0.066329305
Leaflitter,0.154336352
Leaflitter,0.098621669
Leaflitter,0.075462546
Leaflitter,0.183249467
Leaflitter,0.018960756
Leaflitter,0.020204999
Leaflitter,0.063102916
Leaflitter,0.016264879
Leaflitter,0.025056243
Leaflitter,0.022373818
Leaflitter,0.144828718
Leaflitter,0.208974678
Leaflitter,0.021532325
Leaflitter,0.093314089
Leaflitter,0.019527816
Leaflitter,0.110157679
Leaflitter,0.048263183
Leaflitter,0.143009683
Leaflitter,0.112580851
Leaflitter,0.056619522
Leaflitter,0.116487995
Leaflitter,0.107885947
Leaflitter,0.031147447
Leaflitter,0.171492803
Leaflitter,0.12691093
Leaflitter,0.027019708
Leaflitter,0.181178137
Leaflitter,0.062789204
Leaflitter,0.253006502
Leaflitter,0.07157571
Leaflitter,0.021535949
Leaflitter,0.103682984
Leaflitter,0.034162653
Leaflitter,0.220573351
Leaflitter,0.013572228
Leaflitter,0.00963432
Leaflitter,0.061929581
Leaflitter,0.061288592
Leaflitter,0.033017783
Leaflitter,0.014247381
Leaflitter,0.011465468
Leaflitter,0.162969806
Leaflitter,0.136167502
Leaflitter,0.123296695
Leaflitter,0.07636802
Leaflitter,0.201780502
Leaflitter,0.070672933
Leaflitter,0.070876468
Leaflitter,0.014956007
Leaflitter,0.03002822
Leaflitter,0.190810252
Leaflitter,0.012961414
Leaflitter,0.132752504
Leaflitter,0.086027763
Leaflitter,0.08889058
Leaflitter,0.037369016
Leaflitter,0.003554852
Leaflitter,0.015627492
Leaflitter,0.001974776
Leaflitter,0.02565609
Leaflitter,0.041340068
Leaflitter,0.129997538
Leaflitter,0.010936201
Leaflitter,0.056915805
Leaflitter,0.044668087
Leaflitter,0.040706432
Leaflitter,0.081122556
Leaflitter,0.100845363
Leaflitter,0.035300317
Leaflitter,0.006531152
Leaflitter,0.115275759
Leaflitter,0.033977845
Leaflitter,0.268376677
Leaflitter,0.113380588
Leaflitter,0.092576432
Leaflitter,0.33686957
Leaflitter,0.037197967
Leaflitter,0.042484728
Leaflitter,0.017053982
Leaflitter,0.05545222
Leaflitter,0.11230884
Leaflitter,0.139342223
Leaflitter,0.021639506
Leaflitter,0.041409876
Leaflitter,0.005042647
Leaflitter,0.055625996
Leaflitter,0.0231515
Leaflitter,0.082510111
Leaflitter,0.149987636
Leaflitter,0.042652537
Leaflitter,0.343533342
Leaflitter,0.221115164
Leaflitter,0.344245337
Leaflitter,0.064841666
Leaflitter,0.026351468
Leaflitter,0.000901898
Leaflitter,0.267728577
Leaflitter,0.064914161
Leaflitter,0.223335414
Leaflitter,0.02943156
Leaflitter,0.259360216
Leaflitter,0.040086621
Leaflitter,0.18340965
Leaflitter,0.046727736
Leaflitter,0.02011353
Leaflitter,0.121078908
Leaflitter,0.015508168
Leaflitter,0.030023138
Leaflitter,0.056457848
Leaflitter,0.036197101
Leaflitter,0.177084039
Leaflitter,0.099406297
Leaflitter,0.128792957
Leaflitter,0.384901321
Leaflitter,0.176777518
Leaflitter,0.029127757
Leaflitter,0.172351708
Leaflitter,0.038149781
Leaflitter,0.03947443
Leaflitter,0.011491749
Leaflitter,0.114065191
Leaflitter,0.00634023
Leaflitter,0.043306842
Leaflitter,0.129730328
Leaflitter,0.088682527
Leaflitter,0.016149963
Leaflitter,0.076430796
Leaflitter,0.085646466
Leaflitter,0.256657656
Leaflitter,0.024566798
Leaflitter,0.151294001
Leaflitter,0.125889431
Leaflitter,0.120960013
Leaflitter,0.038455898
Leaflitter,0.050531392
Leaflitter,0.068627252
Leaflitter,0.033532113
Leaflitter,0.061511473
Leaflitter,0.033786384
Leaflitter,0.154366193
Leaflitter,0.005890869
Leaflitter,0.063382201
Leaflitter,0.086251763
Leaflitter,0.121231976
Leaflitter,0.042243861
Leaflitter,0.041771967
Leaflitter,0.122811842
Leaflitter,0.053381097
Leaflitter,0.209896401
Leaflitter,0.017825912
Leaflitter,0.032530353
Leaflitter,0.092533256
Leaflitter,0.090562346
Leaflitter,0.061271054
Leaflitter,0.000723049
Leaflitter,0.043730545
Leaflitter,0.094577101
Leaflitter,0.038134163
Leaflitter,0.124213925
Leaflitter,0.360426853
Leaflitter,0.160082992
Leaflitter,0.127457168
Leaflitter,0.003600613
Leaflitter,0.052053461
Leaflitter,0.134290381
Leaflitter,0.030877323
Leaflitter,0.007114459
Leaflitter,0.064005431
Leaflitter,0.206849669
Leaflitter,0.118087824
Leaflitter,0.000801114
Leaflitter,0.295351362
Leaflitter,0.049562072
Leaflitter,0.145765623
Leaflitter,0.021493415
Leaflitter,0.141099858
Leaflitter,0.028731353
Leaflitter,0.000231984
Leaflitter,0.03596284
Leaflitter,0.052957717
Leaflitter,0.154993206
Leaflitter,0.173076653
Leaflitter,0.020476898
Leaflitter,0.169977868
Leaflitter,0.26976271
Leaflitter,0.127559306
Leaflitter,0.0197117
Leaflitter,0.035113172
Leaflitter,0.197656561
Leaflitter,0.059439349
Leaflitter,0.085200889
Leaflitter,0.089827689
Leaflitter,0.056109856
Leaflitter,0.022717548
Leaflitter,0.083738675
Leaflitter,0.116146756
Leaflitter,0.02951975
Leaflitter,0.214683976
Leaflitter,0.169124664
Leaflitter,0.02479734
Leaflitter,0.242008602
Leaflitter,0.138171791
