source,density
Leaflitter,0.012264858
Leaflitter,0.072276282
Leaflitter,0.030841611
Leaflitter,0.101726923
Leaflitter,0.11228205
Leaflitter,0.013597644
Leaflitter,0.063963102
Leaflitter,0.031264177
Leaflitter,0.139184834
Leaflitter,0.242348382
Leaflitter,0.039898326
Leaflitter,0.047213911
Leaflitter,0.010754
Leaflitter,0.032836432
Leaflitter,0.152476926
Leaflitter,0.009602449
Leaflitter,0.142244986
Leaflitter,0.144250625
Leaflitter,0.194406853
Leaflitter,0.005591722
Leaflitter,0.058942453
Leaflitter,0.023785488
Leaflitter,0.00843768
Leaflitter,0.202848438
Leaflitter,0.160613968
Leaflitter,0.2608991
Leaflitter,0.43222511
Leaflitter,0.400980211
Leaflitter,0.174415142
Leaflitter,0.177989774
Leaflitter,0.098974445
Leaflitter,0.171028656
Leaflitter,0.243276656
Leaflitter,0.375354576
Leaflitter,0.045831419
Leaflitter,0.099756963
Leaflitter,0.031972355
Leaflitter,0.012862864
Leaflitter,0.003400344
Leaflitter,0.10425629
Leaflitter,0.02968361
Leaflitter,0.092370199
Leaflitter,0.001327808
Leaflitter,0.035851255
Leaflitter,0.029287116
Leaflitter,0.051754561
Leaflitter,0.089102677
Leaflitter,0.096206833
Leaflitter,0.034950516
Leaflitter,0.027380475
Leaflitter,0.150943193
Leaflitter,0.151655657
Leaflitter,0.016380602
Leaflitter,0.090637049
Leaflitter,0.128788471
Leaflitter,0.091339051
Leaflitter,0.040447283
Leaflitter,0.36297766
Leaflitter,0.048428705
Leaflitter,0.21842401
Leaflitter,0.189437953
Leaflitter,0.138370505
Leaflitter,0.009546244
Leaflitter,0.345315689
Leaflitter,0.129350769
Leaflitter,0.080396952
Leaflitter,0.093809139
Leaflitter,0.089443447
Leaflitter,0.108366915
Leaflitter,0.150649527
Leaflitter,0.051136074
Leaflitter,0.178522941
Leaflitter,0.238932742
Leaflitter,0.125602762
Leaflitter,0.29941782
Leaflitter,0.111139542
Leaflitter,0.032356945
Leaflitter,0.050355367
Leaflitter,0.003579062
Leaflitter,0.050378782
Leaflitter,0.081937022
Leaflitter,0.112210388
Leaflitter,0.060433084
Leaflitter,0.179288512
Leaflitter,0.154948889
Leaflitter,0.019408709
Leaflitter,0.005076768
Leaflitter,0.614609683
Leaflitter,0.087942762
Leaflitter,0.111940954
Leaflitter,0.013229504
Leaflitter,0.256360809
Leaflitter,0.210936647
Leaflitter,0.010399147
Leaflitter,0.001593344
Leaflitter,0.04166883
Leaflitter,0.002397255
Leaflitter,0.070996096
Leaflitter,0.080395586
Leaflitter,0.062936776
Leaflitter,0.064606923
Leaflitter,0.007399501
Leaflitter,0.108666289
Leaflitter,0.013550379
Leaflitter,0.036768323
Leaflitter,0.04999489
Leaflitter,0.085595589
Leaflitter,0.014821819
Leaflitter,0.01732308
Leaflitter,0.115281517
Leaflitter,0.204113282
Leaflitter,0.03677152
Leaflitter,0.016172677
Leaflitter,0.000455316
Leaflitter,0.013251578
Leaflitter,0.051125964
Leaflitter,0.001295269
Leaflitter,0.13343729
Leaflitter,0.043856072
Leaflitter,0.050293716
Leaflitter,0.017547711
Leaflitter,0.326401878
Leaflitter,0.127832288
Leaflitter,0.024901445
Leaflitter,0.014507989
Leaflitter,0.060547493
Leaflitter,0.092689955
Leaflitter,0.019884368
Leaflitter,0.000653075
Leaflitter,0.022692639
Leaflitter,0.054660512
Leaflitter,0.025580809
Leaflitter,0.009372788
Leaflitter,0.146118116
Leaflitter,0.001771236
Leaflitter,0.22183276
Leaflitter,0.01433856
Leaflitter,0.010002227
Leaflitter,0.145325558
Leaflitter,0.159111668
Leaflitter,0.040008231
Leaflitter,0.002579971
Leaflitter,0.19902423
Leaflitter,0.095305804
Leaflitter,0.010520988
Leaflitter,0.121759665
Leaflitter,0.124025839
Leaflitter,0.357198011
Leaflitter,0.071153229
Leaflitter,0.291595348
Leaflitter,0.222715468
Leaflitter,0.015058206
Leaflitter,0.146217405
Leaflitter,0.000145925
Leaflitter,0.062647311
Leaflitter,0.045855099
Leaflitter,0.06510172
Leaflitter,0.158136414
Leaflitter,0.077885983
Leaflitter,0.12268546
Leaflitter,0.373992602
Leaflitter,0.329437189
Leaflitter,0.218987193
Leaflitter,0.248281481
Leaflitter,0.020778527
Leaflitter,0.05221636
Leaflitter,0.008454872
Leaflitter,0.046473011
Leaflitter,0.030010831
Leaflitter,0.279718982
Leaflitter,0.189739514
Leaflitter,0.073457994
Leaflitter,0.196268162
Leaflitter,0.066780454
Leaflitter,0.029437578
Leaflitter,0.020299119
Leaflitter,0.005311506
Leaflitter,0.058995794
Leaflitter,0.237246894
Leaflitter,0.03505972
Leaflitter,0.050223145
Leaflitter,0.240949609
Leaflitter,0.118069033
Leaflitter,0.121747137
Leaflitter,0.039382661
Leaflitter,0.11473024
Leaflitter,0.005173769
Leaflitter,0.169154407
Leaflitter,0.050927865
Leaflitter,0.034560302
Leaflitter,0.068002086
Leaflitter,0.064212813
Leaflitter,0.009737321
Leaflitter,0.126463342
Leaflitter,0.093543378
Leaflitter,0.015637736
Leaflitter,0.07609108
Leaflitter,0.115681476
Leaflitter,0.031196845
Leaflitter,0.177118647
Leaflitter,0.066673894
Leaflitter,0.151119469
Leaflitter,0.132379558
Leaflitter,0.002976942
Leaflitter,0.205784988
Leaflitter,0.001008307
Leaflitter,0.058440381
Leaflitter,0.162769208
Leaflitter,0.045533088
Leaflitter,0.090038089
Leaflitter,0.02492885
Leaflitter,0.012385603
Leaflitter,0.108206221
Leaflitter,0.178611035
Leaflitter,0.15838585
Leaflitter,0.000744324
Leaflitter,0.090108842
Leaflitter,0.128051563
Leaflitter,0.061701479
Leaflitter,0.187977623
Leaflitter,0.018637193
Leaflitter,0.027167465
Leaflitter,0.032680024
Leaflitter,0.151148189
Leaflitter,0.110471413
Leaflitter,0.023263903
Leaflitter,0.124493297
Leaflitter,0.17920287
Leaflitter,0.1065504
Leaflitter,0.0587789
Leaflitter,0.433996693
Leaflitter,0.16635125
Leaflitter,0.061959108
Leaflitter,0.430025059
Leaflitter,0.003755898
Leaflitter,0.135632264
Leaflitter,0.021652323
Leaflitter,0.115255269
Leaflitter,0.097537081
Leaflitter,0.019874237
Leaflitter,0.086671521
Leaflitter,0.06050116
Leaflitter,0.000596062
Leaflitter,6.05E-05
Leaflitter,0.069008707
Leaflitter,0.071735929
Leaflitter,0.145733244
Leaflitter,0.052303497
Leaflitter,0.107293482
Leaflitter,0.074655861
Leaflitter,0.007230411
Leaflitter,0.133847468
Leaflitter,0.038655709
Leaflitter,0.087070854
Leaflitter,0.02313662
Leaflitter,0.046678608
Leaflitter,0.102117106
Leaflitter,0.163628691
Leaflitter,0.042753196
Leaflitter,0.019803911
Leaflitter,0.04115161
Leaflitter,0.088915867
Leaflitter,0.002550866
Leaflitter,0.010560363
Leaflitter,0.021050682
Leaflitter,0.200924814
Leaflitter,0.004651535
Leaflitter,0.240394274
Leaflitter,0.023683428
Leaflitter,0.058161779
Leaflitter,0.068777272
Leaflitter,0.144504063
Leaflitter,0.046951568
Leaflitter,0.08862064
Leaflitter,0.097570606
Leaflitter,0.046851367
Leaflitter,0.138223212
Leaflitter,0.264729574
Leaflitter,0.103190064
Leaflitter,0.022512871
Leaflitter,0.054015141
Leaflitter,0.023615484
Leaflitter,0.071787865
Leaflitter,0.063376661
Leaflitter,0.115288178
Leaflitter,0.277481556
Leaflitter,0.079383091
Leaflitter,0.038883167
Leaflitter,0.066505926
Leaflitter,0.02211924
Leaflitter,0.062016706
Leaflitter,0.0045723
Leaflitter,0.018111396
Leaflitter,0.287034603
Leaflitter,0.35223319
Leaflitter,0.030821339
Leaflitter,0.104475873
Leaflitter,0.084648591
Leaflitter,0.070740501
Leaflitter,0.043102039
Leaflitter,0.021578741
Leaflitter,0.097454639
Leaflitter,0.023529788
Leaflitter,0.080296009
Leaflitter,0.047581001
Leaflitter,0.033262136
Leaflitter,0.053559701
Leaflitter,0.062209889
Leaflitter,0.019337041
Leaflitter,0.029308228
Leaflitter,0.008702978
Leaflitter,0.077905353
Leaflitter,0.064466026
Leaflitter,0.145901844
Leaflitter,0.038654238
Leaflitter,0.134492711
Leaflitter,0.103477455
Leaflitter,0.073121852
Leaflitter,0.008652316
Leaflitter,0.116950528
Leaflitter,0.038852245
Leaflitter,0.083520967
Leaflitter,0.070397806
Leaflitter,0.022915581
Leaflitter,0.038630624
Leaflitter,0.013855852
Leaflitter,0.300212025
Leaflitter,0.041326501
Leaflitter,0.048361406
Leaflitter,0.007246946
Leaflitter,0.26468544
Leaflitter,0.082959952
Leaflitter,0.00852596
Leaflitter,0.064890723
Leaflitter,0.047250989
Leaflitter,0.035691192
Leaflitter,0.040394118
Leaflitter,0.120222091
Leaflitter,0.07383263
Leaflitter,0.003730548
Leaflitter,0.086270699
Leaflitter,0.07775257
Leaflitter,0.095732291
Leaflitter,0.102707639
Leaflitter,0.112701664
Leaflitter,0.024800359
Leaflitter,0.201247235
Leaflitter,0.08157129
Leaflitter,0.033578416
Leaflitter,0.029824173
Leaflitter,0.093150186
Leaflitter,0.031255283
Leaflitter,0.105019919
Leaflitter,0.181134511
Leaflitter,0.147657234
Leaflitter,0.124559601
Leaflitter,0.244781102
Leaflitter,0.060642986
Leaflitter,0.021415312
Leaflitter,0.188661037
Leaflitter,0.00750177
Leaflitter,0.051462463
Leaflitter,0.063905929
Leaflitter,0.049724853
Leaflitter,0.132822257
Leaflitter,0.195577088
Leaflitter,0.186747234
Leaflitter,0.099158608
Leaflitter,0.076818522
Leaflitter,0.028614699
Leaflitter,0.187131468
Leaflitter,0.003036833
Leaflitter,0.319554838
Leaflitter,0.005269506
Leaflitter,0.179362467
Leaflitter,0.153550642
Leaflitter,0.000826137
Leaflitter,0.060021992
Leaflitter,0.206965228
Leaflitter,0.048060215
Leaflitter,0.004201928
Leaflitter,0.008591189
Leaflitter,0.178367349
Leaflitter,0.336893029
Leaflitter,0.103969964
Leaflitter,0.092351732
Leaflitter,0.002609749
Leaflitter,0.137127195
Leaflitter,0.018304713
Leaflitter,0.162267794
Leaflitter,0.526316458
Leaflitter,0.027785975
Leaflitter,0.155829109
Leaflitter,0.365952902
Leaflitter,0.164836711
Leaflitter,0.13447709
Leaflitter,0.025787345
Leaflitter,0.045070348
Leaflitter,0.068745238
Leaflitter,0.068974768
Leaflitter,0.051226546
Leaflitter,0.163603302
Leaflitter,0.053087911
Leaflitter,0.001008717
Leaflitter,0.032587196
Leaflitter,0.045016829
Leaflitter,0.000495303
Leaflitter,0.055308266
Leaflitter,0.085637898
Leaflitter,0.013487304
Leaflitter,0.026841775
Leaflitter,0.184474739
Leaflitter,0.018451795
Leaflitter,0.508059506
Leaflitter,0.131613933
Leaflitter,0.042108601
Leaflitter,0.038579618
Leaflitter,0.121729546
Leaflitter,0.142342619
Leaflitter,0.006402851
Leaflitter,0.042467093
Leaflitter,0.00046476
Leaflitter,0.055223129
Leaflitter,0.011351941
Leaflitter,0.464325872
Leaflitter,0.029992771
Leaflitter,0.199605794
Leaflitter,0.051975102
Leaflitter,0.12812801
Leaflitter,0.007647154
Leaflitter,0.098759548
Leaflitter,0.038008007
Leaflitter,0.078679062
Leaflitter,0.156953809
Leaflitter,0.063092498
Leaflitter,0.01585313
Leaflitter,0.072296544
Leaflitter,0.040220303
Leaflitter,0.247357765
Leaflitter,0.00506018
Leaflitter,0.306705715
Leaflitter,0.099920531
Leaflitter,0.036943364
Leaflitter,0.002050381
Leaflitter,0.342415026
Leaflitter,0.048163296
Leaflitter,0.337193236
Leaflitter,0.045661073
Leaflitter,0.376601678
Leaflitter,0.025157745
Leaflitter,0.027461955
Leaflitter,0.036768895
Leaflitter,0.35257968
Leaflitter,0.124484853
Leaflitter,0.05006701
Leaflitter,0.353754993
Leaflitter,0.188421017
Leaflitter,0.066882649
Leaflitter,0.108356706
Leaflitter,0.12808018
Leaflitter,0.013209999
Leaflitter,0.066793527
Leaflitter,0.125964584
Leaflitter,0.013648433
Leaflitter,0.151775877
Leaflitter,0.048100676
Leaflitter,0.540281031
Leaflitter,0.044216377
Leaflitter,0.000216293
Leaflitter,0.123848422
Leaflitter,0.080459853
Leaflitter,0.110576143
Leaflitter,0.060911111
Leaflitter,0.109348651
Leaflitter,0.34292335
Leaflitter,0.037026782
Leaflitter,0.146087211
Leaflitter,0.015867861
Leaflitter,0.102622253
Leaflitter,0.005214357
Leaflitter,0.011811285
Leaflitter,0.036847947
Leaflitter,0.028791493
Leaflitter,0.188118744
Leaflitter,0.047260042
Leaflitter,0.044034637
Leaflitter,0.216467693
Leaflitter,0.108656623
Leaflitter,0.079620501
Leaflitter,0.029631698
Leaflitter,0.06861683
Leaflitter,0.307935229
Leaflitter,0.088122314
Leaflitter,0.09639366
Leaflitter,0.045176036
Leaflitter,0.016143614
Leaflitter,0.026285328
Leaflitter,0.001633711
Leaflitter,0.004607747
Leaflitter,0.087372041
Leaflitter,0.052833507
Leaflitter,0.120574739
Leaflitter,0.023196749
Leaflitter,0.316109258
Leaflitter,0.057640576
Leaflitter,0.029239403
Leaflitter,0.0132837
Leaflitter,0.066871458
Leaflitter,0.056129364
Leaflitter,0.250886486
Leaflitter,0.055065003
Leaflitter,0.119145168
Leaflitter,0.097777241
Leaflitter,0.170688174
Leaflitter,0.030417038
Leaflitter,0.140798338
Leaflitter,0.111654392
Leaflitter,0.0299481
Leaflitter,0.103999423
Leaflitter,0.056522434
Leaflitter,0.146169054
Leaflitter,0.065511932
Leaflitter,0.008323553
Leaflitter,0.052427765
Leaflitter,0.003578812
Leaflitter,0.026525378
Leaflitter,0.063193796
Leaflitter,0.141667639
Leaflitter,0.090906416
Leaflitter,0.052572434
Leaflitter,0.012499954
Leaflitter,0.028835287
Leaflitter,0.074195222
Leaflitter,0.079303799
Leaflitter,0.033941987
Leaflitter,0.100712363
Leaflitter,0.023631797
Leaflitter,0.263458929
Leaflitter,0.001144521
Leaflitter,0.064934599
Leaflitter,0.005855795
Leaflitter,0.033142047
Leaflitter,0.063774571
Leaflitter,0.040118353
Leaflitter,0.055437834
Leaflitter,0.127822605
Leaflitter,0.154083551
Leaflitter,0.013868527
Leaflitter,0.062087013
Leaflitter,0.087042811
Leaflitter,0.053903839
Leaflitter,0.335458726
Leaflitter,0.239306185
Leaflitter,0.257923526
Leaflitter,0.22371027
Leaflitter,0.015750613
Leaflitter,0.054799056
Leaflitter,0.201594664
Leaflitter,0.568932468
Leaflitter,0.113488279
Leaflitter,0.059737902
Leaflitter,0.027319382
Leaflitter,0.236910698
Leaflitter,0.002552116
Leaflitter,0.001378299
Leaflitter,0.049305568
Leaflitter,0.173658511
Leaflitter,0.09529959
Leaflitter,0.087140341
Leaflitter,0.004444987
Leaflitter,0.101034336
Leaflitter,0.043048094
