source,density
Leaflitter,0.094043362
Leaflitter,0.051256085
Leaflitter,0.034484657
Leaflitter,0.01316486
Leaflitter,0.083502252
Leaflitter,0.092745115
Leaflitter,0.306974542
Leaflitter,0.201991645
Leaflitter,0.128427461
Leaflitter,0.152110064
Leaflitter,0.029910905
Leaflitter,0.127576939
Leaflitter,0.025680301
Leaflitter,0.344269712
Leaflitter,0.021689069
Leaflitter,0.210751827
Leaflitter,0.120408073
Leaflitter,0.404669816
Leaflitter,0.082577234
Leaflitter,0.416940773
Leaflitter,0.127251912
Leaflitter,0.093548397
Leaflitter,0.090749941
Leaflitter,0.255502042
Leaflitter,0.129638526
Leaflitter,0.184741003
Leaflitter,0.118763115
Leaflitter,0.569005377
Leaflitter,0.086923244
Leaflitter,0.025707425
Leaflitter,0.002074285
Leaflitter,0.041989997
Leaflitter,0.168229774
Leaflitter,0.018129168
Leaflitter,0.057713381
Leaflitter,0.038821641
Leaflitter,0.037687479
Leaflitter,0.04034355
Leaflitter,0.059528151
Leaflitter,0.131829399
Leaflitter,0.446305923
Leaflitter,0.490589784
Leaflitter,0.014813832
Leaflitter,0.013303214
Leaflitter,0.057936262
Leaflitter,0.039479199
Leaflitter,0.033781166
Leaflitter,0.103498988
Leaflitter,0.053669853
Leaflitter,0.4697787
Leaflitter,0.318960866
Leaflitter,0.178963688
Leaflitter,0.14013506
Leaflitter,0.093327121
Leaflitter,0.093356034
Leaflitter,0.131456183
Leaflitter,0.069861778
Leaflitter,0.257795312
Leaflitter,0.184930814
Leaflitter,0.051408787
Leaflitter,0.008151221
Leaflitter,0.041019066
Leaflitter,0.097221928
Leaflitter,0.130738945
Leaflitter,0.072152968
Leaflitter,0.039179437
Leaflitter,0.091532257
Leaflitter,0.154666994
Leaflitter,0.237183678
Leaflitter,0.177196626
Leaflitter,0.221767233
Leaflitter,0.00521072
Leaflitter,0.189413208
Leaflitter,0.226364314
Leaflitter,0.027059403
Leaflitter,0.282356908
Leaflitter,0.087672713
Leaflitter,0.417724259
Leaflitter,0.058569689
Leaflitter,0.418427288
Leaflitter,0.017932707
Leaflitter,0.288357409
Leaflitter,0.065128528
Leaflitter,0.066983041
Leaflitter,0.185510078
Leaflitter,0.081158833
Leaflitter,0.298500966
Leaflitter,0.223446155
Leaflitter,0.075000865
Leaflitter,0.044392608
Leaflitter,0.050559626
Leaflitter,0.114808494
Leaflitter,0.116121615
Leaflitter,0.332270079
Leaflitter,0.164686335
Leaflitter,0.038831099
Leaflitter,0.047592698
Leaflitter,0.17123727
Leaflitter,0.070755452
Leaflitter,0.037356029
Leaflitter,0.215996014
Leaflitter,0.027699322
Leaflitter,0.054743491
Leaflitter,0.128018834
Leaflitter,0.533177768
Leaflitter,0.155820987
Leaflitter,0.287676289
Leaflitter,0.03952982
Leaflitter,0.004313234
Leaflitter,0.065846426
Leaflitter,0.11019794
Leaflitter,0.006168887
Leaflitter,0.067540861
Leaflitter,0.066163228
Leaflitter,0.128039319
Leaflitter,0.330301345
Leaflitter,0.239623614
Leaflitter,0.227549032
Leaflitter,0.191127202
Leaflitter,0.032267594
Leaflitter,0.012148361
Leaflitter,0.078720237
Leaflitter,0.091334598
Leaflitter,0.038434429
Leaflitter,0.099084154
Leaflitter,0.033957899
Leaflitter,0.198457257
Leaflitter,0.043979301
Leaflitter,0.131213974
Leaflitter,0.229297712
Leaflitter,0.068641671
Leaflitter,0.102867229
Leaflitter,0.192229534
Leaflitter,0.084026119
Leaflitter,0.03694609
Leaflitter,0.027874035
Leaflitter,0.187596255
Leaflitter,0.108915496
Leaflitter,0.020851128
Leaflitter,0.039245326
Leaflitter,0.088317157
Leaflitter,0.00953753
Leaflitter,0.043238778
Leaflitter,0.322896574
Leaflitter,0.050922444
Leaflitter,0.000280668
Leaflitter,0.363329092
Leaflitter,0.405263478
Leaflitter,0.019282761
Leaflitter,0.073987969
Leaflitter,0.054720525
Leaflitter,0.146760347
Leaflitter,0.0844167
Leaflitter,0.445014575
Leaflitter,0.242753086
Leaflitter,0.059695987
Leaflitter,0.02231368
Leaflitter,0.065177742
Leaflitter,0.175700429
Leaflitter,0.330564264
Leaflitter,0.032009447
Leaflitter,0.256035106
Leaflitter,0.016431195
Leaflitter,0.028876471
Leaflitter,0.019721529
Leaflitter,0.136092186
Leaflitter,0.382003772
Leaflitter,0.200127675
Leaflitter,0.044025177
Leaflitter,0.049992317
Leaflitter,0.486024536
Leaflitter,0.11489946
Leaflitter,0.206772092
Leaflitter,0.149333481
Leaflitter,0.055471137
Leaflitter,0.115340567
Leaflitter,0.029299612
Leaflitter,0.012690785
Leaflitter,0.2967407
Leaflitter,0.029334204
Leaflitter,0.001549969
Leaflitter,0.017079011
Leaflitter,0.083536323
Leaflitter,0.148812147
Leaflitter,0.226680752
Leaflitter,0.192898667
Leaflitter,0.593123062
Leaflitter,0.043542783
Leaflitter,0.009300129
Leaflitter,0.06232488
Leaflitter,0.555514671
Leaflitter,0.155750122
Leaflitter,0.10740592
Leaflitter,0.051017643
Leaflitter,0.267703932
Leaflitter,0.082487448
Leaflitter,0.501138217
Leaflitter,0.291739477
Leaflitter,0.236831711
Leaflitter,0.071095159
Leaflitter,0.031127025
Leaflitter,0.171278166
Leaflitter,0.033801862
Leaflitter,0.197149059
Leaflitter,0.161337596
Leaflitter,0.089870994
Leaflitter,0.20824774
Leaflitter,0.015522984
Leaflitter,0.000693778
Leaflitter,0.196494255
Leaflitter,0.01600536
Leaflitter,0.113079976
Leaflitter,0.098097879
Leaflitter,0.146945516
Leaflitter,0.179947501
Leaflitter,0.236839912
Leaflitter,0.01266285
Leaflitter,0.166373884
Leaflitter,0.085354917
Leaflitter,0.024066442
Leaflitter,0.227296074
Leaflitter,0.014205582
Leaflitter,0.036997978
Leaflitter,0.123483046
Leaflitter,0.260671098
Leaflitter,0.193887209
Leaflitter,0.241452546
Leaflitter,0.171264271
Leaflitter,0.132870833
Leaflitter,0.218897523
Leaflitter,0.109890173
Leaflitter,0.165724207
Leaflitter,0.163707197
Leaflitter,0.087263851
Leaflitter,0.462091072
Leaflitter,0.086833148
Leaflitter,0.247814104
Leaflitter,0.259975457
Leaflitter,0.042032874
Leaflitter,0.016672242
Leaflitter,0.092863278
Leaflitter,0.020905577
Leaflitter,0.071438019
Leaflitter,0.152020588
Leaflitter,0.51917492
Leaflitter,0.021833246
Leaflitter,0.342587549
Leaflitter,0.161435276
Leaflitter,0.2247468
Leaflitter,0.004279451
Leaflitter,0.084302856
Leaflitter,0.06397468
Leaflitter,0.056692392
Leaflitter,0.199721831
Leaflitter,0.109784194
Leaflitter,0.22707659
Leaflitter,0.002833319
Leaflitter,0.048634665
Leaflitter,0.147365937
Leaflitter,0.025747909
Leaflitter,0.039713979
Leaflitter,0.371380569
Leaflitter,0.340038388
Leaflitter,0.022663563
Leaflitter,0.120646233
Leaflitter,0.167681404
Leaflitter,0.070623254
Leaflitter,0.049301575
Leaflitter,0.066241148
Leaflitter,0.241624649
Leaflitter,0.360673443
Leaflitter,0.124441711
Leaflitter,0.081712361
Leaflitter,0.421907831
Leaflitter,0.12894112
Leaflitter,0.166330946
Leaflitter,0.270308499
Leaflitter,0.076236657
Leaflitter,0.025030332
Leaflitter,0.068677627
Leaflitter,0.16458649
Leaflitter,0.655939235
Leaflitter,0.03822994
Leaflitter,0.025011187
Leaflitter,0.018656763
Leaflitter,0.279028612
Leaflitter,0.083940274
Leaflitter,0.177837042
Leaflitter,0.022380195
Leaflitter,0.119881051
Leaflitter,0.081043457
Leaflitter,0.024520644
Leaflitter,0.036391594
Leaflitter,0.044297824
Leaflitter,0.491622614
Leaflitter,0.049221197
Leaflitter,0.043750964
Leaflitter,0.025423834
Leaflitter,0.160205181
Leaflitter,0.105727315
Leaflitter,0.381963424
Leaflitter,0.103747819
Leaflitter,0.015234044
Leaflitter,0.17798734
Leaflitter,0.102531762
Leaflitter,0.065441611
Leaflitter,0.221537949
Leaflitter,0.007238319
Leaflitter,0.010744788
Leaflitter,0.095117807
Leaflitter,0.408077276
Leaflitter,0.04919539
Leaflitter,0.218841547
Leaflitter,0.154969892
Leaflitter,0.071933073
Leaflitter,0.023320966
Leaflitter,0.34264299
Leaflitter,0.020992375
Leaflitter,0.395900966
Leaflitter,0.340653508
Leaflitter,0.084389464
Leaflitter,0.134747584
Leaflitter,0.102505572
Leaflitter,0.145464409
Leaflitter,0.001892391
Leaflitter,0.048265435
Leaflitter,0.309144407
Leaflitter,0.00992499
Leaflitter,0.005155247
Leaflitter,0.276315172
Leaflitter,0.19732512
Leaflitter,0.177638229
Leaflitter,0.026458892
Leaflitter,0.099088032
Leaflitter,0.286857281
Leaflitter,0.008882249
Leaflitter,0.065077941
Leaflitter,0.020863216
Leaflitter,0.067151183
Leaflitter,0.224908248
Leaflitter,0.009182357
Leaflitter,0.036864364
Leaflitter,0.059922939
Leaflitter,0.018755871
Leaflitter,0.132014031
Leaflitter,0.044691505
Leaflitter,0.024928841
Leaflitter,0.101922171
Leaflitter,0.23924448
Leaflitter,0.121508149
Leaflitter,0.021776233
Leaflitter,0.045472676
Leaflitter,0.064649839
Leaflitter,0.447914975
Leaflitter,0.036863821
Leaflitter,0.087701468
Leaflitter,0.002048687
Leaflitter,0.13525741
Leaflitter,0.317654996
Leaflitter,0.12519781
Leaflitter,0.135319421
Leaflitter,0.050188411
Leaflitter,0.003287302
Leaflitter,0.218975471
Leaflitter,0.045932554
Leaflitter,0.54825741
Leaflitter,0.191569159
Leaflitter,0.027213895
Leaflitter,0.336453045
Leaflitter,0.360560219
Leaflitter,0.201678188
Leaflitter,0.161104461
Leaflitter,0.005465802
Leaflitter,0.112181337
Leaflitter,0.130061378
Leaflitter,0.058610677
Leaflitter,0.045846204
Leaflitter,0.015793684
Leaflitter,0.115246695
Leaflitter,0.046753725
Leaflitter,0.148569844
Leaflitter,0.257371918
Leaflitter,0.186965175
Leaflitter,0.337347864
Leaflitter,0.09056045
Leaflitter,0.003574127
Leaflitter,0.063680504
Leaflitter,0.018248781
Leaflitter,0.164785722
Leaflitter,0.012787231
Leaflitter,0.362925785
Leaflitter,0.254745604
Leaflitter,0.274844773
Leaflitter,0.236582006
Leaflitter,0.017815812
Leaflitter,0.109730441
Leaflitter,0.006661979
Leaflitter,0.152153318
Leaflitter,0.029957806
Leaflitter,0.132269236
Leaflitter,0.327382603
Leaflitter,0.211052733
Leaflitter,0.006345972
Leaflitter,0.09497018
Leaflitter,0.062340137
Leaflitter,0.293742923
Leaflitter,0.161007315
Leaflitter,0.277209182
Leaflitter,0.076235494
Leaflitter,0.388007452
Leaflitter,0.004915731
Leaflitter,0.118360507
Leaflitter,0.162364084
Leaflitter,0.282956886
Leaflitter,0.070348529
Leaflitter,0.152815111
Leaflitter,0.045783496
Leaflitter,0.312405888
Leaflitter,0.250139559
Leaflitter,0.005522339
Leaflitter,0.063283247
Leaflitter,0.011967369
Leaflitter,0.025507387
Leaflitter,0.036880532
Leaflitter,0.01353621
Leaflitter,0.007850905
Leaflitter,0.012656396
Leaflitter,0.025315964
Leaflitter,0.067596468
Leaflitter,0.135763706
Leaflitter,0.305661475
Leaflitter,0.151441886
Leaflitter,0.013633127
Leaflitter,0.004214629
Leaflitter,0.513270684
Leaflitter,0.040451816
Leaflitter,0.061736287
Leaflitter,0.092525814
Leaflitter,0.002477027
Leaflitter,0.059736799
Leaflitter,0.033061145
Leaflitter,0.06582353
Leaflitter,0.126756991
Leaflitter,0.102347464
Leaflitter,0.118748872
Leaflitter,0.0368765
Leaflitter,0.073723818
Leaflitter,0.101701533
Leaflitter,0.296793684
Leaflitter,0.13260197
Leaflitter,0.078273933
Leaflitter,0.500730432
Leaflitter,0.033006515
Leaflitter,0.041657169
Leaflitter,0.082822897
Leaflitter,0.381291528
Leaflitter,0.228865329
Leaflitter,0.24427581
Leaflitter,0.02274202
Leaflitter,0.065569278
Leaflitter,0.480175282
Leaflitter,0.129174254
Leaflitter,0.028588903
Leaflitter,0.105368983
Leaflitter,0.210186147
Leaflitter,0.211663352
Leaflitter,0.041063308
Leaflitter,0.050241929
Leaflitter,0.327737181
Leaflitter,0.114110963
Leaflitter,0.054665165
Leaflitter,0.405297067
Leaflitter,0.546093249
Leaflitter,0.137111709
Leaflitter,0.017458993
Leaflitter,0.03292055
Leaflitter,0.062732303
Leaflitter,0.118263329
Leaflitter,0.149384292
Leaflitter,0.029297397
Leaflitter,0.023873112
Leaflitter,0.202674915
Leaflitter,0.182939946
Leaflitter,0.103505403
Leaflitter,0.366045666
Leaflitter,0.213386441
Leaflitter,0.000763588
Leaflitter,0.163320456
Leaflitter,0.061311919
Leaflitter,0.08790476
Leaflitter,0.157178649
Leaflitter,0.056912444
Leaflitter,0.069122421
Leaflitter,0.024633892
Leaflitter,0.233216998
Leaflitter,0.054379303
Leaflitter,0.215592301
Leaflitter,0.033907834
Leaflitter,0.315010999
Leaflitter,0.183906257
Leaflitter,0.12593828
Leaflitter,0.16496743
Leaflitter,0.038055033
Leaflitter,0.011645762
Leaflitter,0.197497851
Leaflitter,0.087956405
Leaflitter,0.118191818
Leaflitter,0.167149025
Leaflitter,0.011500635
Leaflitter,0.042210739
Leaflitter,0.02808356
Leaflitter,0.045634454
Leaflitter,0.093667677
Leaflitter,0.037607859
Leaflitter,0.011903002
Leaflitter,0.078813708
Leaflitter,0.097510576
Leaflitter,0.067172491
Leaflitter,0.084802412
Leaflitter,0.522241535
Leaflitter,0.026180989
Leaflitter,0.26869582
Leaflitter,0.049151674
Leaflitter,0.118181705
Leaflitter,0.228266324
Leaflitter,0.053104489
Leaflitter,0.318227827
Leaflitter,0.012534898
Leaflitter,0.180305789
Leaflitter,0.010109438
Leaflitter,0.163357555
Leaflitter,0.018280195
Leaflitter,0.337038058
Leaflitter,0.015151004
Leaflitter,0.124666407
Leaflitter,0.046038073
Leaflitter,0.068657812
Leaflitter,0.050901183
Leaflitter,0.041356287
Leaflitter,0.029372879
Leaflitter,0.337914114
Leaflitter,0.060139083
Leaflitter,0.140079761
Leaflitter,0.0485798
Leaflitter,0.016355467
Leaflitter,0.180530263
Leaflitter,0.395454626
