source,density
Leaflitter,0.610151336
Leaflitter,0.630700523
Leaflitter,0.722732218
Leaflitter,0.685125356
Leaflitter,0.544352346
Leaflitter,0.638587691
Leaflitter,0.449412055
Leaflitter,0.538944388
Leaflitter,0.67472601
Leaflitter,0.43857836
Leaflitter,0.153024751
Leaflitter,0.724432208
Leaflitter,0.628618724
Leaflitter,0.536679754
Leaflitter,0.57294549
Leaflitter,0.526309565
Leaflitter,0.940021339
Leaflitter,0.257326858
Leaflitter,0.4663157
Leaflitter,0.815850241
Leaflitter,0.859123784
Leaflitter,0.171738539
Leaflitter,0.382187101
Leaflitter,0.602500404
Leaflitter,0.414097626
Leaflitter,0.986309095
Leaflitter,0.681207047
Leaflitter,0.730160982
Leaflitter,0.905259444
Leaflitter,0.466410241
Leaflitter,0.494062788
Leaflitter,0.517079613
Leaflitter,0.825369435
Leaflitter,0.524017
Leaflitter,0.847150274
Leaflitter,0.307497132
Leaflitter,0.24991043
Leaflitter,0.625620597
Leaflitter,0.693813704
Leaflitter,0.928863302
Leaflitter,0.697374893
Leaflitter,0.054002396
Leaflitter,0.256461466
Leaflitter,0.887716654
Leaflitter,0.35503064
Leaflitter,0.279611663
Leaflitter,0.90097029
Leaflitter,0.507201604
Leaflitter,0.53461637
Leaflitter,0.82476561
Leaflitter,0.678141762
Leaflitter,0.716763403
Leaflitter,0.628876778
Leaflitter,0.308759737
Leaflitter,0.483809665
Leaflitter,0.050648344
Leaflitter,0.83525489
Leaflitter,0.576451636
Leaflitter,0.325481219
Leaflitter,0.909410356
Leaflitter,0.705866331
Leaflitter,0.499275354
Leaflitter,0.29994713
Leaflitter,0.471984601
Leaflitter,0.17427616
Leaflitter,0.670178974
Leaflitter,0.390770915
Leaflitter,0.227371074
Leaflitter,0.315721139
Leaflitter,0.950151131
Leaflitter,0.226326875
Leaflitter,0.629981228
Leaflitter,0.661545124
Leaflitter,0.7838858
Leaflitter,0.650173573
Leaflitter,0.199207764
Leaflitter,0.67233179
Leaflitter,0.661522338
Leaflitter,0.542080291
Leaflitter,0.618977257
Leaflitter,0.73956015
Leaflitter,0.558101037
Leaflitter,0.638875498
Leaflitter,0.057455218
Leaflitter,0.285334611
Leaflitter,0.552361926
Leaflitter,0.471281166
Leaflitter,0.159990838
Leaflitter,0.900263334
Leaflitter,0.611196406
Leaflitter,0.133728165
Leaflitter,0.795365637
Leaflitter,0.342384762
Leaflitter,0.893840527
Leaflitter,0.966027002
Leaflitter,0.658217335
Leaflitter,0.706358126
Leaflitter,0.461732838
Leaflitter,0.255248564
Leaflitter,0.554925653
Leaflitter,0.008928075
Leaflitter,0.063679389
Leaflitter,0.356150399
Leaflitter,0.652795081
Leaflitter,0.719199611
Leaflitter,0.724549421
Leaflitter,0.844252399
Leaflitter,0.401608243
Leaflitter,0.090873125
Leaflitter,0.644391302
Leaflitter,0.199490039
Leaflitter,0.657746155
Leaflitter,0.854133258
Leaflitter,0.769049613
Leaflitter,0.263538724
Leaflitter,0.629973991
Leaflitter,0.66440813
Leaflitter,0.623634489
Leaflitter,0.540091547
Leaflitter,0.756839741
Leaflitter,0.716783656
