source,density
Leaflitter,0.1490212
Leaflitter,0.216678892
Leaflitter,0.65326809
Leaflitter,0.573898937
Leaflitter,0.447586359
Leaflitter,0.449664929
Leaflitter,0.590945034
Leaflitter,0.422324772
Leaflitter,0.466643947
Leaflitter,0.700414777
Leaflitter,0.448084505
Leaflitter,0.486377694
Leaflitter,0.656652744
Leaflitter,0.442772688
Leaflitter,0.370853979
Leaflitter,0.836870213
Leaflitter,0.487449732
Leaflitter,0.104625673
Leaflitter,0.792751202
Leaflitter,0.783358396
Leaflitter,0.03796588
Leaflitter,0.551906724
Leaflitter,0.564041776
Leaflitter,0.572418073
Leaflitter,0.447504853
Leaflitter,0.385210749
Leaflitter,0.684583986
Leaflitter,0.542594037
Leaflitter,0.137022738
Leaflitter,0.355687242
Leaflitter,0.85921991
Leaflitter,0.347385225
Leaflitter,0.820816436
Leaflitter,0.695695388
Leaflitter,0.515400465
Leaflitter,0.198621558
Leaflitter,0.940007239
Leaflitter,0.556263837
Leaflitter,0.265057141
Leaflitter,0.293202211
Leaflitter,0.885450131
Leaflitter,0.552790949
Leaflitter,0.944414311
Leaflitter,0.664967549
Leaflitter,0.612954763
Leaflitter,0.949644836
Leaflitter,0.701884447
Leaflitter,0.114820003
Leaflitter,0.786563984
Leaflitter,0.779619071
Leaflitter,0.195160449
Leaflitter,0.405835181
Leaflitter,0.69063057
Leaflitter,0.924318579
Leaflitter,0.384559454
Leaflitter,0.390532043
Leaflitter,0.106226684
Leaflitter,0.391677962
Leaflitter,0.314987052
Leaflitter,0.491325121
Leaflitter,0.546853346
Leaflitter,0.582647893
Leaflitter,0.298338154
Leaflitter,0.749328042
Leaflitter,0.451548299
Leaflitter,0.524593961
Leaflitter,0.691450252
Leaflitter,0.536698034
Leaflitter,0.820965643
Leaflitter,0.693850643
Leaflitter,0.571657106
Leaflitter,0.301959165
Leaflitter,0.266952309
Leaflitter,0.507412163
Leaflitter,0.780012369
Leaflitter,0.936188252
Leaflitter,0.882336675
Leaflitter,0.300225452
Leaflitter,0.738297424
Leaflitter,0.8679698
Leaflitter,0.755555658
Leaflitter,0.637462722
Leaflitter,0.490108617
Leaflitter,0.845336539
Leaflitter,0.133059103
Leaflitter,0.380251918
Leaflitter,0.350292187
Leaflitter,0.197601122
Leaflitter,0.877790825
Leaflitter,0.973977769
Leaflitter,0.082023752
Leaflitter,0.891063083
Leaflitter,0.615767204
Leaflitter,0.21752136
Leaflitter,0.751953383
Leaflitter,0.935245613
Leaflitter,0.369300114
Leaflitter,0.225171331
Leaflitter,0.935219495
Leaflitter,0.812986896
Leaflitter,0.7939781
Leaflitter,0.773264725
Leaflitter,0.686676397
Leaflitter,0.412583417
Leaflitter,0.209302724
Leaflitter,0.691922771
Leaflitter,0.448229996
Leaflitter,0.298984019
Leaflitter,0.073202786
Leaflitter,0.898513684
Leaflitter,0.771773464
Leaflitter,0.06302825
Leaflitter,0.241127672
Leaflitter,0.167255003
Leaflitter,0.132058653
Leaflitter,0.589108099
Leaflitter,0.37545733
Leaflitter,0.071630896
Leaflitter,0.251253274
Leaflitter,0.511951468
Leaflitter,0.523427243
Leaflitter,0.563058227
Leaflitter,0.492943184
Leaflitter,0.784960309
Leaflitter,0.122032129
Leaflitter,0.523524102
Leaflitter,0.373221367
Leaflitter,0.821021765
Leaflitter,0.475637225
Leaflitter,0.723445082
Leaflitter,0.159497407
Leaflitter,0.649223836
Leaflitter,0.76227057
Leaflitter,0.659120366
Leaflitter,0.810417888
Leaflitter,0.627344379
Leaflitter,0.002747043
Leaflitter,0.490099998
Leaflitter,0.55241517
Leaflitter,0.254490583
Leaflitter,0.514693935
Leaflitter,0.382452764
Leaflitter,0.631405965
Leaflitter,0.340594223
Leaflitter,0.6266788
Leaflitter,0.454219943
Leaflitter,0.954705239
Leaflitter,0.930760698
Leaflitter,0.086009248
Leaflitter,0.633523838
Leaflitter,0.255060305
Leaflitter,0.582253075
Leaflitter,0.646910425
Leaflitter,0.141925025
Leaflitter,0.886408171
Leaflitter,0.630461012
Leaflitter,0.238667011
Leaflitter,0.127792997
Leaflitter,0.466992915
Leaflitter,0.079074464
Leaflitter,0.850808545
Leaflitter,0.852159436
Leaflitter,0.398207838
Leaflitter,0.591849361
Leaflitter,0.491713044
Leaflitter,0.332698987
Leaflitter,0.664634509
Leaflitter,0.423177033
Leaflitter,0.177846107
Leaflitter,0.300392072
Leaflitter,0.211240417
Leaflitter,0.522139896
Leaflitter,0.767438439
Leaflitter,0.809013419
Leaflitter,0.444642411
Leaflitter,0.51767291
Leaflitter,0.693236103
Leaflitter,0.787411858
Leaflitter,0.463509818
Leaflitter,0.707714332
Leaflitter,0.034053807
Leaflitter,0.805942408
Leaflitter,0.253587435
Leaflitter,0.452687753
Leaflitter,0.039141215
Leaflitter,0.411714461
Leaflitter,0.385332634
Leaflitter,0.492332758
Leaflitter,0.518500171
Leaflitter,0.895533369
Leaflitter,0.195835128
Leaflitter,0.344525964
Leaflitter,0.577705171
Leaflitter,0.791678032
Leaflitter,0.0682148
Leaflitter,0.533382993
Leaflitter,0.367417713
Leaflitter,0.583971985
Leaflitter,0.751749785
Leaflitter,0.081274408
Leaflitter,0.172947204
Leaflitter,0.003366952
Leaflitter,0.396770765
Leaflitter,0.621477605
Leaflitter,0.626985249
Leaflitter,0.680442395
Leaflitter,0.572639439
Leaflitter,0.508761079
Leaflitter,0.570721635
Leaflitter,0.581952023
Leaflitter,0.682339259
Leaflitter,0.537351348
Leaflitter,0.339725818
Leaflitter,0.069871218
Leaflitter,0.647430702
Leaflitter,0.85597775
Leaflitter,0.670577288
Leaflitter,0.867047733
Leaflitter,0.395105891
Leaflitter,0.336801598
Leaflitter,0.901365087
Leaflitter,0.097943622
Leaflitter,0.380656155
Leaflitter,0.169264149
Leaflitter,0.647178766
Leaflitter,0.768913592
Leaflitter,0.67385881
Leaflitter,0.730082483
Leaflitter,0.111898715
Leaflitter,0.334368547
Leaflitter,0.938054287
Leaflitter,0.233409142
Leaflitter,0.321724515
Leaflitter,0.296008963
Leaflitter,0.065611221
Leaflitter,0.70668898
Leaflitter,0.567011563
Leaflitter,0.904535143
Leaflitter,0.503063289
Leaflitter,0.35746672
Leaflitter,0.547608289
Leaflitter,0.353102796
Leaflitter,0.874922738
Leaflitter,0.720383515
Leaflitter,0.852619503
Leaflitter,0.954328005
Leaflitter,0.532804793
Leaflitter,0.577154852
Leaflitter,0.413306138
Leaflitter,0.291559885
Leaflitter,0.901457084
Leaflitter,0.398518023
Leaflitter,0.542202387
Leaflitter,0.342756503
Leaflitter,0.616554097
Leaflitter,0.415071066
Leaflitter,0.886902943
Leaflitter,0.241924228
Leaflitter,0.792908427
Leaflitter,0.241212761
Leaflitter,0.615658496
Leaflitter,0.28711036
Leaflitter,0.255241136
Leaflitter,0.71419922
Leaflitter,0.759766746
Leaflitter,0.189091778
Leaflitter,0.893414732
Leaflitter,0.746850315
Leaflitter,0.783132687
Leaflitter,0.51912547
Leaflitter,0.498241523
Leaflitter,0.605843204
Leaflitter,0.356200427
Leaflitter,0.571229528
Leaflitter,0.734234479
Leaflitter,0.319764634
Leaflitter,0.766459319
Leaflitter,0.009542888
Leaflitter,0.635044188
Leaflitter,0.459723119
Leaflitter,0.927092576
Leaflitter,0.076228043
Leaflitter,0.837721009
Leaflitter,0.650149466
Leaflitter,0.339112838
Leaflitter,0.753906071
Leaflitter,0.489875226
Leaflitter,0.662652519
Leaflitter,0.655465322
Leaflitter,0.247594452
Leaflitter,0.254587401
Leaflitter,0.966208789
Leaflitter,0.728120301
Leaflitter,0.039855877
Leaflitter,0.638998903
Leaflitter,0.390049191
Leaflitter,0.784812263
Leaflitter,0.550667999
Leaflitter,0.243554715
Leaflitter,0.499927252
Leaflitter,0.546630347
Leaflitter,0.23748598
Leaflitter,0.67351744
Leaflitter,0.144727912
Leaflitter,0.698483639
Leaflitter,0.773075414
Leaflitter,0.37646549
Leaflitter,0.936565066
Leaflitter,0.154414208
Leaflitter,0.490833068
Leaflitter,0.527461534
Leaflitter,0.569829475
Leaflitter,0.879820579
Leaflitter,0.340980451
Leaflitter,0.294564368
Leaflitter,0.460923993
Leaflitter,0.578595428
Leaflitter,0.1025639
Leaflitter,0.15692462
Leaflitter,0.713889803
Leaflitter,0.416973578
Leaflitter,0.628582396
Leaflitter,0.500184768
Leaflitter,0.794154147
Leaflitter,0.458309904
Leaflitter,0.186226473
Leaflitter,0.087908311
Leaflitter,0.273231195
Leaflitter,0.038045619
Leaflitter,0.847015987
Leaflitter,0.633752189
Leaflitter,0.051661576
Leaflitter,0.335142915
Leaflitter,0.587067933
Leaflitter,0.612136043
Leaflitter,0.591206046
Leaflitter,0.744004773
Leaflitter,0.551735684
Leaflitter,0.043574806
Leaflitter,0.18012104
Leaflitter,0.528829789
Leaflitter,0.50774922
Leaflitter,0.758681839
Leaflitter,0.894934286
Leaflitter,0.220619829
Leaflitter,0.352721401
Leaflitter,0.012971746
Leaflitter,0.342494021
Leaflitter,0.736494532
Leaflitter,0.359577288
Leaflitter,0.68319246
Leaflitter,0.687828403
Leaflitter,0.737527889
Leaflitter,0.673948041
Leaflitter,0.126147408
Leaflitter,0.512721177
Leaflitter,0.83132393
Leaflitter,0.178780588
Leaflitter,0.130250779
Leaflitter,0.245827342
Leaflitter,0.641270548
Leaflitter,0.394532853
Leaflitter,0.697808424
Leaflitter,0.630677712
Leaflitter,0.421751525
Leaflitter,0.05154305
Leaflitter,0.128788078
Leaflitter,0.626510696
Leaflitter,0.496102582
Leaflitter,0.089777864
Leaflitter,0.527598891
Leaflitter,0.864765979
Leaflitter,0.561705842
Leaflitter,0.761482393
Leaflitter,0.241275909
Leaflitter,0.327848895
Leaflitter,0.946688881
Leaflitter,0.291575414
Leaflitter,0.335590779
Leaflitter,0.049788279
Leaflitter,0.037077241
Leaflitter,0.550626297
Leaflitter,0.782477398
Leaflitter,0.155461491
Leaflitter,0.683535485
Leaflitter,0.494207907
Leaflitter,0.673647742
Leaflitter,0.019415981
Leaflitter,0.211552635
Leaflitter,0.377861
Leaflitter,0.690080772
Leaflitter,0.239776163
Leaflitter,0.362639875
Leaflitter,0.519365618
Leaflitter,0.325222439
Leaflitter,0.617970314
Leaflitter,0.769664179
Leaflitter,0.540431717
Leaflitter,0.104883345
Leaflitter,0.870020293
Leaflitter,0.099907157
Leaflitter,0.299210332
Leaflitter,0.114470597
Leaflitter,0.725695344
Leaflitter,0.771689923
Leaflitter,0.507693395
Leaflitter,0.781585014
Leaflitter,0.383437886
Leaflitter,0.291782783
Leaflitter,0.384510493
Leaflitter,0.788556876
Leaflitter,0.554454373
Leaflitter,0.486386299
Leaflitter,0.759138645
Leaflitter,0.667808359
Leaflitter,0.616468907
Leaflitter,0.976451509
Leaflitter,0.569994564
Leaflitter,0.202015998
Leaflitter,0.112082015
Leaflitter,0.389441463
Leaflitter,0.491127556
Leaflitter,0.65786319
Leaflitter,0.409775444
Leaflitter,0.042410022
Leaflitter,0.910713837
Leaflitter,0.409387425
Leaflitter,0.342109647
Leaflitter,0.641466065
Leaflitter,0.733336438
Leaflitter,0.375213773
Leaflitter,0.413125549
Leaflitter,0.195492884
Leaflitter,0.354154718
Leaflitter,0.249116403
Leaflitter,0.175714953
Leaflitter,0.15446879
Leaflitter,0.899108428
Leaflitter,0.649453853
Leaflitter,0.655041217
Leaflitter,0.910701605
Leaflitter,0.860707936
Leaflitter,0.787981802
Leaflitter,0.062948993
Leaflitter,0.412833921
Leaflitter,0.780476116
Leaflitter,0.738602427
Leaflitter,0.837315844
Leaflitter,0.915159836
Leaflitter,0.452225732
Leaflitter,0.389326352
Leaflitter,0.159557736
Leaflitter,0.619403836
Leaflitter,0.438415057
Leaflitter,0.676286412
Leaflitter,0.534601277
Leaflitter,0.607552789
Leaflitter,0.759137064
Leaflitter,0.392411093
Leaflitter,0.329193098
Leaflitter,0.958268506
Leaflitter,0.648874191
Leaflitter,0.400131318
Leaflitter,0.153504334
Leaflitter,0.780187526
Leaflitter,0.447006685
Leaflitter,0.803204898
Leaflitter,0.91570256
Leaflitter,0.540394807
Leaflitter,0.130457532
Leaflitter,0.652142988
Leaflitter,0.641943611
Leaflitter,0.018071805
Leaflitter,0.466212701
Leaflitter,0.23670276
Leaflitter,0.96801692
Leaflitter,0.127477183
Leaflitter,0.611030905
Leaflitter,0.485418236
Leaflitter,0.594079505
Leaflitter,0.005602977
Leaflitter,0.848759927
Leaflitter,0.81761062
Leaflitter,0.782787249
Leaflitter,0.625209343
Leaflitter,0.324126883
Leaflitter,0.19410399
Leaflitter,0.116996527
Leaflitter,0.879349676
Leaflitter,0.801829253
Leaflitter,0.624713943
Leaflitter,0.797584514
Leaflitter,0.705608315
Leaflitter,0.447420212
Leaflitter,0.737846838
Leaflitter,0.491402995
Leaflitter,0.561457847
Leaflitter,0.692974332
Leaflitter,0.318330462
Leaflitter,0.894220569
Leaflitter,0.662558409
Leaflitter,0.483040394
Leaflitter,0.385305308
Leaflitter,0.766590963
Leaflitter,0.437691073
Leaflitter,0.186624824
Leaflitter,0.123317053
Leaflitter,0.558938572
Leaflitter,0.576147814
Leaflitter,0.270114402
Leaflitter,0.126034756
Leaflitter,0.121753667
Leaflitter,0.690326462
Leaflitter,0.706459609
Leaflitter,0.546643744
Leaflitter,0.352012889
Leaflitter,0.203920439
Leaflitter,0.713137542
Leaflitter,0.158287133
Leaflitter,0.535647896
Leaflitter,0.596688603
Leaflitter,0.417740315
Leaflitter,0.758865601
Leaflitter,0.841978794
Leaflitter,0.57175247
Leaflitter,0.888325873
Leaflitter,0.455813637
Leaflitter,0.583144218
Leaflitter,0.252515748
Leaflitter,0.500381745
Leaflitter,0.398011372
Leaflitter,0.256076654
Leaflitter,0.382798652
Leaflitter,0.224237753
Leaflitter,0.297916306
Leaflitter,0.277768074
Leaflitter,0.851764764
Leaflitter,0.322071239
Leaflitter,0.662060263
Leaflitter,0.497971788
Leaflitter,0.27709521
Leaflitter,0.652727138
