source,density
Leaflitter,0.460633219
Leaflitter,0.443567499
Leaflitter,0.350029948
Leaflitter,0.106146238
Leaflitter,0.055495974
Leaflitter,0.280625677
Leaflitter,0.55167439
Leaflitter,0.821417688
Leaflitter,0.789587822
Leaflitter,0.195870243
Leaflitter,0.438708931
Leaflitter,0.537483092
Leaflitter,0.320435521
Leaflitter,0.328868396
Leaflitter,0.132350203
Leaflitter,0.595195434
Leaflitter,0.039071754
Leaflitter,0.361271694
Leaflitter,0.151313503
Leaflitter,0.4214579
Leaflitter,0.784492043
Leaflitter,0.652119759
Leaflitter,0.255350476
Leaflitter,0.623792607
Leaflitter,0.478834946
Leaflitter,0.159814469
Leaflitter,0.334884698
Leaflitter,0.091674585
Leaflitter,0.031147121
Leaflitter,0.0435657
Leaflitter,0.442690898
Leaflitter,0.655943282
Leaflitter,0.166221509
Leaflitter,0.081778925
Leaflitter,0.886823854
Leaflitter,0.845045477
Leaflitter,0.658303071
Leaflitter,0.932230458
Leaflitter,0.03810972
Leaflitter,0.673815144
Leaflitter,0.409723286
Leaflitter,0.221771979
Leaflitter,0.433391179
Leaflitter,0.680291133
Leaflitter,0.185439403
Leaflitter,0.146957123
Leaflitter,0.223463383
Leaflitter,0.857598468
Leaflitter,0.711522507
Leaflitter,0.494789697
Leaflitter,0.798955254
Leaflitter,0.288306596
Leaflitter,0.466279178
Leaflitter,0.177825656
Leaflitter,0.358008537
Leaflitter,0.730796714
Leaflitter,0.445303783
Leaflitter,0.60719773
Leaflitter,0.703908134
Leaflitter,0.384078435
Leaflitter,0.480164705
Leaflitter,0.514445225
Leaflitter,0.449782978
Leaflitter,0.23700467
Leaflitter,0.84864025
Leaflitter,0.852757689
Leaflitter,0.011180203
Leaflitter,0.791587594
Leaflitter,0.297356957
Leaflitter,0.814081361
Leaflitter,0.660425627
Leaflitter,0.126330442
Leaflitter,0.357037207
Leaflitter,0.828683715
Leaflitter,0.291372982
Leaflitter,0.04927247
Leaflitter,0.481627572
Leaflitter,0.639892442
Leaflitter,0.344988093
Leaflitter,0.857925304
Leaflitter,0.662015743
Leaflitter,0.140813278
Leaflitter,0.428700056
Leaflitter,0.424278456
Leaflitter,0.231304121
Leaflitter,0.823547484
Leaflitter,0.346202987
Leaflitter,0.038942325
Leaflitter,0.458804444
Leaflitter,0.319938687
Leaflitter,0.075134108
Leaflitter,0.158196553
Leaflitter,0.424359216
Leaflitter,0.349496341
Leaflitter,0.017843242
Leaflitter,0.039102264
Leaflitter,0.691748512
Leaflitter,0.728010011
Leaflitter,0.124968417
Leaflitter,0.426921981
Leaflitter,0.073383817
Leaflitter,0.257204911
Leaflitter,0.509166831
Leaflitter,0.849066696
Leaflitter,0.81096805
Leaflitter,0.487588494
Leaflitter,0.290853947
Leaflitter,0.409913205
Leaflitter,0.09544937
Leaflitter,0.476653296
Leaflitter,0.500215216
Leaflitter,0.463892672
Leaflitter,0.706372624
Leaflitter,0.65289159
Leaflitter,0.56745884
Leaflitter,0.239884066
Leaflitter,0.332195018
Leaflitter,0.334084191
Leaflitter,0.590652096
Leaflitter,0.262115152
Leaflitter,0.105825193
Leaflitter,0.751738606
Leaflitter,0.318254514
Leaflitter,0.667101766
Leaflitter,0.567957927
Leaflitter,0.789958152
Leaflitter,0.436032794
Leaflitter,0.160526702
Leaflitter,0.109385961
Leaflitter,0.057139983
Leaflitter,0.5809209
Leaflitter,0.522058594
Leaflitter,0.007501389
Leaflitter,0.183778796
Leaflitter,0.507498661
Leaflitter,0.308748719
Leaflitter,0.393813562
Leaflitter,0.152026258
Leaflitter,0.172316142
Leaflitter,0.281553703
Leaflitter,0.317184418
Leaflitter,0.394950562
Leaflitter,0.387684845
Leaflitter,0.494027803
Leaflitter,0.244923182
Leaflitter,0.840268838
Leaflitter,0.710760531
Leaflitter,0.717843871
Leaflitter,0.356818559
Leaflitter,0.267755805
Leaflitter,0.693215713
Leaflitter,0.069179914
Leaflitter,0.650340827
Leaflitter,0.470933698
Leaflitter,0.359915993
Leaflitter,0.3090334
Leaflitter,0.935111779
Leaflitter,0.308357506
Leaflitter,0.309823079
Leaflitter,0.112674524
Leaflitter,0.626421012
Leaflitter,0.488179876
Leaflitter,0.041292361
Leaflitter,0.34643598
Leaflitter,0.767457692
Leaflitter,0.673171278
Leaflitter,0.794554972
Leaflitter,0.091853532
Leaflitter,0.413860212
Leaflitter,0.807048073
Leaflitter,0.645558238
Leaflitter,0.048443204
Leaflitter,0.216934369
Leaflitter,0.672866495
Leaflitter,0.132773778
Leaflitter,0.441441473
Leaflitter,0.448248108
Leaflitter,0.761936895
Leaflitter,0.632295984
Leaflitter,0.380602159
Leaflitter,0.720950203
Leaflitter,0.407755754
Leaflitter,0.353644012
Leaflitter,0.740922986
Leaflitter,0.338115656
Leaflitter,0.157272406
Leaflitter,0.483700423
Leaflitter,0.357219571
Leaflitter,0.029645659
Leaflitter,0.423781178
Leaflitter,0.622546511
Leaflitter,0.265309067
Leaflitter,0.839165401
Leaflitter,0.143357156
Leaflitter,0.04909695
Leaflitter,0.713662415
Leaflitter,0.523718249
Leaflitter,0.036900205
Leaflitter,0.426709999
Leaflitter,0.480139021
Leaflitter,0.678303652
Leaflitter,0.313482417
Leaflitter,0.634434629
Leaflitter,0.184077155
Leaflitter,0.054087357
Leaflitter,0.1675762
Leaflitter,0.600382859
Leaflitter,0.253793073
Leaflitter,0.434173141
Leaflitter,0.5185614
Leaflitter,0.824667406
Leaflitter,0.103878276
Leaflitter,0.343241281
Leaflitter,0.045627042
Leaflitter,0.499620364
Leaflitter,0.782892474
Leaflitter,0.249529025
Leaflitter,0.038877622
Leaflitter,0.345698572
Leaflitter,0.781600967
Leaflitter,0.339606989
Leaflitter,0.070514498
Leaflitter,0.704985696
Leaflitter,0.058392867
Leaflitter,0.418166565
Leaflitter,0.184186505
Leaflitter,0.608455098
Leaflitter,0.56184406
Leaflitter,0.808207686
Leaflitter,0.820298971
Leaflitter,0.99136997
Leaflitter,0.728640205
Leaflitter,0.221167974
Leaflitter,0.395556373
Leaflitter,0.753805059
Leaflitter,0.553336329
Leaflitter,0.542564634
Leaflitter,0.218358069
Leaflitter,0.713165988
Leaflitter,0.39091055
Leaflitter,0.016259574
Leaflitter,0.100871545
Leaflitter,0.333570997
Leaflitter,0.533504112
Leaflitter,0.61963517
Leaflitter,0.062458515
Leaflitter,0.411900364
Leaflitter,0.077485585
Leaflitter,0.883881062
Leaflitter,0.448784237
Leaflitter,0.143533429
Leaflitter,0.863564443
Leaflitter,0.104435722
Leaflitter,0.607569704
Leaflitter,0.358868211
Leaflitter,0.646270496
Leaflitter,0.148094888
Leaflitter,0.245618993
Leaflitter,0.282536277
Leaflitter,0.158550205
Leaflitter,0.163672824
Leaflitter,0.775421716
Leaflitter,0.713606863
Leaflitter,0.394120256
Leaflitter,0.52465331
Leaflitter,0.658113726
Leaflitter,0.67786148
Leaflitter,0.295636501
Leaflitter,0.215139475
Leaflitter,0.009155553
Leaflitter,0.40469591
Leaflitter,0.8839861
Leaflitter,0.647382619
Leaflitter,0.046336168
Leaflitter,0.151360691
Leaflitter,0.329779988
Leaflitter,0.786632101
Leaflitter,0.728620511
Leaflitter,0.126377329
Leaflitter,0.391516787
Leaflitter,0.279927806
Leaflitter,0.56879646
Leaflitter,0.652318874
Leaflitter,0.081288051
Leaflitter,0.885647303
Leaflitter,0.143114075
Leaflitter,0.213568693
Leaflitter,0.78732727
Leaflitter,0.789055596
Leaflitter,0.8766661
Leaflitter,0.076837874
Leaflitter,0.403485467
Leaflitter,0.294736922
Leaflitter,0.750567923
Leaflitter,0.616585752
Leaflitter,0.442496877
Leaflitter,0.894580258
Leaflitter,0.635273752
Leaflitter,0.428356484
Leaflitter,0.52753098
Leaflitter,0.142850294
Leaflitter,0.7138464
Leaflitter,0.446635041
Leaflitter,0.55508347
Leaflitter,0.48154556
Leaflitter,0.344218246
Leaflitter,0.024561717
Leaflitter,0.65005818
Leaflitter,0.677881427
Leaflitter,0.048104904
Leaflitter,0.129536961
Leaflitter,0.343575523
Leaflitter,0.198337614
Leaflitter,0.478510713
Leaflitter,0.745422122
Leaflitter,0.093099601
Leaflitter,0.604598033
Leaflitter,0.315123482
Leaflitter,0.561697474
Leaflitter,0.5391693
Leaflitter,0.408794591
Leaflitter,0.24891869
Leaflitter,0.089006692
Leaflitter,0.692475885
Leaflitter,0.107746764
Leaflitter,0.07073621
Leaflitter,0.379506652
Leaflitter,0.659327902
Leaflitter,0.049629961
Leaflitter,0.194394929
Leaflitter,0.573668692
Leaflitter,0.101762584
Leaflitter,0.05437257
Leaflitter,0.90646876
Leaflitter,0.757600544
Leaflitter,0.716069738
Leaflitter,0.610346014
Leaflitter,0.203687937
Leaflitter,0.001261486
Leaflitter,0.770674113
Leaflitter,0.202251106
Leaflitter,0.512768076
Leaflitter,0.675345353
Leaflitter,0.419577252
Leaflitter,0.85445168
Leaflitter,0.18291003
Leaflitter,0.549618588
Leaflitter,0.127950347
Leaflitter,0.534400495
Leaflitter,0.622171751
Leaflitter,0.04289988
Leaflitter,0.318697341
Leaflitter,0.884834927
Leaflitter,0.326244613
Leaflitter,0.232750109
Leaflitter,0.769928023
Leaflitter,0.289956184
Leaflitter,0.166395929
Leaflitter,0.187996659
Leaflitter,0.475026578
Leaflitter,0.118519447
Leaflitter,0.76857129
Leaflitter,0.346468507
Leaflitter,0.579687363
Leaflitter,0.485979939
Leaflitter,0.135828224
Leaflitter,0.523326071
Leaflitter,0.887464412
Leaflitter,0.540405024
Leaflitter,0.41121859
Leaflitter,0.461839702
Leaflitter,0.372533296
Leaflitter,0.836847103
Leaflitter,0.284230898
Leaflitter,0.570715566
Leaflitter,0.800988674
Leaflitter,0.563625812
Leaflitter,0.281125764
Leaflitter,0.832456012
Leaflitter,0.780296911
Leaflitter,0.777894115
Leaflitter,0.205431298
Leaflitter,0.36814178
Leaflitter,0.103338806
