source,density
Leaflitter,0.628136589
Leaflitter,0.560303308
Leaflitter,0.879499623
Leaflitter,0.243214311
Leaflitter,0.685782612
Leaflitter,0.768753411
Leaflitter,0.609144876
Leaflitter,0.733931464
Leaflitter,0.479547272
Leaflitter,0.453392297
Leaflitter,0.461577422
Leaflitter,0.872991686
Leaflitter,0.229263012
Leaflitter,0.648488366
Leaflitter,0.226929254
Leaflitter,0.375678798
Leaflitter,0.072231593
Leaflitter,0.538652037
Leaflitter,0.33537285
Leaflitter,0.113806691
Leaflitter,0.523603779
Leaflitter,0.840993109
Leaflitter,0.255126216
Leaflitter,0.568342314
Leaflitter,0.127582716
Leaflitter,0.530501605
Leaflitter,0.332132983
Leaflitter,0.650535597
Leaflitter,0.357801858
Leaflitter,0.530002086
Leaflitter,0.878641624
Leaflitter,0.125292329
Leaflitter,0.826053348
Leaflitter,0.942722674
Leaflitter,0.593224995
Leaflitter,0.669815175
Leaflitter,0.326737109
Leaflitter,0.821091877
Leaflitter,0.524725124
Leaflitter,0.947865072
Leaflitter,0.542361068
Leaflitter,0.385237278
Leaflitter,0.301158956
Leaflitter,0.927791633
Leaflitter,0.788930488
Leaflitter,0.227435513
Leaflitter,0.734035063
Leaflitter,0.762310552
Leaflitter,0.213929968
Leaflitter,0.499182388
Leaflitter,0.1567078
Leaflitter,0.705608838
Leaflitter,0.321158199
Leaflitter,0.46694892
Leaflitter,0.855501687
Leaflitter,0.153809578
Leaflitter,0.411787165
Leaflitter,0.29758116
Leaflitter,0.388113647
Leaflitter,0.486684492
Leaflitter,0.219418971
Leaflitter,0.515638032
Leaflitter,0.649881857
Leaflitter,0.321040861
Leaflitter,0.716352168
Leaflitter,0.772901132
Leaflitter,0.675065446
Leaflitter,0.922176988
Leaflitter,0.745052604
Leaflitter,0.834866326
Leaflitter,0.145079713
Leaflitter,0.693240312
Leaflitter,0.020003083
Leaflitter,0.063425515
Leaflitter,0.175379499
Leaflitter,0.780179754
Leaflitter,0.366030831
Leaflitter,0.888542781
Leaflitter,0.19955352
Leaflitter,0.411177316
Leaflitter,0.908272082
Leaflitter,0.736342602
Leaflitter,0.707130683
Leaflitter,0.67609449
Leaflitter,0.723408812
Leaflitter,0.698827054
Leaflitter,0.53261419
Leaflitter,0.887917039
Leaflitter,0.617519021
Leaflitter,0.322871055
Leaflitter,0.749629052
Leaflitter,0.580550573
Leaflitter,0.341450691
Leaflitter,0.079778064
Leaflitter,0.8403491
Leaflitter,0.117359684
Leaflitter,0.644937961
Leaflitter,0.544318753
Leaflitter,0.206658915
Leaflitter,0.808177257
Leaflitter,0.739107698
Leaflitter,0.552015074
Leaflitter,0.12755269
Leaflitter,0.175541562
Leaflitter,0.241547762
Leaflitter,0.753881886
Leaflitter,0.393130374
Leaflitter,0.101036665
Leaflitter,0.636874419
Leaflitter,0.056933017
Leaflitter,0.780069883
Leaflitter,0.469608779
Leaflitter,0.634767394
Leaflitter,0.671423589
Leaflitter,0.221336453
Leaflitter,0.668089653
Leaflitter,0.614800307
Leaflitter,0.432710347
Leaflitter,0.719410394
Leaflitter,0.697553211
Leaflitter,0.542826777
Leaflitter,0.54687033
Leaflitter,0.210231667
Leaflitter,0.07509799
Leaflitter,0.602406661
Leaflitter,0.175249665
Leaflitter,0.340348979
Leaflitter,0.837900272
Leaflitter,0.580512663
Leaflitter,0.262862295
Leaflitter,0.365081006
Leaflitter,0.244557383
Leaflitter,0.220635828
Leaflitter,0.831096287
Leaflitter,0.346221803
Leaflitter,0.704062191
Leaflitter,0.513434944
Leaflitter,0.63649454
Leaflitter,0.831096287
Leaflitter,0.063198728
Leaflitter,0.419096033
Leaflitter,0.200413014
Leaflitter,0.66528405
Leaflitter,0.579921578
Leaflitter,0.780654506
Leaflitter,0.152005613
Leaflitter,0.125800418
Leaflitter,0.654948767
