source,density
Leaflitter,0.588992256
Leaflitter,0.576389578
Leaflitter,0.219338157
Leaflitter,0.936160932
Leaflitter,0.884939031
Leaflitter,0.569178723
Leaflitter,0.555218089
Leaflitter,0.858302297
Leaflitter,0.455753442
Leaflitter,0.84285939
Leaflitter,0.604463705
Leaflitter,0.154185564
Leaflitter,0.513692986
Leaflitter,0.798138615
Leaflitter,0.065750489
Leaflitter,0.328351089
Leaflitter,0.596759465
Leaflitter,0.574599969
Leaflitter,0.862586579
Leaflitter,0.483261984
Leaflitter,0.902292847
Leaflitter,0.195947206
Leaflitter,0.450539768
Leaflitter,0.739180789
Leaflitter,0.383524156
Leaflitter,0.468354781
Leaflitter,0.654358651
Leaflitter,0.338880982
Leaflitter,0.637243632
Leaflitter,0.8526424
Leaflitter,0.658525512
Leaflitter,0.26975689
Leaflitter,0.689273464
Leaflitter,0.643503119
Leaflitter,0.962974602
Leaflitter,0.515304075
Leaflitter,0.432054513
Leaflitter,0.770426661
Leaflitter,0.71304523
Leaflitter,0.483794303
Leaflitter,0.701701991
Leaflitter,0.814626925
Leaflitter,0.737541684
Leaflitter,0.965663611
Leaflitter,0.378300868
Leaflitter,0.499546328
Leaflitter,0.778051886
Leaflitter,0.959310099
Leaflitter,0.696359963
Leaflitter,0.775683197
Leaflitter,0.293741668
Leaflitter,0.587367617
Leaflitter,0.729776168
Leaflitter,0.566791734
Leaflitter,0.676128639
Leaflitter,0.929434628
Leaflitter,0.024551195
Leaflitter,0.388901973
Leaflitter,0.722992935
Leaflitter,0.891864231
Leaflitter,0.634825955
Leaflitter,0.787601482
Leaflitter,0.820707818
Leaflitter,0.700691765
Leaflitter,0.480778732
Leaflitter,0.657556307
Leaflitter,0.860450107
Leaflitter,0.435547892
Leaflitter,0.825789078
Leaflitter,0.807171006
Leaflitter,0.40362798
Leaflitter,0.860196813
Leaflitter,0.40634594
Leaflitter,0.56467302
Leaflitter,0.244395158
Leaflitter,0.440345031
Leaflitter,0.616478341
Leaflitter,0.685538277
Leaflitter,0.678495572
Leaflitter,0.546699996
Leaflitter,0.903691541
Leaflitter,0.872535344
Leaflitter,0.588655059
