source,density
Leaflitter,0.415025798
Leaflitter,0.377874089
Leaflitter,0.486998966
Leaflitter,0.34080847
Leaflitter,0.308233166
Leaflitter,0.448035023
Leaflitter,0.414607301
Leaflitter,0.680831633
Leaflitter,0.478706283
Leaflitter,0.531151579
Leaflitter,0.795283463
Leaflitter,0.477405655
Leaflitter,0.250343293
Leaflitter,0.204429708
Leaflitter,0.315025522
Leaflitter,0.457783558
Leaflitter,0.504308207
Leaflitter,0.404838693
Leaflitter,0.573115429
Leaflitter,0.570082495
Leaflitter,0.23620845
Leaflitter,0.535253667
Leaflitter,0.643724294
Leaflitter,0.828191632
Leaflitter,0.579378618
Leaflitter,0.373827381
Leaflitter,0.760904868
Leaflitter,0.227669572
Leaflitter,0.487090619
Leaflitter,0.346785979
Leaflitter,0.517340074
Leaflitter,0.2098131
Leaflitter,0.485017933
Leaflitter,0.53128251
Leaflitter,0.805148588
Leaflitter,0.604983794
Leaflitter,0.222051261
Leaflitter,0.701264838
Leaflitter,0.6949862
Leaflitter,0.614199443
Leaflitter,0.508184562
Leaflitter,0.740470538
Leaflitter,0.727626448
Leaflitter,0.435610588
Leaflitter,0.602225637
Leaflitter,0.675433624
Leaflitter,0.309463057
Leaflitter,0.50539516
Leaflitter,0.447747748
Leaflitter,0.351318761
Leaflitter,0.555467851
Leaflitter,0.704846416
Leaflitter,0.577282236
Leaflitter,0.271966117
Leaflitter,0.556422409
Leaflitter,0.514245928
Leaflitter,0.515314859
Leaflitter,0.448606043
Leaflitter,0.625570831
Leaflitter,0.462085085
Leaflitter,0.545569749
Leaflitter,0.21557721
Leaflitter,0.442776049
Leaflitter,0.54651977
Leaflitter,0.269806413
Leaflitter,0.455036347
Leaflitter,0.432617407
Leaflitter,0.362065337
Leaflitter,0.261865724
Leaflitter,0.585941834
Leaflitter,0.588486365
Leaflitter,0.525416388
Leaflitter,0.437319507
Leaflitter,0.321205448
Leaflitter,0.472452437
Leaflitter,0.726343862
Leaflitter,0.575693135
Leaflitter,0.532733119
Leaflitter,0.593534753
Leaflitter,0.711824454
Leaflitter,0.490036695
Leaflitter,0.693819056
Leaflitter,0.298465049
Leaflitter,0.686839317
Leaflitter,0.544999461
Leaflitter,0.749110024
Leaflitter,0.433298339
Leaflitter,0.558348093
Leaflitter,0.664309775
