source,density
Leaflitter,0.836914478
Leaflitter,0.496671847
Leaflitter,0.381654273
Leaflitter,0.364582976
Leaflitter,0.711871322
Leaflitter,0.232272076
Leaflitter,0.933210881
Leaflitter,0.349463893
Leaflitter,0.07379382
Leaflitter,0.650892921
Leaflitter,0.475277333
Leaflitter,0.878423198
Leaflitter,0.789410263
Leaflitter,0.237920457
Leaflitter,0.166966013
Leaflitter,0.912653936
Leaflitter,0.00925773
Leaflitter,0.77660711
Leaflitter,0.879267279
Leaflitter,0.864559912
Leaflitter,0.763873634
Leaflitter,0.984604649
Leaflitter,0.917188281
Leaflitter,0.833070889
Leaflitter,0.784481174
Leaflitter,0.769907695
Leaflitter,0.133545248
Leaflitter,0.253486017
Leaflitter,0.702999824
Leaflitter,0.082572139
Leaflitter,0.705713462
Leaflitter,0.003927338
Leaflitter,0.346310306
Leaflitter,0.40940185
Leaflitter,0.711288328
Leaflitter,0.956964566
Leaflitter,0.691728277
Leaflitter,0.224809847
Leaflitter,0.702681809
Leaflitter,0.93962827
Leaflitter,0.324145384
Leaflitter,0.86519741
Leaflitter,0.257176089
Leaflitter,0.115126158
Leaflitter,0.724839755
Leaflitter,0.766508393
Leaflitter,0.474856093
Leaflitter,0.84238106
Leaflitter,0.925462173
Leaflitter,0.474223179
Leaflitter,0.264876901
Leaflitter,0.942354834
Leaflitter,0.752419696
Leaflitter,0.650420756
Leaflitter,0.246484152
Leaflitter,0.803796265
Leaflitter,0.337303814
Leaflitter,0.911388034
Leaflitter,0.578075483
Leaflitter,0.926949767
Leaflitter,0.191325809
Leaflitter,0.915504596
Leaflitter,0.674083957
Leaflitter,0.012559062
Leaflitter,0.322351064
Leaflitter,0.750204636
Leaflitter,0.925671819
Leaflitter,0.035445396
Leaflitter,0.170936202
Leaflitter,0.71699155
Leaflitter,0.678653747
Leaflitter,0.030696453
Leaflitter,0.712191719
Leaflitter,0.939575785
Leaflitter,0.7011402
Leaflitter,0.815774136
Leaflitter,0.258471027
Leaflitter,0.037884392
Leaflitter,0.542830512
Leaflitter,0.589953423
Leaflitter,0.069933658
Leaflitter,0.4902596
Leaflitter,0.943904477
Leaflitter,0.623671972
Leaflitter,0.028571741
Leaflitter,0.232764819
Leaflitter,0.232232005
Leaflitter,0.961032925
Leaflitter,0.052175585
Leaflitter,0.758489539
Leaflitter,0.565316159
Leaflitter,0.181270654
Leaflitter,0.29315211
Leaflitter,0.166204847
Leaflitter,0.270146824
Leaflitter,0.364020717
Leaflitter,0.101573884
Leaflitter,0.460935861
Leaflitter,0.365834297
Leaflitter,0.030658729
Leaflitter,0.056735405
Leaflitter,0.760347406
Leaflitter,0.913392032
Leaflitter,0.538880835
Leaflitter,0.416796723
Leaflitter,0.10556413
Leaflitter,0.237704622
Leaflitter,0.825026472
Leaflitter,0.059753909
Leaflitter,0.309847295
Leaflitter,0.033165058
Leaflitter,0.190293677
Leaflitter,0.961073019
Leaflitter,0.364320541
Leaflitter,0.739081014
Leaflitter,0.072489616
Leaflitter,0.812691697
Leaflitter,0.567255544
Leaflitter,0.817506584
Leaflitter,0.130038339
Leaflitter,0.965854355
Leaflitter,0.503170519
Leaflitter,0.852159215
Leaflitter,0.18465236
Leaflitter,0.657488182
Leaflitter,0.004073426
Leaflitter,0.412935186
Leaflitter,0.018283209
Leaflitter,0.865625537
Leaflitter,0.027667086
Leaflitter,0.809423394
Leaflitter,0.06322063
Leaflitter,0.689483827
Leaflitter,0.595434033
Leaflitter,0.785342312
Leaflitter,0.851627456
Leaflitter,0.885640917
Leaflitter,0.849516172
Leaflitter,0.024575771
Leaflitter,0.806203571
Leaflitter,0.171927694
Leaflitter,0.579188423
Leaflitter,0.105237373
Leaflitter,0.489581021
Leaflitter,0.107457097
Leaflitter,0.76465914
Leaflitter,0.243282641
Leaflitter,0.145109381
Leaflitter,0.046093626
Leaflitter,0.493747031
Leaflitter,0.383808579
Leaflitter,0.918053816
Leaflitter,0.423166754
Leaflitter,0.399748766
Leaflitter,0.263607405
Leaflitter,0.445574786
Leaflitter,0.413410054
Leaflitter,0.044122859
Leaflitter,0.855655108
Leaflitter,0.282526189
Leaflitter,0.647540223
Leaflitter,0.919235672
Leaflitter,0.862325162
Leaflitter,0.624965269
Leaflitter,0.674268453
Leaflitter,0.694307919
Leaflitter,0.440059038
Leaflitter,0.772944294
Leaflitter,0.320627636
Leaflitter,0.396676262
Leaflitter,0.704734044
Leaflitter,0.487480447
Leaflitter,0.516319346
Leaflitter,0.021843854
Leaflitter,0.25041744
Leaflitter,0.286847177
Leaflitter,0.801506864
Leaflitter,0.73934355
Leaflitter,0.906075089
Leaflitter,0.477012369
Leaflitter,0.078989719
Leaflitter,0.032958675
Leaflitter,0.637636345
Leaflitter,0.359265423
Leaflitter,0.761980092
Leaflitter,0.012775341
Leaflitter,0.827807499
Leaflitter,0.160436845
Leaflitter,0.798563902
Leaflitter,0.200308563
Leaflitter,0.013135914
Leaflitter,0.760676551
Leaflitter,0.472783398
Leaflitter,0.464436344
Leaflitter,0.591621886
Leaflitter,0.007198313
Leaflitter,0.573613655
Leaflitter,0.665930169
Leaflitter,0.70563341
Leaflitter,0.342471738
Leaflitter,0.784807721
Leaflitter,0.185319471
Leaflitter,0.917975308
Leaflitter,0.155471399
Leaflitter,0.669766766
Leaflitter,0.218894398
Leaflitter,0.203032911
Leaflitter,0.141122237
Leaflitter,0.866982596
Leaflitter,0.597333063
Leaflitter,0.79175396
Leaflitter,0.016210381
Leaflitter,0.120473717
Leaflitter,0.812640247
Leaflitter,0.524240691
Leaflitter,0.935604519
Leaflitter,0.762304447
Leaflitter,0.171072005
Leaflitter,0.741494299
Leaflitter,0.717450017
Leaflitter,0.757127116
Leaflitter,0.716106222
Leaflitter,0.258719405
Leaflitter,0.067087143
Leaflitter,0.172253688
Leaflitter,0.240762898
Leaflitter,0.152401398
Leaflitter,0.201651563
Leaflitter,0.221222881
Leaflitter,0.123980042
Leaflitter,0.64155504
Leaflitter,0.948842908
Leaflitter,0.331271376
Leaflitter,0.57585661
Leaflitter,0.719017042
Leaflitter,0.027288707
Leaflitter,0.80042893
Leaflitter,0.633671623
Leaflitter,0.347821069
Leaflitter,0.001872276
Leaflitter,0.472994186
Leaflitter,0.073135341
Leaflitter,0.66517783
Leaflitter,0.191422684
Leaflitter,0.038009062
Leaflitter,0.651917183
Leaflitter,0.04581952
Leaflitter,0.877013775
Leaflitter,0.92038103
Leaflitter,0.113444544
Leaflitter,0.101924547
Leaflitter,0.086196485
Leaflitter,0.784118031
Leaflitter,0.335642936
Leaflitter,0.692552792
Leaflitter,0.014077595
Leaflitter,0.841246889
Leaflitter,0.057641576
Leaflitter,0.286394688
Leaflitter,0.143893306
Leaflitter,0.63390386
Leaflitter,0.725143892
Leaflitter,0.15511681
Leaflitter,0.04127187
Leaflitter,0.174263447
Leaflitter,0.245616912
Leaflitter,0.330095431
Leaflitter,0.224568556
Leaflitter,0.861244803
Leaflitter,0.304397428
Leaflitter,0.038172662
Leaflitter,0.843188
Leaflitter,0.342862462
Leaflitter,0.983225519
Leaflitter,0.298775089
Leaflitter,0.809452839
Leaflitter,0.195345796
Leaflitter,0.078653082
Leaflitter,0.676188186
Leaflitter,0.626437741
Leaflitter,0.124426247
Leaflitter,0.21446479
Leaflitter,0.703635589
Leaflitter,0.900344672
Leaflitter,0.741500695
Leaflitter,0.911195409
Leaflitter,0.812178875
Leaflitter,0.958081371
Leaflitter,0.199617889
Leaflitter,0.612055037
Leaflitter,0.414253206
Leaflitter,0.675055396
Leaflitter,0.005203067
Leaflitter,0.956901374
Leaflitter,0.420224629
Leaflitter,0.63054867
Leaflitter,0.835835112
Leaflitter,0.289713202
Leaflitter,0.911065078
Leaflitter,0.640803507
Leaflitter,0.182599254
Leaflitter,0.138855735
Leaflitter,0.361207095
Leaflitter,0.164888714
Leaflitter,0.37366876
Leaflitter,0.516883177
Leaflitter,0.282672788
Leaflitter,0.734089802
Leaflitter,0.62550997
Leaflitter,0.913747663
Leaflitter,0.79457385
Leaflitter,0.878254398
Leaflitter,0.451252422
Leaflitter,0.452141016
Leaflitter,0.139036972
Leaflitter,0.131837895
Leaflitter,0.801261774
Leaflitter,0.060240437
Leaflitter,0.852132569
Leaflitter,0.028776917
Leaflitter,0.675728101
Leaflitter,0.842823822
Leaflitter,0.012950921
Leaflitter,0.894279538
Leaflitter,0.032907279
Leaflitter,0.834551215
Leaflitter,0.196933741
Leaflitter,0.752950209
Leaflitter,0.130376746
Leaflitter,0.383862255
Leaflitter,0.195241778
Leaflitter,0.255477451
Leaflitter,0.504237793
Leaflitter,0.436689903
Leaflitter,0.07029741
Leaflitter,0.726268368
Leaflitter,0.490496775
Leaflitter,0.901792021
Leaflitter,0.824279218
Leaflitter,0.10822896
Leaflitter,0.298697648
Leaflitter,0.446205124
Leaflitter,0.844487977
Leaflitter,0.962479889
Leaflitter,0.148095392
Leaflitter,0.757910326
Leaflitter,0.38799283
Leaflitter,0.032702472
Leaflitter,0.053607524
Leaflitter,0.778727088
Leaflitter,0.687849333
Leaflitter,0.263717746
Leaflitter,0.982824911
Leaflitter,0.056145304
Leaflitter,0.788402548
Leaflitter,0.817255955
Leaflitter,0.739092375
Leaflitter,0.053047195
Leaflitter,0.522179439
Leaflitter,0.471782449
Leaflitter,0.930948162
Leaflitter,0.521357466
Leaflitter,0.305120324
Leaflitter,0.35144542
Leaflitter,0.968131741
Leaflitter,0.573374974
Leaflitter,0.397397321
Leaflitter,0.760326018
Leaflitter,0.460133524
Leaflitter,0.306252525
Leaflitter,0.777476152
Leaflitter,0.470817199
Leaflitter,0.160416388
Leaflitter,0.069484811
Leaflitter,0.364213773
Leaflitter,0.955459234
Leaflitter,0.142543491
Leaflitter,0.0535158
Leaflitter,0.011732762
Leaflitter,0.066427677
Leaflitter,0.844627316
Leaflitter,0.856148244
