source,density
Leaflitter,0.377963086
Leaflitter,0.656316191
Leaflitter,0.684420712
Leaflitter,0.203240115
Leaflitter,0.798079744
Leaflitter,0.023414597
Leaflitter,0.769175202
Leaflitter,0.281235974
Leaflitter,0.266060567
Leaflitter,0.340884683
Leaflitter,0.687157822
Leaflitter,0.131257885
Leaflitter,0.139911351
Leaflitter,0.895450278
Leaflitter,0.844313849
Leaflitter,0.469994012
Leaflitter,0.065952016
Leaflitter,0.026422001
Leaflitter,0.54690776
Leaflitter,0.133460934
Leaflitter,0.358225208
Leaflitter,0.906437248
Leaflitter,0.349313247
Leaflitter,0.755180515
Leaflitter,0.517590762
Leaflitter,0.559899981
Leaflitter,0.054694881
Leaflitter,0.051992585
Leaflitter,0.723816994
Leaflitter,0.211298999
Leaflitter,0.719935746
Leaflitter,0.286667926
Leaflitter,0.66967243
Leaflitter,0.17861033
Leaflitter,0.728428214
Leaflitter,0.162515075
Leaflitter,0.529198853
Leaflitter,0.086262058
Leaflitter,0.851590902
Leaflitter,0.015079946
Leaflitter,0.86508933
Leaflitter,0.044178615
Leaflitter,0.932649324
Leaflitter,0.335782557
Leaflitter,0.109117138
Leaflitter,0.159116628
Leaflitter,0.778015536
Leaflitter,0.708175019
Leaflitter,0.374568341
Leaflitter,0.493425324
Leaflitter,0.481585981
Leaflitter,0.9092527
Leaflitter,0.091364968
Leaflitter,0.627239035
Leaflitter,0.75469435
Leaflitter,0.119470561
Leaflitter,0.377121245
Leaflitter,0.305051717
Leaflitter,0.349058814
Leaflitter,0.264787053
Leaflitter,0.180541126
Leaflitter,0.76565045
Leaflitter,0.147534386
Leaflitter,0.371391887
Leaflitter,0.656579422
Leaflitter,0.251588003
Leaflitter,0.199727439
Leaflitter,0.500140977
Leaflitter,0.105221602
Leaflitter,0.768566799
Leaflitter,0.705113721
Leaflitter,0.122482953
Leaflitter,0.117683405
Leaflitter,0.483694406
Leaflitter,0.64824121
Leaflitter,0.482995074
Leaflitter,0.574322625
Leaflitter,0.22471584
Leaflitter,0.025751118
Leaflitter,0.296393341
Leaflitter,0.026699699
Leaflitter,0.064785102
Leaflitter,0.527273791
Leaflitter,0.015668308
Leaflitter,0.455725731
Leaflitter,0.190258656
Leaflitter,0.390873192
Leaflitter,0.389670272
Leaflitter,0.645944428
Leaflitter,0.245438522
Leaflitter,0.120589734
Leaflitter,0.058923427
Leaflitter,0.505107989
Leaflitter,0.403877476
Leaflitter,0.139796043
Leaflitter,0.426994432
Leaflitter,0.541469754
Leaflitter,0.254173951
Leaflitter,0.044735829
Leaflitter,0.177367868
Leaflitter,0.19204892
Leaflitter,0.770271387
Leaflitter,0.182263427
Leaflitter,0.566408012
Leaflitter,0.523437938
Leaflitter,0.519453162
Leaflitter,0.572812598
Leaflitter,0.362845152
Leaflitter,0.735250942
Leaflitter,0.64954341
Leaflitter,0.278487631
Leaflitter,0.571615025
Leaflitter,0.121750722
Leaflitter,0.032116632
Leaflitter,0.364858788
Leaflitter,0.638815105
Leaflitter,0.713389446
Leaflitter,0.190538738
Leaflitter,0.482223553
Leaflitter,0.680007952
Leaflitter,0.123372668
Leaflitter,0.665310483
Leaflitter,0.218777501
Leaflitter,0.305120222
Leaflitter,0.842117495
Leaflitter,0.694218779
Leaflitter,0.37744734
Leaflitter,0.565557621
Leaflitter,0.207468855
Leaflitter,0.050981221
Leaflitter,0.158551092
Leaflitter,0.780176884
Leaflitter,0.092445899
Leaflitter,0.606114069
Leaflitter,0.629902215
Leaflitter,0.827777168
Leaflitter,0.242304562
Leaflitter,0.855240464
Leaflitter,0.201820259
Leaflitter,0.141245426
Leaflitter,0.009881582
Leaflitter,0.575189047
Leaflitter,0.453222164
Leaflitter,0.048053946
Leaflitter,0.30959936
Leaflitter,0.544304641
Leaflitter,0.741758245
Leaflitter,0.750144107
Leaflitter,0.4662256
Leaflitter,0.517811826
Leaflitter,0.368683483
Leaflitter,0.347317983
Leaflitter,0.199560072
Leaflitter,0.111768508
Leaflitter,0.521441392
Leaflitter,0.300989408
Leaflitter,0.830630917
Leaflitter,0.699799401
Leaflitter,0.720521736
Leaflitter,0.28596876
Leaflitter,0.319884963
Leaflitter,0.085173918
Leaflitter,0.003450449
Leaflitter,0.512977927
Leaflitter,0.364532241
Leaflitter,0.046136193
Leaflitter,0.174082933
Leaflitter,0.023279289
Leaflitter,0.498969082
Leaflitter,0.048294303
Leaflitter,0.465834588
Leaflitter,0.021013296
Leaflitter,0.396394794
Leaflitter,0.048876404
