source,density
Leaflitter,0.720004983
Leaflitter,0.976272982
Leaflitter,0.581516735
Leaflitter,0.966414184
Leaflitter,0.39559144
Leaflitter,0.876624562
Leaflitter,0.786386918
Leaflitter,0.739282176
Leaflitter,0.705290261
Leaflitter,0.754894764
Leaflitter,0.809220055
Leaflitter,0.767516675
Leaflitter,0.837660861
Leaflitter,0.940532844
Leaflitter,0.650422842
Leaflitter,0.749160417
Leaflitter,0.794475968
Leaflitter,0.83358265
Leaflitter,0.969849232
Leaflitter,0.773930903
Leaflitter,0.824558226
Leaflitter,0.533687294
Leaflitter,0.925843531
Leaflitter,0.898187552
Leaflitter,0.861905482
Leaflitter,0.454411581
Leaflitter,0.556973981
Leaflitter,0.956921983
Leaflitter,0.649623813
Leaflitter,0.678442827
Leaflitter,0.97781821
Leaflitter,0.711976639
Leaflitter,0.663753776
Leaflitter,0.53248394
Leaflitter,0.817707147
Leaflitter,0.913893223
Leaflitter,0.721339261
Leaflitter,0.971814518
Leaflitter,0.926682764
Leaflitter,0.792230239
Leaflitter,0.833374139
Leaflitter,0.572436008
Leaflitter,0.510051261
Leaflitter,0.935582557
Leaflitter,0.754174464
Leaflitter,0.756811588
Leaflitter,0.671991312
Leaflitter,0.631356296
Leaflitter,0.59091226
Leaflitter,0.728077807
Leaflitter,0.713545888
Leaflitter,0.815492766
Leaflitter,0.714288854
Leaflitter,0.662794118
Leaflitter,0.455031992
Leaflitter,0.841710951
Leaflitter,0.695612486
Leaflitter,0.759326722
Leaflitter,0.790449068
Leaflitter,0.525329715
Leaflitter,0.674088495
Leaflitter,0.546008735
Leaflitter,0.667107124
Leaflitter,0.914544863
Leaflitter,0.878764748
Leaflitter,0.910184076
Leaflitter,0.797952639
Leaflitter,0.764724718
Leaflitter,0.895901405
Leaflitter,0.293304552
Leaflitter,0.713299939
Leaflitter,0.902915206
Leaflitter,0.961488808
Leaflitter,0.40488922
Leaflitter,0.886819347
Leaflitter,0.824875973
Leaflitter,0.867015454
Leaflitter,0.784036227
Leaflitter,0.677627091
Leaflitter,0.880049219
Leaflitter,0.768535995
Leaflitter,0.537957049
Leaflitter,0.802314659
Leaflitter,0.50391523
Leaflitter,0.287890126
Leaflitter,0.401336299
Leaflitter,0.174290222
Leaflitter,0.892377043
Leaflitter,0.690480483
Leaflitter,0.829919925
Leaflitter,0.776739027
Leaflitter,0.792068033
Leaflitter,0.611200443
Leaflitter,0.673797629
Leaflitter,0.746774919
Leaflitter,0.663157565
Leaflitter,0.703936378
Leaflitter,0.823549502
Leaflitter,0.97197709
Leaflitter,0.823438994
Leaflitter,0.362062826
Leaflitter,0.775540679
Leaflitter,0.787527037
Leaflitter,0.721147822
Leaflitter,0.935096401
Leaflitter,0.824505738
Leaflitter,0.725706112
Leaflitter,0.417127563
Leaflitter,0.896710121
Leaflitter,0.718326215
Leaflitter,0.545312688
Leaflitter,0.791512303
Leaflitter,0.730048025
Leaflitter,0.856207317
Leaflitter,0.466755969
Leaflitter,0.736387448
Leaflitter,0.874056311
Leaflitter,0.178268922
Leaflitter,0.873025344
Leaflitter,0.530306931
Leaflitter,0.623822102
Leaflitter,0.723836881
Leaflitter,0.236449698
Leaflitter,0.81747432
Leaflitter,0.723942967
Leaflitter,0.726365707
Leaflitter,0.692857821
Leaflitter,0.870515819
Leaflitter,0.852782569
Leaflitter,0.888780722
Leaflitter,0.852835672
Leaflitter,0.581919904
Leaflitter,0.937030057
Leaflitter,0.621534625
Leaflitter,0.825301067
Leaflitter,0.931952103
Leaflitter,0.908344538
Leaflitter,0.818006711
Leaflitter,0.701883735
Leaflitter,0.897003874
Leaflitter,0.565301818
Leaflitter,0.840393874
Leaflitter,0.884433807
Leaflitter,0.495450027
Leaflitter,0.954087515
Leaflitter,0.87798952
Leaflitter,0.814434641
Leaflitter,0.539365653
Leaflitter,0.843852257
Leaflitter,0.673834023
Leaflitter,0.977121944
Leaflitter,0.90730379
Leaflitter,0.723422679
