source,density
Leaflitter,0.623599644
Leaflitter,0.811608583
Leaflitter,0.869984437
Leaflitter,0.565928759
Leaflitter,0.537448562
Leaflitter,0.08130135
Leaflitter,0.731095089
Leaflitter,0.794289609
Leaflitter,0.303319294
Leaflitter,0.403243654
Leaflitter,0.732247838
Leaflitter,0.626693228
Leaflitter,0.891479435
Leaflitter,0.175152544
Leaflitter,0.638278437
Leaflitter,0.232592757
Leaflitter,0.843705209
Leaflitter,0.412987049
Leaflitter,0.881042983
Leaflitter,0.848036043
Leaflitter,0.125192034
Leaflitter,0.212284446
Leaflitter,0.064896375
Leaflitter,0.906480228
Leaflitter,0.793454667
Leaflitter,0.757870529
Leaflitter,0.440223756
Leaflitter,0.677048099
Leaflitter,0.320773223
Leaflitter,0.507382145
Leaflitter,0.01754672
Leaflitter,0.059496316
Leaflitter,0.894253334
Leaflitter,0.029365184
Leaflitter,0.828488896
Leaflitter,0.527191143
Leaflitter,0.153952898
Leaflitter,0.055778609
Leaflitter,0.340314051
Leaflitter,0.112140278
Leaflitter,0.015086537
Leaflitter,0.034787975
Leaflitter,0.790938745
Leaflitter,0.13595108
Leaflitter,0.867972217
Leaflitter,0.08579733
Leaflitter,0.855477011
Leaflitter,0.013896238
Leaflitter,0.806375934
Leaflitter,0.671806151
Leaflitter,0.347180275
Leaflitter,0.125133835
Leaflitter,0.816017519
Leaflitter,0.034774729
Leaflitter,0.46151601
Leaflitter,0.547907336
Leaflitter,0.757158313
Leaflitter,0.206584451
Leaflitter,0.84782831
Leaflitter,0.886609973
Leaflitter,0.334314471
Leaflitter,0.187484123
Leaflitter,0.637767
Leaflitter,0.464743116
Leaflitter,0.603273029
Leaflitter,0.857291345
Leaflitter,0.776050617
Leaflitter,0.133762897
Leaflitter,0.07839698
Leaflitter,0.685896729
Leaflitter,0.05129492
Leaflitter,0.712514409
Leaflitter,0.059475297
Leaflitter,0.916933868
Leaflitter,0.377736571
Leaflitter,0.071173074
Leaflitter,0.738187314
Leaflitter,0.971652173
Leaflitter,0.640273702
Leaflitter,0.689843729
Leaflitter,0.120811055
Leaflitter,0.644537372
Leaflitter,0.705627585
Leaflitter,0.005457171
Leaflitter,0.023112542
Leaflitter,0.750773266
Leaflitter,0.858229771
Leaflitter,0.798609673
Leaflitter,0.87400411
Leaflitter,0.64493284
Leaflitter,0.265177675
Leaflitter,0.000549277
Leaflitter,0.852302696
Leaflitter,0.054665017
Leaflitter,0.193935568
Leaflitter,0.970953017
Leaflitter,0.928220574
Leaflitter,0.030232783
Leaflitter,0.300947041
Leaflitter,0.230255305
Leaflitter,0.061035089
Leaflitter,0.755514097
Leaflitter,0.156512555
Leaflitter,0.812881004
Leaflitter,0.205405974
Leaflitter,0.37432746
Leaflitter,0.100653701
Leaflitter,0.833519992
Leaflitter,0.372794719
