source,density
Leaflitter,0.779827298
Leaflitter,0.977133977
Leaflitter,0.692510551
Leaflitter,0.870030836
Leaflitter,0.951286717
Leaflitter,0.674070232
Leaflitter,0.340159308
Leaflitter,0.994150754
Leaflitter,0.050541223
Leaflitter,0.730299585
Leaflitter,0.829156038
Leaflitter,0.591949199
Leaflitter,0.892788363
Leaflitter,0.764027125
Leaflitter,0.949329613
Leaflitter,0.886135304
Leaflitter,0.939915089
Leaflitter,0.503125584
Leaflitter,0.467255044
Leaflitter,0.775591242
Leaflitter,0.551559183
Leaflitter,0.841252516
Leaflitter,0.882367903
Leaflitter,0.794754678
Leaflitter,0.622205443
Leaflitter,0.987917467
Leaflitter,0.613631892
Leaflitter,0.835314291
Leaflitter,0.506185498
Leaflitter,0.536634248
Leaflitter,0.59764048
Leaflitter,0.757834301
Leaflitter,0.498306833
Leaflitter,0.839247089
Leaflitter,0.949821084
Leaflitter,0.904972252
Leaflitter,0.788447545
Leaflitter,0.34330561
Leaflitter,0.369408272
Leaflitter,0.87934855
Leaflitter,0.834722915
Leaflitter,0.835671765
Leaflitter,0.316169913
Leaflitter,0.711687416
Leaflitter,0.725008468
Leaflitter,0.615405855
Leaflitter,0.580977417
Leaflitter,0.807508592
Leaflitter,0.761742303
Leaflitter,0.661994249
Leaflitter,0.835730875
Leaflitter,0.340625152
Leaflitter,0.483084509
Leaflitter,0.753403374
Leaflitter,0.742446953
Leaflitter,0.659433862
Leaflitter,0.90794288
Leaflitter,0.889639085
Leaflitter,0.338745063
Leaflitter,0.494008134
Leaflitter,0.209319972
Leaflitter,0.047154487
Leaflitter,0.769087849
Leaflitter,0.958603716
Leaflitter,0.726411743
Leaflitter,0.68017189
Leaflitter,0.125916559
Leaflitter,0.517161997
Leaflitter,0.503000785
Leaflitter,0.641771422
Leaflitter,0.810669607
Leaflitter,0.847164005
Leaflitter,0.808287008
Leaflitter,0.851535803
Leaflitter,0.419337932
Leaflitter,0.877046223
Leaflitter,0.37552033
Leaflitter,0.782830868
Leaflitter,0.819510324
Leaflitter,0.66606388
Leaflitter,0.773288712
Leaflitter,0.897135347
Leaflitter,0.571860462
Leaflitter,0.679224025
Leaflitter,0.055371856
Leaflitter,0.630978278
Leaflitter,0.048102119
Leaflitter,0.618904377
Leaflitter,0.569551863
Leaflitter,0.855954457
Leaflitter,0.534026757
Leaflitter,0.563386753
Leaflitter,0.35861753
Leaflitter,0.764676011
Leaflitter,0.806813723
Leaflitter,0.50095119
Leaflitter,0.45447586
Leaflitter,0.66865146
Leaflitter,0.32674521
Leaflitter,0.918173587
Leaflitter,0.53554729
Leaflitter,0.689776581
Leaflitter,0.402017874
Leaflitter,0.677151907
Leaflitter,0.689246278
Leaflitter,0.435504453
Leaflitter,0.257488005
Leaflitter,0.7877624
Leaflitter,0.806733404
Leaflitter,0.642023261
Leaflitter,0.798976661
Leaflitter,0.602629108
Leaflitter,0.789210846
Leaflitter,0.738025047
Leaflitter,0.864880058
Leaflitter,0.663886297
Leaflitter,0.662665879
Leaflitter,0.72659556
Leaflitter,0.54784997
Leaflitter,0.669304384
Leaflitter,0.868374967
Leaflitter,0.858443013
Leaflitter,0.793788655
Leaflitter,0.495850212
Leaflitter,0.094348064
Leaflitter,0.781908138
Leaflitter,0.134989785
Leaflitter,0.512714296
Leaflitter,0.773279969
Leaflitter,0.883674376
Leaflitter,0.556510786
Leaflitter,0.477436273
Leaflitter,0.133058876
Leaflitter,0.535840517
Leaflitter,0.757448184
Leaflitter,0.443745057
Leaflitter,0.965730539
Leaflitter,0.223531025
Leaflitter,0.790224416
Leaflitter,0.0330569
Leaflitter,0.422683895
Leaflitter,0.047326299
Leaflitter,0.518660482
Leaflitter,0.917580765
Leaflitter,0.855813374
Leaflitter,0.558213757
Leaflitter,0.182171548
Leaflitter,0.124311309
Leaflitter,0.897728556
Leaflitter,0.857081913
Leaflitter,0.880432459
Leaflitter,0.185887617
Leaflitter,0.422003544
Leaflitter,0.826898209
Leaflitter,0.546227735
Leaflitter,0.594893113
Leaflitter,0.823559508
Leaflitter,0.533312016
Leaflitter,0.754274948
Leaflitter,0.734982769
Leaflitter,0.542099405
Leaflitter,0.539887648
Leaflitter,0.955457799
Leaflitter,0.541678267
Leaflitter,0.167670493
Leaflitter,0.274565873
Leaflitter,0.566887472
Leaflitter,0.598888915
Leaflitter,0.960225602
Leaflitter,0.812157336
Leaflitter,0.814286042
Leaflitter,0.646038414
Leaflitter,0.729578206
Leaflitter,0.292223178
Leaflitter,0.432090349
Leaflitter,0.899866621
Leaflitter,0.798549751
Leaflitter,0.828998211
Leaflitter,0.213523511
Leaflitter,0.912986493
Leaflitter,0.489229343
Leaflitter,0.943642149
Leaflitter,0.74633743
Leaflitter,0.500339263
Leaflitter,0.576396095
Leaflitter,0.601241926
Leaflitter,0.750673626
Leaflitter,0.432124167
Leaflitter,0.410589944
Leaflitter,0.539015124
Leaflitter,0.70353753
Leaflitter,0.405569348
Leaflitter,0.658935817
Leaflitter,0.884796943
Leaflitter,0.866527354
Leaflitter,0.72516964
Leaflitter,0.852657901
Leaflitter,0.757422605
Leaflitter,0.157152759
Leaflitter,0.374861403
Leaflitter,0.788148848
Leaflitter,0.578055019
Leaflitter,0.427014463
Leaflitter,0.121105636
Leaflitter,0.794733481
Leaflitter,0.907053801
Leaflitter,0.750847398
Leaflitter,0.022491401
Leaflitter,0.46632478
Leaflitter,0.59737237
Leaflitter,0.187005654
Leaflitter,0.622857266
Leaflitter,0.65919604
Leaflitter,0.717694971
Leaflitter,0.799305782
Leaflitter,0.736035813
Leaflitter,0.712990241
Leaflitter,0.258174826
Leaflitter,0.89541808
Leaflitter,0.95976307
Leaflitter,0.342332977
Leaflitter,0.779629173
Leaflitter,0.668473902
Leaflitter,0.781658269
Leaflitter,0.681590091
Leaflitter,0.868054185
Leaflitter,0.798913349
Leaflitter,0.360535101
Leaflitter,0.043943547
Leaflitter,0.890942359
Leaflitter,0.974728765
Leaflitter,0.706693819
Leaflitter,0.634982935
Leaflitter,0.85976615
Leaflitter,0.333776648
Leaflitter,0.890854124
Leaflitter,0.870046487
Leaflitter,0.759717571
Leaflitter,0.6538762
Leaflitter,0.79954086
Leaflitter,0.20279548
Leaflitter,0.782031893
Leaflitter,0.789140738
Leaflitter,0.708689257
Leaflitter,0.064296286
Leaflitter,0.563082231
Leaflitter,0.710032093
Leaflitter,0.637263006
Leaflitter,0.622853317
Leaflitter,0.611857137
Leaflitter,0.56853535
Leaflitter,0.912438303
Leaflitter,0.41731902
Leaflitter,0.899301773
Leaflitter,0.644530478
Leaflitter,0.780450518
Leaflitter,0.193250515
Leaflitter,0.686131791
Leaflitter,0.566513024
Leaflitter,0.297727765
Leaflitter,0.786022559
Leaflitter,0.726676883
Leaflitter,0.941405691
Leaflitter,0.706816331
Leaflitter,0.81716805
Leaflitter,0.876617854
Leaflitter,0.769200255
Leaflitter,0.48111992
Leaflitter,0.642100441
Leaflitter,0.665757422
Leaflitter,0.902149014
Leaflitter,0.266726515
Leaflitter,0.621888668
Leaflitter,0.273946013
Leaflitter,0.47342605
Leaflitter,0.613486503
Leaflitter,0.97732007
Leaflitter,0.738880257
Leaflitter,0.152796663
Leaflitter,0.308854145
Leaflitter,0.582264338
Leaflitter,0.272305895
Leaflitter,0.843903911
Leaflitter,0.616589016
Leaflitter,0.354295285
Leaflitter,0.871010196
Leaflitter,0.798629935
Leaflitter,0.775129033
Leaflitter,0.72715282
Leaflitter,0.32265662
Leaflitter,0.505391172
Leaflitter,0.7935849
Leaflitter,0.907501752
Leaflitter,0.663585525
Leaflitter,0.877434533
Leaflitter,0.939588564
Leaflitter,0.682025014
Leaflitter,0.920887199
Leaflitter,0.136976264
Leaflitter,0.642385871
Leaflitter,0.66902734
Leaflitter,0.073752919
Leaflitter,0.013442938
Leaflitter,0.933635943
Leaflitter,0.902568659
Leaflitter,0.790447199
Leaflitter,0.551309744
Leaflitter,0.311842345
Leaflitter,0.826424306
Leaflitter,0.74947263
Leaflitter,0.019825962
Leaflitter,0.920258574
Leaflitter,0.69297057
Leaflitter,0.716933772
Leaflitter,0.686203708
Leaflitter,0.299435597
Leaflitter,0.932863619
Leaflitter,0.759112731
Leaflitter,0.341695947
Leaflitter,0.463787504
Leaflitter,0.212617801
Leaflitter,0.79562057
Leaflitter,0.141052527
Leaflitter,0.918264362
Leaflitter,0.163174302
Leaflitter,0.249291645
Leaflitter,0.035925786
Leaflitter,0.566858182
Leaflitter,0.924236148
Leaflitter,0.739942567
Leaflitter,0.647176312
Leaflitter,0.838897794
Leaflitter,0.804097826
Leaflitter,0.652730639
Leaflitter,0.932054042
Leaflitter,0.717480393
Leaflitter,0.738244136
Leaflitter,0.857416139
Leaflitter,0.916259774
Leaflitter,0.804668842
Leaflitter,0.050603547
Leaflitter,0.62069515
Leaflitter,0.034951317
Leaflitter,0.53839254
Leaflitter,0.575290805
Leaflitter,0.518988071
Leaflitter,0.705392945
Leaflitter,0.738346475
Leaflitter,0.935962492
Leaflitter,0.849658682
Leaflitter,0.453661616
Leaflitter,0.941847704
Leaflitter,0.826470079
Leaflitter,0.741282153
Leaflitter,0.788286825
Leaflitter,0.148018076
Leaflitter,0.706816834
Leaflitter,0.874095376
Leaflitter,0.003433689
Leaflitter,0.711433088
Leaflitter,0.280278026
Leaflitter,0.805321823
Leaflitter,0.038509797
Leaflitter,0.410200678
Leaflitter,0.813615668
Leaflitter,0.699009663
Leaflitter,0.093273164
Leaflitter,0.77635868
Leaflitter,0.135645312
Leaflitter,0.536264753
Leaflitter,0.887107702
Leaflitter,0.664895302
Leaflitter,0.96335223
Leaflitter,0.01112866
Leaflitter,0.73597076
Leaflitter,0.826900893
Leaflitter,0.518020985
Leaflitter,0.472958342
Leaflitter,0.723203246
Leaflitter,0.647647378
Leaflitter,0.710199856
Leaflitter,0.323199711
Leaflitter,0.579245657
Leaflitter,0.753063871
Leaflitter,0.579003169
Leaflitter,0.262311137
Leaflitter,0.904594566
Leaflitter,0.950870172
Leaflitter,0.716621268
Leaflitter,0.735604784
Leaflitter,0.460909667
Leaflitter,0.958456888
Leaflitter,0.088814881
Leaflitter,0.134215815
Leaflitter,0.776044903
Leaflitter,0.971686864
Leaflitter,0.934691988
Leaflitter,0.934016774
Leaflitter,0.405230785
Leaflitter,0.771034397
Leaflitter,0.740632374
Leaflitter,0.537435032
Leaflitter,0.282078967
Leaflitter,0.869736456
Leaflitter,0.038582512
Leaflitter,0.842349389
Leaflitter,0.627830943
Leaflitter,0.859477118
Leaflitter,0.435722163
Leaflitter,0.502603361
Leaflitter,0.828199874
Leaflitter,0.017684344
Leaflitter,0.206701281
Leaflitter,0.61799157
Leaflitter,0.149848042
Leaflitter,0.436179756
Leaflitter,0.466144227
Leaflitter,0.543822641
Leaflitter,0.501556823
Leaflitter,0.807263607
Leaflitter,0.764204318
Leaflitter,0.721762736
Leaflitter,0.770889016
Leaflitter,0.647057727
Leaflitter,0.610614816
Leaflitter,0.659121857
Leaflitter,0.606726168
Leaflitter,0.906277923
Leaflitter,0.161115969
Leaflitter,0.37556321
Leaflitter,0.642385745
Leaflitter,0.624958919
Leaflitter,0.724043023
Leaflitter,0.136836438
Leaflitter,0.720631271
Leaflitter,0.648052392
Leaflitter,0.558306147
Leaflitter,0.141638105
Leaflitter,0.613892948
Leaflitter,0.033565836
Leaflitter,0.012174616
Leaflitter,0.748844768
Leaflitter,0.830424091
Leaflitter,0.932327763
Leaflitter,0.666279868
Leaflitter,0.736961393
Leaflitter,0.20513426
Leaflitter,0.727231391
Leaflitter,0.630261145
Leaflitter,0.706240668
Leaflitter,0.650845812
Leaflitter,0.928283634
Leaflitter,0.720297964
Leaflitter,0.666475697
Leaflitter,0.694584841
Leaflitter,0.196120687
Leaflitter,0.243278047
Leaflitter,0.779992261
Leaflitter,0.412605088
Leaflitter,0.856565537
Leaflitter,0.851413896
Leaflitter,0.283317178
Leaflitter,0.777900806
Leaflitter,0.938755811
Leaflitter,0.655725092
Leaflitter,0.257045136
Leaflitter,0.751019884
Leaflitter,0.859406945
Leaflitter,0.048804219
Leaflitter,0.199444283
Leaflitter,0.69049859
Leaflitter,0.404334887
Leaflitter,0.95468936
Leaflitter,0.513495959
Leaflitter,0.968665539
Leaflitter,0.715509446
Leaflitter,0.792568079
Leaflitter,0.916230742
Leaflitter,0.847198333
Leaflitter,0.717023044
Leaflitter,0.879739711
Leaflitter,0.655081817
Leaflitter,0.469310562
Leaflitter,0.613781886
Leaflitter,0.867718582
Leaflitter,0.949946535
Leaflitter,0.120570489
Leaflitter,0.345937214
Leaflitter,0.761185604
Leaflitter,0.955827659
Leaflitter,0.538626597
Leaflitter,0.812470546
Leaflitter,0.490864774
Leaflitter,0.82899135
Leaflitter,0.9213402
Leaflitter,0.44306687
Leaflitter,0.90049287
Leaflitter,0.510971605
Leaflitter,0.790587623
Leaflitter,0.46554299
Leaflitter,0.715103385
Leaflitter,0.906028936
Leaflitter,0.758849116
Leaflitter,0.79542487
Leaflitter,0.536083947
Leaflitter,0.584909555
Leaflitter,0.608212169
