source,density
Leaflitter,0.073101258
Leaflitter,0.113453143
Leaflitter,0.097062651
Leaflitter,0.121008799
Leaflitter,0.00477373
Leaflitter,0.022625133
Leaflitter,0.029637252
Leaflitter,0.171966963
Leaflitter,0.156860597
Leaflitter,0.114688645
Leaflitter,0.151699793
Leaflitter,0.02208882
Leaflitter,0.004921344
Leaflitter,0.005609825
Leaflitter,0.128470779
Leaflitter,0.028417624
Leaflitter,0.35521985
Leaflitter,0.041349347
Leaflitter,0.040893889
Leaflitter,0.090543946
Leaflitter,0.124232767
Leaflitter,0.031005665
Leaflitter,0.066703361
Leaflitter,0.063052017
Leaflitter,0.013066944
Leaflitter,0.130980317
Leaflitter,0.094971151
Leaflitter,0.00031694
Leaflitter,0.081870219
Leaflitter,0.168734176
Leaflitter,0.003931288
Leaflitter,0.275314306
Leaflitter,0.113882253
Leaflitter,0.09159288
Leaflitter,0.145249147
Leaflitter,0.032126596
Leaflitter,0.12403364
Leaflitter,0.13299046
Leaflitter,0.24131044
Leaflitter,0.147040052
Leaflitter,0.208984839
Leaflitter,0.072865832
Leaflitter,0.003233042
Leaflitter,0.070896753
Leaflitter,0.228034363
Leaflitter,0.006453453
Leaflitter,0.060059001
Leaflitter,0.007095206
Leaflitter,0.14605637
Leaflitter,0.243307446
Leaflitter,0.033721432
Leaflitter,0.000709011
Leaflitter,0.162606556
Leaflitter,0.000622577
Leaflitter,0.286845091
Leaflitter,0.063049845
Leaflitter,0.017286824
Leaflitter,0.008855872
Leaflitter,0.051253202
Leaflitter,0.122326868
Leaflitter,0.038964147
Leaflitter,0.00075448
Leaflitter,0.050730603
Leaflitter,0.149226097
Leaflitter,0.201119116
Leaflitter,0.165437651
Leaflitter,0.131578552
Leaflitter,0.135586407
Leaflitter,0.150501909
Leaflitter,0.000381609
Leaflitter,0.032509231
Leaflitter,0.009009483
Leaflitter,0.036944133
Leaflitter,0.092290824
Leaflitter,0.064788
Leaflitter,0.17876076
Leaflitter,0.027858634
Leaflitter,0.116174456
Leaflitter,0.013069787
Leaflitter,0.126168968
Leaflitter,0.020145116
Leaflitter,0.088102636
Leaflitter,0.077512647
Leaflitter,0.002710707
Leaflitter,0.152189486
Leaflitter,0.068935164
Leaflitter,0.203342944
Leaflitter,0.050124517
Leaflitter,0.012146901
Leaflitter,0.020731485
Leaflitter,0.099774008
Leaflitter,0.06619011
Leaflitter,0.012546902
Leaflitter,0.014689357
Leaflitter,0.047796448
Leaflitter,0.106974914
Leaflitter,0.159852049
Leaflitter,0.030763393
Leaflitter,0.101508451
Leaflitter,0.058723378
Leaflitter,0.012238055
Leaflitter,0.115508446
Leaflitter,0.08844873
Leaflitter,0.171651466
Leaflitter,0.009706752
Leaflitter,0.013810546
Leaflitter,0.006749379
Leaflitter,0.249993831
Leaflitter,0.047483612
Leaflitter,0.0562757
Leaflitter,0.046177255
Leaflitter,0.117408702
Leaflitter,0.048118663
Leaflitter,0.003215268
Leaflitter,0.109913133
Leaflitter,0.056519391
Leaflitter,0.187436721
Leaflitter,0.21275796
Leaflitter,0.111882721
Leaflitter,0.011509841
Leaflitter,0.002282049
Leaflitter,0.123004791
Leaflitter,0.020482676
Leaflitter,0.041362877
Leaflitter,0.044213485
Leaflitter,0.127729062
Leaflitter,0.048356358
Leaflitter,0.034946151
Leaflitter,0.003925746
Leaflitter,0.052787762
Leaflitter,0.115310108
Leaflitter,0.071047126
Leaflitter,0.012757678
Leaflitter,0.016368347
Leaflitter,0.01118009
Leaflitter,0.026594944
Leaflitter,0.059404502
Leaflitter,0.055071182
Leaflitter,0.238456488
Leaflitter,0.096666962
Leaflitter,0.249418998
Leaflitter,0.053537125
Leaflitter,0.178452358
Leaflitter,0.086453569
Leaflitter,0.030234296
Leaflitter,0.295778918
Leaflitter,0.036841037
Leaflitter,0.104730884
Leaflitter,0.017034612
Leaflitter,0.0585734
Leaflitter,0.062229207
Leaflitter,0.057258574
Leaflitter,0.134165017
Leaflitter,0.077373395
Leaflitter,0.01933859
Leaflitter,0.138497844
Leaflitter,0.01768025
Leaflitter,0.269019375
Leaflitter,0.029464462
Leaflitter,0.075151059
Leaflitter,0.00670433
Leaflitter,0.055340221
Leaflitter,0.113259394
Leaflitter,0.247438407
Leaflitter,0.041810352
Leaflitter,0.059293909
Leaflitter,0.125592142
Leaflitter,0.276299083
Leaflitter,0.04785229
Leaflitter,0.003362832
Leaflitter,0.137637142
Leaflitter,0.036148952
Leaflitter,0.085371204
Leaflitter,0.044766016
Leaflitter,0.333809074
Leaflitter,0.074242451
Leaflitter,0.008602742
Leaflitter,0.075694108
Leaflitter,0.020243185
Leaflitter,0.068993521
Leaflitter,0.174481666
Leaflitter,0.175891924
Leaflitter,0.029100681
Leaflitter,0.047272501
Leaflitter,0.280976802
Leaflitter,0.204378423
Leaflitter,0.002495154
Leaflitter,0.006884506
Leaflitter,0.121691022
Leaflitter,0.093101284
Leaflitter,0.124945733
Leaflitter,0.034801325
Leaflitter,0.190172278
Leaflitter,0.003312939
Leaflitter,0.207111575
Leaflitter,0.003442398
Leaflitter,0.104843192
Leaflitter,0.17750322
Leaflitter,0.300712681
Leaflitter,0.209955778
Leaflitter,0.003982939
Leaflitter,0.305008732
