source,density
Leaflitter,0.116967343
Leaflitter,0.055540423
Leaflitter,0.388737147
Leaflitter,0.245734594
Leaflitter,0.788129278
Leaflitter,0.414768782
Leaflitter,0.157343003
Leaflitter,0.136436182
Leaflitter,0.297800457
Leaflitter,0.005948424
Leaflitter,0.596965668
Leaflitter,0.416739116
Leaflitter,0.12486471
Leaflitter,0.218343862
Leaflitter,0.422913792
Leaflitter,0.844372454
Leaflitter,0.294787804
Leaflitter,0.688185194
Leaflitter,0.916904972
Leaflitter,0.739941428
Leaflitter,0.079289223
Leaflitter,0.426075102
Leaflitter,0.452826831
Leaflitter,0.115846495
Leaflitter,0.613872295
Leaflitter,0.136149812
Leaflitter,0.293441209
Leaflitter,0.074038604
Leaflitter,0.118641303
Leaflitter,0.452418001
Leaflitter,0.282752975
Leaflitter,0.8049725
Leaflitter,0.076477087
Leaflitter,0.767340152
Leaflitter,0.430462336
Leaflitter,0.063910619
Leaflitter,0.658506287
Leaflitter,0.756407984
Leaflitter,0.075546977
Leaflitter,0.242493621
Leaflitter,0.01439541
Leaflitter,0.19720016
Leaflitter,0.093626592
Leaflitter,0.15572657
Leaflitter,0.243782155
Leaflitter,0.15027726
Leaflitter,0.173988951
Leaflitter,0.017176
Leaflitter,0.294737674
Leaflitter,0.484644879
Leaflitter,0.380979245
Leaflitter,0.172116294
Leaflitter,0.216496476
Leaflitter,0.215308242
Leaflitter,0.291274525
Leaflitter,0.176567774
Leaflitter,0.040894765
Leaflitter,0.363097731
Leaflitter,0.097742937
Leaflitter,0.050597224
Leaflitter,0.712342096
Leaflitter,0.177687826
Leaflitter,0.062427391
Leaflitter,0.360592966
Leaflitter,0.275785107
Leaflitter,0.001957602
Leaflitter,0.699150308
Leaflitter,0.215646044
Leaflitter,0.029832693
Leaflitter,0.500705473
Leaflitter,0.403470593
Leaflitter,0.071269842
Leaflitter,0.052127375
Leaflitter,0.539223177
Leaflitter,0.218939151
Leaflitter,0.275704755
Leaflitter,0.09283073
Leaflitter,0.888646141
Leaflitter,0.522717055
Leaflitter,0.073749746
Leaflitter,0.654488059
Leaflitter,0.522294789
Leaflitter,0.008882963
Leaflitter,0.039787323
Leaflitter,0.322210046
Leaflitter,0.141379038
Leaflitter,0.244228279
