source,density
Leaflitter,0.023729135
Leaflitter,0.00698658
Leaflitter,0.004488615
Leaflitter,0.052594953
Leaflitter,0.045019657
Leaflitter,0.141771921
Leaflitter,0.006212493
Leaflitter,0.105323388
Leaflitter,0.109929627
Leaflitter,0.01428914
Leaflitter,0.115407331
Leaflitter,0.027918097
Leaflitter,0.102389211
Leaflitter,0.039433342
Leaflitter,0.097186333
Leaflitter,0.03754558
Leaflitter,0.139481163
Leaflitter,0.017049176
Leaflitter,0.112752895
Leaflitter,0.251241666
Leaflitter,0.032016697
Leaflitter,0.077973848
Leaflitter,0.042558104
Leaflitter,0.033693476
Leaflitter,0.162681197
Leaflitter,0.016195152
Leaflitter,0.137098849
Leaflitter,0.071646003
Leaflitter,0.093951482
Leaflitter,0.13092749
Leaflitter,0.088435455
Leaflitter,0.143359596
Leaflitter,0.276096048
Leaflitter,0.047223465
Leaflitter,0.002153985
Leaflitter,0.005121581
Leaflitter,0.014206721
Leaflitter,0.007607649
Leaflitter,0.11727201
Leaflitter,0.063794057
Leaflitter,0.014404416
Leaflitter,0.00279589
Leaflitter,0.098306928
Leaflitter,0.031860517
Leaflitter,0.064926882
Leaflitter,0.099656975
Leaflitter,0.021095017
Leaflitter,0.173687115
Leaflitter,0.070362394
Leaflitter,0.060520099
Leaflitter,0.071101926
Leaflitter,0.110996246
Leaflitter,0.012514597
Leaflitter,0.000344478
Leaflitter,0.08566141
Leaflitter,0.018017658
Leaflitter,0.115714802
Leaflitter,0.150470634
Leaflitter,0.125646082
Leaflitter,0.009993147
Leaflitter,0.093476103
Leaflitter,0.016487293
Leaflitter,0.013369306
Leaflitter,0.00179686
Leaflitter,0.041677068
Leaflitter,0.065122701
Leaflitter,0.064572659
Leaflitter,0.021867611
Leaflitter,0.0569332
Leaflitter,0.045089192
Leaflitter,0.023199039
Leaflitter,0.043129236
Leaflitter,0.028268292
Leaflitter,0.020764124
Leaflitter,0.11230673
Leaflitter,0.065432041
Leaflitter,0.003886344
Leaflitter,0.098792288
Leaflitter,0.134058697
Leaflitter,0.034067688
Leaflitter,0.027008488
Leaflitter,0.044916667
Leaflitter,0.031787883
Leaflitter,0.004015809
Leaflitter,0.012078348
Leaflitter,0.173044297
Leaflitter,0.027348773
Leaflitter,0.02518635
Leaflitter,0.161937776
Leaflitter,0.166175028
Leaflitter,0.03339565
Leaflitter,0.073953262
Leaflitter,0.065635704
Leaflitter,0.048563214
Leaflitter,0.069931229
Leaflitter,0.092795395
Leaflitter,0.026338055
Leaflitter,0.119512105
Leaflitter,0.05599618
Leaflitter,0.00740368
Leaflitter,0.01648142
Leaflitter,0.013452488
Leaflitter,0.028102841
Leaflitter,0.116450981
Leaflitter,0.024207018
Leaflitter,0.095824646
Leaflitter,0.030329348
Leaflitter,0.115348996
Leaflitter,0.046980126
Leaflitter,0.250062226
Leaflitter,0.042006243
Leaflitter,0.038559113
Leaflitter,0.004650885
Leaflitter,0.011937539
Leaflitter,0.006419242
Leaflitter,0.059700996
Leaflitter,0.015694949
Leaflitter,0.099884709
Leaflitter,0.06920968
Leaflitter,0.018544293
Leaflitter,0.008642012
Leaflitter,0.052466173
Leaflitter,0.089107436
Leaflitter,0.098147677
Leaflitter,0.212077172
Leaflitter,0.038768592
Leaflitter,0.116242035
Leaflitter,0.001746142
Leaflitter,0.080211119
Leaflitter,0.164456392
Leaflitter,0.037844746
Leaflitter,0.124691602
Leaflitter,0.056276247
Leaflitter,0.00790097
Leaflitter,0.083266732
Leaflitter,0.028548113
Leaflitter,0.016409344
Leaflitter,0.117725706
Leaflitter,0.128591521
Leaflitter,0.082793088
Leaflitter,0.025981768
Leaflitter,0.00188155
Leaflitter,0.053196484
Leaflitter,0.012481092
Leaflitter,0.084137467
Leaflitter,0.002839479
Leaflitter,0.030298546
Leaflitter,0.016834152
Leaflitter,0.001673007
Leaflitter,0.124752189
Leaflitter,0.01048836
Leaflitter,0.053355772
Leaflitter,0.025942938
Leaflitter,0.114937287
Leaflitter,0.029227299
Leaflitter,0.164888512
Leaflitter,0.216118127
Leaflitter,0.098498579
Leaflitter,0.013458545
Leaflitter,0.102711467
Leaflitter,0.044628991
Leaflitter,0.233609778
Leaflitter,0.104168366
Leaflitter,0.022489406
Leaflitter,0.120030101
Leaflitter,0.026160346
Leaflitter,0.019833031
Leaflitter,0.053058808
Leaflitter,0.059048893
Leaflitter,0.162827345
Leaflitter,0.049225688
Leaflitter,0.01430814
Leaflitter,0.024696052
Leaflitter,0.033556722
Leaflitter,0.130033568
Leaflitter,0.162487646
Leaflitter,0.042233104
Leaflitter,0.118480629
Leaflitter,0.161346431
Leaflitter,0.04646677
Leaflitter,0.010354062
Leaflitter,8.37E-05
Leaflitter,0.214614507
Leaflitter,0.001194566
Leaflitter,0.002377554
Leaflitter,0.11330981
Leaflitter,0.22566871
Leaflitter,0.023722339
Leaflitter,0.012770875
Leaflitter,0.004492519
Leaflitter,0.084831814
Leaflitter,0.060213956
Leaflitter,0.230271711
