source,density
Leaflitter,0.220414999
Leaflitter,0.072528129
Leaflitter,0.3458893
Leaflitter,0.091839061
Leaflitter,0.020108766
Leaflitter,0.027560403
Leaflitter,0.18489535
Leaflitter,0.002047754
Leaflitter,0.083878717
Leaflitter,0.017327977
Leaflitter,0.048284783
Leaflitter,0.25922446
Leaflitter,0.120326327
Leaflitter,0.257128118
Leaflitter,0.134378301
Leaflitter,0.038692913
Leaflitter,0.663627214
Leaflitter,0.178154652
Leaflitter,0.036839477
Leaflitter,0.123436929
Leaflitter,0.059207435
Leaflitter,0.187079602
Leaflitter,0.017985646
Leaflitter,0.060782412
Leaflitter,0.004432761
Leaflitter,0.102109806
Leaflitter,0.111361436
Leaflitter,0.195653821
Leaflitter,0.026528017
Leaflitter,0.208253055
Leaflitter,0.009170297
Leaflitter,0.006942384
Leaflitter,0.239618083
Leaflitter,0.065474644
Leaflitter,0.176937168
Leaflitter,0.001870238
Leaflitter,0.048007358
Leaflitter,0.168968442
Leaflitter,0.032719166
Leaflitter,0.008749841
Leaflitter,0.424829965
Leaflitter,0.031734734
Leaflitter,0.261101708
Leaflitter,0.177789616
Leaflitter,0.092246823
Leaflitter,0.007504226
Leaflitter,0.04273621
Leaflitter,0.049139443
Leaflitter,0.090676256
Leaflitter,0.013568436
Leaflitter,0.247307749
Leaflitter,0.010506067
Leaflitter,0.078822398
Leaflitter,0.28895849
Leaflitter,0.003204019
Leaflitter,0.009272684
Leaflitter,0.188209241
Leaflitter,0.064140971
Leaflitter,0.021448558
Leaflitter,0.105061317
Leaflitter,0.014052811
Leaflitter,0.262244396
Leaflitter,0.037526683
Leaflitter,0.248433041
Leaflitter,0.005324632
Leaflitter,0.086304677
Leaflitter,0.193027694
Leaflitter,0.096658667
Leaflitter,0.073365851
Leaflitter,0.016629307
Leaflitter,0.046394223
Leaflitter,0.069117564
Leaflitter,0.035721664
Leaflitter,0.010801134
Leaflitter,0.034635156
Leaflitter,0.137173263
Leaflitter,0.076101968
Leaflitter,0.038586831
Leaflitter,0.015225347
Leaflitter,0.103532997
Leaflitter,0.103213814
Leaflitter,0.07434304
Leaflitter,0.067926247
Leaflitter,0.094282713
Leaflitter,0.077791817
Leaflitter,0.028553073
Leaflitter,0.098710915
Leaflitter,0.002161801
Leaflitter,0.183377415
Leaflitter,0.095814491
Leaflitter,0.153412479
Leaflitter,0.166812727
Leaflitter,0.038634684
Leaflitter,0.029553195
Leaflitter,0.01265826
Leaflitter,0.200290264
Leaflitter,0.218308534
Leaflitter,0.112130698
Leaflitter,0.139575454
Leaflitter,0.140018264
Leaflitter,0.169571522
Leaflitter,0.401378956
Leaflitter,0.103896155
Leaflitter,0.003762292
Leaflitter,0.043740141
