source,density
Leaflitter,0.054444103
Leaflitter,0.244818993
Leaflitter,0.11309896
Leaflitter,0.111387906
Leaflitter,0.035967889
Leaflitter,0.043841706
Leaflitter,0.066049438
Leaflitter,0.068908285
Leaflitter,0.058621005
Leaflitter,0.156284427
Leaflitter,0.016370061
Leaflitter,0.008905495
Leaflitter,0.183569534
Leaflitter,0.092744697
Leaflitter,0.114848647
Leaflitter,0.006294697
Leaflitter,0.042537078
Leaflitter,0.182151103
Leaflitter,0.084934935
Leaflitter,0.206309443
Leaflitter,0.162790177
Leaflitter,0.052014125
Leaflitter,0.226973768
Leaflitter,0.024160848
Leaflitter,0.025147729
Leaflitter,0.311388889
Leaflitter,0.011510723
Leaflitter,0.247416353
Leaflitter,0.278182215
Leaflitter,0.188996895
Leaflitter,0.097117389
Leaflitter,0.059790489
Leaflitter,0.050867887
Leaflitter,0.012103737
Leaflitter,0.348535302
Leaflitter,0.013329742
Leaflitter,0.013957722
Leaflitter,0.001641518
Leaflitter,0.025284359
Leaflitter,0.147255914
Leaflitter,0.083044216
Leaflitter,0.044871018
Leaflitter,0.130903483
Leaflitter,0.004615582
Leaflitter,0.073344894
Leaflitter,0.197026605
Leaflitter,0.073129839
Leaflitter,0.05269027
Leaflitter,0.02984665
Leaflitter,0.333319733
Leaflitter,0.072315971
Leaflitter,0.068223011
Leaflitter,0.130370821
Leaflitter,0.044523807
Leaflitter,0.073212498
Leaflitter,0.186940075
Leaflitter,0.081227562
Leaflitter,0.015222894
Leaflitter,0.039204432
Leaflitter,0.066572402
Leaflitter,0.010182717
Leaflitter,0.006451956
Leaflitter,0.131712121
Leaflitter,0.095664554
Leaflitter,0.086414391
Leaflitter,0.0214263
Leaflitter,0.022923671
Leaflitter,0.235531098
Leaflitter,0.211448533
Leaflitter,0.029817199
Leaflitter,0.240238207
Leaflitter,0.069060367
Leaflitter,0.007501627
Leaflitter,0.036997674
Leaflitter,0.057554027
Leaflitter,0.154828601
Leaflitter,0.391365159
Leaflitter,0.04424674
Leaflitter,0.053151277
Leaflitter,0.004395054
Leaflitter,0.109404963
Leaflitter,0.153284531
Leaflitter,0.174894749
Leaflitter,0.022468065
Leaflitter,0.22926797
Leaflitter,0.06070479
Leaflitter,0.126625864
Leaflitter,0.112266521
Leaflitter,0.20725122
Leaflitter,0.076772366
Leaflitter,0.147903931
Leaflitter,0.107349976
Leaflitter,0.038413654
Leaflitter,0.00650678
Leaflitter,0.130495215
Leaflitter,0.024550674
Leaflitter,0.231681901
Leaflitter,0.030027329
Leaflitter,0.111209822
Leaflitter,0.059764836
Leaflitter,0.038439571
Leaflitter,0.36460385
Leaflitter,0.053667621
Leaflitter,0.035363537
Leaflitter,0.156820365
Leaflitter,0.087926004
Leaflitter,0.253307159
Leaflitter,0.230354192
Leaflitter,0.028971801
Leaflitter,0.087677287
Leaflitter,0.093246111
Leaflitter,0.085079569
Leaflitter,0.159465991
Leaflitter,0.009577444
Leaflitter,0.077178171
Leaflitter,0.213462176
Leaflitter,0.289348675
Leaflitter,0.097837686
Leaflitter,0.003446688
