source,density
Leaflitter,0.741865335
Leaflitter,0.118663043
Leaflitter,0.111814887
Leaflitter,0.483222303
Leaflitter,0.426501378
Leaflitter,0.125873006
Leaflitter,0.575895289
Leaflitter,0.606168617
Leaflitter,0.483984264
Leaflitter,0.325401484
Leaflitter,0.340579106
Leaflitter,0.034225999
Leaflitter,0.822864132
Leaflitter,0.260260454
Leaflitter,0.737474061
Leaflitter,0.059008193
Leaflitter,0.829106687
Leaflitter,0.417997829
Leaflitter,0.593819777
Leaflitter,0.718615774
Leaflitter,0.698635149
Leaflitter,0.335548143
Leaflitter,0.175183931
Leaflitter,0.101827323
Leaflitter,0.715666832
Leaflitter,0.926238258
Leaflitter,0.669958609
Leaflitter,0.351494273
Leaflitter,0.043337435
Leaflitter,0.276342088
Leaflitter,0.553487699
Leaflitter,0.273680217
Leaflitter,0.474359035
Leaflitter,0.104364544
Leaflitter,0.719886182
Leaflitter,0.338482523
Leaflitter,0.490220718
Leaflitter,0.271200425
Leaflitter,0.643992878
Leaflitter,0.284598253
Leaflitter,0.873606887
Leaflitter,0.371042228
Leaflitter,0.43122684
Leaflitter,0.760331177
Leaflitter,0.620770616
Leaflitter,0.222935995
Leaflitter,0.369793487
Leaflitter,0.772185155
Leaflitter,0.532039965
Leaflitter,0.147844662
Leaflitter,0.29911662
Leaflitter,0.451516679
Leaflitter,0.633061642
Leaflitter,0.214422044
Leaflitter,0.731682948
Leaflitter,0.267320942
Leaflitter,0.303823048
Leaflitter,0.365102692
Leaflitter,0.627925286
Leaflitter,0.340713614
Leaflitter,0.503692829
Leaflitter,0.268670141
Leaflitter,0.501223153
Leaflitter,0.581790667
Leaflitter,0.551747269
Leaflitter,0.11191478
Leaflitter,0.488022809
Leaflitter,0.26120834
Leaflitter,0.830195141
Leaflitter,0.332079326
Leaflitter,0.164218522
Leaflitter,0.575173463
Leaflitter,0.443449327
Leaflitter,0.201215857
Leaflitter,0.314911231
Leaflitter,0.473126046
Leaflitter,0.553355861
Leaflitter,0.210348552
Leaflitter,0.37046063
Leaflitter,0.431895312
Leaflitter,0.09874585
Leaflitter,0.550502563
Leaflitter,0.658239227
Leaflitter,0.645631769
Leaflitter,0.721909579
Leaflitter,0.645883439
Leaflitter,0.261787223
Leaflitter,0.369190333
Leaflitter,0.090524806
Leaflitter,0.297213661
