source,density
Leaflitter,0.056703574
Leaflitter,0.597210159
Leaflitter,0.43423204
Leaflitter,0.321711684
Leaflitter,0.357428455
Leaflitter,0.385943898
Leaflitter,0.286560363
Leaflitter,0.573332125
Leaflitter,0.804493281
Leaflitter,0.321604495
Leaflitter,0.352178459
Leaflitter,0.007199042
Leaflitter,0.100986652
Leaflitter,0.279998161
Leaflitter,0.034446586
Leaflitter,0.149163629
Leaflitter,0.611663676
Leaflitter,0.310690417
Leaflitter,0.113594877
Leaflitter,0.392046071
Leaflitter,0.782559696
Leaflitter,0.366177205
Leaflitter,0.972247937
Leaflitter,0.304402217
Leaflitter,0.742299621
Leaflitter,0.034220192
Leaflitter,0.173899977
Leaflitter,0.445036498
Leaflitter,0.202431358
Leaflitter,0.629514484
Leaflitter,0.286984714
Leaflitter,0.475823109
Leaflitter,0.095536302
Leaflitter,0.50654644
Leaflitter,0.361990356
Leaflitter,0.528240447
Leaflitter,0.066225181
Leaflitter,0.355657789
Leaflitter,0.874006303
Leaflitter,0.629246537
Leaflitter,0.215260731
Leaflitter,0.360594099
Leaflitter,0.698596841
Leaflitter,0.375720152
Leaflitter,0.528119107
Leaflitter,0.166657115
Leaflitter,0.716674215
Leaflitter,0.208234592
Leaflitter,0.720900423
Leaflitter,0.348372358
Leaflitter,0.18112252
Leaflitter,0.767299126
Leaflitter,0.000774807
Leaflitter,0.026666042
Leaflitter,0.351690493
Leaflitter,0.485265652
Leaflitter,0.243085315
Leaflitter,0.881844875
Leaflitter,0.97752279
Leaflitter,0.208728223
Leaflitter,0.638231426
Leaflitter,0.785785083
Leaflitter,0.441794613
Leaflitter,0.710513071
Leaflitter,0.589982543
Leaflitter,0.118508299
Leaflitter,0.313378881
Leaflitter,0.009371728
Leaflitter,0.077432256
Leaflitter,0.02801361
Leaflitter,0.226390483
Leaflitter,0.295117664
Leaflitter,0.031368193
Leaflitter,0.090160635
Leaflitter,0.466877957
Leaflitter,0.482692574
Leaflitter,0.417605773
Leaflitter,0.298193361
Leaflitter,0.270797947
Leaflitter,0.015072635
Leaflitter,0.220466746
Leaflitter,0.129968939
Leaflitter,0.721960872
Leaflitter,0.645968997
Leaflitter,0.263396849
Leaflitter,0.169403438
Leaflitter,0.445582114
Leaflitter,0.098869255
Leaflitter,0.246906102
Leaflitter,0.612592061
Leaflitter,0.655134518
Leaflitter,0.321560672
Leaflitter,0.185930131
Leaflitter,0.77428843
Leaflitter,0.39372329
Leaflitter,0.220162406
Leaflitter,0.179501976
Leaflitter,0.520704906
Leaflitter,0.064501878
Leaflitter,0.128715233
Leaflitter,0.560934509
Leaflitter,0.649783126
Leaflitter,0.689784071
Leaflitter,0.352282312
Leaflitter,0.206861081
Leaflitter,0.625207527
Leaflitter,0.212305108
Leaflitter,0.036022216
Leaflitter,0.897388632
Leaflitter,0.882903264
Leaflitter,0.412480024
Leaflitter,0.539337322
Leaflitter,0.619052676
Leaflitter,0.093231159
Leaflitter,0.502379439
