source,density
Leaflitter,0.265206252
Leaflitter,0.962976584
Leaflitter,0.431292161
Leaflitter,0.75180184
Leaflitter,0.889968159
Leaflitter,0.238338708
Leaflitter,0.654102605
Leaflitter,0.877404648
Leaflitter,0.881284437
Leaflitter,0.864560465
Leaflitter,0.30401214
Leaflitter,0.675881551
Leaflitter,0.455069404
Leaflitter,0.721551598
Leaflitter,0.464127013
Leaflitter,0.873609537
Leaflitter,0.341327852
Leaflitter,0.306037863
Leaflitter,0.593295736
Leaflitter,0.75601254
Leaflitter,0.615450245
Leaflitter,0.791878968
Leaflitter,0.573020058
Leaflitter,0.230641119
Leaflitter,0.031554876
Leaflitter,0.060602392
Leaflitter,0.834677586
Leaflitter,0.098993249
Leaflitter,0.495190282
Leaflitter,0.329735272
Leaflitter,0.794371044
Leaflitter,0.160946397
Leaflitter,0.116265298
Leaflitter,0.391613884
Leaflitter,0.671861126
Leaflitter,0.820042383
Leaflitter,0.525383217
Leaflitter,0.319879877
Leaflitter,0.69086611
Leaflitter,0.906842197
Leaflitter,0.604675489
Leaflitter,0.894845751
Leaflitter,0.800802938
Leaflitter,0.933982698
Leaflitter,0.598990153
Leaflitter,0.062780556
Leaflitter,0.864710379
Leaflitter,0.005317389
Leaflitter,0.127545863
Leaflitter,0.574062566
Leaflitter,0.794624447
Leaflitter,0.162205624
Leaflitter,0.799715796
Leaflitter,0.53743099
Leaflitter,0.614873964
Leaflitter,0.37998459
Leaflitter,0.669274964
Leaflitter,0.495121387
Leaflitter,0.633437318
Leaflitter,0.749647124
Leaflitter,0.368010324
Leaflitter,0.114694961
Leaflitter,0.701750072
Leaflitter,0.966006616
Leaflitter,0.916317664
Leaflitter,0.815352088
Leaflitter,0.293715499
Leaflitter,0.328252399
Leaflitter,0.022102244
Leaflitter,0.23165001
Leaflitter,0.028010828
Leaflitter,0.642438938
Leaflitter,0.46876721
Leaflitter,0.82395507
Leaflitter,0.71775114
Leaflitter,0.490160679
Leaflitter,0.791251104
Leaflitter,0.279435954
Leaflitter,0.976544688
Leaflitter,0.930791045
Leaflitter,0.644330816
Leaflitter,0.510648074
Leaflitter,0.858617224
Leaflitter,0.80243899
Leaflitter,0.577910209
Leaflitter,0.889635375
Leaflitter,0.14993857
Leaflitter,0.524983025
Leaflitter,0.744148772
Leaflitter,0.735269214
Leaflitter,0.641327011
Leaflitter,0.221874755
Leaflitter,0.772218303
Leaflitter,0.014226588
Leaflitter,0.806356709
Leaflitter,0.029639571
Leaflitter,0.480481746
Leaflitter,0.497476569
Leaflitter,0.731598071
Leaflitter,0.864925484
Leaflitter,0.511802256
Leaflitter,0.781479258
Leaflitter,0.14458516
Leaflitter,0.00494681
Leaflitter,0.682572655
Leaflitter,0.829701923
Leaflitter,0.754120579
Leaflitter,0.065443786
Leaflitter,0.65645199
Leaflitter,0.970156933
Leaflitter,0.633268941
Leaflitter,0.818779972
Leaflitter,0.233193783
Leaflitter,0.517430825
Leaflitter,0.759334305
Leaflitter,0.429184382
Leaflitter,0.104108839
Leaflitter,0.80234035
Leaflitter,0.662757457
Leaflitter,0.909231924
Leaflitter,0.515288281
Leaflitter,0.911975263
Leaflitter,0.328573
Leaflitter,0.793443543
Leaflitter,0.067818349
Leaflitter,0.965760108
Leaflitter,0.84628108
Leaflitter,0.794302465
Leaflitter,0.691625893
Leaflitter,0.516195792
Leaflitter,0.915085337
Leaflitter,0.573993092
Leaflitter,0.454454363
Leaflitter,0.128718719
Leaflitter,0.567170965
Leaflitter,0.460509271
Leaflitter,0.813230741
Leaflitter,0.837269903
Leaflitter,0.482521884
Leaflitter,0.915759432
Leaflitter,0.884706225
Leaflitter,0.233030014
Leaflitter,0.819655661
Leaflitter,0.354867547
Leaflitter,0.512457606
Leaflitter,0.704146275
Leaflitter,0.872119916
Leaflitter,0.432209421
Leaflitter,0.822360391
Leaflitter,0.299491756
Leaflitter,0.055229792
Leaflitter,0.780682131
Leaflitter,0.661616311
Leaflitter,0.047193414
Leaflitter,0.655682881
Leaflitter,0.905314366
Leaflitter,0.142808479
Leaflitter,0.556319083
Leaflitter,0.084310843
Leaflitter,0.588630883
Leaflitter,0.547919177
Leaflitter,0.284585561
Leaflitter,0.729902988
Leaflitter,0.793964389
Leaflitter,0.674710775
Leaflitter,0.029435597
Leaflitter,0.465392783
Leaflitter,0.409935004
Leaflitter,0.878298711
Leaflitter,0.794795147
Leaflitter,0.004822826
Leaflitter,0.915822567
Leaflitter,0.139213531
Leaflitter,0.720622532
Leaflitter,0.358338236
Leaflitter,0.821051379
Leaflitter,0.896300253
Leaflitter,0.391892761
Leaflitter,0.537600569
Leaflitter,0.464318325
Leaflitter,0.087088361
Leaflitter,0.720497109
Leaflitter,0.180014842
Leaflitter,0.319427156
Leaflitter,0.010168656
Leaflitter,0.576539978
Leaflitter,0.649020278
Leaflitter,0.609537506
Leaflitter,0.428404887
Leaflitter,0.77984744
Leaflitter,0.510004203
Leaflitter,0.635843916
Leaflitter,0.239031389
Leaflitter,0.84665555
Leaflitter,0.660067406
Leaflitter,0.766533302
Leaflitter,0.055952322
Leaflitter,0.735710221
Leaflitter,0.826163965
Leaflitter,0.673703095
Leaflitter,0.480621127
Leaflitter,0.781474801
Leaflitter,0.650737038
Leaflitter,0.002935674
Leaflitter,0.864685085
Leaflitter,0.56349325
Leaflitter,0.076239183
Leaflitter,0.02892811
Leaflitter,0.147042023
Leaflitter,0.02811893
Leaflitter,0.728449055
Leaflitter,0.079437317
Leaflitter,0.887925222
Leaflitter,0.866962456
Leaflitter,0.703625115
Leaflitter,0.410456712
Leaflitter,0.987001396
Leaflitter,0.073454727
Leaflitter,0.278383972
Leaflitter,0.93409937
Leaflitter,0.798991719
Leaflitter,0.098224616
Leaflitter,0.854147417
Leaflitter,0.729243063
Leaflitter,0.686069633
Leaflitter,0.663419488
Leaflitter,0.029490251
Leaflitter,0.872536427
Leaflitter,0.08091026
Leaflitter,0.260765838
Leaflitter,0.886288362
Leaflitter,0.280412453
Leaflitter,0.847777086
Leaflitter,0.172873035
Leaflitter,0.985560013
Leaflitter,0.847653803
Leaflitter,0.817332937
Leaflitter,0.829245411
Leaflitter,0.623389198
Leaflitter,0.691378224
Leaflitter,0.975877462
Leaflitter,0.788097585
Leaflitter,0.103534073
Leaflitter,0.146383727
Leaflitter,0.325352707
Leaflitter,0.491765703
Leaflitter,0.912502797
Leaflitter,0.111935614
Leaflitter,0.763654338
Leaflitter,0.534744192
Leaflitter,0.168148947
Leaflitter,0.218163994
Leaflitter,0.566763424
Leaflitter,0.09419099
Leaflitter,0.880846908
Leaflitter,0.433575667
Leaflitter,0.488431157
Leaflitter,0.628949176
Leaflitter,0.913610803
Leaflitter,0.887386514
Leaflitter,0.879081892
Leaflitter,0.701837772
Leaflitter,0.782422473
Leaflitter,0.068990073
Leaflitter,0.342627186
Leaflitter,0.851586348
Leaflitter,0.593100874
Leaflitter,0.806824967
Leaflitter,0.608200743
Leaflitter,0.025702772
Leaflitter,0.34292779
Leaflitter,0.61999185
Leaflitter,0.82766035
Leaflitter,0.719198172
Leaflitter,0.461774432
Leaflitter,0.635505735
Leaflitter,0.783900477
Leaflitter,0.790686964
Leaflitter,0.13212774
Leaflitter,0.69140579
Leaflitter,0.57234237
Leaflitter,0.726868823
Leaflitter,0.246447064
Leaflitter,0.064659477
Leaflitter,0.670190971
Leaflitter,0.735616141
Leaflitter,0.806346842
Leaflitter,0.871713945
Leaflitter,0.911073419
Leaflitter,0.002139581
Leaflitter,0.873225506
Leaflitter,0.810550152
Leaflitter,0.520156238
Leaflitter,0.566122622
Leaflitter,0.843815955
Leaflitter,0.014753486
Leaflitter,0.779121654
Leaflitter,0.258138188
Leaflitter,0.365014589
Leaflitter,0.249515554
Leaflitter,0.771250924
Leaflitter,0.146237358
Leaflitter,0.693792393
Leaflitter,0.245431255
Leaflitter,0.815771701
Leaflitter,0.771219381
Leaflitter,0.934500685
Leaflitter,0.843847095
Leaflitter,0.41618606
Leaflitter,0.390995662
Leaflitter,0.129454098
Leaflitter,0.133256674
Leaflitter,0.769010137
Leaflitter,0.033263851
Leaflitter,0.430252041
Leaflitter,0.563618079
Leaflitter,0.85263301
Leaflitter,0.004406135
Leaflitter,0.37519476
Leaflitter,0.396844425
Leaflitter,0.516647404
Leaflitter,0.837196642
Leaflitter,0.281707605
Leaflitter,0.840167113
Leaflitter,0.968415921
Leaflitter,0.830640027
Leaflitter,0.666699981
Leaflitter,0.798263597
Leaflitter,0.72394072
Leaflitter,0.503219617
Leaflitter,0.538565643
Leaflitter,0.496183137
Leaflitter,0.752817966
Leaflitter,0.786715129
Leaflitter,0.211240707
Leaflitter,0.56874352
Leaflitter,0.543095127
Leaflitter,0.807250013
Leaflitter,0.133607112
Leaflitter,0.000530481
Leaflitter,0.357575006
Leaflitter,0.750320849
Leaflitter,0.406412583
Leaflitter,0.274634831
Leaflitter,0.86433008
Leaflitter,0.543791229
Leaflitter,0.875523936
Leaflitter,0.578525793
Leaflitter,0.735551705
Leaflitter,0.841617172
Leaflitter,0.345300161
Leaflitter,0.651819006
Leaflitter,0.292201705
Leaflitter,0.901636318
Leaflitter,0.791658546
Leaflitter,0.157720343
Leaflitter,0.377589609
Leaflitter,0.751915515
Leaflitter,0.795898649
Leaflitter,0.730385189
Leaflitter,0.62801795
Leaflitter,0.405242869
Leaflitter,0.144180955
Leaflitter,0.402206765
Leaflitter,0.524105394
Leaflitter,0.836101454
Leaflitter,0.187812688
Leaflitter,0.838024702
Leaflitter,0.726476417
Leaflitter,0.536113788
Leaflitter,0.355472799
Leaflitter,0.883920722
Leaflitter,0.824504304
Leaflitter,0.005862194
Leaflitter,0.617908132
Leaflitter,0.178888361
Leaflitter,0.6606148
Leaflitter,0.232201817
Leaflitter,0.15836607
Leaflitter,0.288088759
Leaflitter,0.750702074
Leaflitter,0.796852406
Leaflitter,0.80170322
Leaflitter,0.86103811
Leaflitter,0.004137086
Leaflitter,0.900969374
Leaflitter,0.922786316
Leaflitter,0.523177931
Leaflitter,0.385151972
Leaflitter,0.396627482
Leaflitter,0.24856607
Leaflitter,0.327551554
Leaflitter,0.187347843
Leaflitter,0.838633572
Leaflitter,0.866109365
Leaflitter,0.869677198
Leaflitter,0.765292646
Leaflitter,0.600110846
Leaflitter,0.848321071
Leaflitter,0.879575488
Leaflitter,0.014715808
Leaflitter,0.856731646
Leaflitter,0.623073889
Leaflitter,0.02508425
Leaflitter,0.187763507
Leaflitter,0.762351304
Leaflitter,0.451089193
Leaflitter,0.760055446
Leaflitter,0.910586864
Leaflitter,0.912130997
Leaflitter,0.459556867
Leaflitter,0.431851887
Leaflitter,0.687909194
Leaflitter,0.903091216
Leaflitter,0.116530018
Leaflitter,0.574670746
Leaflitter,0.705859911
Leaflitter,0.385491146
Leaflitter,0.708754587
Leaflitter,0.366514894
Leaflitter,0.802307434
Leaflitter,0.05518521
Leaflitter,0.746208682
Leaflitter,0.66059735
Leaflitter,0.714545145
Leaflitter,0.053051146
Leaflitter,0.438840948
Leaflitter,0.876948492
Leaflitter,0.755133003
Leaflitter,0.341135821
Leaflitter,0.819452498
Leaflitter,0.133937234
Leaflitter,0.243470751
Leaflitter,0.833886646
Leaflitter,0.169203069
Leaflitter,0.172503361
Leaflitter,0.923786665
Leaflitter,0.143652367
Leaflitter,0.505846611
Leaflitter,0.617161331
Leaflitter,0.928570139
Leaflitter,0.403698832
Leaflitter,0.647445345
Leaflitter,0.765362065
Leaflitter,0.708076554
Leaflitter,0.70580887
Leaflitter,0.114884006
Leaflitter,0.13455343
Leaflitter,0.879170405
Leaflitter,0.067207307
Leaflitter,0.723936796
Leaflitter,0.433267722
Leaflitter,0.784937498
Leaflitter,0.897302844
Leaflitter,0.664359925
Leaflitter,0.888814464
Leaflitter,0.410598041
Leaflitter,0.710316355
Leaflitter,0.777255532
Leaflitter,0.771974752
Leaflitter,0.767777347
Leaflitter,0.002595459
Leaflitter,0.581476292
Leaflitter,0.933802307
Leaflitter,0.005131619
Leaflitter,0.41156171
Leaflitter,0.246905312
Leaflitter,0.375923532
Leaflitter,0.718780374
Leaflitter,0.942976827
Leaflitter,0.555613173
Leaflitter,0.682245428
Leaflitter,0.607436931
Leaflitter,0.71527608
Leaflitter,0.22033349
Leaflitter,0.801156984
Leaflitter,0.3252576
Leaflitter,0.892273257
Leaflitter,0.402269743
Leaflitter,0.862204211
Leaflitter,0.242242804
Leaflitter,0.735815785
Leaflitter,0.27794448
Leaflitter,0.288736294
Leaflitter,0.838135424
Leaflitter,0.912416639
Leaflitter,0.591716694
Leaflitter,0.76606722
Leaflitter,0.618699804
Leaflitter,0.703799062
Leaflitter,0.866978908
Leaflitter,0.87696423
Leaflitter,0.139839131
Leaflitter,0.780013039
Leaflitter,0.750670444
Leaflitter,0.593675724
Leaflitter,0.404842325
Leaflitter,0.493297936
Leaflitter,0.324857646
Leaflitter,0.907874127
Leaflitter,0.673751296
Leaflitter,0.326191513
Leaflitter,0.263638805
Leaflitter,0.507121612
Leaflitter,0.479560782
Leaflitter,0.679723083
Leaflitter,0.181865267
Leaflitter,0.739500987
Leaflitter,0.896489315
Leaflitter,0.813230883
Leaflitter,0.018108283
Leaflitter,0.07794096
Leaflitter,0.778070773
Leaflitter,0.385099791
Leaflitter,0.045067865
Leaflitter,0.294437331
Leaflitter,0.746065422
Leaflitter,0.121651954
Leaflitter,0.783847396
Leaflitter,0.955729778
Leaflitter,0.62753947
Leaflitter,0.211558126
Leaflitter,0.935253092
Leaflitter,0.683082804
Leaflitter,0.024267041
Leaflitter,0.861566433
Leaflitter,0.292864539
Leaflitter,0.831581692
Leaflitter,0.700025597
Leaflitter,0.792118623
Leaflitter,0.479443711
Leaflitter,0.317729211
Leaflitter,0.689149132
Leaflitter,0.632259096
Leaflitter,0.506356118
Leaflitter,0.244254813
Leaflitter,0.838655337
Leaflitter,0.08037228
Leaflitter,0.948106987
Leaflitter,0.150823415
Leaflitter,0.773326064
Leaflitter,0.844332959
Leaflitter,0.547012762
Leaflitter,0.038386773
Leaflitter,0.477850218
Leaflitter,0.306705304
Leaflitter,0.400698548
Leaflitter,0.734006263
Leaflitter,0.820558912
Leaflitter,0.803861075
Leaflitter,0.891399097
Leaflitter,0.605444635
Leaflitter,0.915472267
Leaflitter,0.198624678
Leaflitter,0.375630585
Leaflitter,0.865049127
Leaflitter,0.796174754
Leaflitter,0.94972485
Leaflitter,0.796512833
Leaflitter,0.611135118
Leaflitter,0.138734823
Leaflitter,0.875677349
Leaflitter,0.67682231
Leaflitter,0.895519641
Leaflitter,0.8641711
Leaflitter,0.858635882
Leaflitter,0.855110218
Leaflitter,0.47220172
Leaflitter,0.917372909
Leaflitter,0.848333167
Leaflitter,0.004305711
Leaflitter,0.725816434
Leaflitter,0.908409281
Leaflitter,0.960257721
Leaflitter,0.945037032
Leaflitter,0.879442988
Leaflitter,0.683392276
Leaflitter,0.042582617
Leaflitter,0.208898841
Leaflitter,0.966153225
Leaflitter,0.697802885
Leaflitter,0.288830013
Leaflitter,0.653221356
Leaflitter,0.88764831
Leaflitter,0.155612762
Leaflitter,0.759320987
Leaflitter,0.731422636
Leaflitter,0.843411969
Leaflitter,0.775444057
Leaflitter,0.143178214
Leaflitter,0.262700024
Leaflitter,0.711308854
Leaflitter,0.836202659
Leaflitter,0.836399936
Leaflitter,0.459874123
Leaflitter,0.796002419
Leaflitter,0.735629604
Leaflitter,0.902555042
Leaflitter,0.88009248
Leaflitter,0.328400783
Leaflitter,0.860204826
Leaflitter,0.11701501
Leaflitter,0.576825941
Leaflitter,0.027185475
Leaflitter,0.669570738
Leaflitter,0.485783822
Leaflitter,0.659342625
Leaflitter,0.602083941
Leaflitter,0.913002816
Leaflitter,0.209667239
Leaflitter,0.601243416
Leaflitter,0.836348294
Leaflitter,0.89412056
Leaflitter,0.516150733
Leaflitter,0.046641391
Leaflitter,0.695895716
Leaflitter,0.848569484
Leaflitter,0.962416687
Leaflitter,0.109864991
Leaflitter,0.65931134
Leaflitter,0.604389193
Leaflitter,0.6447862
Leaflitter,0.618119236
Leaflitter,0.215461587
Leaflitter,0.510139273
Leaflitter,0.853476502
Leaflitter,0.824731251
Leaflitter,0.059534301
Leaflitter,0.962416041
Leaflitter,0.135487488
Leaflitter,0.481627218
Leaflitter,0.551914121
Leaflitter,0.673781943
Leaflitter,0.796850533
Leaflitter,0.197980062
Leaflitter,0.860772385
Leaflitter,0.460220489
Leaflitter,0.641561594
Leaflitter,0.730709006
Leaflitter,0.086099217
Leaflitter,0.733836442
Leaflitter,0.807397565
Leaflitter,0.715727834
Leaflitter,0.749568041
Leaflitter,0.855579378
Leaflitter,0.142398284
Leaflitter,0.674891187
Leaflitter,0.843645162
Leaflitter,0.842357461
Leaflitter,0.118463702
Leaflitter,0.815877519
Leaflitter,0.144293218
Leaflitter,0.743106419
Leaflitter,0.407964842
Leaflitter,0.976396159
Leaflitter,0.408971905
Leaflitter,0.950866451
Leaflitter,0.610720662
Leaflitter,0.675556441
Leaflitter,0.801368905
Leaflitter,0.942618607
Leaflitter,0.911284179
Leaflitter,0.618272989
Leaflitter,0.841401144
Leaflitter,0.771409455
Leaflitter,0.864159249
Leaflitter,0.732074918
Leaflitter,0.912245541
Leaflitter,0.373727461
Leaflitter,0.482561665
Leaflitter,0.872674821
Leaflitter,0.00157542
Leaflitter,0.743662574
Leaflitter,0.161985437
Leaflitter,0.137027938
Leaflitter,0.790732996
Leaflitter,0.129281102
Leaflitter,0.704146529
Leaflitter,0.559703924
Leaflitter,0.238223678
Leaflitter,0.697525355
Leaflitter,0.800237907
Leaflitter,0.173855778
Leaflitter,0.947563424
Leaflitter,0.854452764
Leaflitter,0.412151632
Leaflitter,0.547423478
Leaflitter,0.778455599
Leaflitter,0.507553782
Leaflitter,0.745447255
Leaflitter,0.773836986
Leaflitter,0.669440822
Leaflitter,0.977004767
Leaflitter,0.905999569
Leaflitter,0.394751968
Leaflitter,0.716037304
Leaflitter,0.322351979
Leaflitter,0.863982704
Leaflitter,0.834334181
Leaflitter,0.713452694
Leaflitter,0.577817522
Leaflitter,0.64528632
Leaflitter,0.5138183
Leaflitter,0.244657272
Leaflitter,0.768408854
Leaflitter,0.01924521
Leaflitter,0.709978309
Leaflitter,0.105218978
Leaflitter,0.904912403
Leaflitter,0.724694137
Leaflitter,0.014373492
Leaflitter,0.30431884
Leaflitter,0.665571592
Leaflitter,0.873392578
Leaflitter,0.832764446
Leaflitter,0.929477365
Leaflitter,0.002363368
Leaflitter,0.851103711
Leaflitter,0.474370891
Leaflitter,0.065054168
Leaflitter,0.797398157
Leaflitter,0.883464406
Leaflitter,0.880294126
Leaflitter,0.573380662
Leaflitter,0.678869282
Leaflitter,0.269154651
Leaflitter,0.134572564
Leaflitter,0.023695403
Leaflitter,0.739204595
Leaflitter,0.51344105
Leaflitter,0.210991222
Leaflitter,0.958812885
Leaflitter,0.950528835
Leaflitter,0.193567284
Leaflitter,0.825216528
Leaflitter,0.498016184
Leaflitter,0.797446952
Leaflitter,0.574461382
Leaflitter,0.845388193
Leaflitter,0.827193711
Leaflitter,0.114222947
Leaflitter,0.770419146
Leaflitter,0.530475311
Leaflitter,0.944889772
Leaflitter,0.248506076
Leaflitter,0.665509621
Leaflitter,0.069440251
Leaflitter,0.495860943
Leaflitter,0.344028815
Leaflitter,0.650766923
Leaflitter,0.135050411
Leaflitter,0.522427459
Leaflitter,0.783133991
Leaflitter,0.457037501
Leaflitter,0.442882023
Leaflitter,0.495761663
Leaflitter,0.9733904
Leaflitter,0.05117699
Leaflitter,0.432338957
Leaflitter,0.353581527
Leaflitter,0.753447905
Leaflitter,0.875608906
Leaflitter,0.883249495
Leaflitter,0.506116419
Leaflitter,0.063860086
Leaflitter,0.732472847
Leaflitter,0.906363451
Leaflitter,0.895406766
Leaflitter,0.063704377
Leaflitter,0.735709949
Leaflitter,0.970799083
Leaflitter,0.762330077
Leaflitter,0.912392463
Leaflitter,0.622483403
Leaflitter,0.286476274
Leaflitter,0.695659531
Leaflitter,0.033568346
Leaflitter,0.613931234
Leaflitter,0.070013907
Leaflitter,0.681672002
Leaflitter,0.927743724
Leaflitter,0.503814758
Leaflitter,0.766353347
Leaflitter,0.62446493
Leaflitter,0.482457839
Leaflitter,0.784041207
Leaflitter,0.720499083
Leaflitter,0.242738886
Leaflitter,0.429815664
Leaflitter,0.818592724
Leaflitter,0.810835925
Leaflitter,0.475277819
Leaflitter,0.870735724
Leaflitter,0.045667628
Leaflitter,0.01412691
Leaflitter,0.216833167
Leaflitter,0.324263568
Leaflitter,0.522497568
Leaflitter,0.689603067
Leaflitter,0.814441118
Leaflitter,0.644846722
Leaflitter,0.159597719
Leaflitter,0.420970333
Leaflitter,0.16520921
Leaflitter,0.776742755
Leaflitter,0.84752603
Leaflitter,0.840312946
Leaflitter,0.602388589
Leaflitter,0.30900603
Leaflitter,0.435300555
Leaflitter,0.835847601
Leaflitter,0.204077994
Leaflitter,0.755940851
Leaflitter,0.823237966
Leaflitter,0.932888363
Leaflitter,0.192967596
Leaflitter,0.955897306
Leaflitter,0.121372183
Leaflitter,0.874113257
Leaflitter,0.178217732
Leaflitter,0.877582999
Leaflitter,0.670169668
Leaflitter,0.550194395
Leaflitter,0.092867223
Leaflitter,0.555365315
Leaflitter,0.351560471
Leaflitter,0.789665062
Leaflitter,0.271637134
Leaflitter,0.301848762
Leaflitter,0.106770759
Leaflitter,0.572086706
Leaflitter,0.642854486
Leaflitter,0.500203885
Leaflitter,0.970303138
Leaflitter,0.571073821
Leaflitter,0.223682513
Leaflitter,0.938313087
Leaflitter,0.078456228
Leaflitter,0.424503842
Leaflitter,0.630526233
Leaflitter,0.571781566
Leaflitter,0.693609718
Leaflitter,0.535394128
Leaflitter,0.694611733
Leaflitter,0.441321828
Leaflitter,0.612793653
Leaflitter,0.771025317
Leaflitter,0.883849168
Leaflitter,0.604657158
Leaflitter,0.515589909
Leaflitter,0.804122064
Leaflitter,0.387242409
Leaflitter,0.447628469
Leaflitter,0.792741873
Leaflitter,0.885568682
Leaflitter,0.585654248
Leaflitter,0.017450932
Leaflitter,0.357175573
Leaflitter,0.77307114
Leaflitter,0.942026079
Leaflitter,0.76397141
Leaflitter,0.715714457
Leaflitter,0.80964031
Leaflitter,0.878889805
Leaflitter,0.315524579
Leaflitter,0.137997031
Leaflitter,0.959312134
Leaflitter,0.716096944
Leaflitter,0.211795949
Leaflitter,0.519132865
Leaflitter,0.195515743
Leaflitter,0.875518878
Leaflitter,0.603476678
Leaflitter,0.004746102
Leaflitter,0.90288121
Leaflitter,0.226151591
Leaflitter,0.917873521
Leaflitter,0.832215416
Leaflitter,0.901036685
Leaflitter,0.312590386
Leaflitter,0.575066849
Leaflitter,0.625385125
Leaflitter,0.796067447
Leaflitter,0.274604741
Leaflitter,0.176090036
Leaflitter,0.78623281
Leaflitter,0.747503579
Leaflitter,0.939200992
Leaflitter,0.644904306
Leaflitter,0.776933203
Leaflitter,0.053239667
Leaflitter,0.907368219
Leaflitter,0.384667109
Leaflitter,0.670199359
Leaflitter,0.231418162
Leaflitter,0.203576503
Leaflitter,0.923920649
Leaflitter,0.760376654
Leaflitter,0.207776316
Leaflitter,0.510699628
Leaflitter,0.731076337
Leaflitter,0.404840963
Leaflitter,0.310596403
Leaflitter,0.601847931
Leaflitter,0.414187686
Leaflitter,0.857322801
Leaflitter,0.628990011
Leaflitter,0.583600635
Leaflitter,0.123638473
Leaflitter,0.364635574
Leaflitter,0.191802921
Leaflitter,0.796853374
Leaflitter,0.820472086
Leaflitter,0.087210696
Leaflitter,0.524989885
Leaflitter,0.276472633
Leaflitter,0.055179737
Leaflitter,0.778768463
Leaflitter,0.836969041
Leaflitter,0.846545369
Leaflitter,0.412145214
Leaflitter,0.671648124
Leaflitter,0.87655263
Leaflitter,0.546558313
Leaflitter,0.557763854
Leaflitter,0.051673971
Leaflitter,0.607795355
Leaflitter,0.861843275
Leaflitter,0.624633504
Leaflitter,0.880958248
Leaflitter,0.572724113
Leaflitter,0.178761394
Leaflitter,0.904223552
Leaflitter,0.31040233
Leaflitter,0.855210358
Leaflitter,0.445478316
Leaflitter,0.735304235
Leaflitter,0.542279214
Leaflitter,0.418986957
Leaflitter,0.920198563
Leaflitter,0.707749873
Leaflitter,0.645161309
Leaflitter,0.372218556
Leaflitter,0.867140165
Leaflitter,0.746794168
Leaflitter,0.875669241
Leaflitter,0.758073496
Leaflitter,0.486146939
Leaflitter,0.960175957
Leaflitter,0.080880962
Leaflitter,0.809099426
Leaflitter,0.236182738
Leaflitter,0.782474626
Leaflitter,0.047442643
Leaflitter,0.757539856
Leaflitter,0.643373485
Leaflitter,0.647337575
Leaflitter,0.162317696
Leaflitter,0.036555846
Leaflitter,0.783530701
Leaflitter,0.254758841
Leaflitter,0.575567615
Leaflitter,0.49721322
Leaflitter,0.628282796
Leaflitter,0.44993127
Leaflitter,0.276495556
Leaflitter,0.704037803
Leaflitter,0.201019303
Leaflitter,0.680556504
Leaflitter,0.128657833
Leaflitter,0.878824359
Leaflitter,0.071560164
Leaflitter,0.135936498
Leaflitter,0.098495137
Leaflitter,0.194636198
Leaflitter,0.644708408
Leaflitter,0.399053819
Leaflitter,0.788854176
Leaflitter,0.551345922
Leaflitter,0.652648528
Leaflitter,0.202192883
Leaflitter,0.575247311
Leaflitter,0.683379545
Leaflitter,0.629787418
Leaflitter,0.416018857
Leaflitter,0.265920902
Leaflitter,0.829525849
Leaflitter,0.551165229
Leaflitter,0.270568154
Leaflitter,0.937007305
Leaflitter,0.660269178
Leaflitter,0.027503402
Leaflitter,0.481604976
Leaflitter,0.322632294
Leaflitter,0.258889129
Leaflitter,0.742436045
Leaflitter,0.724464124
Leaflitter,0.570896649
Leaflitter,0.42914977
Leaflitter,0.915363726
Leaflitter,0.154350212
Leaflitter,0.859175802
Leaflitter,0.048725997
Leaflitter,0.806106975
Leaflitter,0.28654448
Leaflitter,0.752045701
Leaflitter,0.27228888
Leaflitter,0.497720239
Leaflitter,0.169969062
Leaflitter,0.453575507
Leaflitter,0.238435252
Leaflitter,0.747775437
Leaflitter,0.45908505
Leaflitter,0.932216666
Leaflitter,0.269316132
Leaflitter,0.53386694
Leaflitter,0.684993893
Leaflitter,0.837203801
Leaflitter,0.855819161
Leaflitter,0.821505001
Leaflitter,0.291184238
Leaflitter,0.302482005
Leaflitter,0.864680119
Leaflitter,0.040792071
Leaflitter,0.933083887
Leaflitter,0.327253338
Leaflitter,0.417945311
Leaflitter,0.922490274
Leaflitter,0.63395187
Leaflitter,0.851015279
Leaflitter,0.914773708
Leaflitter,0.869479098
Leaflitter,0.113532837
Leaflitter,0.429520075
Leaflitter,0.391611586
Leaflitter,0.646009412
Leaflitter,0.4881558
Leaflitter,0.741847153
